,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,1.0000000000000024,0.9870923006650785,0.9865640077459644,0.9868647048269316,0.9873050654507792,0.9746964401229421,0.9864910704012455,0.9956198048728611,0.9868508601748138,0.9865990480735781,0.9864724636065904,0.999335251880346,0.982890035138743,0.9992613752810092,0.9980364809027503,0.9871759012994984,0.9992021694642669,0.995856827973274,0.9989876048334779,0.9882521875913229,0.9991759125211175,0.9864997617692386,0.9861090657237817,0.9992437593350891,0.9745151312878287,0.9991414593046554,0.9742680935720897,0.9746689673186035,0.9843899195079643,0.9882621268210403,0.9992991447861077,0.9880195024989553,0.9796186104739689,0.9746921880998369,0.9958612729394769,0.9739484360129691,0.9868623246733043,0.9958546894856304,0.9958490693800516,0.9991235655034679,0.9865226829814884,0.9865496386405553,0.9860655824888465,0.9744728232306137,0.9872769148205021,0.9867442680089472,0.9837511536309462,0.9870015690600443,0.98518569263855,0.9868529476309288,0.9951284412633431,0.9845905560162048,0.97447089956587,0.986596792698689,0.9870130752246121,0.9746698473672377,0.9846796474191422,0.9872977072804227,0.9870102584277242,0.9674952732335823,0.9869970170585625,0.985972286141225,0.9868708223340634,0.9958466966121295,0.9879965476544325,0.97392435119921,0.9880468849235396,0.9870011658518492,0.9864833026497871,0.9842522795166885,0.9865508790309597,0.9883033728610041,0.9868784630736476,0.9740711213908647,0.9882239937855176,0.9958387639880195,0.9880467515373346,0.9991914716234888,0.9802079336409001,0.9858294284096059,0.9958047178359378,0.9851771011444195,0.9880165940199087,0.986090527961431,0.9868617816889819,0.9868652566129962,0.9952660532442308,0.9868389535736667,0.9879727953497628,0.9865114206414642,0.9868452060853572,0.9882132043809296,0.9955938220774625,0.9882887188888638,0.9872858637011244,0.992399055172822,0.9864448701612418,0.9984800680972924,0.9954021588797244,0.9745414949476412,0.988004619122096,0.9868599366889884,0.9851873680914177,0.9862597227104476,0.9870715485657663,0.9864851676576505,0.9872985761168988,0.9871283404161733,0.9986393288522399,0.9956112632634666,0.9879870008237576,0.9745866435506092,0.9869096628445598,0.9977137519118543,0.9864828459294483,0.9831844361374082,0.9958234468137297,0.999150760679647,0.9880701157210188,0.9958679228326148,0.974680460099971,0.986451366159422,0.9868640223270013,0.9868690368319175,0.986764514593211,0.9877813438790832,0.9862056177834778,0.9865722244747189,0.99920957367648,0.9958513226000687,0.9875345315545621,0.9867988060986673,0.9861529924538034,0.9746410771115434,0.9951022372940997,0.9850881191743658,0.995867999565113,0.9746869318624651,0.9866088568138451,0.9868453126127695,0.9746365930935486,0.9869271694790623,0.9868680215099326,0.9851888796242162
Mocetinostat,0.9870923006650785,1.0000000000000047,0.9858705157119549,0.9943189073726105,0.9998164290242733,0.9751752458718812,0.9858201892775964,0.9900699316582945,0.9943048274497684,0.9754991068308918,0.9857896992302261,0.9877170886745577,0.9952289991426625,0.9876976417136648,0.9865014422193472,0.999700526747521,0.9875860808981655,0.9903086204251237,0.987334697978379,0.9849047809741969,0.9876128468208117,0.975436944068369,0.9750171295702081,0.9876266376384255,0.9750096402611164,0.9874258840614512,0.9748263054157562,0.9751516410309051,0.9963444998799307,0.9849081240357418,0.9876763257333976,0.9846518301260774,0.9932690974438901,0.9751718624926241,0.9903073068341234,0.9746132893324996,0.9943165499596823,0.9903036621320814,0.9902963219123329,0.9875692293923783,0.9754143461766998,0.9754593108381184,0.9935601785738606,0.9749691688942906,0.9997297937711749,0.9860660393113228,0.9966590804942919,0.986313173352708,0.9976714753562687,0.9942820348964749,0.9896419974943521,0.9734424085202587,0.9750786993084417,0.9755001527577883,0.9863137088247909,0.9751550353705242,0.9823087862197621,0.9998046909126913,0.9863147022410151,0.968995878446286,0.9863009204033978,0.9748383499330531,0.9943236942746688,0.9902996070146788,0.9846381928303014,0.9743826236992617,0.9846658262330535,0.9863119232706467,0.9858027804210251,0.9730480200086921,0.9755297549322898,0.9849329594844403,0.9943282976134301,0.9745931567717031,0.9848584028196464,0.9902936168527511,0.9846806100983153,0.987563837551601,0.9723695694793786,0.9853414625712958,0.9902526353964198,0.9976648711875489,0.9846554110856559,0.9856017147724662,0.9943117361952365,0.9943157842980527,0.9896113936825214,0.9943029752332593,0.9846133167087314,0.9939975234097476,0.994300822465017,0.9848455096038794,0.9900529337042421,0.9849364281915349,0.9997992673616729,0.9834309197224949,0.9753763628347187,0.9869018116818419,0.9897968310814645,0.9750561477958226,0.9846444884384583,0.9943159675875225,0.9976727818359314,0.9855860283588374,0.986120291993044,0.9754153406585152,0.9998057937827574,0.9996673600684776,0.98704832735219,0.9900601202608718,0.984647468001353,0.9750653843498622,0.9862184573013786,0.9865721310947309,0.9857886791453901,0.9899704068913284,0.990274168201301,0.9875223937820327,0.9847042396540465,0.9903130627156409,0.9751644692230056,0.9754011078921208,0.9943142354032505,0.994323153744667,0.9942097272793112,0.984471189803407,0.9751666555884357,0.9754785691475955,0.9875727468601059,0.9903011682962627,0.9843767482411153,0.994247249110163,0.9854874788157679,0.9751271619673056,0.9896156929179687,0.9744891921665542,0.9903170019101233,0.9751662570545025,0.975509557299156,0.9992860310723389,0.9751163455604803,0.9862406280477367,0.9943210402963613,0.9976701375801644
Romidepsin,0.9865640077459644,0.9858705157119549,1.0000000000000002,0.9815479696686231,0.9860802616859534,0.9491459140936644,0.9999356950982792,0.9843659870711565,0.9815393540152353,0.9608913969893857,0.9999253145723763,0.9869347315311368,0.982107267139143,0.9869434277112787,0.9859675457205995,0.9859889603529874,0.9868469353507011,0.9846027320566596,0.9866557409837727,0.9971477749259635,0.9868254804092361,0.9607776119201639,0.960647017297246,0.9868605214603321,0.949049374542009,0.9866831462671932,0.9488560690089777,0.9491285732432247,0.9834074495100137,0.9971732856688118,0.9868810127272202,0.9969135413851153,0.9810358848709835,0.9491429052637007,0.9844591442327744,0.9485283134496348,0.9815502467544959,0.9845988017817908,0.9844569110919544,0.9868017931019247,0.9608303604517227,0.9608561973012713,0.9809583578235949,0.9489737995017862,0.9860486200254869,0.9993984354195197,0.9829629828094121,0.9995413087835268,0.9839649054287759,0.9815565833586063,0.9839428273626899,0.9593455376345825,0.9490550885249714,0.9608906619516678,0.9995427833323839,0.9491341442954168,0.9926985253546793,0.9861527940260485,0.9995443681360647,0.9443997409511611,0.9995355452185598,0.9602962124614627,0.9815558779883166,0.9845972353561139,0.9968880378292004,0.9484413604473712,0.9968744898512669,0.9995408211557424,0.9999127365408323,0.9586353908863766,0.9609159119537057,0.9971933323694632,0.9815543930336129,0.9485597768844632,0.9971298755584069,0.9844534247823933,0.9969260811496261,0.9868182012899672,0.958417493341828,0.9986872366598459,0.9845652496770714,0.9839591337750453,0.9969081071802837,0.998707373109588,0.9815464226383307,0.9815491658006724,0.9838393985463955,0.9815366662182992,0.9968773156803008,0.9814393403369136,0.981527189496268,0.9971162439779625,0.9841889439753886,0.9971831464619256,0.9860621507942123,0.9832487754688959,0.9608229983888436,0.9862209534509214,0.9840246073407292,0.9490480829071366,0.9969027189905103,0.9815459006581828,0.9839646071188443,0.999825389773939,0.9994060638352515,0.9608229646351045,0.9860718064042859,0.9859628779217585,0.9863695285118051,0.9842164711102168,0.9968690308389585,0.9490899277005237,0.9994819560471933,0.9856894398067966,0.9999156672566427,0.9804369352375597,0.984422439052507,0.9867494891738167,0.9969072347660309,0.9844612187526067,0.9491348878541183,0.9607985904373887,0.9815497463664251,0.9815560964550527,0.9814648990413124,0.9967804977347724,0.9602556152818822,0.9608697615618442,0.9867997101634953,0.984595171398223,0.996674753662112,0.9814772838143717,0.9988153344889565,0.9490988235670197,0.9836378904423247,0.9598524161344384,0.9844650967328893,0.9491391232802334,0.9608977632203062,0.9857441577270813,0.9490895092869142,0.9994746086179247,0.9815535638584172,0.9839633700657899
Tacedinaline,0.9868647048269316,0.9943189073726105,0.9815479696686231,1.0000000000000004,0.9945011301928923,0.9751737499401778,0.9814941597826534,0.9883225447895142,0.999968329899799,0.9753673798872176,0.9814576486940569,0.9874789574852063,0.9898558642841088,0.9874613768358924,0.9862422158602249,0.9943784301230394,0.9873399027849696,0.9885593802186464,0.987073718543367,0.9799355414592491,0.987376329485828,0.975305509571482,0.9748211450909519,0.9873918375172585,0.9749933845359978,0.9872390971923869,0.9747943085404858,0.9751434772202511,0.9913837880637411,0.9799371352982713,0.9874375266944122,0.9796854677388608,0.9877828702764082,0.975169406185677,0.9885614786289956,0.9745924021231908,0.999985304698562,0.9885537645016649,0.9885558524584258,0.9873350766197787,0.975280662108044,0.9753235530580266,0.9992115647423022,0.9749445322970591,0.9944357588244254,0.9817213538570865,0.9912918451633889,0.9819882006353517,0.9923682018097961,0.9999526412095333,0.9878406258809774,0.9731767754583281,0.975074583253048,0.9753719968130657,0.9819812439556732,0.9751512721882022,0.9771456733257493,0.9944922331997291,0.9819823827507865,0.9676719839167616,0.9819750951875523,0.9748363005216761,0.9999933482572128,0.9885494948328291,0.9796699816484463,0.9745115013039848,0.9797021686717982,0.9819790155732309,0.9814798931168462,0.9729013225896442,0.9753986491887315,0.9799687455544285,0.9999821873333449,0.9746639642588762,0.9798875101076424,0.9885441628142447,0.979713166914192,0.9873133886726727,0.9708075551399885,0.981012882481004,0.9885014338271834,0.9923607340811788,0.9796890127848936,0.9811951655017463,0.9999790978713822,0.9999805895703612,0.9878572146666416,0.9999605748758413,0.9796494895781359,0.9996117245250083,0.9999591274789067,0.9798891417905679,0.9883064856227503,0.979964930870524,0.994482779806752,0.9820359227842822,0.9752420424464878,0.9865354756989722,0.988056601109361,0.9750450635898691,0.9796780283204944,0.9999774520914028,0.9923690406648583,0.981215886258966,0.9817885344855831,0.9752796275759077,0.9944961222212028,0.9943520160609887,0.9867818794347012,0.9883161427307897,0.9796767528343074,0.9750592256765014,0.9818821286722182,0.9863749588821484,0.9814534835820605,0.9889791431327777,0.9885164729680664,0.9872771038057228,0.9797420340351123,0.9885675491590765,0.9751564372540339,0.9752716637034714,0.9999844765559169,0.999992820590741,0.9998793101004431,0.9795109177717344,0.9750885248186895,0.9753429655769266,0.9873353888641304,0.98855156801347,0.979373071323409,0.9999121461559975,0.9811449549952416,0.9751236625646094,0.9878464535709296,0.974290740898674,0.9885679823499937,0.9751630576513665,0.9753813273629386,0.9939366540417964,0.9751205875184578,0.981915386465638,0.9999884706300015,0.9923690073910193
Tucidinostat,0.9873050654507792,0.9998164290242733,0.9860802616859534,0.9945011301928923,1.0000000000000044,0.9752721268917454,0.9860295719934804,0.9902207531332984,0.9944880918206626,0.9756297472946736,0.9859994045777599,0.9879299320065552,0.995404071475377,0.9879123308922492,0.9867173594819567,0.9998642049447267,0.9877984743796631,0.9904549090059974,0.9875472761848164,0.9851859069492798,0.9878253563017702,0.9755669006493292,0.9751486141315096,0.9878356112786449,0.9751065998259416,0.9876383075211927,0.9749231863778377,0.9752482581826951,0.9965160471013669,0.9851893998648592,0.9878886744651971,0.9849338885541528,0.9934361687486758,0.9752687204125792,0.9904584397804999,0.974710274700203,0.9945020080383344,0.9904542338901531,0.9904432960953872,0.9877840602916715,0.9755438314862481,0.9755894918906493,0.9937434134362702,0.9750662162092616,0.9998987551897673,0.98627552357755,0.9968271395065867,0.9865224683121065,0.9978388693989183,0.994471275994849,0.9897929032314685,0.9735739482121498,0.9751756365437261,0.9756295714815935,0.9865267441644107,0.9752519718253545,0.9825950227924027,0.999971491108816,0.9865244726043061,0.9690972172757035,0.9865107630739754,0.9749686144261678,0.9945058839811304,0.9904457832970333,0.9849194533419595,0.9744798225892511,0.9849478120300761,0.9865218466957418,0.986015749951716,0.9731787719282047,0.9756598115659536,0.985213656392999,0.9945144051344343,0.9746904509074937,0.9851399366659184,0.9904446814610756,0.9849626635289981,0.9877764373716152,0.9724908111114949,0.985550987596184,0.9904044134046237,0.9978264024436635,0.9849373154652195,0.9858153674844613,0.9944978134797493,0.9945049328773523,0.9897635830307235,0.9944862526130799,0.9848954065979542,0.9941839193809546,0.9944891751657599,0.9851264699582686,0.9902040515598856,0.9852173367552163,0.9999683005016053,0.9836464264909712,0.9755063270156598,0.9871147223728006,0.9899476674424755,0.975153259578633,0.9849268705687403,0.994497989852223,0.9978393830256497,0.9857988858197898,0.9863301080014719,0.9755447773351261,0.9999754239841154,0.9998399422989904,0.9872617133081731,0.9902109171503943,0.9849293421794253,0.9751623060834516,0.986427955809486,0.9867860563396526,0.9859984079795411,0.9901375798540206,0.9904261601979208,0.9877347453182963,0.9849858728831128,0.9904639971271527,0.9752609128040038,0.9755304602440066,0.9945026250217402,0.9945054375603107,0.9943980437712524,0.9847547907919592,0.9752980201633002,0.9756097513627324,0.9877857542772293,0.9904474552367566,0.9846585722044829,0.9944315487102194,0.9857003376110974,0.975223808167692,0.9897623777918891,0.9746196733791219,0.9904678622874421,0.9752631648108934,0.9756394053831062,0.9994613274828641,0.9752129387063887,0.9864505432220555,0.9945032797839629,0.9978376142178603
Domatinostat,0.9746964401229421,0.9751752458718812,0.9491459140936644,0.9751737499401778,0.9752721268917454,1.0000000000000047,0.9490990051468252,0.9804594873278507,0.975153376525908,0.9816022169257836,0.9490570455158718,0.9754724101045004,0.9716003121379838,0.9754397887956874,0.974551749626156,0.9751753977286634,0.9753568726094627,0.980697179261479,0.9752130050797408,0.9490629197495903,0.9753650006029428,0.981613540259637,0.9811016404400125,0.9753807866542704,0.9997093395679167,0.9752177745985056,0.9994550482333561,0.999969611808294,0.972164527970239,0.949006870416003,0.9754422287034654,0.9487963624041141,0.9626715016066895,0.9999905861657383,0.9806965858766956,0.9995207159507955,0.9751628833989321,0.9806920974779723,0.9806762910370337,0.9753284921756392,0.9815229503451273,0.9815664555646366,0.9741661640773172,0.9997820695416835,0.9751278104487713,0.949369433282792,0.9713322900348075,0.9495728090206722,0.9731825944246743,0.9751192740518018,0.9800117506874391,0.9812755727322396,0.9996958803946697,0.9816034440151454,0.9495738711446581,0.9999708354623899,0.9489044176211867,0.9752795169708052,0.9495751990146475,0.987611547454109,0.9495599064225742,0.9809780002650033,0.9751748451071972,0.9806805145241675,0.9487344182851263,0.9992475832036283,0.9487939894395864,0.949570729674785,0.9490762766193604,0.9800399781738742,0.98161279896223,0.9490583383479184,0.9751790496091912,0.9988142005464232,0.94892462367172,0.9806690228564517,0.9488175446985858,0.9752486079009293,0.9683001801011817,0.948555914452179,0.9806598989897222,0.9731752655308876,0.9487912964277768,0.9486585418019172,0.9751599244745258,0.9751683365694362,0.9798389316221277,0.9751613955195626,0.9487356002601928,0.9747610291603169,0.9751586863786379,0.9490287329570457,0.98046444538261,0.9490646029974852,0.9752486087410063,0.9629832010728984,0.981436625890549,0.9746669494789674,0.9801416741405669,0.9998683071748934,0.9487754992746642,0.9751682688452626,0.9731821889354262,0.948807773300045,0.9493241735542038,0.9815397703043979,0.9752759860256502,0.9751418515628344,0.9747797310171804,0.9804527142700536,0.9488016737373459,0.9998425180239473,0.9494316136824564,0.9741082137931019,0.9490037660388323,0.9684646967837833,0.9806474855682313,0.9752478388516209,0.9488492105060597,0.9807041048617238,0.9999700636870635,0.9815262767027619,0.9751704788277276,0.9751792400882006,0.9750263505735214,0.9484504098768016,0.9816278441737994,0.9815839576362837,0.9753311849476402,0.9806945979729434,0.9478295027012119,0.9751313408413433,0.9488022155831838,0.9999656102276702,0.9802223325978221,0.9801082069771153,0.9807050084685663,0.9999737374183486,0.9816144853794571,0.9747314112587435,0.999931267979665,0.9494970375108978,0.9751731353858086,0.9731824065311624
Pracinostat,0.9864910704012455,0.9858201892775964,0.9999356950982792,0.9814941597826534,0.9860295719934804,0.9490990051468252,1.0,0.9843011933525404,0.981486016526082,0.960822032367049,0.9998845716617764,0.9868625889464145,0.9820564241795513,0.9868707657724152,0.9858956532430371,0.9859388244434764,0.9867749328193681,0.9845370160386876,0.9865833262456953,0.9971073784110791,0.9867538975392514,0.9607079072987502,0.9605770992088558,0.9867886412224111,0.9490023491798396,0.9866109810350943,0.9488090878712344,0.9490813536759265,0.9833571067632418,0.9971269074199755,0.9868083881235498,0.9968672615971489,0.9809853999252099,0.949095995031761,0.9843934093889,0.948481298555784,0.9814963890654651,0.9845323984384255,0.9843913836974111,0.9867304485483175,0.9607603237733345,0.9607875046163724,0.9809048640165953,0.9489268922849832,0.9859986032089311,0.9993539593767486,0.9829119344162502,0.9995081181400864,0.9839144962228278,0.981503204536744,0.9838778742401805,0.959275512388019,0.9490082879711371,0.9608209901026378,0.9995030322292728,0.9490871960629609,0.9926517102403967,0.9861024951146479,0.9995003520861376,0.9443515383985249,0.9994904658189582,0.96022783738474,0.9815022385735285,0.9845311010804185,0.9968470827934542,0.9483942692804406,0.9968342250058837,0.9995012866667662,0.9998676917886118,0.958565222358783,0.9608457434570629,0.9971468187643687,0.9815005988113156,0.948512718908454,0.9970833318638884,0.9843878304351149,0.9968857689490326,0.9867466614069934,0.9583481329929532,0.9986527275683509,0.9844996180899191,0.9839098719841759,0.9968674525145255,0.9986671240489235,0.9814923340919268,0.9814956441601493,0.9837749470007805,0.9814826176115973,0.9968362475988579,0.9813855564548102,0.98147306856445,0.9970700184616661,0.9841234659082815,0.9971427327621266,0.9860122403398698,0.9831753968362289,0.9607536779755186,0.9861486069248755,0.9839593441953414,0.9490011719646638,0.9968565762553965,0.9814921995522599,0.9839147061987376,0.9997818519642354,0.9993661631294035,0.960754156604059,0.986021576951208,0.9859121576468017,0.986298401544514,0.98415097903215,0.996828558493073,0.9490432158255248,0.9994438648812091,0.9856166887429474,0.9998717664004858,0.9803854855958932,0.9843569403114403,0.986676442498727,0.9968664033814097,0.9843958223554757,0.9490878601253989,0.9607284007430887,0.9814959389782368,0.9815021747928545,0.9814111300288427,0.9967339199841525,0.9601857787903123,0.9608005525821883,0.9867267617145272,0.9845294920995696,0.9966286389369396,0.9814236179032361,0.9987819188756785,0.9490521902508503,0.9835724419821109,0.9597827104796217,0.9843995313317544,0.9490924448342645,0.9608280409469542,0.9856942166256876,0.9490425452897576,0.9994342261729053,0.9814998817151188,0.9839135918525
Quisinostat,0.9956198048728611,0.9900699316582945,0.9843659870711565,0.9883225447895142,0.9902207531332984,0.9804594873278507,0.9843011933525404,0.9999999999999989,0.9883006927855931,0.9900752343210172,0.984292174302392,0.9962915305330108,0.9856172282879329,0.9962766196717965,0.9951665171489642,0.9901070133536811,0.996160168919052,0.9997547841905731,0.9958276430845608,0.9854860391068966,0.9961890952387878,0.9899726194961215,0.9896149548042191,0.9962073419816522,0.9802511611873284,0.9959946833532688,0.9800576505643072,0.9804375479480388,0.9870632252590483,0.9854979404101126,0.9962300717257724,0.9852547908291586,0.980283728139283,0.9804559880083943,0.9997324836807816,0.9798447639408734,0.988318640940533,0.9997522797047257,0.9997140137992206,0.996145275379866,0.989999562639693,0.9900297099303604,0.987608708815958,0.9802465486934826,0.9901577724095599,0.9843982772310756,0.9864574470735453,0.9846660460957952,0.9880940317442085,0.9882857904505686,0.9995176713585601,0.9888413673478287,0.9803450763754543,0.9900741292564549,0.9846707403820459,0.9804373826698317,0.9825175823602784,0.9902321967265336,0.9846694490646737,0.9723972052102533,0.9846529411775705,0.989337924636412,0.9883266185530941,0.9997419957565561,0.9852266338256649,0.9795776487410498,0.9852587843327828,0.9846653472380297,0.9843110503108352,0.9878745576668705,0.9901021799094017,0.9855388016570396,0.9883360427956698,0.9798714953985441,0.9854622623655556,0.9997162883841285,0.9852803170979513,0.9961427454862645,0.984238209998048,0.9834227068883259,0.9997031757044557,0.9880884361556911,0.9852545801723399,0.9837349122890106,0.9883111356703511,0.9883206280245024,0.9994708762242792,0.9882883369448768,0.9852092336984966,0.9879953646986951,0.9882993734419856,0.985462358516923,0.9999337464787301,0.9855300681920967,0.9902003397268746,0.989766509572473,0.9899220267803259,0.9954920037968666,0.9997171327800467,0.9803227762639045,0.9852503408823459,0.9883153310731358,0.988097965867971,0.984080510804169,0.9844817532584058,0.9899864137705285,0.9902196910766604,0.9900560718057264,0.9956008925070237,0.999954342862488,0.9852323029502785,0.980342274008127,0.9845444154047412,0.9944910891891238,0.9842886061030933,0.9855030415990333,0.999679794596159,0.9960906277164959,0.9852971826813469,0.9997372574195685,0.9804423958752683,0.9899360633450823,0.9883213294469282,0.9883271255930954,0.9881926428246319,0.9849765523194689,0.9896685829247623,0.9900535961276022,0.9961482947731101,0.999746855223018,0.9845630011469769,0.9882539320485737,0.9838168914964148,0.9804104344375161,0.9995215953983718,0.9884377347958528,0.9997433594058145,0.9804459915268529,0.9900889879599629,0.9897337357228186,0.9803944411277902,0.9845943341063869,0.9883236252577614,0.9880945707065046
Vorinostat,0.9868508601748138,0.9943048274497684,0.9815393540152353,0.999968329899799,0.9944880918206626,0.975153376525908,0.981486016526082,0.9883006927855931,1.000000000000001,0.9753406103189194,0.9814495580567238,0.9874648231530121,0.9898427658512381,0.9874471702353299,0.986228041981931,0.9943652875895164,0.9873259014379342,0.9885374699351691,0.98705971829063,0.9799242296564878,0.987361019933072,0.9752776221098429,0.9747891239709257,0.9873762496351178,0.9749727269871037,0.987224778813141,0.9747738264365918,0.9751228473403094,0.9913729860358573,0.9799249817019697,0.9874222689952011,0.9796739563463779,0.9877686412670499,0.9751490329106152,0.9885395651442792,0.9745718962800838,0.9999647165507117,0.9885317819157762,0.9885350047633057,0.9873193046984281,0.9752547619377393,0.9752959962169097,0.9991955330426848,0.9749239907981884,0.9944219483377301,0.9817134316644515,0.9912786887735924,0.9819795561347893,0.9923553613079423,0.9999340969059537,0.9878187180705885,0.9731482260795783,0.9750539784490643,0.9753437348685696,0.9819728676896219,0.97513077714984,0.9771340467937328,0.9944791579763451,0.9819737841354572,0.9676502648112343,0.9819668904669362,0.9748088638299548,0.9999718104289492,0.9885276155111005,0.9796582820372746,0.9744907847988552,0.9796901213253983,0.9819711233098981,0.9814718062384079,0.9728731401253661,0.9753703709974613,0.9799571249965313,0.9999649502537685,0.9746428223192707,0.9798733450084601,0.9885221769576145,0.9797043572750721,0.9872994462410658,0.9707795355880122,0.9810040769035921,0.9884805343566669,0.9923480429413012,0.9796770937358316,0.9811868157924191,0.9999590793678937,0.999965367140212,0.9878365098730579,0.99994765378478,0.97963710995173,0.999589550556855,0.9999373295982712,0.9798770222207116,0.9882844671261423,0.9799521790424761,0.9944687615532022,0.9820215330297348,0.975213617782223,0.9865199060593468,0.9880348591491069,0.9750240407399926,0.9796641236339422,0.9999639421173728,0.9923561998904673,0.9812075402430575,0.9817804485034999,0.9752522330551874,0.9944832673145595,0.9943383114387002,0.986766658279835,0.9882941047665387,0.9796652957888292,0.9750386342922746,0.9818738040299629,0.9863598201431828,0.9814453182415831,0.988965062505491,0.9884989044578577,0.9872615164514491,0.9797295042335735,0.9885456866642711,0.9751364980528024,0.9752457848861406,0.9999639478242234,0.9999724265338847,0.9998579189096121,0.9795025790897319,0.9750618456567367,0.9753162026787103,0.9873214031169938,0.9885297313891558,0.9793612805469724,0.9998949563743437,0.981136537342467,0.9751032545726322,0.9878244330062915,0.9742619357809962,0.9885460409739611,0.9751424806065704,0.9753530037993354,0.9939235657583585,0.9750999227318984,0.9819070020691123,0.9999681258311129,0.9923560456293833
AR-42,0.9865990480735781,0.9754991068308918,0.9608913969893857,0.9753673798872176,0.9756297472946736,0.9816022169257836,0.960822032367049,0.9900752343210172,0.9753406103189194,0.9999999999999966,0.96078904886888,0.9874579061660691,0.9713308091526266,0.9874202318540346,0.9860897110366966,0.9755048065013714,0.9873130739331376,0.9903075938681413,0.9871944852682714,0.9661104614176319,0.9872773135694753,0.9998695252153486,0.9993627742743868,0.9873529877339688,0.9813512540688368,0.9870822667275261,0.9811444995887902,0.9815723932533204,0.9721881429682687,0.9661309722733364,0.9873944347291962,0.9658957214097756,0.9643104470773883,0.9815980756818135,0.9903067635926988,0.9810299308308706,0.9753596914001909,0.990300783089108,0.9902900244287484,0.9872900413461774,0.9998380394841805,0.9998877512755456,0.9744491782174034,0.9813862754307029,0.9755532041933838,0.9610466972031962,0.9718476920418869,0.9613176526394741,0.9735372096690407,0.9753074980095563,0.9896014949371487,0.9973742296460015,0.981468632890024,0.9999504522062529,0.9613290734790715,0.9815707351076753,0.9647286625528558,0.9756211656155441,0.9613304831779264,0.9713284496324575,0.9613104236305341,0.9993303301838254,0.9753694793481064,0.9902949746306632,0.9658674053479269,0.9808475664854915,0.9659132754041525,0.9613146983711089,0.9608039971347884,0.9975849456200694,0.9998748162788706,0.9661785239410435,0.9753739671566545,0.9807028659812931,0.966057665206026,0.9902871603706594,0.965922121036553,0.9872487567080117,0.9897446452279509,0.9600562094631471,0.9902518188301349,0.9735284942908479,0.9658971500590019,0.960284616541723,0.9753535609167048,0.97536295614969,0.9894318312258147,0.9753362784509891,0.9658376496226485,0.9749538541728017,0.9753409229507218,0.9661146267138683,0.9900565757430838,0.9661755880930625,0.9756103277177288,0.9773396110630729,0.9997858639919195,0.9866391472116159,0.9898151628318306,0.9814370132349192,0.9658761449720464,0.9753557269945317,0.9735382384000406,0.9605535085280574,0.9610901569765818,0.9998240952979868,0.9756207128693906,0.9754504395937426,0.98658478618969,0.9900668729833373,0.9658754222702981,0.9814637333248438,0.9612038066900708,0.9854831788005307,0.9607776075646787,0.9686862908423332,0.9902618784903957,0.9872453304095246,0.9659579580524259,0.990315154383648,0.9815715659797225,0.9998176081308652,0.9753613163308201,0.9753692854319367,0.9752030774640148,0.9656224119443314,0.9995210344545996,0.9999111424206377,0.9873117935889809,0.9903031402521506,0.9651712700688454,0.9753160341449935,0.9604195127318779,0.9815500690929354,0.9897395001077074,0.9985089603952301,0.9903149455679067,0.9815975151443085,0.9999690053583294,0.9751268789430008,0.981541607619095,0.9612432470437392,0.9753679601333577,0.9735388866830755
