,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.9999999999999977,0.9870922462726992,0.9865639009351956,0.9868647134922568,0.987305063218412,0.9746967802349258,0.9864909799886771,0.9956198191115885,0.9868508648575108,0.9865991929753787,0.9864723559528067,0.9993352570515561,0.98288998074906,0.9992613729213528,0.9980364410691202,0.9871759645874986,0.9992021658377092,0.9958569053079313,0.998987600278809,0.9882521158952791,0.9991759148955791,0.9864998027162092,0.9861092037313262,0.9992437631047694,0.9745153554227558,0.999141432970321,0.97426812583695,0.9746689642454901,0.9843899562822261,0.9882619673006514,0.9992991283309779,0.9880193569085904,0.9796184733941632,0.9746922416538594,0.9958613671267201,0.9739484065559312,0.9868623205097619,0.9958547842366741,0.9958491593055312,0.9991235766655969,0.9865228570702516,0.9865497210709704,0.9860655202157844,0.9744727759175974,0.9872768497322566,0.9867442407725505,0.983751189354759,0.9870015771499813,0.985185457405196,0.9868529022917644,0.9951285142641372,0.9845906746348301,0.9744711039082101,0.986596904228749,0.9870129614718328,0.9746698474240681,0.9846795532939858,0.9872977188076806,0.987010256692496,0.9674953564419561,0.9869969185746723,0.9859723580715805,0.986870862172983,0.9958467693396209,0.9879964570684545,0.9739244266166014,0.9880466160996506,0.9870010337188663,0.9864831181100464,0.9842524110652925,0.9865509444963416,0.9883032610391265,0.9868784758855598,0.9740712734382724,0.9882239319326896,0.9958388079501,0.9880466562371154,0.9991914717414031,0.9802082377391932,0.9858293693070308,0.9958047805807576,0.9851769666624406,0.9880164786427553,0.9860904013918619,0.9868617759418872,0.9868652796425119,0.99526615359856,0.9868389983726624,0.9879726480636238,0.9865114334676224,0.986845176624121,0.9882129239267027,0.9955939137343108,0.9882885827413109,0.9872858763367383,0.9923990793605094,0.986444942597673,0.9984800721459283,0.9954021900416287,0.9745414929205174,0.9880044507927754,0.9868600376383093,0.9851874032093086,0.9862596324750706,0.9870714267237516,0.9864851852617397,0.9872985506832692,0.987128317961977,0.9986393279434048,0.9956113531352294,0.9879868321810418,0.9745866712810406,0.986909560130683,0.9977137374975485,0.9864827712086179,0.9831845372205366,0.9958235128374959,0.9991507370660324,0.9880700738762012,0.9958680043598667,0.9746805112178355,0.986451394446541,0.9868640960641119,0.9868690962871033,0.9867645811841419,0.9877813064336046,0.9862057894241418,0.9865723994267561,0.9992095532498543,0.9958514762537443,0.9875345139864853,0.9867989131129831,0.986152953884724,0.9746411913215474,0.9951022916665299,0.9850883599814882,0.9958680645557195,0.974687121647796,0.986609011698998,0.9868453094107379,0.9746368061642566,0.98692706596799,0.9868680903734668,0.9851888170691039
Mocetinostat,0.9870922462726992,0.9999999999999994,0.9858704342731482,0.9943188940787829,0.9998164180931562,0.9751752997865831,0.9858202126452591,0.9900698652418558,0.994304841449844,0.975498958700259,0.9857897292979646,0.987717060270775,0.9952290136139955,0.9876975537960879,0.9865013625854825,0.9997005141819848,0.9875860862538695,0.9903084852087858,0.987334699502703,0.9849046395932871,0.9876128732017264,0.9754367798784374,0.975017018955829,0.9876264325006275,0.9750096012313895,0.9874258422014881,0.9748261770457181,0.9751513971279644,0.996344559688349,0.9849079035256078,0.9876762695822231,0.9846518485804187,0.9932690689446514,0.9751717514548986,0.990307260586072,0.9746130710254642,0.9943165184955808,0.990303594523108,0.9902963183578704,0.9875691208928389,0.9754142567114982,0.9754592493109503,0.9935601318687565,0.9749690158472829,0.9997297820065473,0.9860660857598109,0.9966591061983289,0.9863131950872485,0.9976714407853805,0.9942819794042015,0.9896418929760341,0.9734424444617031,0.9750786908892737,0.9755000380039925,0.9863136569936335,0.9751549264777154,0.982308696467381,0.9998046825001469,0.9863147998867886,0.9689957091548156,0.9863008485653556,0.974838212032315,0.9943236847758598,0.990299568718552,0.9846381536197395,0.974382516122841,0.9846656633434159,0.9863118094360145,0.985802706767691,0.973047894584769,0.9755296584430104,0.9849327871034999,0.9943282731138774,0.9745931706404019,0.9848583623019246,0.9902935137981496,0.9846805218885092,0.9875637769809363,0.9723696067383392,0.9853414414029656,0.9902525820436122,0.9976648591504783,0.9846552696559129,0.9856017191477529,0.9943116807456464,0.994315801844638,0.9896113353119428,0.9943029711000447,0.9846131741354517,0.9939974242055453,0.9943007373261392,0.9848453655315016,0.9900528747771205,0.9849363119545378,0.9997992541686764,0.9834308148779336,0.9753761926302081,0.9869017410568905,0.9897967579353544,0.9750559975176374,0.9846445244994161,0.9943159349565741,0.9976728125851163,0.9855860204607335,0.9861203917775275,0.9754152235423386,0.9998057954085564,0.9996673596213307,0.9870482487325662,0.9900600770632408,0.9846473421768202,0.9750652444904434,0.9862183952488593,0.9865721301622196,0.9857887311596862,0.9899704027172866,0.990274118631497,0.9875223365415257,0.9847042243398619,0.9903130102344258,0.975164323505416,0.9754008483056602,0.9943142301488251,0.9943231028811722,0.9942096976099676,0.9844711213881054,0.975166722609575,0.9754785778683295,0.987572669867439,0.9903012469209714,0.9843767449802923,0.9942472587561317,0.9854874707491555,0.975127063715222,0.9896156730979245,0.9744892528948612,0.9903169362178739,0.9751663022306596,0.9755094717797641,0.9992860202906829,0.9751163026700956,0.9862406070664113,0.994321034877471,0.9976701287111077
Romidepsin,0.9865639009351956,0.9858704342731482,0.9999999999999994,0.9815479819547052,0.9860802171869677,0.9491459942713645,0.9999356911757696,0.9843659947777403,0.9815394805536202,0.9608913213165248,0.9999253126655955,0.9869346982071112,0.9821071970560473,0.9869433917995736,0.9859675354582954,0.9859889419716354,0.9868469755895025,0.9846027072992952,0.9866558403723831,0.997147807849706,0.9868255294109091,0.9607774988615674,0.9606469764185831,0.9868605543943375,0.9490493694534671,0.9866830661715897,0.9488558149021415,0.9491281297166895,0.9834074812719606,0.9971732085568891,0.9868810048051797,0.9969135767735321,0.9810358031039506,0.9491427351084731,0.9844591331866044,0.9485279781021336,0.9815502318541475,0.9845987701398157,0.9844569754988767,0.9868016701869284,0.9608304217460042,0.9608561919719016,0.980958356955244,0.9489734618875129,0.986048509367826,0.99939843289436,0.9829630305362806,0.9995412962393455,0.9839647020947125,0.9815564949365362,0.9839428844035626,0.9593456566651583,0.949055016529522,0.9608905974456842,0.9995427714506124,0.9491338558865884,0.9926985381490384,0.9861526723857384,0.9995443566270852,0.9443994775033954,0.9995355341459649,0.9602959941817364,0.9815559859782707,0.9845972605399382,0.9968880428271946,0.9484411946093655,0.9968744700501154,0.9995408193873915,0.9999127330755285,0.9586352488278731,0.9609157766320982,0.9971933091435435,0.9815544163479654,0.9485598550385583,0.9971298737888885,0.9844533848103664,0.9969260538266608,0.9868181618806364,0.9584175714602455,0.9986872381047373,0.9845652267650161,0.9839589317147758,0.9969081426034946,0.998707359524521,0.9815464130251497,0.981549153041922,0.9838392917423144,0.9815367032154372,0.9968772809888328,0.98143931034197,0.981527195003464,0.9971162015077196,0.9841889694146841,0.9971830633287301,0.9860620796571574,0.9832487362126193,0.960822951557806,0.9862209020373561,0.9840246267838378,0.949047790587928,0.9969027773733584,0.9815459517754946,0.9839645320970313,0.9998253889910816,0.9994060549283907,0.960822845718358,0.9860717635228972,0.9859627273229049,0.9863694229018944,0.9842163691290005,0.9968690351251587,0.9490897840422542,0.9994819436757351,0.9856894308860258,0.9999156642165073,0.9804369805446203,0.9844224228358733,0.986749515784949,0.9969072820489809,0.9844611836289123,0.9491345569672257,0.960798351291513,0.9815497486101197,0.9815561461077157,0.9814649430141779,0.9967804467371238,0.9602557264927484,0.9608698185149862,0.9867996445546549,0.9845953565178382,0.996674786561342,0.9814772685970752,0.9988153294421472,0.9490986568330305,0.9836379241668539,0.959852658247591,0.9844650484734045,0.9491391860066708,0.9608978020558522,0.9857442467826758,0.9490894449048909,0.9994746103254433,0.9815536040721776,0.9839633774887155
Tacedinaline,0.9868647134922568,0.9943188940787829,0.9815479819547052,1.0000000000000007,0.9945011181012716,0.9751737628587883,0.9814941702524815,0.9883224028222497,0.9999683261565091,0.9753672185652867,0.9814576269233082,0.9874789336509909,0.9898557784447141,0.9874613832663061,0.9862422004704348,0.9943784735229428,0.9873398937294897,0.9885592403273847,0.9870737607676577,0.9799354863568206,0.9873762756053099,0.9753052851738124,0.9748210768392414,0.9873917128476046,0.9749932624182827,0.9872390990734321,0.9747941011485757,0.9751432088209566,0.9913838549852744,0.9799369433331685,0.9874375654049491,0.9796855196217595,0.9877828598462812,0.9751691781205359,0.9885614301244445,0.9745922031919855,0.9999853030451172,0.9885536977910024,0.9885558464960813,0.9873350092612102,0.9752805261929929,0.975323451514315,0.9992115509812686,0.9749443504760422,0.9944357866656941,0.9817214365043423,0.9912918403923837,0.9819882879927943,0.9923681466776224,0.9999526360769755,0.9878405211851818,0.9731768319135378,0.9750744452312569,0.9753718377605851,0.9819812314672854,0.9751510669988795,0.9771455980303791,0.9944922650841801,0.9819825480138274,0.9676718758078433,0.9819750117925109,0.974836153839615,0.9999933458442539,0.9885494115785345,0.979669975910386,0.9745113791649768,0.9797020114560382,0.9819788737298174,0.9814798176443493,0.9729011633788452,0.9753985764685382,0.9799686464882972,0.9999821853476807,0.9746639786323119,0.9798876056653266,0.9885440755208122,0.9797131380969115,0.9873133865901187,0.9708075595816895,0.9810128579252453,0.9885013483044085,0.9923606788085901,0.9796889801954262,0.9811952146446177,0.9999790955674711,0.9999805857448386,0.9878572155326636,0.9999605735494529,0.9796494062286458,0.9996117116950671,0.9999591171903348,0.9798890275780217,0.988306361482545,0.9799648920887076,0.9944828005255542,0.9820359062488617,0.9752418965454647,0.9865354511454237,0.9880564414998786,0.9750448593103027,0.9796780856765382,0.9999774532261929,0.9923691611184773,0.9812159097246,0.9817885988649504,0.9752794623105542,0.9944961938292478,0.9943520067347839,0.9867819193670724,0.9883160861911444,0.979676680173488,0.9750590545240723,0.9818820914569362,0.9863749674006789,0.9814535829560139,0.9889790567711989,0.9885164217561213,0.987277051128031,0.9797420355658992,0.9885674773843945,0.9751562194011625,0.9752714092748,0.9999844740657627,0.9999928223277433,0.9998793192393061,0.9795109672708318,0.9750885012379176,0.9753429737283555,0.987335271974032,0.9885515932476296,0.9793731381321495,0.9999121411031294,0.9811449917790013,0.975123557086501,0.9878463691505331,0.9742908037248142,0.9885678929881095,0.975163074834012,0.9753811698315906,0.9939366952822125,0.9751205139823292,0.9819154029948762,0.9999884657522061,0.9923690229257708
Tucidinostat,0.987305063218412,0.9998164180931562,0.9860802171869677,0.9945011181012716,0.9999999999999994,0.9752722518843213,0.9860296182418857,0.9902207469797795,0.9944881156403654,0.9756296775739522,0.9859994590789176,0.9879299695314826,0.9954040443305392,0.9879123146262778,0.986717338185356,0.9998641970520877,0.9877985299244314,0.9904548373968097,0.9875473320237044,0.9851858146187636,0.9878254455453206,0.97556684323449,0.9751486021164464,0.9878355083409439,0.9751066145977731,0.9876383424579376,0.9749231258254782,0.975248075588813,0.9965161564964535,0.9851892413641347,0.9878886813893699,0.9849339723016255,0.9934361096699176,0.9752687018738436,0.9904584608153431,0.9747101268475028,0.9945019787634102,0.9904542408768089,0.9904433728025194,0.9877840134676371,0.9755438274868117,0.9755895181938923,0.9937433805308571,0.9750661538290591,0.9998987540463652,0.9862756045910451,0.9968271945494392,0.9865225333979942,0.9978388472794791,0.994471231470027,0.9897928496844698,0.9735741023944959,0.97517569691497,0.9756295652756991,0.9865267484241179,0.9752519325080573,0.9825950145205644,0.9999714925417302,0.9865246188757993,0.969097180673297,0.9865107315343826,0.9749686009735781,0.9945058873031408,0.99044581168028,0.9849194719798993,0.974479783311248,0.9849477081696149,0.9865217667237601,0.986015707974068,0.9731787583281399,0.9756597988795952,0.9852135308950684,0.9945143735154157,0.9746905344670354,0.9851399618431743,0.9904446491972976,0.9849626296327267,0.9877764619694067,0.9724908596779379,0.9855509871967447,0.9904044150829165,0.997826402869968,0.9849372516565431,0.9858153945755812,0.9944977584142319,0.9945049597896269,0.9897635785971639,0.994486254292142,0.9848953200603324,0.9941838247845728,0.9944890806005384,0.9851263659349282,0.9902040469347502,0.985217286778554,0.9999682947301433,0.9836463399245349,0.975506218961469,0.987114710740203,0.9899476505095767,0.9751531899950936,0.9849269563945011,0.9944979635975851,0.9978394175579123,0.9857989196995517,0.9863302553943852,0.9755447483350096,0.999975425475344,0.9998399432172991,0.9872617104069028,0.9902109351048063,0.9849292790577112,0.9751622343952637,0.9864279394078851,0.9867860885002232,0.9859984781108073,0.9901375938159434,0.9904261769292221,0.987734757057105,0.9849859032930388,0.9904640168508162,0.9752608347200462,0.975530283016489,0.9945026254023344,0.9945053866284425,0.9943980209728623,0.984754781447836,0.9752981415406288,0.9756098734218437,0.987785745394557,0.9904475986371297,0.9846586502031759,0.9944315750654356,0.9857003871378782,0.975223792391531,0.9897624177918001,0.9746198185835917,0.9904678642391109,0.9752632762985911,0.9756394111083008,0.9994613165453811,0.9752129661137596,0.9864505709801938,0.9945032721952021,0.9978376313844121
Domatinostat,0.9746967802349258,0.9751752997865831,0.9491459942713645,0.9751737628587883,0.9752722518843213,0.999999999999998,0.9490993217359933,0.9804593905761178,0.9751533965221069,0.9816023357474033,0.949057214433966,0.9754727384984703,0.9716004290372985,0.9754399983078582,0.9745519100185426,0.9751755567545539,0.975357073540743,0.9806972318606868,0.9752131390630233,0.949062987078805,0.9753652884743925,0.9816135980597812,0.9811016274004579,0.9753808344945131,0.9997093428984789,0.9752180521611227,0.9994550828604509,0.9999696063973514,0.9721646209895634,0.9490067716507458,0.9754423873623144,0.9487965225658556,0.962671627146386,0.9999905838786417,0.9806966078557416,0.9995207115098141,0.9751629523447063,0.9806922964465976,0.9806763272377289,0.9753286272414606,0.9815228657857142,0.9815664572827467,0.9741661551990366,0.9997820634416806,0.975127818423939,0.9493696037340458,0.9713322504625462,0.949573079908301,0.9731826337027988,0.975119252984871,0.9800117105659466,0.9812756487763635,0.9996958743613081,0.9816034367572425,0.9495739933129014,0.9999708365865025,0.9489045016662642,0.9752795899982178,0.9495755136941236,0.987611650103081,0.9495601277682197,0.9809780068135807,0.9751748326793512,0.9806805861141977,0.9487344825705163,0.9992475661133994,0.9487939402779912,0.9495707422787718,0.94907643172303,0.9800399470677417,0.9816126927177128,0.9490583275950772,0.9751791719772409,0.9988142030939798,0.9489248149914165,0.980669084619397,0.9488176747136169,0.9752488336570589,0.9683001360013205,0.9485560802904627,0.9806599546102353,0.9731752710883029,0.948791380129881,0.9486586826281738,0.9751599498489383,0.9751685134314945,0.9798390493986617,0.9751614778881904,0.9487356742852524,0.9747610031214061,0.97515875585435,0.9490286815919182,0.9804643977176786,0.9490647374467002,0.9752487003827229,0.9629832086887364,0.9814365079973776,0.9746671313832096,0.980141736878774,0.9998682999710254,0.9487756623864162,0.9751683960987209,0.9731824449321298,0.9488079030162688,0.9493245291183593,0.9815397875292311,0.9752760163041113,0.975141983275207,0.9747799072129611,0.9804528734290139,0.9488016543234257,0.9998425068154079,0.9494318396813355,0.9741083578964983,0.9490039711828869,0.9684647804303387,0.9806475468030265,0.9752479652871756,0.9488494426972205,0.9807042427000153,0.9999700597721601,0.9815261819075392,0.9751706939371592,0.9751792972399099,0.9750264250454085,0.9484505326710602,0.9816279547976295,0.9815840464652025,0.9753313313684236,0.9806944787989991,0.9478297815030947,0.9751316016387885,0.9488023658243766,0.9999656035560498,0.9802223891907192,0.9801082761773043,0.9807050853137793,0.9999737324583144,0.981614393591858,0.9747313416783717,0.9999312625030358,0.9494971236384874,0.975173235361948,0.9731824401774997
Pracinostat,0.9864909799886771,0.9858202126452591,0.9999356911757696,0.9814941702524815,0.9860296182418857,0.9490993217359933,0.9999999999999998,0.9843012352207609,0.9814861478562381,0.9608220456311045,0.9998845635611301,0.9868625947682806,0.9820564720589007,0.9868707567404185,0.9858956405690159,0.985938897875822,0.9867749955533499,0.9845370187536261,0.9865834509138928,0.9971073537117549,0.9867539676005578,0.9607078878684067,0.960577136914576,0.9867887130328116,0.9490025842434345,0.9866109467909224,0.9488090397396008,0.9490811419321457,0.9833571713746155,0.9971267792012144,0.9868084144224619,0.9968672346903956,0.9809853816638788,0.9490960502428596,0.9843934271442433,0.9484812035230018,0.9814963701980717,0.9845324013788207,0.9843914730326809,0.9867303539228638,0.9607604940856985,0.9607875995089092,0.9809048549928827,0.9489267910381248,0.9859985904416534,0.9993539380758475,0.9829120868713723,0.9995081080055241,0.9839143286804279,0.9815031119209732,0.983877961495054,0.9592756395139816,0.949008423945053,0.9608210213025502,0.9995030079233049,0.9490871382948969,0.9926517739187012,0.9861024627064369,0.9995003282815211,0.944351661304519,0.9994904442659895,0.9602277455401655,0.9815023471751353,0.9845311646421906,0.9968470290235902,0.9483943331401687,0.9968341456993085,0.9995012757556633,0.9998676964549522,0.9585651514316024,0.9608457047379867,0.997146744943213,0.9815006184334981,0.9485130106542347,0.9970832715244495,0.9843878167337117,0.9968856911064766,0.9867466547236804,0.9583482904600807,0.9986527084711072,0.9844996184487823,0.9839097119109335,0.9968674235657533,0.9986671027418885,0.9814923255025751,0.981495628656197,0.9837748906480571,0.9814826557433444,0.996836144604092,0.9813855318019268,0.9814730694334853,0.9970699258968948,0.9841235299873607,0.9971425957319914,0.9860122519488997,0.9831753727422315,0.9607537252683455,0.9861486141297217,0.9839594000491446,0.9490011005933244,0.9968565658224408,0.9814922549128223,0.9839146713565056,0.9997818512028942,0.999366136873908,0.9607541390175858,0.9860216324951901,0.9859120946742741,0.9862983557272264,0.9841509055538966,0.996828511288539,0.9490432924468014,0.999443852171796,0.9856167386448814,0.9998717545177832,0.9803856800339854,0.9843569465948282,0.9866764922108218,0.996866393632767,0.9843958131918884,0.9490877417744255,0.9607282624493335,0.9814959505622793,0.9815022338353402,0.9814111789659983,0.9967338021740186,0.9601859979047456,0.9608007060187346,0.9867267180100412,0.9845297142712007,0.9966286326873939,0.9814235962658572,0.9987819221460701,0.9490522566909904,0.9835725136340665,0.9597829974781346,0.9843995126246398,0.949092728159087,0.9608281759407261,0.985694398084706,0.9490427034067364,0.9994342135771109,0.9814999271851791,0.9839136353737238
Quisinostat,0.9956198191115885,0.9900698652418558,0.9843659947777403,0.9883224028222497,0.9902207469797795,0.9804593905761178,0.9843012352207609,1.0000000000000007,0.9883006285721756,0.9900751911241813,0.9842921766315924,0.9962915679820644,0.9856171923697834,0.99627664628569,0.9951664472795319,0.9901070100620084,0.9961600813876281,0.9997547814056799,0.9958275850407599,0.9854860683979835,0.9961890846851141,0.9899725321991834,0.9896148203346682,0.9962072549539684,0.980251061678614,0.9959946496072258,0.9800574177218111,0.9804372144646107,0.9870631421500727,0.9854979068766552,0.9962300547419368,0.9852548546631631,0.9802837230630823,0.9804557575760611,0.9997324700722013,0.9798444964769883,0.9883185346130476,0.9997522890173777,0.9997140144185409,0.9961452094356912,0.9899995418947368,0.9900296218323699,0.9876085559951918,0.9802461933912257,0.9901576662937803,0.9843982828619041,0.9864574375636478,0.984666097857607,0.9880938033941215,0.9882856438994373,0.9995176577567049,0.9888413075101451,0.9803449068282499,0.9900740484002097,0.9846706823452187,0.9804371408709751,0.9825175983790041,0.9902321097113704,0.9846695563361378,0.9723971315054813,0.9846529193630643,0.9893377592474433,0.9883265132167858,0.9997420043164215,0.9852266914088855,0.979577419223996,0.9852587163525863,0.984665259617546,0.9843110079119899,0.9878744118394653,0.9901020936114371,0.9855388401062564,0.9883359293289107,0.9798713251722923,0.9854623164996946,0.9997162536320539,0.9852803989173039,0.996142697088857,0.9842381491025116,0.9834227362113019,0.9997031748773563,0.9880882621612882,0.9852546453516705,0.9837348779829477,0.9883110337050804,0.9883205520960399,0.9994709048398343,0.9882882315415832,0.985209248818302,0.9879952252991535,0.9882992305044291,0.9854622739190958,0.9999337445138141,0.9855301075462006,0.9902002910372716,0.9897664191527931,0.9899218498362319,0.9954919135895205,0.999717135586094,0.9803224542654649,0.9852503400711973,0.9883153068795467,0.9880979806166857,0.9840805347416949,0.984481777471571,0.9899863005179319,0.9902196354513496,0.9900560357232975,0.9956008483110567,0.9999543359842087,0.9852322675440032,0.9803420179551774,0.9845444036479667,0.9944910235022582,0.9842886343963886,0.9855029782998053,0.9996797831519256,0.9960905791159474,0.9852973388265593,0.9997372381488048,0.9804421630890333,0.9899359024581437,0.9883213477086282,0.9883270831654977,0.9881926191621276,0.9849766404609921,0.9896686281337865,0.9900535704116532,0.9961482352048862,0.9997468535225336,0.9845631294094047,0.9882539449855273,0.983816898124145,0.9804102086274741,0.9995215665804333,0.9884377404732057,0.9997433387058188,0.9804458760342218,0.9900889677106222,0.9897336871165356,0.9803943217798393,0.9845942884708226,0.98832354442283,0.9880944890557554
Vorinostat,0.9868508648575108,0.994304841449844,0.9815394805536202,0.9999683261565091,0.9944881156403654,0.9751533965221069,0.9814861478562381,0.9883006285721756,0.9999999999999967,0.9753405310393458,0.98144966019278,0.9874648074765061,0.9898427607352611,0.9874471920047949,0.9862280222261139,0.9943653516022299,0.987325914881614,0.9885373951050677,0.9870597604196786,0.9799243347737828,0.9873609686792044,0.9752774798189562,0.9747891368835107,0.9873761356725124,0.9749726055647385,0.9872247960040901,0.9747736208069914,0.975122585718839,0.9913730742319207,0.9799249451354103,0.9874223165221437,0.9796741610988053,0.9877686406310027,0.9751488118134815,0.9885395746126864,0.9745717015185543,0.9999647186547816,0.9885317727955388,0.9885350652655728,0.9873192490353103,0.9752547046522622,0.975295980178736,0.9991955203263966,0.9749238081500832,0.9944220148349647,0.9817136106310094,0.991278715057344,0.981979752587728,0.9923553404782735,0.999934092195202,0.9878187091224747,0.9731483825706021,0.9750538579978636,0.975343651821157,0.9819729625082098,0.9751305789903975,0.9771341578943978,0.9944792197573107,0.9819740592662218,0.9676500873918554,0.9819669151402557,0.9748087801846875,0.9999718094164185,0.9885275956112843,0.979658433473351,0.9744906591503819,0.9796901184656306,0.981971089999305,0.9814718422356937,0.9728729976681356,0.975370375358424,0.9799571694589473,0.9999649521032954,0.9746428725096731,0.9798735813754138,0.9885221514528513,0.9797044778778027,0.9872994433872543,0.9707795493914969,0.9810041812157906,0.9884805126453624,0.9923480219933694,0.9796772132356727,0.9811869526720661,0.9999590784295568,0.9999653670058755,0.9878365616472908,0.9999476488684519,0.9796371704185236,0.9995895519268215,0.9999373200831878,0.9798770413924106,0.9882844150779717,0.9799522784247386,0.9944688076852354,0.9820214879161685,0.9752135585026179,0.9865198866482395,0.9880347798100332,0.9750238520808453,0.9796643298268618,0.9999639425012113,0.9923563500700636,0.981207685895437,0.9817806170674034,0.9752521445745356,0.994483366279845,0.9943383419458547,0.9867667201743328,0.9882941326316066,0.979665383417342,0.9750384605663526,0.981873871532261,0.9863598514474766,0.9814455286809441,0.9889650494931708,0.9884989251569521,0.9872614731034051,0.9797296623841268,0.9885456738379914,0.9751362846692702,0.9752456049375696,0.9999639475737431,0.9999724281750028,0.9998579199721468,0.9795027899762403,0.975061886882821,0.9753162944950852,0.9873212991541567,0.9885298223890837,0.9793614936369083,0.9998949563056454,0.9811366790570927,0.9751031530533795,0.9878244182951834,0.9742620846329777,0.9885460101105764,0.9751425047228656,0.9753529348299369,0.9939236336292014,0.975099861795223,0.9819071222104889,0.9999681259236889,0.9923560873864712
AR-42,0.9865991929753787,0.975498958700259,0.9608913213165248,0.9753672185652867,0.9756296775739522,0.9816023357474033,0.9608220456311045,0.9900751911241813,0.9753405310393458,1.0000000000000018,0.9607890435768781,0.9874580571891006,0.9713307772033296,0.987420326187432,0.9860896873257786,0.9755047662346069,0.9873130115887727,0.9903076309857283,0.987194456902321,0.966110325708495,0.9872773371508379,0.9998695162395265,0.9993627972288639,0.9873529806718738,0.9813514026110011,0.9870822808701,0.9811446148474215,0.9815724841739155,0.9721880101119792,0.9661308650908571,0.9873944400204515,0.9658955821363973,0.9643103414562032,0.9815980757366696,0.9903068294783819,0.9810300029240675,0.9753596285297126,0.9903008120761141,0.9902899955077578,0.987290040134584,0.9998380351712352,0.9998877635200182,0.9744490503752836,0.9813862075612986,0.975553111384769,0.961046709490727,0.9718475718895406,0.9613176701078872,0.9735369340952756,0.9753073736799996,0.9896014803295319,0.997374319679942,0.9814687335941581,0.9999504487068905,0.9613289296707175,0.9815707667434651,0.964728652392732,0.9756210816778927,0.961330597579258,0.9713285454433349,0.9613103727618624,0.9993303335013024,0.9753693513135077,0.9902950364322971,0.9658673354473609,0.9808476161755448,0.9659130453144595,0.96131461691228,0.9608038273757015,0.997584944132993,0.9998748011716306,0.9661784528830895,0.9753738831487007,0.9807029681456999,0.9660576650776185,0.9902872656919647,0.9659220723665457,0.9872487715212067,0.9897445479967265,0.9600561581832923,0.9902518747396378,0.9735284220248481,0.9658970701939621,0.9602845945397789,0.9753534663889386,0.9753629065729079,0.9894319887950613,0.9753361519637758,0.9658376028295701,0.9749537781198313,0.9753407731245465,0.9661143943980928,0.9900565399794042,0.9661755933435483,0.9756103109582313,0.977339518572822,0.9997858533754511,0.9866391159357439,0.9898152097629069,0.9814370005015111,0.965875938058572,0.9753557076480739,0.9735382587520358,0.9605534301251574,0.9610901594051894,0.9998240859149009,0.9756205890502078,0.9754503918067032,0.986584768617411,0.9900669297125123,0.9658752363519206,0.9814636806291575,0.9612038263502864,0.9854832138086775,0.9607776043944376,0.9686862354592437,0.990261912294003,0.9872453708076714,0.9659579572713342,0.9903151988374835,0.9815716637332231,0.9998176209756668,0.975361359598496,0.9753692655768388,0.9752030262349112,0.9656224833156606,0.9995210465921449,0.9999111341993884,0.9873118448862959,0.9903030885235867,0.9651712961393246,0.9753160950654285,0.9604195607642,0.9815501739385404,0.9897395726631187,0.9985089546954505,0.9903150504139514,0.9815976698089122,0.9999690024733884,0.9751267178316484,0.981541761198754,0.9612431877170684,0.975367880331399,0.973538701761346
