,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.9999999999999987,0.9870924226585317,0.9865639625256424,0.98686488353846,0.9873050400283435,0.9746965616742455,0.9864910273226646,0.9956198502452466,0.9868508800575796,0.9865991851026785,0.9864724159789241,0.9993352584513053,0.9828900787278309,0.9992613974484266,0.9980364448191676,0.9871760226612893,0.9992021623987405,0.9958568543152085,0.9989876378991032,0.9882522098771171,0.9991759094237224,0.9864998138431302,0.9861093607213417,0.9992437707210067,0.9745151890356286,0.9991414928763429,0.9742682032516699,0.9746689051640015,0.9843899316891149,0.9882620710040553,0.9992991375594302,0.9880194284540342,0.9796187427459501,0.9746922943962685,0.995861315760898,0.9739484563737626,0.9868623531171348,0.995854749098425,0.9958491013005557,0.9991235539023882,0.9865229100786003,0.9865498372445619,0.9860656660490073,0.9744728819220606,0.987277044704676,0.9867443044770231,0.9837511523056912,0.9870014594426556,0.9851858162058563,0.9868530740025632,0.995128457217723,0.9845906767604923,0.9744708830733477,0.9865969216008931,0.9870130492438515,0.9746698338402578,0.9846796043514776,0.9872978246226054,0.9870102659291334,0.9674952685021025,0.9869969302130034,0.9859722982442163,0.9868709582322617,0.9958467455380603,0.9879965258248397,0.9739245126469424,0.9880469016518303,0.9870011446955654,0.9864832797488946,0.9842523531762545,0.9865508993611789,0.9883033107201153,0.9868784978373542,0.974071411792459,0.9882240106715573,0.9958387571680987,0.9880466924372819,0.9991914854794453,0.9802080186515407,0.9858293084594109,0.995804696178595,0.9851771588008847,0.9880166151818646,0.9860903997861881,0.9868618281433019,0.9868653772797109,0.9952661007745588,0.9868390556985033,0.9879727420068074,0.9865114725738687,0.9868452234358526,0.9882132997061,0.9955938171354983,0.9882887405220184,0.9872859066519599,0.9923990869634386,0.9864449635655951,0.9984801112048208,0.9954021947607561,0.9745417777339909,0.9880045932542784,0.9868600662941999,0.9851874732362258,0.9862596596405445,0.9870715734398676,0.9864853265270197,0.9872986616447056,0.9871283481532332,0.9986393421662751,0.9956113318903606,0.987986990311274,0.9745866805875292,0.9869095696244686,0.9977137817471444,0.9864828699561972,0.9831845193710577,0.9958234891936107,0.9991507649544554,0.9880701604919305,0.9958679820486955,0.9746805353139049,0.9864514384262298,0.9868641015188673,0.9868691383434582,0.9867645572400069,0.987781314128274,0.9862057512807418,0.9865723942533922,0.9992095942405049,0.9958513907443444,0.9875344483591046,0.9867988654381188,0.9861528806480059,0.974641055350046,0.9951022042379738,0.9850882150052429,0.9958680424230084,0.9746869702786758,0.9866090549788348,0.986845434374512,0.9746366425321111,0.9869272253149753,0.9868680682073924,0.9851889221863362
Mocetinostat,0.9870924226585317,1.0000000000000036,0.9858705915201954,0.9943189966746249,0.9998164171373968,0.9751752117338275,0.985820078475523,0.9900699656204164,0.9943048272317575,0.9754993284145834,0.9857896663921376,0.9877172113256658,0.9952289659437225,0.9876977513730874,0.9865015314112151,0.9997005481678511,0.9875860719173821,0.9903086272535071,0.9873347399805028,0.9849047748272054,0.9876128591548182,0.9754368870650312,0.9750172661846279,0.9876266700171272,0.9750095031260221,0.9874259213620543,0.9748261838298644,0.9751514382205339,0.9963445201541219,0.9849080158018714,0.9876764444091436,0.984651823295487,0.993269125969462,0.9751718235577405,0.9903072392122019,0.9746130484152076,0.9943165795156316,0.9903036876775939,0.9902963231492456,0.9875693190383065,0.9754145008079605,0.9754593875701467,0.9935602577689161,0.9749689826606016,0.999729789102202,0.9860661266692348,0.9966590467714487,0.9863130882788906,0.9976715518669269,0.9942820404300212,0.9896419956620638,0.9734423241384784,0.9750784582486604,0.9755001513207322,0.9863137303904014,0.9751547982564743,0.9823086669092677,0.9998046857574285,0.9863146971941655,0.9689955252542289,0.9863008862272756,0.9748383874278904,0.9943237101942276,0.9902995959474661,0.9846381722566243,0.9743826228055502,0.9846658555264487,0.9863119818036119,0.9858029092156548,0.9730479843848183,0.9755295397240268,0.984932811025694,0.994328304386509,0.9745931180990682,0.984858405355162,0.9902936178125283,0.9846805538203632,0.9875639751148334,0.972369722749058,0.9853413441688132,0.9902526780631431,0.9976648520291594,0.9846554389079007,0.9856016769567973,0.9943117075053484,0.9943157793875744,0.9896114567633663,0.9943030231341117,0.9846134030987034,0.993997577549693,0.9943008434130388,0.9848455999021071,0.9900528721366932,0.9849363275636164,0.9997992444366194,0.9834311242263534,0.9753763999691959,0.9869018759850836,0.9897967470880905,0.9750561475069135,0.9846444761988287,0.9943160473186319,0.9976728041745584,0.985585988069677,0.9861204104474132,0.975415328018103,0.9998057932781688,0.9996673426467283,0.9870483548719303,0.9900600943446859,0.9846474024818795,0.975065296408133,0.9862184335729682,0.9865722154717398,0.9857887837217998,0.9899703917504264,0.9902742015622682,0.9875225106812439,0.9847043159853246,0.9903130781889855,0.9751644129811977,0.9754009699797421,0.9943142021233571,0.9943231509953504,0.9942096625684607,0.9844711608702528,0.9751666791366412,0.9754786361033042,0.987572746019692,0.990301159204026,0.9843767829033195,0.9942472047909553,0.9854874655121773,0.9751270699950212,0.9896156201603683,0.9744890775848076,0.9903170850929846,0.9751661887318313,0.975509684617589,0.9992860131216653,0.9751163030271291,0.9862407280681041,0.99432104424587,0.9976701891656639
Romidepsin,0.9865639625256424,0.9858705915201954,0.9999999999999986,0.9815481940336556,0.9860802127582156,0.9491460388926517,0.9999356925707582,0.9843661155980056,0.9815393444800453,0.9608916270623608,0.9999253177086085,0.9869347998854946,0.9821073793331421,0.9869434298393817,0.9859675594057697,0.9859890690682576,0.9868469024968719,0.9846027168637987,0.9866558038160415,0.9971477528442546,0.9868254557609241,0.960777562315873,0.9606472770536449,0.9868604638808697,0.9490492853051898,0.9866831898056894,0.9488561816433237,0.9491284060721528,0.9834074923226951,0.9971732740312733,0.9868810239270644,0.9969136103557372,0.9810359959019738,0.9491429946994052,0.9844590467213346,0.9485282725533544,0.9815502305433682,0.984598892435781,0.98445694228933,0.9868017961923137,0.9608306385899186,0.9608562614119671,0.9809584767670175,0.9489737681742857,0.9860486343968026,0.9993984546422381,0.9829630767606975,0.9995413153634203,0.9839651222941712,0.9815566518372183,0.9839429024353445,0.959345672256534,0.9490549468512596,0.9608907030346554,0.9995427894688197,0.9491339092936593,0.992698602678338,0.9861529352075732,0.9995443768695035,0.9443994942971993,0.9995355587319521,0.9602961581305606,0.981555973595764,0.9845973497013076,0.9968880095116233,0.9484414656703205,0.99687446227899,0.9995408253880552,0.9999127440081317,0.958635379976761,0.9609157332591806,0.9971933379969659,0.9815544248215343,0.9485599592444574,0.9971298829949268,0.9844534375556001,0.9969261198384299,0.9868182073077925,0.9584175779308987,0.9986872198571526,0.9845653398130437,0.983959134248536,0.9969081425628539,0.9987073526405771,0.9815464253603486,0.9815492948251104,0.9838394474805364,0.981536741687898,0.9968772645760727,0.981439390410837,0.9815271716102468,0.9971162373850283,0.9841889603696943,0.9971831102090862,0.9860622355483137,0.9832488792671761,0.9608230120679355,0.9862209576790222,0.984024640097722,0.9490482997665799,0.9969026537635511,0.9815459606691831,0.9839646985010836,0.9998253977465682,0.9994060744524109,0.960823068021798,0.9860719575973271,0.9859629593498347,0.986369511547021,0.9842165284254947,0.9968689786453193,0.9490899055177541,0.9994819938209432,0.9856894519684037,0.9999156682746407,0.9804370991643788,0.9844225044797735,0.9867494971639658,0.9969071903121904,0.9844612809523886,0.9491348337289119,0.9607984740340293,0.9815497803721006,0.9815561411059934,0.9814649054667925,0.9967805621102833,0.9602556358921127,0.9608699378375353,0.9867997552824441,0.9845953254564193,0.9966747663608865,0.9814773046487134,0.9988153793874854,0.949098785711062,0.9836378561052992,0.9598522300554736,0.9844652249404457,0.9491390785585566,0.9608978836434258,0.9857442498183309,0.9490895388489288,0.9994746158316505,0.9815535549525825,0.9839634874059702
Tacedinaline,0.98686488353846,0.9943189966746249,0.9815481940336556,1.0000000000000004,0.9945012038916872,0.9751737234296254,0.9814942127646028,0.9883227328836347,0.9999683309725754,0.9753676822576809,0.9814578001102234,0.9874790403701745,0.9898559035255434,0.9874615027658278,0.9862423281833163,0.9943785937213844,0.9873399565958625,0.988559410310524,0.9870737925156909,0.9799357680428827,0.9873763645300264,0.9753054868093131,0.9748214131902168,0.9873918646065684,0.9749933027890706,0.9872391597271128,0.9747942826758232,0.9751433658301909,0.9913838430166171,0.9799371865072404,0.9874377197981764,0.9796857281362943,0.9877829964685194,0.9751693120813857,0.9885615845399205,0.9745922603120445,0.999985302544425,0.988553857982287,0.9885558799995361,0.987335167335037,0.9752808372179307,0.9753237179695745,0.9992115584465121,0.9749444246089267,0.9944357987478756,0.9817216158115782,0.9912918706653712,0.9819882695956411,0.992368294365045,0.9999526402706129,0.9878407048614032,0.9731768024416867,0.9750744410333301,0.9753720896316204,0.981981486046497,0.9751510805397445,0.977145682404682,0.9944922531077318,0.981982586734713,0.9676718711054503,0.9819752509816532,0.9748363388210329,0.9999933466013406,0.9885495551371916,0.9796702010392095,0.9745115608400012,0.9797023673461859,0.9819793191046727,0.9814802353705793,0.9729013339776525,0.9753985978483944,0.979968859700084,0.99998218676377,0.9746639946791337,0.9798876510023673,0.988544218964269,0.9797133190155161,0.9873135514307664,0.9708076978726287,0.9810130094784812,0.9885015377499826,0.9923608444253984,0.9796893427094225,0.9811953056840831,0.999979098369173,0.9999805928773482,0.9878572928570546,0.9999605773724047,0.9796497649965762,0.9996117069718385,0.999959126380556,0.9798894167481594,0.988306505431602,0.9799650506468559,0.9944828124564871,0.9820361197466894,0.9752421222090532,0.9865356094250403,0.9880566371697138,0.9750450083383689,0.9796782109347761,0.9999774517308472,0.9923691171276589,0.9812160368155018,0.9817888677493349,0.9752797367062979,0.9944961611401011,0.9943520103138366,0.9867819843662416,0.9883162026057378,0.9796768972620986,0.9750591453708571,0.9818823607164584,0.9863750454901216,0.981453717384354,0.9889791572634032,0.9885165462186961,0.9872772781189368,0.9797422776314351,0.9885676329038563,0.9751563892532754,0.9752716122258644,0.9999844733998793,0.9999928202135016,0.9998793082415046,0.9795110854792011,0.9750886100811493,0.9753431976762404,0.9873355015694628,0.9885516502664391,0.9793731878374378,0.9999121391955665,0.9811450698944411,0.9751235676433233,0.9878464402756245,0.9742906850040844,0.9885681811050979,0.9751629682604137,0.9753816169199815,0.9939367212268531,0.9751205963519801,0.9819156435071253,0.9999884689099057,0.9923691278167013
Tucidinostat,0.9873050400283435,0.9998164171373968,0.9860802127582156,0.9945012038916872,0.9999999999999984,0.9752722272136771,0.9860293445433902,0.9902206949963953,0.9944880827839181,0.9756298664981362,0.9859992450843011,0.9879299196889441,0.9954040423225874,0.9879123068100629,0.9867172967938491,0.9998642083131896,0.9877983353377234,0.9904548006951917,0.9875471816072192,0.9851857612310883,0.9878252398108647,0.9755667238497451,0.9751486740272629,0.9878355150187674,0.9751065817472304,0.9876382091473972,0.9749232075180653,0.9752481711691429,0.9965161220142169,0.9851891563934216,0.9878886533272067,0.9849337320998113,0.9934362283478845,0.9752688097006155,0.9904582501311823,0.9747101634326307,0.9945020208976718,0.9904541471816202,0.9904431887620471,0.9877840173753252,0.9755438931220599,0.9755894644004353,0.9937434782731991,0.9750661693887144,0.9998987417322028,0.9862754787706892,0.9968271278681471,0.9865222573290502,0.9978389514043505,0.9944712649970564,0.9897927838227679,0.9735738131136998,0.9751755392526378,0.9756294600746901,0.9865266333006967,0.9752518603827551,0.9825946892577263,0.999971486124002,0.9865243276480383,0.9690971094374762,0.9865105870258207,0.9749685385732195,0.9945058877618176,0.9904456652361222,0.9849192798710461,0.9744799323073584,0.9849476889995432,0.9865217664596777,0.9860157684289215,0.9731786036773566,0.9756594922663294,0.9852133613466003,0.9945143998914956,0.9746905303585188,0.9851397928535802,0.9904445890761059,0.9849624631830791,0.9877764325911291,0.9724907752079206,0.9855507481720011,0.9904043397814505,0.9978264087064895,0.984937203272833,0.9858152121547021,0.9944977738274391,0.9945049113477124,0.989763520348846,0.9944862961913109,0.984895349753045,0.9941839471953287,0.9944891737036797,0.985126419298845,0.9902038962094679,0.9852170795937669,0.9999682935215184,0.9836464382333671,0.9755062693642926,0.987114636504277,0.9899475113460454,0.9751533739909325,0.9849267199946612,0.9944980482399074,0.9978394170882695,0.9857987131924904,0.986330081716047,0.9755446556539155,0.999975422642803,0.9998399389386741,0.9872615986762299,0.9902108039702728,0.9849291271591242,0.975162331441877,0.9864278002851511,0.9867860042203377,0.9859983947157103,0.9901374943034815,0.9904260846232354,0.987734734292009,0.9849857832636804,0.990463914310679,0.9752609761186295,0.9755302161767812,0.9945025898895317,0.9945054147917644,0.994397962074667,0.9847546071023858,0.9752978856077937,0.9756097180251282,0.9877856212166782,0.990447343224303,0.9846584592532145,0.9944315052608864,0.98570018805853,0.9752238304195936,0.9897621996664955,0.9746193964438352,0.9904678477515596,0.9752632223649682,0.9756394249088197,0.9994613392963632,0.9752130262077751,0.9864505172866187,0.9945032819513782,0.9978376669813042
Domatinostat,0.9746965616742455,0.9751752117338275,0.9491460388926517,0.9751737234296254,0.9752722272136771,0.9999999999999951,0.9490989745958665,0.9804594866518616,0.9751533248402846,0.9816021517171838,0.949057091526498,0.9754723440341297,0.9716003323928185,0.9754397792477607,0.9745518094591468,0.975175445753546,0.9753568139788532,0.9806971842881379,0.9752129941516786,0.9490630318305256,0.9753649774642204,0.9816136622786606,0.9811016495573831,0.9753808123803726,0.9997093417402506,0.9752177925110898,0.99945504878408,0.9999696069587773,0.9721646534995179,0.9490067249669627,0.9754422251106357,0.9487962603608131,0.962671649373656,0.9999905830266815,0.9806965455011674,0.999520729739466,0.9751628632272316,0.980692085510714,0.9806762701366964,0.9753284637421354,0.9815230341894324,0.9815665254074901,0.9741661513813178,0.9997820875918276,0.9751278977644998,0.9493696097818807,0.9713323887565027,0.949572633971909,0.9731826152334013,0.9751192944419191,0.9800116807556701,0.9812755693693195,0.9996958675925559,0.9816034194162842,0.9495739469021465,0.9999708289329098,0.948904415602902,0.9752795011296567,0.9495753049158845,0.9876115786908148,0.9495598826393874,0.9809780260692021,0.9751748785178502,0.9806804157736518,0.948734331718525,0.999247581721176,0.9487940816504481,0.9495708515359053,0.949076428957715,0.9800398897597987,0.9816127891546215,0.9490581742280412,0.9751790765200113,0.99881415219239,0.9489247161321585,0.9806689646958143,0.9488175135720083,0.9752486851904204,0.9683002140954338,0.9485557465449631,0.9806598522384727,0.9731753611479085,0.9487914795323927,0.9486584335043184,0.9751598448342805,0.9751682107805464,0.979838958019748,0.9751613619787362,0.9487358032838917,0.9747610177337118,0.9751587095306556,0.949029051921472,0.9804644647501907,0.949064664908958,0.975248578918705,0.9629832303453086,0.9814367171329421,0.974666962273276,0.9801415983607614,0.9998682856320538,0.9487754044331083,0.9751683680294764,0.9731822946085945,0.9488078573949248,0.9493243402609355,0.9815397580054468,0.9752760534973004,0.9751416677686628,0.9747797119169898,0.980452704254667,0.9488016416955655,0.9998425192418857,0.9494315765503919,0.9741082074120706,0.9490038485109054,0.9684646575000964,0.9806473794107645,0.9752479309580513,0.9488493840104194,0.9807040930631736,0.9999700528647698,0.9815261445282184,0.9751704155953643,0.9751792482832395,0.9750263004976018,0.9484502263240879,0.9816278690475928,0.9815839740621443,0.9753311380963579,0.9806945938203544,0.9478294932102168,0.9751312589202572,0.9488021686201097,0.9999656099227922,0.9802222757013257,0.9801081410740434,0.9807050169783414,0.9999737345056204,0.9816145819101115,0.9747313587405759,0.9999312573060347,0.9494973103916499,0.9751731285173949,0.9731824805911026
Pracinostat,0.9864910273226646,0.985820078475523,0.9999356925707582,0.9814942127646028,0.9860293445433902,0.9490989745958665,1.0000000000000022,0.984301205686989,0.9814858450955131,0.9608222055004054,0.9998845664313198,0.9868626486154042,0.9820563900829138,0.9868707474349774,0.9858956472848162,0.9859387562043385,0.986774870065846,0.9845368912051143,0.9865833547135008,0.9971073698242129,0.9867538645056423,0.9607078009642924,0.9605773150532514,0.9867885685659097,0.949002096282285,0.9866110020463713,0.9488090512376792,0.9490810256549623,0.9833570288787499,0.9971269054917045,0.9868083767132791,0.9968673351285263,0.9809853768609141,0.9490959286060576,0.9843931899231534,0.9484811005493585,0.9814962048204389,0.9845323826406437,0.984391309597992,0.9867304338286987,0.9607605453504591,0.9607875279503085,0.9809048063102308,0.9489267100331662,0.98599843486882,0.999353958967869,0.9829118906519492,0.9995081162538828,0.9839145369054368,0.9815031061371595,0.9838778345972565,0.959275563077607,0.949007992573435,0.9608209841521107,0.9995030280266262,0.9490867928271303,0.9926517883192735,0.9861024402236168,0.9995003507344788,0.9443513216920217,0.9994904714431654,0.9602277465899435,0.9815021600222946,0.9845311071492079,0.9968470452515787,0.9483942312671606,0.9968342149385624,0.9995012770320932,0.9998676953923701,0.9585652067838165,0.9608455181963607,0.9971468409038905,0.9815004599842121,0.9485127348965448,0.9970833521218875,0.9843877353292645,0.9968858127862336,0.9867466463209834,0.9583481670340022,0.9986526907222463,0.984499600587129,0.983909694380871,0.9968674913081552,0.998667141905121,0.9814921640456871,0.9814955969361614,0.9837748462488621,0.98148252956125,0.9968361996842028,0.9813854483846912,0.9814728833026198,0.9970700280457898,0.9841233596207124,0.9971427179235801,0.9860121400131655,0.9831754872750103,0.9607536328666106,0.9861486048614115,0.9839592810101148,0.9490012352402526,0.9968565212129821,0.9814920943072657,0.9839146226422102,0.9997818606967024,0.9993661605358042,0.9607541945801544,0.9860215481743355,0.9859120645915967,0.9862983725380302,0.9841509240775258,0.9968285174452777,0.949043037516035,0.9994438903741271,0.9856166597724703,0.9998717595738543,0.9803853879652866,0.9843569008294832,0.9866764354149322,0.9968663728455911,0.9843957822865573,0.9490876460207844,0.9607282253943478,0.9814958092439975,0.9815020546653418,0.9814109535714003,0.9967339852963212,0.9601857373945172,0.9608006668716301,0.9867267933247194,0.9845295441153126,0.9966286757861255,0.9814234818622452,0.9987819531969061,0.9490519991179148,0.9835722521984678,0.9597824678778624,0.9843995569061142,0.9490922360575479,0.9608281016173268,0.9856941294441541,0.9490424163913038,0.9994342224474647,0.9814997007147638,0.9839135375787921
Quisinostat,0.9956198502452466,0.9900699656204164,0.9843661155980056,0.9883227328836347,0.9902206949963953,0.9804594866518616,0.984301205686989,0.9999999999999976,0.9883007255492561,0.9900752819076628,0.9842922226722142,0.9962915807281546,0.9856172045418589,0.996276672079195,0.9951666155627104,0.9901070058870974,0.9961602625879318,0.9997547830887916,0.9958277244034608,0.9854860939149177,0.9961890833312268,0.9899725240325099,0.9896149450631389,0.9962073840097698,0.9802511569757517,0.9959947220812271,0.980057745112728,0.9804374004076538,0.9870632070403714,0.9854978692155498,0.9962300977946765,0.9852547441403509,0.9802837695360902,0.980455955330119,0.9997324960490097,0.9798446813752533,0.9883186910485866,0.9997522965965404,0.9997140277830608,0.996145296459818,0.9899996179894337,0.9900296742476485,0.9876088187386372,0.9802465097363536,0.9901578504248902,0.9843984226444495,0.9864573947057368,0.9846659732047045,0.9880940737564763,0.9882859127492352,0.9995176577358064,0.9888413030162407,0.9803450092952901,0.9900740963682971,0.9846707953708942,0.9804372454022258,0.9825175716236191,0.9902322052309989,0.9846695217376371,0.9723971401622996,0.9846528995710886,0.9893377860106948,0.9883267297926747,0.9997420054088524,0.9852266103471681,0.9795776466236833,0.9852588574477441,0.9846654260066088,0.9843111076402307,0.9878744387191294,0.990102025298813,0.985538765867059,0.9883361242822397,0.9798715919785256,0.9854623048162485,0.9997162994281378,0.9852802530438711,0.9961427801672067,0.9842381019774252,0.983422664207753,0.999703182154894,0.9880884492720425,0.9852546115609945,0.9837349453790573,0.9883111594206346,0.9883207087024247,0.9994708791416363,0.9882884471717917,0.9852092153213929,0.9879954288539066,0.9882994554598569,0.9854624818330529,0.9999337507878836,0.9855301073797376,0.9902003811882616,0.989766545724095,0.9899219331815747,0.9954920749045513,0.9997171143739837,0.980322880774914,0.9852503139958839,0.9883154654803175,0.9880980294767528,0.9840805321716587,0.9844818727649588,0.9899863957661674,0.9902197087721819,0.990055981614945,0.9956009118454137,0.999954336733913,0.9852322858719642,0.9803421813579197,0.9845444147053479,0.9944911756918249,0.9842886911380444,0.9855030177410549,0.9996798025723516,0.9960907225743983,0.9852972371950753,0.9997372791229715,0.980442330661858,0.9899358665825918,0.9883213951712047,0.9883271984650372,0.9881926842249874,0.9849765256729929,0.9896685244599999,0.9900536018367899,0.9961482669012275,0.999746857678377,0.9845629254759656,0.9882540100183479,0.9838168818102148,0.9804103636656508,0.9995215679841142,0.9884376113676688,0.9997433641231565,0.9804459474824568,0.9900889565227097,0.989733754443807,0.980394403797378,0.9845944775797566,0.9883237030718653,0.9880945378668996
Vorinostat,0.9868508800575796,0.9943048272317575,0.9815393444800453,0.9999683309725754,0.9944880827839181,0.9751533248402846,0.9814858450955131,0.9883007255492561,0.9999999999999999,0.97534077986686,0.9814494824232752,0.987464735417535,0.9898427240770852,0.987447128781665,0.9862279642053663,0.9943653692835944,0.9873257738346912,0.9885373480943014,0.9870596333431237,0.9799242239462536,0.9873608923829317,0.9752774654024748,0.9747892760474863,0.9873761113876991,0.9749726270258836,0.9872246638270883,0.9747737495361681,0.9751227080097029,0.9913729523767394,0.9799248141023045,0.9874222970396369,0.9796740108457439,0.9877686520935922,0.9751489176897962,0.9885395256389718,0.9745717355949794,0.9999647203689046,0.9885317244451928,0.9885348816133759,0.9873192289633387,0.975254799008326,0.9752960317236169,0.9991955130871857,0.9749238560966976,0.9944219065078215,0.981713448724113,0.9912786183852109,0.9819793855157732,0.9923553843549913,0.999934094158812,0.9878186502644859,0.9731481146406902,0.9750538076039755,0.9753437033537393,0.9819728776761322,0.9751305574077264,0.9771338624909427,0.9944790924275115,0.9819737476216484,0.9676500658201805,0.9819668084055316,0.974808763140426,0.9999718161232466,0.9885275230653703,0.9796582952161327,0.9744908196860149,0.9796901285013386,0.9819711824605273,0.9814719253252141,0.9728730575854059,0.9753701878243027,0.9799570215136812,0.9999649548347835,0.9746428494539917,0.9798732646884686,0.9885220840033376,0.9797043108806808,0.9872994393849122,0.9707795231436426,0.9810039519021677,0.988480492209856,0.9923480780044717,0.9796772207342103,0.9811867120432,0.9999590819073368,0.999965371982004,0.987836431758928,0.9999476531569302,0.9796371838013029,0.9995895533310254,0.9999373373719289,0.9798770679746043,0.9882843224763066,0.9799520780398931,0.9944687077411669,0.982021536400731,0.9752135675528107,0.9865198686401292,0.9880347425189455,0.9750239637218853,0.979664099524729,0.999963948272639,0.9923562017592894,0.9812074716473468,0.9817805400790939,0.9752522261166243,0.9944832310528395,0.9943382165383781,0.9867666001937542,0.988294007257694,0.9796652398244484,0.9750385281513598,0.9818737974840396,0.9863597578134428,0.9814453232726355,0.9889649644705081,0.988498828598376,0.9872615145706896,0.9797295487517494,0.9885456218368601,0.9751364215291585,0.9752455957099323,0.999963951053512,0.9999724267610519,0.9998579102476307,0.9795025525831319,0.9750618063838313,0.9753163104483132,0.9873213364718715,0.9885296627453412,0.9793611656391685,0.999894965112607,0.981136427179199,0.9751031346273583,0.9878242772485308,0.9742617757817539,0.9885460875555738,0.97514236878054,0.9753531679113155,0.9939235792860005,0.9750999047717392,0.9819070209262485,0.9999681329610112,0.9923560915294531
AR-42,0.9865991851026785,0.9754993284145834,0.9608916270623608,0.9753676822576809,0.9756298664981362,0.9816021517171838,0.9608222055004054,0.9900752819076628,0.97534077986686,1.0000000000000027,0.9607892360058483,0.9874578511709339,0.971330907453992,0.9874202778744205,0.9860897309202108,0.9755050072006959,0.9873132793166445,0.9903077575678338,0.9871944914829328,0.9661107093092678,0.9872772241992204,0.9998695124871376,0.9993627933482283,0.9873530113006626,0.9813512198733086,0.9870822599989114,0.9811444842214377,0.9815721785769036,0.9721883871309813,0.9661310118734967,0.9873944236359085,0.9658957596431929,0.964310661433304,0.9815979170104256,0.9903069467948357,0.9810297880844904,0.975359849650938,0.9903008967149456,0.9902901826591548,0.9872900430756131,0.9998380444080968,0.9998877612143487,0.9744494234468507,0.9813862216335816,0.9755535379736072,0.9610470091350216,0.9718478513134631,0.9613177038307926,0.9735373746617063,0.9753076926024637,0.9896015633594036,0.997374205664434,0.981468581742072,0.9999504547203323,0.9613292147126854,0.9815706342934325,0.9647288205306873,0.9756214606130375,0.9613306997327504,0.9713281260061465,0.9613104918860923,0.9993303270618492,0.9753697249860067,0.9902951410024726,0.9658675501658062,0.9808474646419089,0.9659134005979357,0.9613149091395208,0.96080416165151,0.9975848961181276,0.999874820716037,0.9661785457608189,0.9753741960264041,0.9807028882340216,0.9660578134588741,0.9902872982523973,0.9659221060901028,0.9872487929874624,0.9897448140691448,0.9600562228858187,0.9902518961702235,0.9735287501797806,0.9658972655687723,0.9602846504443241,0.975353767824675,0.9753631071826303,0.9894319753016938,0.9753365345336831,0.9658377539444758,0.9749539908903532,0.9753411264849378,0.9661149802830121,0.9900567617997655,0.9661757523019177,0.9756104985006074,0.9773397725535421,0.9997858809733822,0.9866391703820528,0.9898153292692691,0.981437019636329,0.9658762957883064,0.9753559855008701,0.9735384947425354,0.9605537467438905,0.9610904762966485,0.9998240884677991,0.9756209361838812,0.9754504811160476,0.9865847977637006,0.9900670361339731,0.9658755639269211,0.9814635837856869,0.9612038353417242,0.9854831420013279,0.9607779129360922,0.9686865224645882,0.9902620619313373,0.9872453930149765,0.9659581610941937,0.9903151837474047,0.9815714663256538,0.9998176071642643,0.9753614901391592,0.9753694649901535,0.9752032908645247,0.9656224186050759,0.9995210470148017,0.9999111560677788,0.987311767363897,0.9903031941273209,0.9651712784136945,0.9753162658229074,0.9604196289558473,0.981549873920264,0.9897396773053637,0.998508956429681,0.9903150414110238,0.9815974794504525,0.9999690069678429,0.9751271705130795,0.9815414516101992,0.9612435840649493,0.9753681251370869,0.9735391225971602
