,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.0,117.59751482787111,136.35398865721194,141.91741538891316,116.4057083535721,154.14781466085685,135.64865561287237,117.43961291992218,142.8929135705847,134.96191892297819,133.4755494804915,64.58103426335973,120.7978426316149,61.79791910277799,83.66890473962675,118.91793024395788,70.37364249471895,116.66177784426583,66.6301454254741,141.08511312147743,67.9700612427927,136.72456257457554,135.27640225233526,70.24830241995454,154.56935467862118,66.92589838933772,155.02707494552195,153.7619867158385,120.4712181758834,140.8711618215509,64.64422388006915,140.05341176294505,116.98432831210941,154.23927875626745,118.30568993311935,154.5965671919454,142.06241672946283,117.40278259552079,116.10734175828622,71.3956834619666,137.42943084483025,137.23022894626126,142.64027781057533,155.87254345758802,116.84070132239664,135.61326605420348,125.475579424442,134.13111273301652,116.40082319341688,141.53509733272585,117.82805087489527,136.13245483791022,152.00242558484155,135.01365726558345,134.26033197594364,155.7747187482832,142.20473350775154,115.80172795668685,133.67125036776267,152.29858133183166,140.16712205351382,134.61716396789913,140.7722282030115,116.81227170153693,141.5188226327162,153.59868710242063,141.75545453297877,134.06808944420933,133.2572374784653,135.60259968998793,136.00895293119152,141.45996335383478,142.80874680759737,154.09316428931683,140.9080442392616,116.6324211397779,139.55495885303995,68.22161159179488,136.54549449106577,134.0210949837549,117.34257962637146,116.57372763548744,139.95255480983246,135.25550249786434,142.2318059975739,144.2627336738995,117.67390129201264,142.27940242784345,141.2654652245115,142.75349408798004,143.30726637685405,142.30745719762157,118.29963021184652,141.5345508045659,117.53550836224473,66.46342228342034,135.43971604492404,68.35458332131778,115.47640924881135,155.01406034047375,140.57430172059,141.90821839401028,118.36002874691931,133.91147351340868,132.96102244714956,137.7632261287173,116.18526960325391,120.06735847583623,72.23022355759744,116.25405853474844,141.82831216740755,154.5479357951638,132.63397256121573,68.27076687647505,134.0806011922421,117.02920691612813,116.37185902257572,66.3222324174583,140.50259702795293,116.17317109581026,153.96656901659165,137.0995149966932,142.1607861540784,141.5902964643941,142.2713290919699,140.55722018156473,136.09995648962607,136.12820300849438,62.31866234142546,115.93415376171124,140.80529982436732,145.28015939847108,135.70525118198466,152.23872845114082,118.17213912471932,140.76514909708706,116.26722872865531,155.41365426563462,135.4850989624377,120.52381342889703,153.7676977311788,132.72998534143053,142.11976402084463,115.2873228407893
Mocetinostat,117.59751482787111,0.0,128.76037952187278,119.97763669076983,55.28957461166263,143.9037502613045,127.57366901816349,106.34205208150247,121.17006200853153,122.47927806132958,125.54211267034974,113.3858490909277,64.60703317679568,114.80958823681198,124.50184811148432,61.178911060290886,117.33562623298131,106.26603845185073,114.82387119473698,137.40087974947656,114.31932028548931,123.4350790264586,122.89530950697645,115.95053886963588,144.4050458550562,118.32531065568564,145.281009415117,145.80080308471193,62.978555814180325,137.58659104585692,116.03601890798066,135.76488484306032,60.19330627026877,144.79357390706673,107.42421322823715,145.07334938395283,119.77675001231265,106.83769966141944,105.29633889780652,116.50415193847181,124.68351494001833,124.12069887199463,120.88358393889453,145.7366989788662,59.86484686140246,127.98908252683388,72.7355730763552,126.28822459422197,54.38417268024629,120.0353396341417,106.83326335137214,123.24673247629363,143.62157107286274,122.2228055748901,126.31359605357659,145.98833620800656,138.48609154285853,56.33035520880862,126.00473266474192,143.6771693679785,132.3293730838562,121.5583997135392,118.84285264694945,105.98440311566716,136.85684529154113,144.24237356150428,138.66675363742752,126.28501417938082,125.49602074077126,123.48941043224787,123.55667552297497,136.744358888884,121.26335204345479,144.15653328733808,136.3043708029806,105.60910435859486,135.28863125641956,116.53836699422163,123.83156337102984,126.91155026601703,105.90823028663429,58.21414291116565,136.36333837579542,127.2154663510324,120.84472730386152,122.367891220126,107.4701864519523,120.54102631038636,137.86302915500724,121.26796372348693,121.53119232378172,137.6204814701416,107.22894890523301,137.8098199204965,60.92704869254592,116.51349040342143,122.6045010806385,117.59879532028295,104.44198121985748,144.53469976309646,136.0249169257175,120.5842591174438,59.37441050997692,126.19897292701549,125.48395789991538,124.43159382276477,56.415152154491274,65.7202028359314,116.50924782302832,105.3002230829329,137.47719693189734,144.58351798135698,125.04949174651236,115.30132338386142,126.25033032306472,57.231153074937986,106.43178332098134,116.82893153025212,136.5922787741488,105.42329754574921,144.20179391700955,123.65644416243278,120.61668064296589,119.43986407211267,119.39286780013782,136.2120846734466,123.4508430452553,122.41607438352038,115.5233003522377,104.68578878477685,136.2695459961287,122.38650315528476,127.38936203451519,142.71710153934788,107.77710872209778,127.35571111829218,104.70261226725287,145.5114954880946,122.99581131889055,65.01080629616133,144.83768292898927,124.95437813388529,119.66527285716306,56.053888973492676
Romidepsin,136.35398865721194,128.76037952187278,0.0,180.3143219292154,127.12800454409756,162.9157066969377,60.67297773626704,121.56477036354356,180.54118772353021,130.9355850637922,58.52991212213906,134.39196975084428,129.6855860254481,134.53279912046202,139.7793753756736,129.31027416298687,135.77299175396212,121.32811235574697,134.76339845571312,98.64457179973826,134.17164992241334,132.1638170356768,131.21549118494735,135.55695925726394,163.42295596885242,137.89868349550815,164.00722189560233,163.13016283560464,129.3633276345899,99.76721172858677,136.4703227947805,97.261801956428,128.03208091104582,163.33364173935502,121.96897221148926,163.70244389543268,180.18381611164946,121.65437510875007,120.3892042075046,136.13770264019126,132.50440215284883,132.59912112546104,180.4744147298089,163.8516186279003,127.7660429290131,62.932278160981696,133.17946575306362,60.740609539362,127.35000499450697,179.77162512545584,120.8182893168584,131.58602816900546,161.83850180516808,130.9040815738638,60.31635453982512,163.84836136940478,100.5200787705183,128.04809263263513,58.9951472124323,161.81434824629008,72.9523990471327,130.65761142599902,179.52431760724346,120.61370687574552,98.88738254946843,162.17191635231245,101.13196201107804,59.08344834918718,60.730400227492396,131.67462238524976,131.82039680236892,98.39049845778632,180.64054577043393,162.76937151634712,97.94510165353225,120.36092872920288,96.8105813406309,136.25055971906025,132.05400779999445,63.10441961749446,121.17457852922313,127.52837582713573,97.74109483361038,64.65110271017302,180.9586203922214,181.5185419542251,121.81433302780701,179.8499366348086,99.45578638594154,180.91365016514953,180.9338662729707,99.90742953899077,120.5553503338325,99.80326564592282,128.34547329541613,135.92244460306958,131.86312936524598,137.00720153959296,119.99341646269092,163.0807491097956,97.4908264251709,180.51708288143573,129.45578565904603,62.24435052158921,61.861768615963825,132.41525785784674,127.64239102841748,129.11220707478216,134.96332838629147,120.77265099174129,99.97264941009864,163.46612021765193,58.64707328409817,134.99123659491602,58.96012424805728,127.28648105693634,120.9277932231852,137.46715126754415,98.0718021978479,120.14790418360764,163.057867584492,132.27836079992284,180.31386548736597,179.79559631860036,180.37056048719947,97.70118391418319,131.52248800215673,131.26581702928138,134.99889737236606,120.5638169483776,98.42389897712852,182.57060566654218,64.408244400264,161.60838915609818,121.99079219792732,135.03953224083406,120.26287123340147,163.85091359942638,131.72714479375648,130.67419360305507,162.8527969736206,59.8077123735354,180.2688374376961,127.18473096840808
Tacedinaline,141.91741538891316,119.97763669076983,180.3143219292154,0.0,117.60072986404903,186.8532714151069,179.1135051010849,153.0474194211549,63.511238874422574,177.8481952056611,177.45220219090194,138.02923200991788,123.24138942728703,139.34562543199655,150.3168679308223,120.99618755383683,142.06619691244705,153.04394182310054,139.05581252647048,194.8013512661973,139.27814221598592,178.74987603129804,177.992330647566,140.42074407578895,187.0478760668473,142.61901354290387,187.99639193163478,188.22901528659034,122.05380417015292,194.79615079282195,140.3752394403591,193.22842229020685,118.35810155612708,187.61200125141738,154.3633909288945,187.30817568889216,62.138256342568056,153.89696441206638,152.90192978009557,141.46269285328472,179.902890555632,179.34534458751963,62.469194571358514,188.01068668114013,118.94784644239874,179.3860444511296,127.91093939245225,178.12854071655912,116.99593285112711,60.180209851124644,153.70345563327206,178.8913001232002,186.7506864920787,177.96029961396388,178.18667679011455,188.19168923963284,195.75848043914985,117.1860233994293,177.6319469603823,186.60964740228388,183.6177903491357,177.38882481855615,59.68764515688717,153.00817054121347,194.57494392129516,186.63764064287025,195.7263027647278,178.14453569889253,177.5761180564048,178.90124480816831,178.71936527332684,194.33330895373035,63.39129336072993,186.68502547595347,194.1843427859786,152.74878115267268,193.3403238925297,141.278620827141,179.185374030813,178.98400064692385,153.2750609329366,118.15577458912531,193.57938498486465,179.42514062058999,63.62744941410539,66.01918088546763,154.3441371868564,63.65708968795377,195.1069575138503,62.801651516388354,65.65719121623218,194.85454557252513,154.02184179632465,195.23574084498412,119.9224900946315,141.38917444500214,177.97426801220277,142.28389442176922,152.28816596528645,187.09535341129424,193.65147517430415,62.925978551293674,120.02215497152707,178.11290551046974,177.84677045077092,180.0186944302025,117.67478138546386,123.81261791594454,141.9011446083055,152.55060167248104,194.68436882017824,187.1264974734787,177.10090503233133,140.23126957055862,178.2173005797884,118.66785616702381,153.61068889929984,140.79876230951268,193.9602552093173,152.84021702568592,186.66466844837964,179.4339981781913,63.15778932937334,59.678462852220534,63.72047743615992,194.04164177864845,178.9127674223135,178.20982474929772,139.36948135517216,152.08264033993106,194.01578737300872,69.00205914167519,179.67697004855248,185.29202832264235,154.40753709327464,182.18689805606877,152.26047718591525,187.7530026190038,178.29344667428578,122.63594284652373,187.48033450587775,177.1966491805891,61.332834217799096,117.35704803850356
Tucidinostat,116.40570835357208,55.28957461166263,127.12800454409755,117.60072986404903,0.0,144.02800829047814,126.56868141241775,105.27791829413589,118.50302214234351,121.88325561065585,124.39908283634901,112.12179538876781,59.68876911396209,113.98833753736655,123.22503886356661,58.284920605843524,116.1289915960199,105.35159672125631,113.6239526495898,136.33542699335348,113.1857067888328,123.22727081753034,122.51953428891213,114.93031764761163,144.32024270685355,117.2510128770897,145.44507219999608,145.34889456272649,59.45456417293257,136.3128527414728,115.09343859429421,134.89053662439252,56.23548572600725,144.72777807445053,106.16126725864473,144.91228248813545,117.57257570486516,105.97258673813585,104.05921325303858,115.77768620969982,124.05620232581907,123.71297114784748,118.89096215611745,145.8210858852106,54.98150789387335,127.09647378278079,70.08072800136894,125.30655961954149,53.07309929542522,117.68731359808342,105.7256635876589,123.10323968748604,143.72893095544273,122.19996738737932,125.12712950662912,145.99180521817658,137.48822524823265,50.637780312304926,124.49039867547518,143.62528984200733,131.07538346994497,121.59365487122123,116.76487929710048,105.26966712553329,136.1095721996863,144.1204546540636,137.85220948885305,124.79315091816243,124.33886020931823,123.07277559699097,123.19492901101732,135.80781885592867,118.82671570207621,144.0832531751281,135.63187167983972,104.65844382557881,134.51036377901465,115.64739575663147,123.61873445678182,125.83721486735304,104.71737382460493,54.364647716637826,135.1376642373092,125.99087079367573,118.87993453690845,119.95572818856712,106.10773352236669,118.23783374740039,136.67475596891947,119.06624213040075,119.49821669828303,136.95216643758698,106.27942062733959,136.6725709825927,56.6365801669768,115.05823506501852,122.35744984558183,116.23091527132341,103.67106413768462,144.28263371640068,134.9052010678376,118.79321268874924,57.31046507435158,125.04586626617991,124.34050697247476,124.1729066531452,53.718315455372334,61.52545360563447,115.38237980828627,104.8261077509916,136.58174886497102,144.64929526126514,123.74622865505061,114.44209498268009,125.02268595781766,54.680161474818284,105.09234575177273,115.42120005025606,135.80517029616107,103.9682740812569,144.25176128690057,123.77793023760805,118.24257399864287,117.54206147182634,117.47000499589501,135.27749447758572,123.05720061397393,122.1484679138514,113.79085479106374,104.00207948507915,135.53380298849655,119.84815391992382,126.26729330041914,142.74785314660392,106.77595443176804,126.81794734269118,103.81655422981613,145.4795824524958,122.86834535252967,60.16480023969467,144.659554990286,123.77912081400581,117.95417389207238,51.69484731912065
Domatinostat,154.14781466085685,143.9037502613045,162.9157066969377,186.85327141510686,144.02800829047814,0.0,162.66491822419297,131.5972171611487,187.146414996211,126.33670041604984,161.54497043236535,151.51909530125442,146.5371606810207,153.37613777845652,158.2776817344998,145.53851405837042,153.60515009792073,131.10448869029005,152.2483172716068,165.5769779209,152.22331543724135,126.5911245152433,125.62578252371944,153.6160381773781,54.7106171209947,154.3312488470885,54.37922809332119,64.22478907502592,146.5897996153868,165.1607765751487,152.54110767174313,164.17423131004563,143.86544789534267,52.930698319765305,132.285086379608,53.179797418394784,186.44658792297633,132.08954069985504,131.59776166463823,153.42669796849145,127.92896732135199,127.10092199878196,186.9075537148817,55.16040702398965,144.09918659631472,163.08011139565676,149.78463453389418,162.39638074509577,143.56038090787104,186.95869766123596,131.65517140623186,126.93612049292767,61.49194775834274,125.4745052068949,162.09126917817014,56.46525951551195,166.26092868175633,143.60498417319377,161.22676032198672,61.66040306861553,164.96926631495927,125.63813835220755,186.24327369551057,131.79164197575844,165.23544319087864,57.03418104418976,166.02480216942288,161.99512478686626,161.45905875715147,126.37295123875533,126.50624191969852,164.83755703577697,187.35193721194722,55.94897144222305,164.39444944720398,130.89658141182218,163.62111024439514,154.0081497990865,127.52208339461342,162.22776269050394,131.41843110500457,143.8260004325453,164.0253959743408,163.28850523098228,187.09420660496025,187.78827636394175,132.77628379305304,187.28311405219497,165.563970927109,187.8716528912275,187.68444320579965,165.75195244699776,132.01764843013868,165.94152050103438,144.8454855591661,152.96337534608963,125.7442720570044,154.24220050161395,130.7756284614833,56.07066368176846,164.2892362778071,187.64348854731801,145.22091511025025,162.53428722385902,161.40860700996873,127.58736534157183,143.76299706046234,146.59968700086407,153.86844207530044,131.13728017250284,165.69898983024873,52.9258623660841,161.43092293524612,152.61313963733596,162.05936956490478,144.61606034220492,131.38651441167315,153.75755175005312,164.48774811810685,131.12301837783892,53.10297294580622,127.19887744629455,187.38673566393408,186.74351357508107,187.04412848352226,164.59135916752655,126.8830091806383,125.69946405025188,152.56699590260763,130.11927594814367,164.93712302700595,188.31348898229086,163.24057611759952,53.57314153498828,132.8137632363549,130.56365714261182,130.3986265459878,55.0338537629297,126.29057362836753,146.07841454198396,64.24954025223886,160.61796502060602,187.2035274429014,143.7162855139916
Pracinostat,135.64865561287237,127.57366901816349,60.67297773626704,179.1135051010849,126.56868141241775,162.66491822419297,0.0,120.52905056707235,179.22383028608596,130.09823113731747,56.58895324946876,133.28080907160313,129.02041128943438,133.98957527527307,139.04416570177548,128.19224408031894,135.22499551939973,120.37132249230058,133.9508779475756,97.2306757363155,132.93095901953285,131.34661270201153,130.22893870310432,134.941090164901,162.6908747621295,137.15942554338326,163.64365575533472,162.7265822462168,128.834628428094,97.93858915027648,135.28844990019863,95.31457015139512,126.73216042947335,162.985772082797,120.91330368619778,163.45843653986415,178.92457083660972,120.71612844735921,119.15977677868416,135.11998309217384,131.51735397558727,131.81613553936336,179.1374391655528,163.56000828547715,126.58983802665747,60.11097845350269,132.18140346057783,57.656916127091634,126.21616073107452,178.93675175221307,119.72065953513219,130.86916447535566,161.0170495396076,130.21118309347517,56.40429751251488,163.3831422855367,98.11402808407921,126.83356464414459,56.78570323204907,161.24604880080514,71.35227593787472,129.60593269921858,178.1490550752029,119.71126995212829,96.77578873692364,161.81679406852783,98.68498266533607,56.13758564326639,55.28529227468242,130.6910588167118,131.02416292207914,96.66235084411022,179.74973043179716,162.23129662233097,96.30897976800306,119.06849888115671,94.7594893393934,135.29374813999124,131.10484035868788,60.96686104553848,119.93456137014032,126.65576588343224,95.73846316130175,60.60587639641428,180.27653145232395,180.3742109326393,120.5753158462246,178.84272275337128,96.70936568528275,179.5632717740726,179.86731806593326,97.83200320038826,119.55257458080148,97.85506707188384,127.43709613885244,135.31747287748814,130.5677535335649,135.87316753578062,118.97216008366894,162.9226583458984,95.5858019274632,179.31759331270845,128.48338921821153,58.73400614900226,56.35375569204416,131.82126892742613,126.3786002789103,128.4426670660345,133.803500355269,119.41470296481666,96.87535566874678,163.12728456503018,54.34530656605964,134.6293072504018,57.63235144962191,126.72225020938666,119.4818137592993,136.63408000373258,96.64951080019316,118.86610480586705,162.71589122319818,131.3707126691558,179.18713280019495,179.09614045446156,178.94907773929344,95.15829297100545,130.70421133113945,130.26379655096392,134.31910619071547,118.99569922751202,96.26749802700729,181.55654240365422,59.51812350046358,160.81983003613934,121.0581149719173,134.39336421088672,119.20731409850764,163.44610877095056,130.47616267606267,129.41777390029986,162.15134932210134,57.17384074365223,179.14344792684267,125.71709101619403
Quisinostat,117.43961291992218,106.34205208150247,121.56477036354356,153.0474194211549,105.27791829413589,131.5972171611487,120.52905056707235,0.0,153.43289789971348,103.1945025292411,118.41786928479937,114.1977265426753,109.48449505644759,115.36880630625463,122.42365207401652,107.65937788184041,117.58804240780383,50.78829377255537,114.6520975093011,125.4330957808883,114.22225227123808,104.66935836820825,103.42514966497825,116.38353176278844,131.8613138447511,118.34710454821034,132.71690953779532,132.41802411979106,108.54637352370584,125.51015372739448,116.10833618956647,124.39272191770633,105.73830481878845,132.32301071699624,54.147166791864414,132.52136350321268,152.7499294263303,55.05112116258643,54.24938252656173,117.28559389946999,105.46089626810746,105.02185930413312,153.50535042364783,132.46176299366184,105.96968867506718,121.71411232230645,113.50869359113179,119.96737191564894,104.92344864337542,153.0780302737119,51.978511885950326,103.82176647965132,130.4355441421141,103.30692684694428,119.59656668716332,133.3636527488776,126.78471112853754,104.99298214878196,118.94949835815072,130.5549410591511,124.59074520072528,102.71297495331326,151.92632743606868,55.097884826123504,126.11409041842882,131.2012977050756,126.86627515072891,119.54624087390474,119.03283948523469,104.01134105073105,104.51122382666628,125.51233700333064,153.4781026146961,131.75560224963695,124.86553360053705,54.37724527910094,123.87257046053675,116.72586961501189,104.73468976987508,119.4383325184623,54.188963844250274,105.70021239873192,124.69654762934907,121.04871046824262,153.46466009021137,154.56669689772897,55.36261394494011,153.55046853766865,126.59822760066719,153.43600981601966,154.5714311661527,126.54000476795036,59.48712180020911,126.364402090287,106.47404421884178,116.68040981169165,103.52799902658842,117.31643018608207,49.44808820369198,131.95531640476247,124.33985122881948,153.39923164070635,107.20364458979194,120.03510850322147,119.27727907938542,105.48185897779874,105.19997666153522,108.74907983396734,116.42920620370084,51.124314313917026,126.28183407537469,132.05395353592112,118.51369555715256,115.1404018048004,119.41022149110017,105.71074048074505,52.535519135669446,117.34825458749232,125.5423883574239,50.38459578679028,132.22033546369045,104.87111987549245,153.00333938801273,153.08003130457553,153.1944574280158,125.11796292995899,103.98429029555689,103.63689579026962,115.5415174895527,52.25300238421515,125.15594744709959,155.86416899939923,120.52206300779095,130.04907299253998,56.09411708218146,109.51035102597396,50.97167445116789,132.3698348566031,103.68357041309669,109.31088243866444,132.111097130614,118.46330224126486,152.9040052386418,104.77925181345621
Vorinostat,142.8929135705847,121.17006200853153,180.5411877235302,63.511238874422574,118.50302214234353,187.146414996211,179.22383028608596,153.43289789971348,0.0,178.0313329057788,177.6819518937875,139.15798679539236,124.21309183214585,140.61133090994772,151.0919911958356,122.18202990232648,143.02160896649482,153.5346979161031,140.16692522183638,194.57941739220408,140.36664386664646,179.01095391905514,178.4171622236967,141.7171830905643,187.22986709568892,144.14172563448335,188.43061901711528,188.64132601222002,122.81152526131898,194.58861979013142,141.6519664366454,193.43475969512207,118.94800909195914,187.8946895797986,154.31908487812828,187.76498641333123,66.1666594557481,154.00345243561517,153.28331882326356,142.745746241223,180.12420738776086,179.59331584764874,66.47946755923732,188.6446949566665,119.31818905066748,179.65444205326233,128.4454318974848,178.5487730820455,118.1461331697229,65.02470280533974,154.09125133404928,179.08249628331797,187.27331037674963,178.1105058959452,178.67378154641966,188.43683063787066,195.45062113773577,118.04278342455342,177.67088836710482,187.32666999907264,183.84167975176553,177.71568646926863,64.65898915563736,153.8257314624645,194.86135146729234,187.24491684733022,195.4587461898056,177.91806038158393,177.7691162709138,178.98153826316158,179.14692851787134,194.0900599669295,68.00080778195549,187.12616214727257,194.18543169056787,153.1962321094621,193.35311230617992,142.33090627810247,179.30066327939872,179.08376238026602,153.75516768706814,118.55703334379177,193.2224262758981,179.58830947884846,68.75212958058003,69.08225642403666,154.77130334452946,65.30345083143686,194.90852523770192,67.829887528291,68.89920225216802,195.00651930802786,154.54888226959076,195.23429579137078,121.33960681228383,142.5936109974729,178.36502740485852,143.5493440924147,152.73672544817126,187.4000290574689,193.6665219690196,69.12570970108172,121.24207928026486,178.0375322914285,177.8436973281733,180.24059495880778,118.4947508853612,124.80716733382938,142.8191982018165,153.2719940868947,194.39446446020415,187.57876906056453,177.37396808679628,141.16323896621577,178.45103292192962,119.73460985694794,153.90836528772564,141.90758526471132,193.9664416070403,153.21658119323118,187.24766568332836,179.62368238925515,67.18136473257704,64.14582393877544,67.35058513107731,193.88863425969453,179.08603786930425,178.49822917031642,140.19720684186572,152.4496492064709,193.94680578918963,73.1757990086727,179.65752566924374,185.9440260238089,154.83854176485556,183.095935194555,152.74651206181977,188.19696785672164,178.62564232791877,123.44365062671751,187.79717347214623,177.13005644248477,65.835145450285,118.3538167518507
AR-42,134.96191892297819,122.47927806132958,130.9355850637922,177.8481952056611,121.88325561065585,126.33670041604984,130.09823113731747,103.1945025292411,178.0313329057788,0.0,128.2865939171524,132.3219907833922,124.75805772483181,133.61803319313515,139.60826641664056,123.54665500901642,134.5487408632911,103.31091852910455,132.80065776369105,127.70227235826435,133.28382451449602,48.99852870952761,45.389214919249675,134.17681545635782,126.69396165964176,135.75841256943488,127.30484061319395,127.49813490857964,123.9336523922059,127.75530938706187,134.3036872176457,126.2143835508564,121.2616410436021,126.7918995752436,104.40915573856293,126.96952920097188,177.65802909865153,103.7437015777541,102.44947512159987,134.72696953058752,50.245854485348374,47.85127148715669,177.8590276125518,127.63496102679514,121.55090421699231,130.61776314442687,128.25320416178258,129.27492158826126,120.84903293963396,177.33032034227895,103.37282718358942,45.588522726537214,125.97002933059736,45.512766858826865,129.04245007319548,127.69561287985853,128.8501575317278,121.03652868160664,128.58581993267714,125.80267153992341,133.08228308457217,45.59653862076707,176.728547098127,103.47195024544064,127.81926397907773,126.10262905342084,129.00408432633435,129.05944455953025,128.67465491017666,47.78854161410343,49.5301079844309,127.09264087234165,178.21411463102504,126.13059924616805,126.81105173342523,102.23481917420881,125.8244535099245,134.64862158152937,51.2042457669041,129.65633633331146,102.9566963982408,121.50335122732153,126.66096274129282,130.3741544010418,177.8074076807596,178.96815965409655,104.67359438452257,177.7701895058618,128.40657199653842,178.0958893064499,178.39607519429376,128.35965297367903,103.71507690607218,128.45018282539988,122.87002857612775,134.11797270549346,47.94088004679696,135.04866205106572,102.07807922157573,126.6448589128147,126.5271539629817,178.2294005985429,123.14156565108654,128.92449140455525,128.67125189799128,53.17681485761027,121.5510320263889,124.73859766991706,134.61281015084387,102.40203948834389,128.35440868214647,126.65061138737441,128.2594766119809,133.5960170577042,129.36783069627148,121.80900948060535,102.082872814388,135.17687126849322,127.46855719918065,102.44575226233654,127.10595149596732,51.64837524777179,177.87826662080502,177.7772795936206,177.80437090583874,127.01681103917296,50.03383472345551,46.666945597317195,133.40309084646086,101.79463199985972,127.17941629293195,179.11541280557927,129.98743712833982,125.18905576559577,103.75742479158504,56.14967399528695,101.61767247192898,126.87921600100253,44.9612258921209,123.95012846167421,126.59844801066788,128.40677462666804,177.68865136368615,121.08112280327612
