,Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,Selisistat,SRT2104,AZD-6482,AZD-8186,Copanlisib,Dactolisib,BGT-226,Buparlisib,Alpelisib,Idelalisib,Apitolisib,GSK-1059615,Omipalisib,GSK-2636771,PF-04691502,TG-100-115,Pilaralisib,Voxtalisib,AZD-8055,Onatasertib,Everolimus,GDC-0349,Rapamycin,Temsirolimus,AZD-5438,SNS-032,Seliciclib,HMN-214,Alvocidib,Ribociclib,Rigosertib,Riviciclib,Palbociclib,PHA-793887,Milciclib,R-547,RGB-286638,Dinaciclib,Zotiraciclib,Cerdulatinib,Fostamatinib (Free Base),Fostamatinib,TAK-659,Abemaciclib,Brigatinib,Crizotinib,Dabrafenib,Dasatinib,Nintedanib,Sunitinib,Staurosporine,Tofacitinib,Decernotinib,Baricitinib,Binimetinib,Selumetinib,Ravoxertinib,Trametinib,Ulixertinib,AMG-900,MK-5108,MLN-8054,SNS-314,(+)-JQ-1,Bromosporine,Molibresib,Apabetalone,Geldanamycin,Tanespimycin,Paclitaxel,CHM-1,Nocodazole,Colchicine,GSK2879552,Iadademstat,Tranylcypromine,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat,5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Ixazomib,MG-132,Carfilzomib,Bortezomib,PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib,Thalidomide,VHL ligand 1,Nutlin-3,Serdemetan,VH298,Iberdomide,Lenalidomide,Pomalidomide,Doxorubicin,Cyclophosphamide,Vincristine,Prednisone,CHDI00465983,CHDI00390576,TMP195,TMP269,NFAT activation inhibitor III,Cyclosporin A,LMK235
Entinostat,0.0,136.13208296485246,135.55339822122554,144.05684008611559,136.78733568435004,134.35058531309554,135.6812080569956,133.52864194050042,142.47216706487734,129.31463563985753,135.0664760290149,137.08471731649593,138.36449369497677,135.86344226157487,137.77601427629403,137.98101478517833,136.68360251646416,136.0551986989894,135.40308146777443,131.67194948877525,138.25000759776864,132.62273980794328,130.10848884446688,138.02517669876062,136.1485624010851,138.5779524410453,135.79441241904067,133.77489432195586,134.66161348697102,130.9453949127095,136.99652195908905,129.31726457910187,136.94580139936656,135.0060726982206,134.63024746049368,134.41129953452324,143.0174957325717,133.77832584236256,133.03842443520261,136.43289531708749,133.38379554804627,131.42823111374514,143.74294375939755,137.02625491023957,138.3843177807336,133.00894107281647,136.96177873999778,134.10849618915628,134.7199174533594,141.84872216880208,134.33064583383546,131.49911471089283,133.87375043415835,131.85830712644454,134.9995323837314,133.90867935778675,130.40132209127822,137.22315455066266,134.76950379573327,135.78014380887416,133.32789508181378,128.48856146109935,145.31204023005554,133.41815023533192,130.70002510785167,135.3734101700149,130.46393058621473,133.9868783618328,132.55452405482168,132.6330753037205,132.1031213554366,129.33447410833574,138.52557511351316,135.97568856104934,132.43266866561316,134.65378465281458,131.9062063191754,136.76194626796232,131.93759220040283,134.38599070605702,136.63449709229891,136.26255187182508,129.73277538950623,132.6635176621407,145.30179949818805,142.59633768960634,133.27022677980938,142.0425396182927,130.83099762841405,145.259508050292,143.10701277245045,129.85559420824902,136.49305342332852,133.05207809815408,138.27518507758163,135.64967219577574,127.51762734370735,136.19069346656,134.64617429176437,133.79313482482053,131.7968662795813,143.1964702976983,139.95747319533822,133.54690547249515,133.80422046064757,133.59262865450586,138.2686669145371,135.7181000235053,133.88549097579227,133.46474113446473,129.5306829931319,135.12320355156817,132.62193900132743,137.24078401908568,134.3473437646281,136.71100397347638,134.57995428708372,138.76070979551878,133.24501653809654,134.38803700413789,134.40491742629456,131.14085459283103,142.47161331047582,144.24756202365256,144.17483058142705,132.54180081040477,131.27822222300654,131.06700477960385,137.21178069271886,133.51179925192454,131.013529142048,144.7483983809607,133.5976088779129,133.60962772704082,133.17111043137996,131.67736679083285,134.81918661611118,136.2438026320289,131.0908958092366,137.82786544041335,135.758229688667,133.84476580644107,144.4353456293728,137.829535823226
Mocetinostat,136.13208296485246,0.0,133.2214386020952,143.09661083928668,135.90833498737967,133.5940331330816,135.6692456975513,132.42797315297804,141.03133193194304,127.85630957131137,134.3607566042924,135.80771181371696,136.78930951474078,134.02866504456466,136.78320968342072,136.48048702056073,137.05281290623478,134.95628522139526,134.76649294135143,131.75689205658642,135.1890174787069,131.0654692117257,130.12559523697266,136.08698212730198,134.9134725496333,135.18558862187774,134.06553138755172,132.53817943395106,135.56146306773658,128.91209196541675,136.6513566734032,128.39831063209328,135.56879196940898,133.86995008103202,133.494048602128,133.05253961802092,142.47336759249063,133.05347813598576,133.31873518803468,134.29213098761798,131.89663507066297,130.921172559409,142.93418214766427,135.16187588499554,138.10040590655439,133.00634286040597,135.08215961616116,132.5276385961759,133.6039699755413,142.19515779192585,133.24463462160404,129.1834907854553,133.6380362087507,130.51551116962406,132.69721851923362,131.96674154225465,129.79701009214907,136.61555882275337,133.88215680674867,134.59861938680862,130.92153967734,127.97464425139331,144.00708147293108,133.8895376770523,128.48483319791384,135.20874058338154,129.33674984155786,132.62999409021617,132.71136704747067,132.02405171051657,130.8309514952576,129.47264362718593,138.3385615667836,133.4074608119981,131.50937115229252,134.4206764797148,131.30335160370421,136.129249414417,131.33521752772273,132.69536315342523,134.75488808696213,135.6916931622939,129.2770392901128,132.72351402702884,144.8564141916722,140.64183893459935,133.0206266949334,140.20983049173483,128.4798886534902,143.3252113062738,141.67461643631498,128.6958101671923,135.87862271847862,131.21456519388474,136.5609581262987,135.58361771057216,127.22801037686831,136.11886292244535,132.7127367282956,132.64075613992125,130.49742679994694,141.84496507764752,137.16898323362344,133.44743875058938,133.51806203703572,132.34522239089176,138.05971933868227,135.61687914347166,132.40832007770746,131.47829485883423,128.99971775352807,134.2955639479493,131.46393151829898,137.03322581135527,134.0964191594748,135.61130305966404,133.74038479481845,138.17831649173758,133.0954913375698,131.90996956952952,133.42143583849625,129.8755487721864,140.89882337487344,143.0540790276822,143.88170066872286,132.3551662960527,129.8368818010099,129.8729953660035,135.45791182084798,132.94389396783802,130.28884184513618,143.14192520848815,132.24202114306175,132.33862525685157,132.31933057275876,129.84483311623126,133.80054942506158,134.31635867945295,130.08232347403083,137.92152169238582,133.93867899378623,132.31389673013055,142.62461322871812,137.44756175484684
Romidepsin,135.55339822122554,133.2214386020952,0.0,141.45114480552516,135.2000295985641,131.91557274846846,134.07584591719925,131.81118976095857,140.7996020211388,126.91140305108453,131.74406626774666,135.1001505431154,136.41711121097808,134.8952180611887,136.10509678944157,136.42897833276467,134.41438535769308,134.7121989968289,134.19180975894943,130.3658428438537,135.36436547826597,130.03828650720868,127.52909573024687,136.46732555937132,132.94670834313524,136.1712356217272,132.82242341233254,132.51329765604657,134.62969611131632,127.55500417900133,135.60215375386068,127.6738855702811,135.66703603870926,133.84874067920046,133.68680266616636,132.86436283546698,142.19717773505337,133.21957225009987,132.730604276001,134.79196693482993,130.7444009064631,128.28781250669886,141.68484435638612,133.71348484920694,137.3044055513513,131.33896650327978,135.04772423907048,132.64646540215188,134.168126694165,140.58861538819292,132.92148605126798,130.38776902871226,131.62394909594744,129.72497448075512,132.5190360599398,131.9003093049899,128.5569486628976,135.28214236316504,134.43857009517748,134.0114148110546,131.17047622545087,127.26529193844205,142.97474817589043,133.2449674737203,128.74266411241558,134.11051699196187,127.80607111061978,131.6657397402987,132.32987095469167,130.39992206217246,131.19435968530777,128.37521958375507,137.73600182381276,132.66086454159563,131.07515698768535,133.58461966728768,129.8601374565557,135.64184692376423,130.91749139840644,131.16384832092365,135.5584687085205,134.12088003045588,127.44369066022234,132.71065919839756,144.87945876881358,140.50059576588794,132.03388840140653,139.6268902715431,129.23374644245806,142.7471761910665,141.05899410300879,127.53246856951736,133.5573690733708,129.87566414821336,136.22461143851382,133.52215367188444,126.53754406892178,134.86750264631982,131.4310761765874,131.05894537319264,129.54624967110257,140.46782898220212,137.4346294669871,133.33396828437716,132.47372374853012,131.2031892745354,136.84488093397292,134.60468908592225,132.86745078803412,131.0456832457647,127.98146909631043,134.36242383967408,130.00973589363784,134.24665947306914,131.67779291262352,135.00496665486378,132.34130582796797,137.4734824774624,132.47851595358614,130.98207843600898,133.53035151433656,129.25676140634155,141.83128160885167,141.69584192328196,141.43536731606935,130.63202816993106,130.5758907415827,129.0411951191721,134.3351625771028,131.09608840485075,128.76615532256307,142.53751101858967,131.8836785875046,131.83282741490314,130.94773158354818,129.64229568267893,130.86543944468065,133.04541873740365,129.82987495990693,136.04166300163558,133.98539652405216,131.89341989142767,142.60853586353232,136.8089105494906
Tacedinaline,144.05684008611559,143.09661083928668,141.45114480552516,0.0,143.87067132935218,139.91677565069807,142.94998110466764,139.80152381572168,148.53370273975844,136.28562872471377,141.38226851752688,143.36554097192408,144.7488655522534,141.7048133757828,144.52592527993494,144.71531630689924,144.69508581786747,143.47230249104345,142.22810482668197,140.59302807781077,143.59549470847108,139.04943477730197,137.28454306027362,144.17222278064324,142.7087873269247,143.45021704098076,142.8995479517534,140.23643344243473,142.02794043896898,137.82280023022943,143.67288082245125,136.66208462791255,143.77018225740846,141.4881885453071,141.47773133144207,141.03717852140088,149.85589599249104,141.1268853715221,141.63079656817283,143.80015874510383,140.00897118937107,139.10211295749926,148.51198427067018,143.28642122761667,145.42811588588515,141.41464636511725,143.24826251606856,140.4934527836003,140.80536364935938,147.0179353599848,141.1029723573139,138.4817268708123,141.2403545945892,139.30798678049476,142.30851153258618,140.3800207256514,138.10099224651128,143.13470737788208,142.67498355803835,142.22044130606108,139.06297999640591,135.46610311121512,151.90352747583933,140.57651617888533,137.72938404356765,142.5349124597548,137.66390903230246,141.59359235648049,140.47369503202114,138.49839356440089,138.94466196365184,136.35860472047477,145.22927365045,141.05147109710165,139.78168114590872,142.3372707774538,139.27897165293246,142.45237228964007,139.0316797788786,141.00062675225644,142.40391660975314,142.1597072788606,137.77499573538867,141.11592627424326,150.89528511895878,147.29141288242118,139.40999567746223,148.24993093740673,137.24931232043977,148.79397504639937,148.60336250580534,136.47028848330868,142.54407679407527,139.55328939852012,144.26469523255108,142.0774780365133,135.5546594310442,143.00156371291936,140.04479621768863,140.7981061720765,137.83574824535694,148.85790487111518,144.9796511310226,140.96508194332054,141.21056828700893,139.22452332066374,143.9484662028627,140.82147234081498,139.95261970251545,139.59793908235932,136.5180280741585,140.96675007143565,139.18072959749725,143.57408540191025,140.75057969068115,143.5550769776623,140.7889712642866,145.4852061054721,140.76487136282557,140.67009788986854,141.32627435886818,136.94619960117848,149.66760118302108,149.8039950646309,150.1160089569991,139.97286717768753,138.42873888854103,137.64575079631607,143.13608041943988,140.48613740802995,137.9112058255588,150.44899978615055,140.32285530324756,140.17754017486666,139.20496006651337,137.57004172161956,141.48186819106954,142.22143562829817,137.80085221737465,144.7262153679408,141.04817436206673,140.65756783328857,149.15145749439424,144.8785880564011
Tucidinostat,136.78733568435004,135.90833498737967,135.2000295985641,143.87067132935218,0.0,133.94296616239887,136.1351731653843,133.4521123303917,142.8444910148616,129.12442910519084,134.67559242078656,136.85188917386878,137.77535040167675,136.79022307348762,137.96506087164101,137.8172635685353,136.7696811536871,136.7142806014166,135.08214858062695,131.84015049441632,137.5846675509709,131.62440757769406,129.84414783545142,137.5153254525757,135.7095556226102,137.12334988978347,134.43435219973128,134.54526110319858,135.27656102573033,130.0710795349362,135.76898490758944,129.77654112894248,137.38765398444517,135.9341908181726,134.6410489819098,134.20725532849113,143.49410608389886,134.54636763392423,134.60970491885246,136.58460418282556,132.5580848048176,132.07728881836098,143.02070156551085,135.09116959488625,137.63935719929708,133.75994018263663,136.90172532652952,133.41060543399584,134.24302046882238,141.64919028519432,133.20557592441006,131.41959835344318,133.18754281360165,133.05021619744437,134.02088863616197,133.82718343989893,131.14572744722935,136.96253724282224,135.12027404313062,134.90652546145435,132.41622029003008,129.69013895230862,144.36414904234292,134.49441260797514,131.04663611865152,135.2891791501258,130.98427701658238,133.86138532169394,133.09291787474064,131.5183376789652,133.18898166421081,129.6906025633576,138.07134624366543,134.95659529153895,132.14852348659045,135.41586756607717,131.64232541050308,137.02183859156108,132.55677787316722,133.05673623887924,136.35946900686332,136.00638406549066,129.65089999889148,133.53353658301185,145.11713089138544,142.44057461840438,134.54897471835054,140.961503314737,129.82975007926066,144.9732982900473,143.60274135418126,130.15404625242917,136.79106712644247,132.40562360951813,137.50229936395988,136.03803666572887,127.3967495015914,137.1351142227779,133.48318991046102,132.0513437942412,130.14775127910193,142.72680644345874,139.11825927458216,134.5272350584968,134.16043320116017,132.54216167767603,137.93635401549037,135.76300872973968,133.00300880220067,132.72314474751752,129.43684026421133,134.9079160453591,131.48141592091358,136.49530352092856,134.12307254738855,136.25188145161857,134.18181489061436,138.0596705260389,134.7910431243453,133.1622731169714,134.59075337210348,129.78837135080641,142.70698112354668,144.0939927643448,143.79393043128317,132.52577478256802,131.90179458286207,131.63024829690895,136.56096950081871,133.49871641463793,131.0070148866769,144.58012611064305,132.91613481399804,131.80868543119254,132.53806315644056,131.35548740280413,134.05327816849046,135.66808803810306,132.0945389016196,137.32768857266012,135.55709403649152,133.54784242462654,143.08118026983405,136.94744566398597
Domatinostat,134.35058531309554,133.5940331330816,131.91557274846846,139.91677565069807,133.94296616239887,0.0,132.99073096104402,130.02605543709163,140.42795668606138,125.75081620075372,133.37139184324155,134.3149968000054,134.37910442944354,133.02628634806456,134.95572293640754,134.93203121111085,134.67379971450984,134.08615584448967,133.6141019354737,130.42134898272684,135.39807493222693,128.8456541428392,127.1052141799521,134.833268540723,133.16633234924248,135.04169642261846,133.21895662342558,130.68493739288974,131.9668465532727,126.83436788452791,135.2586934468921,126.93189376618602,134.98168212962332,132.29119718472882,132.30805535853273,131.7549058939079,141.0846226219985,131.18369252102735,131.88585025859166,134.4815254319529,129.2029112159496,128.2070884626006,140.07530398676622,132.3105238341791,136.12880564076318,131.41075283084055,133.4823962690833,131.18617250630004,131.91959215239254,139.76600449379592,131.15567819495251,128.05188266197806,132.24796016615028,129.96708027628895,131.86213190910865,131.79045993471988,127.62061988808091,135.08074042187306,132.06338715011853,133.57655082364587,130.41344726577998,125.56702218742048,142.7117803610094,131.79575608511743,127.86400447128075,133.69716449980174,126.68758383384038,131.3181908276854,130.63846497984485,129.32358027584422,128.9764817949518,127.09730804053719,137.0387485515837,131.83357156265933,130.16301255534532,132.23279546202693,128.3328372755049,134.15120865884958,129.65843523379303,130.69875148753863,133.7212670993822,132.73116813152947,127.25404149659411,131.19027379295574,143.15113021913007,139.60084967435688,130.944095200094,139.19597017198535,127.11918985645234,141.28441656579236,140.03563924082977,127.62967929365423,133.4654297091383,130.65821869015582,135.43767762839278,133.56117738346333,124.86302960516156,134.05931697186455,131.71987568591595,130.23570766433517,127.30828795432839,139.6994387120409,135.61335333913158,132.08565461122365,130.92326089817797,128.9977958883332,135.41875888670538,133.62429435743664,130.90117896533806,129.96824468804445,126.8271661298884,132.80272636194047,129.48772759813986,134.24761219092474,131.65870778025499,134.94847525956715,130.68951385503684,136.27244102508902,131.6892466608143,130.0040988129486,131.74812739596652,127.67410735600963,140.59776241789808,140.39488447886083,140.7962329688815,129.58922558986075,129.1963772499748,129.30287737694258,134.07133655008482,130.55098947901305,127.75652116329354,141.8293189017862,131.1068726395604,130.5162864461814,129.64291167708885,127.80580291302108,131.52066741758418,132.75781178922597,129.4334872715017,134.88200566396665,131.9164064357212,130.12621760828284,141.88634227632735,134.54048657760322
Pracinostat,135.6812080569956,135.6692456975513,134.07584591719925,142.94998110466764,136.1351731653843,132.99073096104402,0.0,132.3157862639096,140.65847220514377,128.32147333370767,133.99306734328087,136.35753338858035,136.39613113634337,136.0406750551087,136.40071642635783,137.08862220939145,137.46911930060367,134.52079983983725,135.12559562416538,131.47000584152437,137.27076300428405,130.12993264550656,129.45866794186296,136.35341262137158,134.78658222727086,135.55222373313129,135.37241102809233,133.06235170603122,135.13563982928974,130.26089242532754,136.80282693399099,127.34696941188862,135.68575010594864,134.89035686230957,133.65266826826397,132.94485452192347,141.94659576971026,134.1325671169238,133.7571367680055,135.68330363427566,132.07164726098887,130.49609592395743,142.40366538811372,134.90709033002216,138.95300724250092,132.83700392459951,135.81166891878314,133.06594939463236,134.70225753793164,141.65510336824525,132.5294403362299,130.431533232944,133.49406024937514,130.8287839996733,133.59442454119917,133.28680696787478,129.9482625820185,136.66592126444033,133.9884971790405,134.7008983175768,132.3488544230084,128.44488769835215,144.12901548974386,132.8286907847486,129.63806643290232,135.0287421279977,129.9759204408757,132.11031366824898,131.94428728269042,130.84605840599968,130.14012088043873,129.3334032316901,139.16108058710995,134.93985088562312,131.2411196223085,134.46298444603113,130.52387746169506,136.57540580616185,131.06797525455048,131.8734048751286,135.24012166071583,133.68225997503205,128.96210540847392,132.24895512009468,144.2818808540236,141.9252432509652,132.34286591151135,141.38894218721757,129.51073113484563,142.63791031867692,141.47242020630455,129.16545191259917,136.02344587441382,132.41745855476765,135.65076308134564,134.32680346718857,127.02088016733607,135.77653753026186,133.55024419822183,133.8873032992313,129.3139962510561,141.7968335760156,138.1983150029813,133.56763977221124,133.03639497959534,132.21553202925318,137.23676983942784,135.02261141531838,133.1749994272328,131.93248004447932,127.65264032341362,134.06529334344216,129.7939594836324,135.94128314047458,132.62163155484998,136.62794182808867,132.81301264876262,138.16267834023682,132.73222576960256,131.52775490490765,134.08834423327167,129.3574975096266,141.83437513606907,142.41797191577191,142.709507213075,132.00827314614563,129.86797299744742,130.0475526958336,134.8163958344666,132.93268088174145,130.60519063046445,143.5120809165279,132.9971291796811,132.1875273014019,131.9730172425413,129.54179191732558,133.22725845863292,134.5946852800837,131.46602217123507,136.4960479735492,133.15039257395992,133.22086541985087,144.1133967278579,136.8324480619906
Quisinostat,133.52864194050042,132.42797315297804,131.81118976095857,139.80152381572168,133.4521123303917,130.02605543709163,132.3157862639096,0.0,138.93836282242245,124.9966933532036,130.73658190928717,132.95855191997956,134.48892293948347,133.43632828618792,134.26265772454508,134.81579582826132,133.32962902165497,131.9942881424224,130.82102935792372,129.33574278796044,134.7453999503567,127.94960595490635,127.55028746672286,134.28741918359114,132.44976358022802,133.34716668845994,132.24563650793417,130.7634519010455,131.99558356453377,126.47358355885284,133.5597518560789,125.89965744631266,134.05060966903594,131.66599742166838,131.38942272917123,131.32089608572724,138.49907686065143,131.07921981952512,130.6470485189629,132.67070248590986,129.09735065850936,127.114564934,140.1237259987669,132.82879382790742,135.4081871472209,129.824113586359,132.93865367574668,129.54515032760875,129.89614001111514,138.3695716653342,130.4455017228436,127.60917615577915,131.064949396568,128.45325428228426,131.11415360745983,130.67501052141392,126.46924418934779,134.40048924132077,131.5950043581397,132.12460487714068,128.94146080627618,125.30656943767298,141.75346203070382,129.8527173498827,126.26566549775912,132.4671768881398,126.86538341901759,129.48381844544048,129.19995400376627,128.36367896775656,128.80953577678062,126.44297695515503,135.81494422543994,131.10096361379382,127.2261078959746,131.90691336376193,127.02345545205748,133.0202939478121,128.2233060453919,129.29767087744878,133.23798789768918,131.92055887483488,125.82431956628822,131.03592357789105,140.56456001154433,138.92817027513684,130.4779293772875,139.2343972453341,126.27182265771961,142.37509353526372,138.96418017534305,124.72033123744133,133.29749440441933,129.10936304126656,133.82536965220189,130.95729360167405,123.66812346049437,132.74678355529477,130.4143787048138,131.0097990804431,127.14151187185527,139.5113764159744,135.14013419017846,130.81889549717542,130.02769484355863,127.89920170653359,133.84926949126373,132.86152709408475,129.67274055103056,128.94182679832406,125.44314486836872,131.21165559708038,128.7542229336006,133.89697086412994,130.45775527100693,132.63964116287244,130.5932737080378,135.47219716646845,130.97655699647265,130.17338559722708,130.76254208277157,126.54799552509638,138.07535195223033,139.5597071380714,140.9830707040592,129.20473097878877,128.28813484622162,127.96726911361542,133.70961032741727,130.81183117242284,127.75477892580034,140.492817754595,129.62450255532454,131.20121694561027,129.76783113304847,128.65569473404676,132.01126218773777,132.85616746865145,128.73883069609795,134.87961060193925,131.24199022523408,129.52745939703217,138.34543416725572,134.75236005074845
Vorinostat,142.47216706487734,141.03133193194304,140.7996020211388,148.53370273975844,142.8444910148616,140.42795668606138,140.65847220514377,138.93836282242245,0.0,135.35177182327405,140.61441634607542,142.95188028085676,144.41925351001854,142.02720087173498,143.24820220058814,143.50448310204877,141.40281463893044,141.17060473567065,140.9367278224127,138.51417082055747,143.70236615676433,136.60205747443177,136.59883925234243,143.41105853114942,141.41280183112286,143.05837447757435,141.55281290893964,140.52138034576683,141.74304870527905,136.03283288044847,143.26736469166488,134.61064955797653,143.12859921321143,141.40682507619854,139.92154862269388,139.163128233045,147.23955632026508,140.3352175934647,140.53222964380322,142.3755811098805,138.6572179628663,137.48033216131094,148.03734818109214,142.01371071038204,144.86936008046484,138.10762243015876,142.284256309837,138.3311289494154,140.7779802076224,146.04750460715414,139.23557297766746,136.97151622497395,138.83014338937434,137.4165722808036,140.43881903323384,139.58035661117762,137.23808911844665,143.0765163521669,140.84833033106463,142.20040977610196,139.3129033594449,134.87444118175418,150.1767074882201,139.3123596377666,136.01551874287156,141.33158440423347,135.86776398056494,139.77603968003388,138.892456470916,137.36213560859505,137.16975184665569,136.10489878757235,143.75032829008828,140.91412480167298,138.04066781315973,141.97983583097374,138.4805520723108,142.50354054832442,137.77187985334734,140.04516372908046,141.17010642838306,141.2509647064276,135.79262785892462,139.1415908827271,150.28913323411334,147.21454783544283,138.8930555158347,146.49726661508254,136.91948132833352,149.62132623042075,148.2884693652769,136.08456153648143,142.12340926898005,138.28667211537632,143.3871671318907,142.09147134384094,134.3807403564691,143.03380056163402,139.57629608377263,141.3520232318053,135.70799713131342,147.18005430184337,143.9300744272259,139.65229476279467,139.5722063485912,138.61990121202476,144.29665487497846,141.80669952923603,138.94229522630275,140.1602677306937,135.13608450632685,141.382697597292,136.21308307881952,142.34069249508957,140.511424892194,141.01480337559826,139.49763215439265,143.59219210914227,140.36634037745688,139.54104163274062,139.77058669559756,136.37076266684804,147.69785714713515,148.53952878443152,150.24736246927674,139.8690371935193,137.11201780571633,136.67751863892977,142.52640723600635,139.64106613333914,136.85491900031712,149.94588784297417,138.22364902582237,139.45857510899154,137.89952900350195,136.0398960977113,140.65160421581172,140.973801435696,137.94505063454005,144.1665164729564,140.9939074836204,139.74168545594728,148.3963399676494,143.40781402999554
AR-42,129.31463563985753,127.85630957131137,126.91140305108453,136.28562872471377,129.12442910519084,125.75081620075373,128.32147333370767,124.9966933532036,135.35177182327405,0.0,126.65868570775388,127.63020224273805,130.6585956919615,129.23427616414,130.42733077453457,129.8579396300878,129.4451016497373,128.30841280558883,127.7874510446028,125.14778338460377,130.95562074960569,123.69433288184285,121.50031141980833,129.37762575467804,128.28579430737543,129.666368371175,127.53154718823558,124.54373471269929,128.38022552290192,122.7682737734477,130.1130110193307,121.23378695624024,129.81189620143152,127.54664535973315,126.98151609059282,127.22206210897723,135.54992889810515,127.22589607700684,125.65315579161127,129.2217819906361,124.70162335784113,122.8096094773809,136.7386409953358,128.27969243605563,130.3080260248021,126.18640546979245,127.54131899132642,126.22355497933442,127.07697324504112,133.74493558461032,125.72337921292343,123.70154890873476,126.11842093192851,124.47350326338925,127.65773700058242,124.07299178149906,122.23534087412794,129.65128352442858,127.88730520715441,127.56724506876083,124.07702279982736,120.10448476767321,137.60391593128932,126.10986598592469,121.51095388132143,128.0715410825294,122.20396729071095,126.31312554308595,124.59145461034738,123.62326233949722,123.7844145986622,121.79060401108507,131.30690487065257,126.80978884080486,123.2739560998659,126.79082553492815,123.44901693328329,129.1628270453603,123.42040032594221,124.64355639637094,129.24272407966322,128.64621679544294,121.61858932487401,125.7772578781214,138.64288262454764,134.5866718706317,126.11486260788837,134.73498842282692,122.00366784322115,138.23570606156684,135.06402522759018,122.03871782139431,127.91195710177655,124.12557869460932,130.46820775797676,127.82574645564662,119.77601903988895,127.84173759389499,125.17805906811721,126.01615483271794,123.25766622343144,135.54345748497397,131.06958334545126,126.85758683533416,126.0717493628101,124.037037829257,130.04642645185172,127.64933073328136,125.75030138844195,124.8184249662897,121.37322772113629,127.4236968878946,124.76313802788233,129.0612013285939,127.06263250320671,128.9305857885363,125.37705853417549,130.55800414087687,126.87922527359065,125.65905146768388,127.26929936087312,122.21258908581792,135.1552674105217,135.64260796632814,136.90573729410622,124.01151064383158,123.5077943502119,123.32847702424507,128.89450471678597,124.43024595745537,122.78851401647698,137.76867755205862,125.37035826842549,125.1650081576032,125.40447701130454,123.56032364755066,126.49455428291478,129.2352352091463,123.86260544834572,129.9265241935545,127.75096192498236,125.40422871151937,136.2582085594906,129.5783670999747
