.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Decitabine:Q99075	Decitabine	Q99075	-5.22473802221985	1.7358136155863	222.187335197052	3492.01549708836	3492.01549708836	33197.1989424216	FALSE	0.999980960698452	0.618207624430437	13.6232150195623	14.6644176734221	21.9146364901185	1	1.81558204865324	2.08825881518638	2.03972177928925	2.05573969480873	221.287412392188	1	1	1	1	1	1	Proheparin-binding EGF-like growth factor	1902171	HBEGF	0.0336490528414756	0.191837343140756	1.7358136155863	221.287362864481	31.488828510386	R_Bin_1
non-regulated	Decitabine:Q9NS23	Decitabine	Q9NS23	-3.42179427381413	0.557458635096863	49.3242142672407	3442.43003354478	3442.43003354478	62849.4232952079	FALSE	0.999320998728974	0.797457435230884	16.6784641906026	17.7196668444623	5.11021217903543	1	0	1.23141227319728	0	1.25774523238511	48.0876358718974	1	0	1	0	1	1	Ras association domain-containing protein 1	623673	RASSF1	0.0306580259222333	0.500000000019253	0.557458635096878	48.0876483431926	6.79942865095557	R_Bin_1
up	Decitabine:Q96PV4	Decitabine	Q96PV4	-0.981074255471148	0.536512276600858	4.62339482543254	46.9040529620941	46.9040529620941	46.7995058860824	FALSE	0.939909942662321	0.747153647552572	15.8965728663662	16.9377755202259	2.44104478431482	1	0	1.58297495269532	3.06671868744607	4.91479372962588	4.25839675743038	1	0	1	1	2	2	Paraneoplastic antigen-like protein 5	51188427	PNMA5	0.46772183449651	0.398806580038412	0.546277843198315	4.60228776070552	0.929145963165151	R_Bin_1
non-regulated	Decitabine:Q9BUF5	Decitabine	Q9BUF5	0.0012869471090617	-0.996472209279051	1.00000000088123	2680.97446620197	2680.97446620197	1072752.44858737	TRUE	0.999937031262456	0.00510257649932434	-43.9417300379053	-42.9005273840456	0.00461589532605454	1	0.0104051823107417	0.00397789042370669	0	0	0.00499887901493945	1	1	1	0	0	1	Tubulin beta-6 chain	2223942284.25	TUBB6	0.955134596211366	0.00372357224842206	0.00831341998845248	0.000918318500027326	-0.143148544065178	R_Bin_1
non-regulated	Decitabine:Q9BY11	Decitabine	Q9BY11	0.000471469837042606	-0.991452971285741	0.998621568118734	3799.31019877023	3799.31019877023		TRUE	0.999898686433967	0.00649405965331108	-41.0480230205951	-40.0068203667354	0.00470755814189475	1	0.000933897199607155	0	0	0.00151105326458121	0	1	1	0	0	2	0	Protein kinase C and casein kinase substrate in neurons protein 1	1995289249.33333	PACSIN1	0.949900299102692	0.00451066235818452	0.00605781906553771	0.00335729446091171	-0.142807672337288	R_Bin_1
non-regulated	Decitabine:Q6GPH6	Decitabine	Q6GPH6	0.0084067965305759	-0.980778247764789	0.999999567239727	205.328993372782	205.328993372782		TRUE	0.998255439338443	0.0266595624051349	-24.1009025267388	-23.059699872879	0.0173968509206857	1	0.05547791024266	0	0	0	0.00754630420457158	1	1	0	0	0	1	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1	572831598	ITPRIPL1	0.857552342971087	0.0181505838373023	0.0413518057962748	-0.00656417892235373	-0.146534348848718	R_Bin_1
non-regulated	Decitabine:A6NNM3;Q9UFD9;A6NJZ7	Decitabine	A6NNM3;Q9UFD9;A6NJZ7	-5.93408871212367e-05	0.645597661050902	-0.580234799972593	1402650475647830000	1402650475647830000		TRUE	0.818166529124973	0.268891620196725	3.6330234590341	4.67422611289383	0.0333784988167764	1	0	0	0.157417240866224	0.0168052419316737	0	1	0	0	1	1	0	RIMS-binding protein 3B	212275243	RIMBP3B;RIMBP3;RIMBP3C	0.717098703888335	0.0334203724181914	0.0334831827992425	0.0332738148072028	-0.136919058095393	R_Bin_1
non-regulated	Decitabine:O60296	Decitabine	O60296	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Trafficking kinesin-binding protein 2	0	TRAK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decitabine:O75716	Decitabine	O75716	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Serine/threonine-protein kinase 16	0	STK16	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decitabine:O94808	Decitabine	O94808	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	0	GFPT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
