.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Nexturastat A:Q9BUF5	Nexturastat A	Q9BUF5	-4.53075348859022	0.686832795409654	419.129014344696	4875.27387078611	4875.27387078611	22203.929062992	FALSE	0.999983978799327	1.04080855020807	19.8743603711925	20.9155630250522	27.1364014203472	1	0	0	1.74750831066165	1.00599083576535	403.583970255945	1	0	0	1	1	1	Tubulin beta-6 chain	30814363.6	TUBB6	0.361644174817383	0.500000000000004	0.686832795409654	403.583877775829	57.6481523456481	R_Bin_1
non-regulated	Nexturastat A:Q92542	Nexturastat A	Q92542	0.00060017696740767	-0.934933426491463	1.00165847927451	660.28818994717	660.28818994717		TRUE	0.971253129106176	0.107283805562617	-7.39294479692175	-6.35174214306203	0.0342455225874112	1	0	0	0.169603959431999	0	0	1	0	0	1	0	0	Nicastrin	34441178.5	NCSTN	0.380958276587842	0.034914594626207	0.0359181988510148	0.032572842811284	-0.1380113154448	R_Bin_1
up	Nexturastat A:Q643R3	Nexturastat A	Q643R3	-9.75487039393323	0.466218245188876	2.55233459802618	2.55282742056561	2.55282742056561	32.4704257969747	FALSE	0.811266863762147	0.808724493889926	16.8468223562867	17.8880250101465	1.96520131938339	1	0	3.169289162351	1.94517883624386	2.71854846360586	2.38298990711581	1	0	1	1	1	1	Lysophospholipid acyltransferase LPCAT4	4163258	LPCAT4	0.051628079732574	0.500111640171362	0.466218245188915	2.55233459802618	0.395613845722557	R_Bin_1
non-regulated	Nexturastat A:P52741	Nexturastat A	P52741	0.0219354422013183	-0.992616278951562	1.00000863930759	716.22645096461	716.22645096461		TRUE	0.992108371739354	0.0563445063984464	-15.1208603949285	-14.0796577410688	0.037732103773197	1	0.125905471165184	0	0	0	0	1	1	0	0	0	0	Zinc finger protein 134	54768472	ZNF134	0.468738392967686	0.0377718530445692	0.100387753067636	-0.0251038555358364	-0.153649040385587	R_Bin_1
non-regulated	Nexturastat A:A1A5C7	Nexturastat A	A1A5C7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Solute carrier family 22 member 23	0	SLC22A23	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:O00757;P09467	Nexturastat A	O00757;P09467	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fructose-1,6-bisphosphatase isozyme 2	0	FBP2;FBP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:P01375	Nexturastat A	P01375	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Tumor necrosis factor	0	TNF	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:P07948	Nexturastat A	P07948	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tyrosine-protein kinase Lyn	0	LYN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:P51955	Nexturastat A	P51955	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Serine/threonine-protein kinase Nek2	0	NEK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:P51959	Nexturastat A	P51959	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cyclin-G1	0	CCNG1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:Q16610	Nexturastat A	Q16610	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Extracellular matrix protein 1	0	ECM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:Q16656	Nexturastat A	Q16656	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Nuclear respiratory factor 1	0	NRF1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:Q3ZCT1	Nexturastat A	Q3ZCT1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	1	0	0	0	1	Zinc finger protein 260	0	ZNF260	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:Q5TEJ8	Nexturastat A	Q5TEJ8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Protein THEMIS2	0	THEMIS2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:Q6ICL3	Nexturastat A	Q6ICL3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Transport and Golgi organization protein 2 homolog	0	TANGO2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nexturastat A:Q6SZW1	Nexturastat A	Q6SZW1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	NAD(+) hydrolase SARM1	0	SARM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
