.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Olaparib:O14917;Q9NPG4	Olaparib	O14917;Q9NPG4	-4.25023935716202	0.250000981144063	35.1866368697892	2468.72439726877	2468.72439726877	51833.5524017819	FALSE	0.999253342627308	0.612381044695632	13.5095791945859	14.5507818484456	4.49949457366375	1	0	0	0	0.984486691496978	35.095429672334	1	0	0	0	1	1	Protocadherin-17	26860347.3333333	PCDH17;PCDH12	0.337145698657384	0.250000982328997	0.250000981144063	35.0954338881604	4.95516024103317	R_Bin_1
up	Olaparib:Q15063	Olaparib	Q15063	-3.78918668418776	1.74438876103187	13.2060860140222	2281.50344445668	2281.50344445668	42840.2380632134	FALSE	0.953691834871672	1.61197263074527	25.123889998521	26.1650926523807	3.21738141403969	1	3.66723642377825	1.5090606944788	0.801033033053838	2.22690813582821	13.1638220643042	2	5	1	2	1	1	Periostin	31838478	POSTN	0.366732968672302	0.489858420437223	1.74438876103187	13.1638361675028	1.59400279417845	R_Bin_1
up, low confidence	Olaparib:P62841	Olaparib	P62841	0.000133930562963597	3.33830013273055	1.00038409172679	57725.3250958349	57725.3250958349		FALSE	0.957696511685996	0.158415118528248	-2.7160502942403	-1.67484764038057	2.16875426586604	1	2.35622671435157	2.09375489139918	2.12771956400777	2.08215960009538	2.17895195867628	6	4	5	6	6	6	40S ribosomal protein S15	446516132	RPS15	0.817752362008951	0.080887142805337	2.16830365244383	2.16920487940471	0.145900660663469	R_Bin_1
up	Olaparib:P00747;P08519	Olaparib	P00747;P08519	-0.262833142996107	1.09562378259163	4.5850005453259	1437.2780322616	1437.2780322616	3604.35940168102	FALSE	0.923194890505729	0.36579466381868	7.32618844258475	8.36739109644447	2.13642131000816	1	1.89062351486629	1.81279568861742	2.00093158561572	2.57872677110553	3.48332528748974	2	2	3	3	2	4	Plasminogen	12078506	PLG;LPA	0.19617105917454	0.229865096590341	1.35640379014655	3.27568846162702	0.419116345804706	R_Bin_1
non-regulated	Olaparib:Q562R1	Olaparib	Q562R1	0.000262747311710363	-1.02875269207673	1.0476177468519	1975.80216072176	1975.80216072176		TRUE	0.996800200023976	0.0364740267320062	-20.3394724043959	-19.2982697505361	0.0099964804804737	1	0	0.00236062393511338	0	0.00309915012186795	0	1	0	1	0	1	0	Beta-actin-like protein 2	7607137528.5	ACTBL2	0.989184485330681	0.00952540561508441	0.0107816049169289	0.00921135561406583	-0.142658947816272	R_Bin_1
non-regulated	Olaparib:P35555;P35556	Olaparib	P35555;P35556	0.000594651832973871	-0.972133685806583	0.998891909493548	2227.76108862995	2227.76108862995		TRUE	0.999562427449059	0.0133088806016283	-32.4374990134327	-31.396296359573	0.0146258669519327	1	0.0121068766088003	0.0159668534567855	0.022274507701212	0	0.0224489631723509	2	3	4	1	0	3	Fibrillin-1	1475210463.16667	FBN1;FBN2	0.927399303828941	0.00874791674678023	0.0163126102218678	0.0129391188133469	-0.140507661706292	R_Bin_1
non-regulated	Olaparib:Q86SX3	Olaparib	Q86SX3	0.000494546361202884	-0.970892821914672	0.999935057037696	673.706676845087	673.706676845087		TRUE	0.994080974676523	0.0490454069526058	-16.7857188369953	-15.7445161831355	0.0152664723720801	1	0	0	0	0	0.0761298983991899	1	0	0	0	0	1	Tubulin epsilon and delta complex protein 1	10741337	TEDC1	0.177896568871208	0.0158275348567004	0.0166691263910852	0.0138638163399087	-0.13198144308583	R_Bin_1
non-regulated	Olaparib:Q9NWS9	Olaparib	Q9NWS9	0.000368639352408678	-0.95115821621228	0.999991431759717	649.459907914842	649.459907914842		TRUE	0.984381990063727	0.0792684904189508	-11.0245888976097	-9.98338624374993	0.0249600637845103	1	0	0	0.125323516858124	0	0	1	0	0	1	0	0	Zinc finger protein 446	5649306.5	ZNF446	0.0815514669318747	0.025374109101528	0.0259951761854437	0.0239249505679899	-0.139276470946911	R_Bin_1
non-regulated	Olaparib:Q0VGL1	Olaparib	Q0VGL1	0.000402214111868109	-0.931104408370305	0.984955454236437	672.632970679655	672.632970679655		TRUE	0.988979788850667	0.066719587935217	-13.092694351192	-12.0514916973322	0.0275145664005376	1	0	0	0.102758792319891	0	0	1	0	0	2	0	0	Ragulator complex protein LAMTOR4	16655584	LAMTOR4	0.255842864246644	0.0279581974753791	0.0286236429413255	0.0264054888073889	-0.139921177362289	R_Bin_1
non-regulated	Olaparib:O15063	Olaparib	O15063	-0.00144205838359218	1.00000374153671	-1.00667423001617	3.03306500248883e+21	3.03306500248883e+21	10	TRUE	0.9957633661856	0.0408795690489664	-18.9711124873797	-17.92990983352	0.0299376696400529	1	0.0645797289513735	0	0	0.0493841807207823	0.0315653123723351	1	1	0	0	1	1	Granule associated Rac and RHOG effector protein 1	178654781.333333	GARRE1	0.680507210343113	0.0299378376704873	0.0340971207769775	0.0257774552326961	-0.13965028808086	R_Bin_1
