.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	PCI-34051:P05204	PCI-34051	P05204	-10.6571877593675	1.94748996265249	5.96668853901309	2359.14166513593	2359.14166513593	24685.29142147	FALSE	0.834771939532466	1.15416386958151	21.1148999250892	22.156102578949	2.45199621726557	1	2.48560494076985	2.50034441155916	2.63883889382776	1.11528855243221	5.96709523893098	2	2	2	2	2	1	Non-histone chromosomal protein HMG-17	135346162.666667	HMGN2	0.639578630549285	0.622101690040966	1.94748996265249	5.96668770828059	0.596086328911731	R_Bin_1
non-regulated	PCI-34051:Q5SVS4;O95258	PCI-34051	Q5SVS4;O95258	5.07088462616336e-05	-0.961217604587022	1.0001121072317	1526.08460705878	1526.08460705878		TRUE	0.998071711603531	0.0277671670388711	-23.6124259637989	-22.5712233099392	0.0195436394245812	1	0.0380238697023316	0	0.0337959694111061	0	0.0348291389598919	1	1	0	1	0	1	Kidney mitochondrial carrier protein 1	116593678.333333	SLC25A30;SLC25A14	0.614246300476549	0.0189260569764567	0.0196867692137443	0.0194005096326817	-0.140175141282755	R_Bin_1
non-regulated	PCI-34051:Q9NY46	PCI-34051	Q9NY46	0.0128176124066833	-0.994544299621563	1.00000361388691	653.338947012004	653.338947012004		TRUE	0.997334659217366	0.032922326496562	-21.5688648008168	-20.5276621469571	0.0220728126327115	1	0.0736002934540541	0	0	0	0	1	1	0	0	0	0	Sodium channel protein type 3 subunit alpha	38867066	SCN3A	0.410835214446953	0.022080534436815	0.0588162567022681	-0.0147056909438059	-0.149165739438919	R_Bin_1
non-regulated	PCI-34051:P08069	PCI-34051	P08069	0.0112691318697521	-0.99003654933974	1.00000398077465	1000.81152904385	1000.81152904385	127055.629798549	TRUE	0.99902043826476	0.0198714991865605	-27.6272392935706	-26.5860366397109	0.0243432192404519	1	0.0395712466536487	0.049901416916194	0	0	0	1	2	1	0	0	0	Insulin-like growth factor 1 receptor	260198742	IGF1R	0.747178329571106	0.0129087358237825	0.056579784408784	-0.00792047287345654	-0.147674718767918	R_Bin_1
non-regulated	PCI-34051:O43414	PCI-34051	O43414	0.000611898738965019	-0.934334590528427	1.00166894429858	660.29254787378	660.29254787378		TRUE	0.970728489103747	0.108253246700714	-7.28499702660849	-6.24379437274877	0.0345671468608188	1	0	0	0.171136259090215	0	0	1	0	0	1	0	0	ERI1 exoribonuclease 3	12300923	ERI3	0.198143967895661	0.0352490789663693	0.0362719730635186	0.0328623169368688	-0.137967535454565	R_Bin_1
non-regulated	PCI-34051:O14977	PCI-34051	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:O43900	PCI-34051	O43900	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Prickle planar cell polarity protein 3	0	PRICKLE3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:O43916	PCI-34051	O43916	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carbohydrate sulfotransferase 1	0	CHST1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:O60237	PCI-34051	O60237	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Protein phosphatase 1 regulatory subunit 12B	0	PPP1R12B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:O75052	PCI-34051	O75052	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	0	NOS1AP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:O75387	PCI-34051	O75387	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Large neutral amino acids transporter small subunit 3	0	SLC43A1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:P21589	PCI-34051	P21589	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	5'-nucleotidase	0	NT5E	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	PCI-34051:P30047	PCI-34051	P30047	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	GTP cyclohydrolase 1 feedback regulatory protein	0	GCHFR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
