.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Pemetrexed:P00374	Pemetrexed	P00374	-1.16545768051576	1.16967066370621	5.76362168028565	35.0812420244407	35.0812420244407	39.545719435229	FALSE	0.922573531431199	1.0026932679507	19.4266617838296	20.4678644376894	3.42534103762156	1	1.36283446108544	2.12600721154438	4.51700306131523	6.72687272243958	4.85859790671198	6	4	5	7	8	9	Dihydrofolate reductase	249902343.166667	DHFR	0.730721237833791	0.187392377801569	1.17463132966955	5.75730516475673	1.0793171476398	R_Bin_1
up	Pemetrexed:O75496	Pemetrexed	O75496	-0.859157521201954	1.96233570071782	8.2431504023937	3604.2378788099	3604.2378788099	16632.6431388037	FALSE	0.811429055444373	1.34352190412947	22.937919445243	23.9791220991027	2.74018865058815	1	3.40445493263452	1.29564151096914	2.56481785015932	3.41084935553112	6.42338526102231	3	1	4	2	2	3	Geminin	54064870.5	GMNN	0.466184177689044	0.516414625821858	1.96309943559357	6.39752037521016	0.811579597514043	R_Bin_1
up	Pemetrexed:O96020	Pemetrexed	O96020	-1.0832289206296	0.50247847192431	4.8290507698348	33.6160847382742	33.6160847382742	27.270047873454	FALSE	0.957018138624675	0.678646454818422	14.7425263470871	15.7837290009468	2.64288733927121	1	0	1.62232284329325	3.64406021442723	5.12426473816953	4.52597076992942	1	0	1	1	1	2	G1/S-specific cyclin-E2	6435927.4	CCNE2	0.0983279261292738	0.348105288314883	0.510394725479226	4.8200159305542	1.00069672672256	R_Bin_1
up	Pemetrexed:Q86YC2	Pemetrexed	Q86YC2	8.45427296646407e-05	3.69355706945515	1.00002249013676	68054044.0262513	68054044.0262513		FALSE	0.833063198877979	0.388697222183945	8.05493096167345	9.09613361553317	2.3459596348531	1	2.30876814363812	2.68963593938016	2.10560493691714	2.06357336089258	2.55839344088839	3	4	3	5	4	4	Partner and localizer of BRCA2	21781366	PALB2	0.303094584477165	0.261501571350016	2.34563192136966	2.34628734840205	0.184924338678352	R_Bin_1
up	Pemetrexed:Q9BZX2	Pemetrexed	Q9BZX2	-5.02098012640362	0.654174806608497	3.07516582677596	7.91148700534428	7.91148700534428	11.2467323280461	FALSE	0.965437098190863	0.358130204797628	7.07208211475869	8.11328476861841	2.15597439389375	1	0.30835666577585	2.5045323576269	3.13406599843444	2.96801236301486	3.12338995979013	3	1	4	2	3	3	Uridine-cytidine kinase 2	78285514.8333333	UCK2	0.536685799850262	0.083030375117811	0.654174807321148	3.07516582677596	0.549298586613578	R_Bin_1
up	Pemetrexed:P31350	Pemetrexed	P31350	-2.22113505674664	1.08430711712334	3.38406745904607	55.6318317866731	55.6318317866731	49.5656616752887	FALSE	0.975687249374775	0.292996431609403	4.66324782642693	5.70445048028665	2.12137367302746	1	1.19022841143198	1.11155969403643	2.89795851676727	3.10170514430177	3.65840193703119	11	11	11	13	14	15	Ribonucleoside-diphosphate reductase subunit M2	2082277254.5	RRM2	0.947841277763913	0.0949623686815574	1.08430895344297	3.38404487836744	0.594652534471319	R_Bin_1
up	Pemetrexed:A0AVK6	Pemetrexed	A0AVK6	-2.43741087503932	1.07716680300744	3.24583418842879	70.2653014833163	70.2653014833163	94.4881721854045	FALSE	0.968576524528999	0.310901524201572	5.37503729998713	6.41623995384685	2.01113785208543	1	1.2068620539651	1.04197920933747	2.60536768206065	2.95145744450326	3.53384192885734	2	2	3	4	4	4	Transcription factor E2F8	4524998.16666667	E2F8	0.0626403793361617	0.103396963138065	1.07716705276327	3.24582194752784	0.55618240824641	R_Bin_1
non-regulated	Pemetrexed:Q562R1	Pemetrexed	Q562R1	0.000172960092580502	-0.991968200691743	0.996405470966583	2604.84042600948	2604.84042600948		TRUE	0.999966122571473	0.00375350237850725	-47.6264048747033	-46.5852022208436	0.00259790247517557	1	0.00127356741536819	0	0.00165374731858864	0.00183370964537422	0	1	1	0	1	1	0	Beta-actin-like protein 2	7607137528.5	ACTBL2	0.989143998003494	0.00186213371354267	0.00309282755866347	0.00210297726639042	-0.142761880742611	R_Bin_1
non-regulated	Pemetrexed:Q8IYB4	Pemetrexed	Q8IYB4	0.00123890366841027	-0.997983943461409	0.999999999735997	2886.61008722318	2886.61008722318	10.0000000005907	TRUE	0.999926686158473	0.00551017041485408	-43.0195307235312	-41.9783280696715	0.00380137147773141	1	0.00989786748187397	0	0	0.0055467718282821	0	1	1	0	0	1	0	PEX5-related protein	12781330.6666667	PEX5L	0.207761417519341	0.0039209491197807	0.00736356177303355	0.000239133834967209	-0.143230093913165	R_Bin_1
non-regulated	Pemetrexed:P12259	Pemetrexed	P12259	0.000375349604508304	-0.988624681590846	0.999995218813022	640.276533710172	640.276533710172		TRUE	0.999009794435792	0.0201926653785968	-27.4348440743872	-26.3936414205274	0.00624658616200971	1	0	0	0.0318796354089673	0	0	1	0	0	1	0	0	Coagulation factor V	22008277	F5	0.304716745695034	0.00667626438550839	0.00732078076459286	0.00517239068608633	-0.141946296131172	R_Bin_1
