.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Talazoparib:O60239	Talazoparib	O60239	-0.58709254230473	1.03749765066326	19.7696372112099	17826.0864683089	17826.0864683089	20084.6062665955	FALSE	0.996834429996414	0.272025958298885	3.77209262477901	4.81329527863874	2.526091707852	1	0.978341574904033	1.25678822038904	2.19829977834031	3.76239605383134	8.86537381472675	3	4	4	4	7	7	SH3 domain-binding protein 5	7846162.66666667	SH3BP5	0.126916843286373	0.0858730333235301	1.05296346698823	8.82929654625097	1.38915840195334	R_Bin_1
up	Talazoparib:P14635	Talazoparib	P14635	-1.01399450106438	1.00102716784434	2.57535133781588	1.90748967755943	1.90748967755943	2.32699861444073	FALSE	0.877892854663362	0.393216562086618	8.19364876877259	9.23485142263231	2.16551472302276	1	1.54150879777089	2.32613462106468	2.50126238173443	2.98721229828321	2.20739336896987	4	4	4	4	4	4	G2/mitotic-specific cyclin-B1	184960448.166667	CCNB1	0.696920583468395	0.0613064008586732	1.07643157994111	2.57508500185704	0.301405860201602	R_Bin_1
up	Talazoparib:Q9H2G9	Talazoparib	Q9H2G9	-0.880038178160558	0.889212506298769	4.48540364829879	191.720068079313	191.720068079313	39.0788052479317	FALSE	0.997815617048226	0.113591603976357	-6.7073621964359	-5.66615954257618	2.13479610935742	1	0.814747390077769	1.12396520901901	2.20931547306714	3.77910216571661	4.39222692696712	3	3	4	6	5	6	Golgin-45	21285167.1666667	BLZF1	0.306320907617504	0.0241672318332051	0.893851346406178	4.37791902524013	0.769701406451436	R_Bin_1
non-regulated	Talazoparib:Q9H8M7	Talazoparib	Q9H8M7	-1.51759275486359	0.594484906057078	72.5556313842181	17358.1537390384	17358.1537390384		FALSE	0.996114985306282	0.869611282269639	17.7178783825695	18.7590810364293	2.07826256740933	1	0	1.37311146999712	0	1.56413167210384	22.339377183806	1	0	1	0	1	1	Ubiquitin carboxyl-terminal hydrolase MINDY-3	5300600.33333333	MINDY3	0.0755516768482733	0.500012847992995	0.594485710815392	22.3400141689084	3.14331912758127	R_Bin_1
up	Talazoparib:Q99618	Talazoparib	Q99618	-0.175844672834474	1.00569715078001	3.22437432234871	69.2363133094684	69.2363133094684	419.722952540709	FALSE	0.901323701555108	0.291132866388935	4.58667964676634	5.62788230062607	2.04461190803146	1	1.9404769106925	1.59610111191702	2.18765294583962	2.46570201092586	2.55663473714377	3	2	5	3	4	4	Cell division cycle-associated protein 3	22446683.1666667	CDCA3	0.316793417279641	0.157768953369554	1.53924711874187	2.57134963627988	0.284297166295472	R_Bin_1
non-regulated	Talazoparib:Q9BY11	Talazoparib	Q9BY11	4.53767244485927e-07	-0.996959264950224	0.999612325486737	2359.40446135349	2359.40446135349		TRUE	0.999968459738816	0.00361924262610997	-48.0634999194984	-47.0222972656387	0.00132750697836766	1	0.00572917593855577	0	0	0	0.00250730063162792	1	2	0	0	0	1	Protein kinase C and casein kinase substrate in neurons protein 1	1995289249.33333	PACSIN1	0.949881560902631	0.00132750697836781	0.00132881078665159	0.00132620317008381	-0.142990029275929	R_Bin_1
non-regulated	Talazoparib:Q96AA3	Talazoparib	Q96AA3	0.000954233776729281	-0.980255558039272	0.999999999194785	245.676216988293	245.676216988293	10.0000167763066	TRUE	0.999023162939581	0.0199767930478598	-27.5638223085283	-26.5226196546685	0.010840716179937	1	0.0284615180157972	0	0	0	0.0230226639009753	1	1	0	0	0	1	Protein RFT1 homolog	2664153	RFT1	0.0372771474878444	0.0131429653353065	0.0135600933466766	0.00812132927432741	-0.142007749558358	R_Bin_1
non-regulated	Talazoparib:Q9BUF5	Talazoparib	Q9BUF5	0.0102495957909221	-0.98531917155389	0.999999600469426	328.156557185655	328.156557185655		TRUE	0.999162761704669	0.0184508455176618	-28.5173549717735	-27.4761523179138	0.0192382222044884	1	0.0531120574834063	0.0109141525570719	0.00288963825056256	0	0	1	1	2	1	0	0	Tubulin beta-6 chain	2223942284.25	TUBB6	0.955117815733699	0.0123393648235858	0.0485027820675483	-0.0100401336306762	-0.147638876764478	R_Bin_1
up	Talazoparib:O95620	Talazoparib	O95620	-5.27847984691512	0.249764272792999	8.22249698549097	823.756083436143	823.756083436143	1482.5878189268	FALSE	0.988770958636132	0.612396367398705	13.5098794490404	14.5510821029001	1.97902547879052	1	0	0	0	6.11480505731998	8.22262873741664	1	0	0	0	1	1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	8292392	DUS4L	0.135394589203341	0.249764273100662	0.249764272792999	8.22248189611336	1.55593025311552	R_Bin_1
up	Talazoparib:O95271	Talazoparib	O95271	-0.843677699677748	1.23677666058332	11.4826422658494	9845.51379919932	9845.51379919932	18355.1946494165	FALSE	0.991356189799463	0.301460889187762	5.005006108592	6.04620876245173	1.97518979132089	1	1.42752058520539	1.13399949704235	1.70227517747285	2.45101693655862	6.40532314810678	2	3	3	4	6	12	Poly [ADP-ribose] polymerase tankyrase-1	8502475.4	TNKS	0.140132153098117	0.159808033289825	1.23740448495052	6.39335481729747	0.876153727857831	R_Bin_1
non-regulated	Talazoparib:O14715;Q99666	Talazoparib	O14715;Q99666	0.0120719817054043	-0.997892797091198	1.00000106184991	2688.32325110911	2688.32325110911		TRUE	0.995330547279566	0.0433410625131596	-18.2694711963519	-17.2282685424922	0.0278253755799434	1	0.0869587679997378	0	0	0	0.017483606439402	1	1	0	0	0	1	RANBP2-like and GRIP domain-containing protein 8	578169013	RGPD8;RGPD5	0.859618501433736	0.0295609335047517	0.0624743571078751	-0.00686663605654847	-0.147813093480063	R_Bin_1
