.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	VHL ligand 1:Q9Y4D7	VHL ligand 1	Q9Y4D7	-9.94217236101563	0.250196544211737	6.52666098174237	286.167412365903	286.167412365903	4728.99380002959	FALSE	0.924553793691121	1.46399381200601	23.9684042776877	25.0096069315474	2.1878303790866	0	1	0	0	7.85645880858724	5.19698560642298	0	1	0	0	1	1	Plexin-D1	0	PLXND1	0	0.500090547413248	0.250196544211737	6.52666098174237	1.33012298451076	R_Bin_1
non-regulated	VHL ligand 1:P17038;Q96N22	VHL ligand 1	P17038;Q96N22	0.000264633720920829	-0.960120496075858	1.00260323671826	733.576282294086	733.576282294086	100136.731989132	TRUE	0.988170505075736	0.069082928782591	-12.6749855430177	-11.633782889158	0.0216496278914176	1	0	0	0.109182562388046	0	0	1	0	0	1	0	0	Zinc finger protein 43	181111183	ZNF43;ZNF681	0.693030834795688	0.0219486201898977	0.0223971082966454	0.0209021471704473	-0.139737641074627	R_Bin_1
non-regulated	VHL ligand 1:Q8ND30	VHL ligand 1	Q8ND30	0.000401241675987781	-0.929951466253504	0.984764105904959	672.657369670226	672.657369670226		TRUE	0.988587128704461	0.0678856145890434	-12.8847875304423	-11.8435848765826	0.0279935338586755	1	0	0	0.104568230470416	0	0	1	0	0	1	0	0	Liprin-beta-2	45007331	PPFIBP2	0.441840060165455	0.0284357818690332	0.0290991527473381	0.0268879139259859	-0.139869479129417	R_Bin_1
non-regulated	VHL ligand 1:O00180	VHL ligand 1	O00180	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Potassium channel subfamily K member 1	0	KCNK1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	VHL ligand 1:O14977	VHL ligand 1	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	VHL ligand 1:O43790;P78385;Q14533	VHL ligand 1	O43790;P78385;Q14533	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cuticular Hb6	0	KRT86;KRT83;KRT81	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	VHL ligand 1:O94851	VHL ligand 1	O94851	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	[F-actin]-monooxygenase MICAL2	0	MICAL2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	VHL ligand 1:P01833	VHL ligand 1	P01833	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Polymeric immunoglobulin receptor	0	PIGR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	VHL ligand 1:P09629	VHL ligand 1	P09629	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Homeobox protein Hox-B7	0	HOXB7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	VHL ligand 1:P15907	VHL ligand 1	P15907	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Beta-galactoside alpha-2,6-sialyltransferase 1	0	ST6GAL1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
