.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Veliparib:Q8NDV3	Veliparib	Q8NDV3	-3.65476306222288	-5.04737106904403e-05	14.6613518885808	2044.95112572266	2044.95112572266	44.2107893793057	FALSE	0.999999999754763	0.000146071945176099	-86.5825493768243	-85.5413467229645	2.02332995814912	0	0	0	0	1	14.6171364103343	1	0	0	0	1	1	Structural maintenance of chromosomes protein 1B	0	SMC1B	0	5.04473932869407e-05	-5.04737106878601e-05	14.6171365202094	2.17387663004776	R_Bin_1
non-regulated	Veliparib:Q96Q42	Veliparib	Q96Q42	6.0594837890917e-05	-0.985910628298593	1.00265659543806	1191.22308154887	1191.22308154887		TRUE	0.999920522764506	0.0057255370284004	-42.5594411456574	-41.5182384917977	0.00848230011741065	1	0.00518908193592594	0.0049188782362217	0.00493630676910246	0.00452789532334077	0.00568902033144601	4	3	3	2	1	6	Alsin	27879058740.5	ALS2	0.997693786034593	0.00355470761572594	0.00865570910221425	0.00830889112817768	-0.142100600847076	R_Bin_1
non-regulated	Veliparib:Q9NXB0	Veliparib	Q9NXB0	0.00350761654355096	-0.990545391676864	1.0000000189632	666.229587443211	666.229587443211	484500.155449673	TRUE	0.998623478012066	0.0237751405503495	-25.4749910939907	-24.433788440131	0.0100469948400341	1	0	0.0401874743811078	0	0	0	1	0	1	0	0	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.56668802049968	0.0120565755789112	0.0200940115283731	-7.44584894185607e-07	-0.144005356410889	R_Bin_1
non-regulated	Veliparib:O75808	Veliparib	O75808	0.00684268605909737	-0.997020067232101	1.00000006245014	646.79089440414	646.79089440414		TRUE	0.999246582411131	0.0175917747518209	-29.0894999452961	-28.0482972914363	0.0117990234108299	1	0.0393339369000733	0	0	0	0	1	1	0	0	0	0	Calpain-15	28519695	CAPN15	0.282254964766176	0.0118001967266548	0.0314572105741235	-0.00786449279580304	-0.146228623162863	R_Bin_1
non-regulated	Veliparib:Q3YBR2	Veliparib	Q3YBR2	0.00738322403281065	-0.99676722603538	1.00000005304182	645.279077016232	645.279077016232		TRUE	0.999122151066032	0.0189794706782148	-28.1783824824537	-27.1371798285939	0.0127294687403002	1	0.0424362906987271	0	0	0	0	1	1	0	0	0	0	Transforming growth factor beta regulator 1	16483984	TBRG1	0.17988468930173	0.0127309412523731	0.0339365821462511	-0.00848433246972069	-0.146494539202748	R_Bin_1
non-regulated	Veliparib:P49796	Veliparib	P49796	0.000655577052800094	-0.974439871515949	1.00191762073569	652.89921496896	652.89921496896		TRUE	0.994909725633092	0.0455074521535693	-17.6841641815088	-16.642961527649	0.0147195363344462	1	0	0	0.0718732613746335	0	0	1	0	0	1	0	0	Regulator of G-protein signaling 3	7313433	RGS3	0.075208199871877	0.0154653745715171	0.0165841268416057	0.0128549411728286	-0.140803621103582	R_Bin_1
non-regulated	Veliparib:Q96BR1	Veliparib	Q96BR1	-0.0001639754302727	0.999631253661744	-0.969342057179492	25411669.3762519	25411669.3762519		TRUE	0.996446110452684	0.0378143264863283	-19.9064208744563	-18.8652182205966	0.0162420777927917	1	0	0	0	0.0424298603561349	0.0526375177260723	1	0	0	0	2	2	Serine/threonine-protein kinase Sgk3	98995152.6	SGK3	0.515182575272261	0.0214937123605228	0.0167067145785322	0.0157774406811724	-0.131700652294321	R_Bin_1
non-regulated	Veliparib:Q13885;Q9BVA1	Veliparib	Q13885;Q9BVA1	0.000514770073770161	-0.962427903496024	1.00015349702146	1208.37612363679	1208.37612363679		TRUE	0.999904987983816	0.00616732330914939	-41.6674982914531	-40.6262956375934	0.0197829458260999	1	0.0168130789399433	0.0276684066462035	0.0177638208951064	0.0193444925300254	0.0176725118591513	2	1	3	2	1	1	Tubulin beta-2A chain	3024281303.16667	TUBB2A;TUBB2B	0.955156950672646	0.00278527724427116	0.0212368492996072	0.0183290396598977	-0.140398508162431	R_Bin_1
non-regulated	Veliparib:Q9P0K1	Veliparib	Q9P0K1	0.00903412046776316	-0.984577565347445	1.00002814564512	557.674113773107	557.674113773107	22998.7739727941	TRUE	0.998689257355463	0.0230391110765239	-25.8523582951744	-24.8111556413146	0.0205853870126595	1	0.0516327506009011	0	0.0255763825029835	0	0	1	1	0	1	0	0	Disintegrin and metalloproteinase domain-containing protein 22	71878082.3333333	ADAM22	0.454067905188981	0.0128590618373348	0.0463715946038	-0.00521240593371386	-0.146552053408563	R_Bin_1
non-regulated	Veliparib:Q6YHK3	Veliparib	Q6YHK3	0.000409836046966654	-0.942332865844524	0.987003891115945	672.441497135991	672.441497135991		TRUE	0.992280383538223	0.0559422581231967	-15.206836689144	-14.1656340352842	0.0229398211389958	1	0	0	0.086152910700313	0	0	1	0	0	1	0	0	CD109 antigen	17850376	CD109	0.193850096092249	0.0233949912854414	0.0240777452840578	0.0218018958729961	-0.140395631122848	R_Bin_1
non-regulated	Veliparib:Q02742	Veliparib	Q02742	0.00846003086164121	-0.977313918749188	0.999999571055026	662.194746021819	662.194746021819	192871.444418767	TRUE	0.991986871926788	0.0569315501751024	-14.9964812701608	-13.955278616301	0.0240600259472853	1	0	0.0962339966951268	0	0	0	1	0	1	0	0	0	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	3783632	GCNT1	0.0436899423446509	0.0288744842923736	0.0481199826423732	-9.97798571511499e-06	-0.145606685619861	R_Bin_1
non-regulated	Veliparib:Q07912	Veliparib	Q07912	0.0160384772153552	-0.995046779708037	1.00000244364891	735.439929384116	735.439929384116		TRUE	0.995803224706927	0.0412195947121414	-18.871712417962	-17.8305097641023	0.0276254386074378	1	0.0921363200510442	0	0	0	0	1	1	0	0	0	0	Activated CDC42 kinase 1	62862435	TNK2	0.427033952594491	0.0276411512049146	0.0735760507796642	-0.0183964947613825	-0.150754541718661	R_Bin_1
non-regulated	Veliparib:Q99941	Veliparib	Q99941	0.000417662022638187	-0.936308424254401	1.00102581971182	652.157294004199	652.157294004199		TRUE	0.973323815724921	0.103369912344583	-7.83891009596561	-6.79770744210589	0.032970902599512	1	0	0	0.16342980989568	0	0	1	0	0	1	0	0	Cyclic AMP-dependent transcription factor ATF-6 beta	9276344.5	ATF6B	0.097501601537476	0.0334366871911652	0.0341353627899027	0.0318064412297476	-0.138187719717266	R_Bin_1
non-regulated	Veliparib:A0A024RBG1;Q9NZJ9	Veliparib	A0A024RBG1;Q9NZJ9	0.0104958615425385	-0.965048407138417	1.00000071782255	652.871768241303	652.871768241303	47085.8124220188	TRUE	0.99841449668933	0.0250470345656819	-24.8496120562559	-23.8084094023962	0.0330805692909222	1	0.0335227183587167	0.0516440566827342	0.0505797014412496	0	0	1	2	1	2	0	0	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1061606442	NUDT4B;NUDT4	0.882511210762332	0.0163188316248137	0.0627361688786093	0.00340599860353075	-0.145760928866218	R_Bin_1
non-regulated	Veliparib:A1L168	Veliparib	A1L168	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Uncharacterized protein C20orf202	0	C20orf202	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:A5PLL7	Veliparib	A5PLL7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Plasmanylethanolamine desaturase	0	TMEM189	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:A6NCN2	Veliparib	A6NCN2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative keratin-87 protein	0	KRT87P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:O14810	Veliparib	O14810	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Complexin-1	0	CPLX1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:O60299	Veliparib	O60299	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Leucine zipper putative tumor suppressor 3	0	LZTS3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:O60741	Veliparib	O60741	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	0	HCN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:P08174	Veliparib	P08174	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Complement decay-accelerating factor	0	CD55	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Veliparib:P10073	Veliparib	P10073	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger and SCAN domain-containing protein 22	0	ZSCAN22	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
