.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Voxtalisib:Q13506	Voxtalisib	Q13506	-6.70561561689173	1.17568960495729	5.12956749361189	244.975308919239	244.975308919239	781.622945568987	FALSE	0.979535993022157	0.466304070848837	10.2393778713986	11.2805805252583	2.44967292888652	1	1.25847013525675	1.2956190516393	1.158301197425	5.56627482579206	4.69247163771917	1	1	2	1	1	1	NGFI-A-binding protein 1	11794752	NAB1	0.187429431689876	0.147809524862295	1.17568960495729	5.1295674935495	0.892812983028214	R_Bin_1
up	Voxtalisib:Q9UHA2	Voxtalisib	Q9UHA2	-1.23583334956368	0.997690944709152	2.76162686295392	1.96620163879997	1.96620163879997	1.35637517262885	FALSE	0.953912080424431	0.266675764878894	3.53372534536592	4.57492799922564	2.30208985450395	1	1.52586139714603	2.5763531668785	2.56405679426476	3.06002128637612	2.62626321144085	1	1	2	1	1	1	SS18-like protein 2	2034966	SS18L2	0.0289800526910049	0.0881780819023447	1.0410388584067	2.76158051683884	0.363471410065165	R_Bin_1
non-regulated	Voxtalisib:Q96C92	Voxtalisib	Q96C92	0.000509153262837443	-0.980418441282116	0.999900528772336	645.997002499619	645.997002499619		TRUE	0.997215924724073	0.0337502117362242	-21.2708370436208	-20.2296343897611	0.0105015217992703	1	0	0	0	0	0.0518912508083699	1	0	0	0	0	1	Endosome-associated-trafficking regulator 1	11959999.5	ENTR1	0.190314891481621	0.0110819375591233	0.011952558817505	0.00905048260389529	-0.135444107027376	R_Bin_1
non-regulated	Voxtalisib:Q6GPH6	Voxtalisib	Q6GPH6	0.000288668263952564	-0.98108765985144	1.0030240509348	1975.88015698863	1975.88015698863		TRUE	0.999311579144102	0.0167645736576879	-29.6674619460454	-28.6262592921856	0.0115602602101439	1	0.00703953761967881	0.0204878381773647	0	0	0.0248325790417201	1	1	1	0	0	1	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1	572831598	ITPRIPL1	0.856605193827625	0.0112305589525656	0.0123845130814925	0.010736006793959	-0.140498387309366	R_Bin_1
non-regulated	Voxtalisib:Q9BUF5	Voxtalisib	Q9BUF5	0.00508188220285495	-0.981785197316004	0.999997628509568	759.733205254373	759.733205254373	189860.612242995	TRUE	0.996458630720578	0.0379422997691059	-19.8658783917721	-18.8246757379124	0.0171097721266882	1	0	0.064853076926785	0.00277285857305881	0	0.00343805684553724	1	0	1	1	0	1	Tubulin beta-6 chain	2223942284.25	TUBB6	0.954836281520512	0.0186219953376013	0.0316002550290785	0.00261700697123857	-0.144139712403601	R_Bin_1
non-regulated	Voxtalisib:Q9UF56	Voxtalisib	Q9UF56	0.000403266559262864	-0.932408738854541	0.985176330096505	672.606436249933	672.606436249933		TRUE	0.989411104148431	0.0654143073366354	-13.3297853213686	-12.2885826675089	0.0269748428841996	1	0	0	0.100736083778483	0	0	1	0	0	1	0	0	F-box/LRR-repeat protein 17	25431208	FBXL17	0.335340609710199	0.0274199888384979	0.0280877066136979	0.0258619780932279	-0.139978969034901	R_Bin_1
non-regulated	Voxtalisib:O95857	Voxtalisib	O95857	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tetraspanin-13	0	TSPAN13	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P01903;P01906	Voxtalisib	P01903;P01906	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HLA class II histocompatibility antigen, DR alpha chain	0	HLA-DRA;HLA-DQA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P02511	Voxtalisib	P02511	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-crystallin B chain	0	CRYAB	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P06731	Voxtalisib	P06731	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carcinoembryonic antigen-related cell adhesion molecule 5	0	CEACAM5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P09629	Voxtalisib	P09629	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Homeobox protein Hox-B7	0	HOXB7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P14222	Voxtalisib	P14222	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Perforin-1	0	PRF1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P55286	Voxtalisib	P55286	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cadherin-8	0	CDH8	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P61925	Voxtalisib	P61925	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	cAMP-dependent protein kinase inhibitor alpha	0	PKIA	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Voxtalisib:P68371;Q3ZCM7;A6NNZ2	Voxtalisib	P68371;Q3ZCM7;A6NNZ2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tubulin beta-4B chain	0	TUBB4B;TUBB8;TUBB8B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
