Target,Drug 1,Drug 2,Distance
HDAC1,Entinostat,Mocetinostat,116.79298438102118
HDAC1,Entinostat,Romidepsin,135.607355097721
HDAC1,Entinostat,Tacedinaline,141.26072727727882
HDAC1,Entinostat,Tucidinostat,115.81919522785226
HDAC1,Entinostat,Domatinostat,153.57328163713564
HDAC1,Entinostat,Pracinostat,135.16044547368148
HDAC1,Entinostat,Quisinostat,116.72370319543305
HDAC1,Entinostat,Vorinostat,142.36979356872158
HDAC1,Entinostat,AR-42,134.36703406229896
HDAC1,Entinostat,Belinostat,132.74354623076968
HDAC1,Entinostat,Citarinostat,63.22975339612207
HDAC1,Entinostat,Fimepinostat,120.04211674113016
HDAC1,Entinostat,Ricolinostat,60.45347874746107
HDAC1,Entinostat,Panobinostat,82.7487635271062
HDAC1,Entinostat,Givinostat,118.14641728330734
HDAC1,Entinostat,Nexturastat A,116.05069187688144
HDAC1,Entinostat,ACY738,65.09059948802704
HDAC1,Entinostat,PCI-34051,136.10248593748403
HDAC1,Entinostat,ACY775,134.6549736012921
HDAC1,Entinostat,CHDI00465983,154.9857165388655
HDAC1,Entinostat,LMK235,114.77720211072128
HDAC1,Mocetinostat,Romidepsin,127.76655638125334
HDAC1,Mocetinostat,Tacedinaline,119.1325185700665
HDAC1,Mocetinostat,Tucidinostat,53.39103292385098
HDAC1,Mocetinostat,Domatinostat,143.3506805886244
HDAC1,Mocetinostat,Pracinostat,126.87713065806902
HDAC1,Mocetinostat,Quisinostat,105.45426945343554
HDAC1,Mocetinostat,Vorinostat,120.42078168908198
HDAC1,Mocetinostat,AR-42,121.71806529231456
HDAC1,Mocetinostat,Belinostat,124.66051280964932
HDAC1,Mocetinostat,Citarinostat,112.5802188128678
HDAC1,Mocetinostat,Fimepinostat,62.88496353603091
HDAC1,Mocetinostat,Ricolinostat,113.7415285598102
HDAC1,Mocetinostat,Panobinostat,123.73022944757064
HDAC1,Mocetinostat,Givinostat,59.114780378444266
HDAC1,Mocetinostat,Nexturastat A,105.2841234545724
HDAC1,Mocetinostat,ACY738,113.91332100703296
HDAC1,Mocetinostat,PCI-34051,122.75668535863562
HDAC1,Mocetinostat,ACY775,122.068150214291
HDAC1,Mocetinostat,CHDI00465983,144.86295129245704
HDAC1,Mocetinostat,LMK235,54.43077529581776
HDAC1,Romidepsin,Tacedinaline,179.7811021005169
HDAC1,Romidepsin,Tucidinostat,126.57147850421738
HDAC1,Romidepsin,Domatinostat,162.3103335141312
HDAC1,Romidepsin,Pracinostat,58.92907774947521
HDAC1,Romidepsin,Quisinostat,120.78283206535052
HDAC1,Romidepsin,Vorinostat,179.92847755751296
HDAC1,Romidepsin,AR-42,130.15569627194498
HDAC1,Romidepsin,Belinostat,56.68349539859565
HDAC1,Romidepsin,Citarinostat,133.47577142148393
HDAC1,Romidepsin,Fimepinostat,128.81171277752273
HDAC1,Romidepsin,Ricolinostat,133.81344196307023
HDAC1,Romidepsin,Panobinostat,139.11085549577402
HDAC1,Romidepsin,Givinostat,128.36932835887728
HDAC1,Romidepsin,Nexturastat A,120.57977808985471
HDAC1,Romidepsin,ACY738,133.901236300016
HDAC1,Romidepsin,PCI-34051,131.38161206396242
HDAC1,Romidepsin,ACY775,130.2838125310218
HDAC1,Romidepsin,CHDI00465983,163.30548387104986
HDAC1,Romidepsin,LMK235,126.33855889380456
HDAC1,Tacedinaline,Tucidinostat,116.9421038988929
HDAC1,Tacedinaline,Domatinostat,186.43550053536396
HDAC1,Tacedinaline,Pracinostat,178.66017569519056
HDAC1,Tacedinaline,Quisinostat,152.5223482185749
HDAC1,Tacedinaline,Vorinostat,62.25045159092172
HDAC1,Tacedinaline,AR-42,177.38285851771911
HDAC1,Tacedinaline,Belinostat,176.91367728275551
HDAC1,Tacedinaline,Citarinostat,137.33471500851874
HDAC1,Tacedinaline,Fimepinostat,122.49781222211315
HDAC1,Tacedinaline,Ricolinostat,138.70352720236303
HDAC1,Tacedinaline,Panobinostat,149.80676742667742
HDAC1,Tacedinaline,Givinostat,120.150128586687
HDAC1,Tacedinaline,Nexturastat A,152.55683522235776
HDAC1,Tacedinaline,ACY738,138.27374319916905
HDAC1,Tacedinaline,PCI-34051,178.17415725351276
HDAC1,Tacedinaline,ACY775,177.4120791164712
HDAC1,Tacedinaline,CHDI00465983,187.44858266849496
HDAC1,Tacedinaline,LMK235,116.71903468485434
HDAC1,Tucidinostat,Domatinostat,143.57668325752476
HDAC1,Tucidinostat,Pracinostat,126.06628642426936
HDAC1,Tucidinostat,Quisinostat,104.67975873643137
HDAC1,Tucidinostat,Vorinostat,117.78377315725912
HDAC1,Tucidinostat,AR-42,121.3475048550498
HDAC1,Tucidinostat,Belinostat,123.65078131955784
HDAC1,Tucidinostat,Citarinostat,111.36593932098504
HDAC1,Tucidinostat,Fimepinostat,58.12947267892419
HDAC1,Tucidinostat,Ricolinostat,113.21319128913986
HDAC1,Tucidinostat,Panobinostat,122.7223224828976
HDAC1,Tucidinostat,Givinostat,56.464836434536615
HDAC1,Tucidinostat,Nexturastat A,104.66617513944064
HDAC1,Tucidinostat,ACY738,112.90091911922212
HDAC1,Tucidinostat,PCI-34051,122.57967991012592
HDAC1,Tucidinostat,ACY775,121.81466000461718
HDAC1,Tucidinostat,CHDI00465983,145.0788179693113
HDAC1,Tucidinostat,LMK235,50.05431187335473
HDAC1,Domatinostat,Pracinostat,162.26173746576475
HDAC1,Domatinostat,Quisinostat,130.9714892718662
HDAC1,Domatinostat,Vorinostat,186.73527044445063
HDAC1,Domatinostat,AR-42,125.59744463849634
HDAC1,Domatinostat,Belinostat,161.02499188808986
HDAC1,Domatinostat,Citarinostat,150.8569291652471
HDAC1,Domatinostat,Fimepinostat,146.00618713750808
HDAC1,Domatinostat,Ricolinostat,152.77226022877502
HDAC1,Domatinostat,Panobinostat,157.78242344518318
HDAC1,Domatinostat,Givinostat,144.91765749348656
HDAC1,Domatinostat,Nexturastat A,130.5790895336465
HDAC1,Domatinostat,ACY738,151.70635308231692
HDAC1,Domatinostat,PCI-34051,125.8612367957838
HDAC1,Domatinostat,ACY775,124.92454144264626
HDAC1,Domatinostat,CHDI00465983,53.40416856334959
HDAC1,Domatinostat,LMK235,143.1307168362585
HDAC1,Pracinostat,Quisinostat,119.83839630485654
HDAC1,Pracinostat,Vorinostat,178.8250843251623
HDAC1,Pracinostat,AR-42,129.39422757999662
HDAC1,Pracinostat,Belinostat,54.613904612616125
HDAC1,Pracinostat,Citarinostat,132.6077791010364
HDAC1,Pracinostat,Fimepinostat,128.26317640423986
HDAC1,Pracinostat,Ricolinostat,133.42929561290796
HDAC1,Pracinostat,Panobinostat,138.48427859747952
HDAC1,Pracinostat,Givinostat,127.43052142818324
HDAC1,Pracinostat,Nexturastat A,119.76837986242026
HDAC1,Pracinostat,ACY738,133.2298600648946
HDAC1,Pracinostat,PCI-34051,130.67878452106277
HDAC1,Pracinostat,ACY775,129.51774871571553
HDAC1,Pracinostat,CHDI00465983,163.0063048981675
HDAC1,Pracinostat,LMK235,125.17177453286376
HDAC1,Quisinostat,Vorinostat,152.94198290313437
HDAC1,Quisinostat,AR-42,102.40472096556708
HDAC1,Quisinostat,Belinostat,117.57296397297628
HDAC1,Quisinostat,Citarinostat,113.17486012931676
HDAC1,Quisinostat,Fimepinostat,108.78309731519448
HDAC1,Quisinostat,Ricolinostat,114.65651471146847
HDAC1,Quisinostat,Panobinostat,121.83883570369376
HDAC1,Quisinostat,Givinostat,106.7383982425477
HDAC1,Quisinostat,Nexturastat A,49.204208247867285
HDAC1,Quisinostat,ACY738,113.8161579109898
HDAC1,Quisinostat,PCI-34051,103.65089409973515
HDAC1,Quisinostat,ACY775,102.1855746881822
