Target,Drug 1,Drug 2,Distance,Class
HDAC1,Entinostat,Mocetinostat,116.79298438102118,HDAC inhibitor
HDAC1,Entinostat,Romidepsin,135.607355097721,HDAC inhibitor
HDAC1,Entinostat,Tacedinaline,141.26072727727882,HDAC inhibitor
HDAC1,Entinostat,Tucidinostat,115.81919522785226,HDAC inhibitor
HDAC1,Entinostat,Domatinostat,153.57328163713564,HDAC inhibitor
HDAC1,Entinostat,Pracinostat,135.16044547368148,HDAC inhibitor
HDAC1,Entinostat,Quisinostat,116.72370319543305,HDAC inhibitor
HDAC1,Entinostat,Vorinostat,142.36979356872158,HDAC inhibitor
HDAC1,Entinostat,AR-42,134.36703406229896,HDAC inhibitor
HDAC1,Entinostat,Belinostat,132.74354623076968,HDAC inhibitor
HDAC1,Entinostat,Citarinostat,63.22975339612207,HDAC inhibitor
HDAC1,Entinostat,Fimepinostat,120.04211674113016,HDAC inhibitor
HDAC1,Entinostat,Ricolinostat,60.45347874746107,HDAC inhibitor
HDAC1,Entinostat,Panobinostat,82.7487635271062,HDAC inhibitor
HDAC1,Entinostat,Givinostat,118.14641728330734,HDAC inhibitor
HDAC1,Entinostat,Nexturastat A,116.05069187688144,HDAC inhibitor
HDAC1,Entinostat,ACY738,65.09059948802704,HDAC inhibitor
HDAC1,Entinostat,PCI-34051,136.10248593748403,HDAC inhibitor
HDAC1,Entinostat,ACY775,134.6549736012921,HDAC inhibitor
HDAC1,Entinostat,CHDI00465983,154.9857165388655,HDAC inhibitor
HDAC1,Entinostat,LMK235,114.77720211072128,HDAC inhibitor
HDAC1,Mocetinostat,Romidepsin,127.76655638125334,HDAC inhibitor
HDAC1,Mocetinostat,Tacedinaline,119.1325185700665,HDAC inhibitor
HDAC1,Mocetinostat,Tucidinostat,53.39103292385098,HDAC inhibitor
HDAC1,Mocetinostat,Domatinostat,143.3506805886244,HDAC inhibitor
HDAC1,Mocetinostat,Pracinostat,126.87713065806902,HDAC inhibitor
HDAC1,Mocetinostat,Quisinostat,105.45426945343554,HDAC inhibitor
HDAC1,Mocetinostat,Vorinostat,120.42078168908198,HDAC inhibitor
HDAC1,Mocetinostat,AR-42,121.71806529231456,HDAC inhibitor
HDAC1,Mocetinostat,Belinostat,124.66051280964932,HDAC inhibitor
HDAC1,Mocetinostat,Citarinostat,112.5802188128678,HDAC inhibitor
HDAC1,Mocetinostat,Fimepinostat,62.88496353603091,HDAC inhibitor
HDAC1,Mocetinostat,Ricolinostat,113.7415285598102,HDAC inhibitor
HDAC1,Mocetinostat,Panobinostat,123.73022944757064,HDAC inhibitor
HDAC1,Mocetinostat,Givinostat,59.114780378444266,HDAC inhibitor
HDAC1,Mocetinostat,Nexturastat A,105.2841234545724,HDAC inhibitor
HDAC1,Mocetinostat,ACY738,113.91332100703296,HDAC inhibitor
HDAC1,Mocetinostat,PCI-34051,122.75668535863562,HDAC inhibitor
HDAC1,Mocetinostat,ACY775,122.068150214291,HDAC inhibitor
HDAC1,Mocetinostat,CHDI00465983,144.86295129245704,HDAC inhibitor
HDAC1,Mocetinostat,LMK235,54.43077529581776,HDAC inhibitor
HDAC1,Romidepsin,Tacedinaline,179.7811021005169,HDAC inhibitor
HDAC1,Romidepsin,Tucidinostat,126.57147850421738,HDAC inhibitor
HDAC1,Romidepsin,Domatinostat,162.3103335141312,HDAC inhibitor
HDAC1,Romidepsin,Pracinostat,58.92907774947521,HDAC inhibitor
HDAC1,Romidepsin,Quisinostat,120.78283206535052,HDAC inhibitor
HDAC1,Romidepsin,Vorinostat,179.92847755751296,HDAC inhibitor
HDAC1,Romidepsin,AR-42,130.15569627194498,HDAC inhibitor
HDAC1,Romidepsin,Belinostat,56.68349539859565,HDAC inhibitor
HDAC1,Romidepsin,Citarinostat,133.47577142148393,HDAC inhibitor
HDAC1,Romidepsin,Fimepinostat,128.81171277752273,HDAC inhibitor
HDAC1,Romidepsin,Ricolinostat,133.81344196307023,HDAC inhibitor
HDAC1,Romidepsin,Panobinostat,139.11085549577402,HDAC inhibitor
HDAC1,Romidepsin,Givinostat,128.36932835887728,HDAC inhibitor
HDAC1,Romidepsin,Nexturastat A,120.57977808985471,HDAC inhibitor
HDAC1,Romidepsin,ACY738,133.901236300016,HDAC inhibitor
HDAC1,Romidepsin,PCI-34051,131.38161206396242,HDAC inhibitor
HDAC1,Romidepsin,ACY775,130.2838125310218,HDAC inhibitor
HDAC1,Romidepsin,CHDI00465983,163.30548387104986,HDAC inhibitor
HDAC1,Romidepsin,LMK235,126.33855889380456,HDAC inhibitor
HDAC1,Tacedinaline,Tucidinostat,116.9421038988929,HDAC inhibitor
HDAC1,Tacedinaline,Domatinostat,186.43550053536396,HDAC inhibitor
HDAC1,Tacedinaline,Pracinostat,178.66017569519056,HDAC inhibitor
HDAC1,Tacedinaline,Quisinostat,152.5223482185749,HDAC inhibitor
HDAC1,Tacedinaline,Vorinostat,62.25045159092172,HDAC inhibitor
HDAC1,Tacedinaline,AR-42,177.38285851771911,HDAC inhibitor
HDAC1,Tacedinaline,Belinostat,176.91367728275551,HDAC inhibitor
HDAC1,Tacedinaline,Citarinostat,137.33471500851874,HDAC inhibitor
HDAC1,Tacedinaline,Fimepinostat,122.49781222211315,HDAC inhibitor
HDAC1,Tacedinaline,Ricolinostat,138.70352720236303,HDAC inhibitor
HDAC1,Tacedinaline,Panobinostat,149.80676742667742,HDAC inhibitor
HDAC1,Tacedinaline,Givinostat,120.150128586687,HDAC inhibitor
HDAC1,Tacedinaline,Nexturastat A,152.55683522235776,HDAC inhibitor
HDAC1,Tacedinaline,ACY738,138.27374319916905,HDAC inhibitor
HDAC1,Tacedinaline,PCI-34051,178.17415725351276,HDAC inhibitor
HDAC1,Tacedinaline,ACY775,177.4120791164712,HDAC inhibitor
HDAC1,Tacedinaline,CHDI00465983,187.44858266849496,HDAC inhibitor
HDAC1,Tacedinaline,LMK235,116.71903468485434,HDAC inhibitor
HDAC1,Tucidinostat,Domatinostat,143.57668325752476,HDAC inhibitor
HDAC1,Tucidinostat,Pracinostat,126.06628642426936,HDAC inhibitor
HDAC1,Tucidinostat,Quisinostat,104.67975873643137,HDAC inhibitor
HDAC1,Tucidinostat,Vorinostat,117.78377315725912,HDAC inhibitor
HDAC1,Tucidinostat,AR-42,121.3475048550498,HDAC inhibitor
HDAC1,Tucidinostat,Belinostat,123.65078131955784,HDAC inhibitor
HDAC1,Tucidinostat,Citarinostat,111.36593932098504,HDAC inhibitor
HDAC1,Tucidinostat,Fimepinostat,58.12947267892419,HDAC inhibitor
HDAC1,Tucidinostat,Ricolinostat,113.21319128913986,HDAC inhibitor
HDAC1,Tucidinostat,Panobinostat,122.7223224828976,HDAC inhibitor
HDAC1,Tucidinostat,Givinostat,56.464836434536615,HDAC inhibitor
HDAC1,Tucidinostat,Nexturastat A,104.66617513944064,HDAC inhibitor
HDAC1,Tucidinostat,ACY738,112.90091911922212,HDAC inhibitor
HDAC1,Tucidinostat,PCI-34051,122.57967991012592,HDAC inhibitor
HDAC1,Tucidinostat,ACY775,121.81466000461718,HDAC inhibitor
