Target,Count,Mean,Std,Min,Max
ABL1,3,117.0502064464157,19.725644701010125,94.2783338917377,128.86325410924542
ABL2,1,128.009031338264,,128.009031338264,128.009031338264
ALK,3,79.77474428141123,25.458067757021485,50.37915508069509,94.66674387180088
ATIC,1,153.84467449833392,,153.84467449833392,153.84467449833392
AURKA,10,144.94468976675645,58.85231091216128,53.93829761788414,195.28262315956113
AURKC,3,147.61191316030352,81.12801661274415,53.93829761788414,195.28262315956113
BRAF,1,128.121400358282,,128.121400358282,128.121400358282
BRD2,6,147.6787309369605,48.90138795087026,63.91202300129897,194.71944668607696
BRD3,6,147.6787309369605,48.90138795087026,63.91202300129897,194.71944668607696
BRD4,6,147.6787309369605,48.90138795087026,63.91202300129897,194.71944668607696
BRDT,6,147.6787309369605,48.90138795087026,63.91202300129897,194.71944668607696
BTK,1,128.009031338264,,128.009031338264,128.009031338264
CDK1,45,129.99576210706314,37.33765070240226,47.49313011343116,194.80588660879977
CDK2,55,130.27173848749476,37.26240275619764,50.88079736758159,194.80588660879977
CDK4,45,125.8688174524701,36.57923838093871,50.88079736758159,166.60228780667308
CDK5,15,128.4043176319831,25.64082025088816,67.41028734668849,163.8415516087644
CDK6,15,128.2972953901926,36.798837600972,50.88079736758159,166.48895344633667
CDK7,28,133.2726556882714,35.009246763401954,48.19644500415129,194.80588660879977
CDK9,28,133.29675990492896,41.70563456692367,46.9603574988309,194.80588660879977
CHEK1,1,193.52556879830533,,193.52556879830533,193.52556879830533
CRBN,6,136.057979080019,61.97149680534112,52.916092517521655,195.36404710365264
CSF1R,3,150.21855004038628,75.7789259020966,62.718080172719425,194.41200115013407
CSK,1,125.62100083558664,,125.62100083558664,125.62100083558664
DHFR,1,153.84467449833392,,153.84467449833392,153.84467449833392
DNA,55,118.41137845031496,27.256951885424193,49.93799900804204,163.47875384441085
DNMT1,1,129.49330317644277,,129.49330317644277,129.49330317644277
EGFR,3,116.96444036807357,19.657834920235135,94.2783338917377,128.96772345976208
EPHA2,1,128.009031338264,,128.009031338264,128.009031338264
EPHA5,1,128.009031338264,,128.009031338264,128.009031338264
EPHB4,1,128.009031338264,,128.009031338264,128.009031338264
ERBB2,1,94.2783338917377,,94.2783338917377,94.2783338917377
ERBB4,1,94.2783338917377,,94.2783338917377,94.2783338917377
EZH2,1,135.88713634134544,,135.88713634134544,135.88713634134544
FGFR1,1,54.537107443708194,,54.537107443708194,54.537107443708194
FGFR2,1,54.537107443708194,,54.537107443708194,54.537107443708194
FGFR3,1,54.537107443708194,,54.537107443708194,54.537107443708194
FGR,1,128.009031338264,,128.009031338264,128.009031338264
FLT1,6,145.82721235253356,54.352802335122504,54.537107443708194,194.41200115013407
FLT3,21,134.9210174377096,40.09636447914249,53.153122807259926,194.41200115013407
FLT4,10,140.69473027504063,68.68046163595885,54.537107443708194,194.41200115013407
FRK,1,128.009031338264,,128.009031338264,128.009031338264
FYN,6,86.19078960530432,45.276822058659135,42.02811883746014,128.009031338264
GSK3B,21,123.68118221683969,37.70509108550261,50.88079736758159,165.03929939758876
HDAC1,231,123.19101802655628,30.704690617795798,43.30884784723338,187.7729098092823
HDAC10,66,124.89851249591067,28.009145790448944,49.204208247867285,187.7729098092823
HDAC11,91,124.4078417056399,30.289459830492955,49.204208247867285,187.7729098092823
HDAC2,210,123.15467136367468,30.729304169970902,43.30884784723338,187.7729098092823
HDAC3,190,124.89281864219011,30.482213209076694,43.30884784723338,187.7729098092823
HDAC4,136,123.55118946611434,28.381510698459095,42.60146472289685,187.7729098092823
HDAC5,105,125.85484883211785,29.131166339928527,42.60146472289685,187.7729098092823
HDAC6,190,121.57199117184581,29.339633298008646,42.60146472289685,194.27735954841305
HDAC7,136,123.71151458914264,28.704520412545122,42.60146472289685,187.7729098092823
