.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Pinometostat:Q8N2U0	Pinometostat	Q8N2U0	-6.96164853004685	0.278183836474431	12.4609698778371	3.36378930921193	3.36378930921193	46.8901423367737	FALSE	0.87041311231894	3.76691823815681	35.3094726971209	36.3506753509806	8.74029005095888	1	0	12.5742973306455	16.7140448672607	10.5267305338631	10.0247299284622	1	0	1	1	1	1	Transmembrane protein 256	779504	TMEM256	0.0234794554764581	1.32802775360674	0.27818383676052	12.4609698778371	2.30981682230044	R_Bin_1
up	Pinometostat:Q9Y248	Pinometostat	Q9Y248	-0.37978385424133	1.00226695025701	5.18685992169252	0.192139632599665	0.192139632599665	0.745412131088123	FALSE	0.877245533618176	0.92555748323859	18.4660775514413	19.507280205301	4.41273432375706	1	3.75577480088359	4.47286646632765	4.2956767560787	6.07321632315884	4.53989494026884	3	2	2	2	1	2	DNA replication complex GINS protein PSF2	15843328.5	GINS2	0.245285375296615	0.557792135124102	2.83642104844792	5.12025913071469	0.699274558797743	R_Bin_1
up	Pinometostat:Q14703	Pinometostat	Q14703	-7.24812288465047	1.89248344885701	6.29010428353262	32.9604896968108	32.9604896968108	207.063664688719	FALSE	0.819988221550874	1.78422526869292	26.3421975870886	27.3834002409484	4.07547117593664	1	3.75037003284187	0.927348346021868	6.85144776059673	6.60554728469975	5.41290779569219	1	2	1	1	1	1	Membrane-bound transcription factor site-1 protease	6279723	MBTPS1	0.0964156363182216	0.88483996834872	1.89248344885701	6.29010428353262	1.04440486138884	R_Bin_1
up	Pinometostat:P11908	Pinometostat	P11908	-3.68922253267708	1.26119323733873	15.7393560452112	2230.49881908137	2230.49881908137		FALSE	0.999377402483571	0.230322562487243	1.77509192894103	2.81629458280076	3.1503882188929	1	1.29609996709001	1.30026788629211	1.44877604154926	1.97463583839539	15.6824831117255	4	3	4	3	2	1	Ribose-phosphate pyrophosphokinase 2	252004163.166667	PRPS2	0.732109404271263	0.036990673648893	1.26119323733873	15.6824559156991	2.15990089508002	R_Bin_1
up	Pinometostat:P08572	Pinometostat	P08572	-3.99744016145075	0.52438256203137	16.0507774851962	1861.43103744886	1861.43103744886	11494.8789296394	FALSE	0.994373332805767	0.743546427672882	15.8384971692297	16.8796998230895	2.79321502171819	1	1.09833358464781	0	0	1.71999992899752	16.0319025889379	1	1	0	0	1	1	Collagen alpha-2(IV) chain	7367907	COL4A2	0.117397277382291	0.500000006553349	0.52438256203137	16.0320790969967	2.2007003422211	R_Bin_1
up	Pinometostat:O75340	Pinometostat	O75340	-7.99273450523479	0.786448685795254	2.92384647987456	3.09576113971249	3.09576113971249	28.6768604911415	FALSE	0.836237697199273	0.772240417644275	16.292873745147	17.3340763990067	2.28648760246125	1	0.57310218798704	3.22097577788389	2.01740213619195	3.2824496573665	3.17454367082077	3	2	1	2	1	1	Programmed cell death protein 6	203197147.166667	PDCD6	0.699013363307106	0.274004164135733	0.786448685797852	2.92384647987456	0.508491060587151	R_Bin_1
up	Pinometostat:Q9NZL3	Pinometostat	Q9NZL3	-5.40898376945414	0.454410845916193	3.11383995095858	11.767224341752	11.767224341752	60.6215632547121	FALSE	0.945339086070084	0.50366244766367	11.1641982287035	12.2054008825632	2.01243213134619	1	0	1.2340909043918	3.11842730584933	3.15131155303471	3.07182015005553	1	0	1	1	1	1	Zinc finger protein 224	1264569	ZNF224	0.0248532534032721	0.03974570153835	0.454410845932964	3.11383995095858	0.619924908881123	R_Bin_1
non-regulated	Pinometostat:Q562R1	Pinometostat	Q562R1	9.41230183803561e-05	-0.996660576052299	1.00003111780746	17.1259824987682	17.1259824987682		TRUE	0.999983809231949	0.00259453857213882	-52.0577730959699	-51.0165704421102	0.00165645669633617	1	0.00133968840499429	0	0.00408294299520425	0	0	1	1	0	1	0	0	Beta-actin-like protein 2	7607137528.5	ACTBL2	0.989134507306107	0.00160236475663278	0.00192691639168474	0.00138599700380959	-0.142855317777708	R_Bin_1
up, low confidence	Pinometostat:P49069	Pinometostat	P49069	0.000213022889088034	2.97606271310168	1.01932458500029	2213203.1743678	2213203.1743678		FALSE	0.820787837461066	0.300423889011275	4.96365595360633	6.00485860746605	1.99653110315917	1	2.07604830802137	2.2257093879196	1.88687875944836	1.68560600847106	2.10771676803894	3	3	2	1	2	2	Calcium signal-modulating cyclophilin ligand	67070996.6666667	CAMLG	0.507930560759336	0.16994202847325	1.99593123776913	1.99713096913182	0.115097894659215	R_Bin_1
non-regulated	Pinometostat:Q9BVC6	Pinometostat	Q9BVC6	0.00752445428964812	-0.996701565695837	1.00000006777737	644.951822236541	644.951822236541		TRUE	0.999088059573699	0.0193419947996547	-27.9513337940154	-26.9101311401557	0.0129725216732873	1	0.0432467390200541	0	0	0	0	1	1	0	0	0	0	Transmembrane protein 109	26802050	TMEM109	0.334457349818908	0.0129740799775238	0.0345842265071165	-0.00864626056942774	-0.146564006201719	R_Bin_1
