.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Fostamatinib:O60268	Fostamatinib	O60268	-10.9984746479469	0.250081120010376	6.58643869028979	318.252750305699	318.252750305699		FALSE	0.986164130747463	0.612813442710643	13.5180493214905	14.5592519753502	2.14772941086366	1	0	0	0	6.56328565981306	6.60959423835691	1	0	0	0	1	1	Uncharacterized protein KIAA0513	10161056.5	KIAA0513	0.148129098624148	0.250081120010376	0.250081120010376	6.58643869028979	1.36393794774925	R_Bin_1
non-regulated	Fostamatinib:A5PL33	Fostamatinib	A5PL33	0.00043864384926194	-0.998690818154477	0.997874177910786	1972.03694017384	1972.03694017384		TRUE	0.999967261724381	0.00368808473560734	-47.8373899576448	-46.7961873037851	0.000496567697811429	1	0	0.00306997597046725	0.00412727848363431	0	0	1	0	1	1	0	0	Protein KRBA1	265908619.5	KRBA1	0.752346663237752	0.001787057499218	0.00175691513881071	-0.000763781665931607	-0.14282693421391	R_Bin_1
non-regulated	Fostamatinib:Q9UHL0	Fostamatinib	Q9UHL0	-0.000324110681626135	0.999995047671626	-0.986688816261576	991015697.636094	991015697.636094		TRUE	0.998965636114052	0.0205819273821032	-27.2057167849883	-26.1645141311286	0.00943161819956888	1	0	0	0	0.0323014935000625	0.0130578272663334	1	0	0	0	1	1	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832840426899833	0.00980227737128103	0.0103582635168945	0.00850496965896952	-0.13822303951909	R_Bin_1
non-regulated	Fostamatinib:Q8IZU2	Fostamatinib	Q8IZU2	0.000596714444198372	-0.982519030677365	1.00178866368868	652.120367484936	652.120367484936		TRUE	0.997433545513893	0.0324079648528304	-21.7578266786572	-20.7166240247974	0.0105306646562114	1	0	0	0.0511456203778639	0	0	1	0	0	1	0	0	WD repeat-containing protein 17	94700868.25	WDR17	0.571042818567571	0.0112122669063252	0.0122346664321196	0.00882665935765436	-0.141395839417775	R_Bin_1
non-regulated	Fostamatinib:Q9BYB0	Fostamatinib	Q9BYB0	0.000616982479302701	-0.976045694127598	1.00190483062259	652.898130172945	652.898130172945		TRUE	0.995469557665828	0.0429551882041977	-18.3767880851086	-17.3355854312489	0.0138532408659825	1	0	0	0.0678390689868072	0	0	1	0	0	1	0	0	SH3 and multiple ankyrin repeat domains protein 3	243183559	SHANK3	0.737173717371737	0.0145557365924998	0.0156094759396667	0.0120970019093156	-0.140918883743234	R_Bin_1
non-regulated	Fostamatinib:Q8IZ13	Fostamatinib	Q8IZ13	0.000656747956273829	-0.974394423492202	1.0019196047266	652.898348352955	652.898348352955		TRUE	0.994892381895745	0.0455841885814588	-17.6639463581153	-16.6227437042556	0.0147449818264768	1	0	0	0.0719944924086459	0	0	1	0	0	1	0	0	Protein ZBED8	130770750	ZBED8	0.631991770605632	0.0154921357457886	0.0166128615120504	0.0128770974615715	-0.140800157359753	R_Bin_1
non-regulated	Fostamatinib:Q71UM5	Fostamatinib	Q71UM5	0.00937819733729321	-0.996031911749119	1.00000023494245	654.954673589796	654.954673589796		TRUE	0.998579413999611	0.0241012724663324	-25.3115016727702	-24.2702990189105	0.0161627657872801	1	0.0538857005674054	0	0	0	0	1	1	1	0	1	1	40S ribosomal protein S27-like	17636263.5	RPS27L	0.246367493892246	0.0161657965888251	0.0430829789492442	-0.0107712112341758	-0.147475917191492	R_Bin_1
non-regulated	Fostamatinib:P04156	Fostamatinib	P04156	0.00582581675215948	-0.984352891607367	0.999999687961425	666.529431911249	666.529431911249	282683.064694785	TRUE	0.996198164287997	0.0393567729309206	-19.4266603718485	-18.3854577179887	0.0166320196881536	1	0	0.0665257822247418	0	0	0	1	0	1	0	0	0	Major prion protein	10022575	PRNP	0.145428828597145	0.0199592978011589	0.0332643592413003	-3.6207748641548e-06	-0.144757879492135	R_Bin_1
non-regulated	Fostamatinib:Q6ZN54	Fostamatinib	Q6ZN54	0.00588972882253791	-0.984182113670409	0.999999737662056	666.46684655944	666.46684655944	279404.911853798	TRUE	0.996114217315747	0.03978499094694	-19.2968005838392	-18.2555979299795	0.0168130043582997	1	0	0.0672496257952907	0	0	0	1	0	1	0	1	0	Differentially expressed in FDCP 8 homolog	186713971.5	DEF8	0.696026745531696	0.0201764928466755	0.0336262614928511	-3.66309678201393e-06	-0.144778560737008	R_Bin_1
non-regulated	Fostamatinib:Q05481;Q9P255;O75437;A6NK75	Fostamatinib	Q05481;Q9P255;O75437;A6NK75	0.000124656228247002	-0.964163950038507	1.00034958620877	297.006666708268	297.006666708268		TRUE	0.998535195585051	0.0242855291384933	-25.2201093641165	-24.1789067102568	0.0182299482994599	1	0.0260769896217727	0	0.023459884709933	0.0389599182668022	0	1	1	0	1	1	0	Zinc finger protein 91	791989046	ZNF91;ZNF492;ZNF254;ZNF98	0.885688568856886	0.0180889789538368	0.0185823716471478	0.0178775249282391	-0.141082609410142	R_Bin_1
