.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Givinostat:P52943	Givinostat	P52943	-6.6052587927517	0.659950064594303	7.56702906920134	123.965659225052	123.965659225052	714.312501406877	FALSE	0.959512503106511	1.11502299449124	20.7008863433261	21.7420889971859	3.29405753259559	1	0.978759391372481	0	2.00554657671931	8.52457054572513	6.60950866266882	1	1	0	1	1	1	Cysteine-rich protein 2	6656978.5	CRIP2	0.0874653913918953	0.500000207360368	0.659950064594303	7.56702906919958	1.5054435243749	R_Bin_1
up	Givinostat:P02545	Givinostat	P02545	-1.44527072539188	0.87344879422083	8.95460479126536	433.1847693782	433.1847693782	27.9318045822028	FALSE	0.999620843155609	0.111286035534567	-6.95343193302167	-5.91222927916194	3.08242708565572	1	0.804621096509503	0.846461108460187	1.74640304728626	7.09534110061466	8.86998242234735	3	3	2	8	13	12	Prelamin-A/C	36368050.1666667	LMNA	0.369368235590234	0.0338133988447136	0.87349361648581	8.86900507200601	1.68920040179652	R_Bin_1
up	Givinostat:Q13268	Givinostat	Q13268	-1.04686393689607	-0.0313104811031373	16.0783238389244	1313.8044581263	1313.8044581263	41.9394101244321	FALSE	0.999965257409533	0.0546758231759197	-15.481617868192	-14.4404152143323	2.96032778930965	0	0	0	1	6.87879299444835	14.3595797189688	0	0	0	1	2	3	Dehydrogenase/reductase SDR family member 2, mitochondrial	0	DHRS2	0	0.0178909928700323	-0.0305242989300968	14.3592330667464	2.66955078794826	R_Bin_1
up	Givinostat:Q15646	Givinostat	Q15646	-6.37554769135942	0.868139187247266	6.56582508616064	146.736627301934	146.736627301934	975.789020769674	FALSE	0.956543512553137	0.973521376821484	19.0723600643893	20.113562718249	2.95758857562068	0	1	1.6062032374582	1.32288719869188	7.10417581454197	6.02745226906334	0	1	1	1	3	3	2'-5'-oligoadenylate synthase-like protein	0	OASL	0	0.538375604991016	0.868139187247266	6.56582508614899	1.37618493571932	R_Bin_1
up	Givinostat:P53814	Givinostat	P53814	-5.72388300789871	0.784539221575516	6.46406142488644	147.369937729209	147.369937729209	281.345300488548	FALSE	0.994811573162792	0.327615706868969	6.00341821794265	7.04462087180237	2.86520350489838	1	0.596264213410827	0.757374854678043	1.34111946542643	6.7209075951748	6.20708937201726	2	1	2	2	9	8	Smoothelin	24997790.6	SMTN	0.298766675056632	0.201867893295687	0.784539221575516	6.46406142470002	1.28551776046076	R_Bin_1
up	Givinostat:Q8NFZ8	Givinostat	Q8NFZ8	-3.82062530178408	-0.00459641923748226	3.62358030783837	1.28548504227276	1.28548504227276	2.21694807827279	FALSE	0.880641881003998	0.956696385749627	18.8631556829607	19.9043583368204	2.81859549684834	0	1	3.79879173367574	2.62741148491189	3.54818927164099	4.51872080782444	0	1	1	2	2	2	Cell adhesion molecule 4	0	CADM4	0	0.126016659231302	-0.00438636389018714	3.62358030783837	0.830479760150895	R_Bin_1
up	Givinostat:Q96CV9	Givinostat	Q96CV9	-4.75888659556295	1.38767157244309	5.01655999911889	119.668756686671	119.668756686671	143.308121733467	FALSE	0.974817125344927	0.453396481648024	9.90252640216944	10.9437290560292	2.78271411428637	1	1.55277010505347	1.61030288981366	2.47080983590434	5.31976904342276	4.7132262088847	1	1	2	3	3	4	Optineurin	5914038.33333333	OPTN	0.0752579914422351	0.262969101583888	1.3876715724431	5.01655999653007	0.877932423017773	R_Bin_1
up	Givinostat:P20337	Givinostat	P20337	-0.827346988675169	0.993706069257289	4.48936195626468	161.911004237399	161.911004237399	41.8277664381231	FALSE	0.996978489466219	0.129097739391592	-5.17183988907217	-4.13063723521244	2.25684583809433	1	1.11818406966521	1.18682916346339	2.47485242718978	3.78408156322385	4.41617960299195	1	1	1	1	1	1	Ras-related protein Rab-3B	4254073.5	RAB3B	0.0571356657437705	0.072084024757297	1.00142192096569	4.37770633740224	0.753331821696059	R_Bin_1
up	Givinostat:Q14764	Givinostat	Q14764	-5.4728045735821	0.854928595481703	4.09678199292089	124.518542532175	124.518542532175	310.881345220525	FALSE	0.92000319910835	0.747738700566004	15.9059656986038	16.9471683524636	2.09000017358545	1	0.853927568022341	0.710867312138704	1.60523136755191	4.8303778847418	3.36315476626204	2	2	1	3	11	9	Major vault protein	25569060.2	MVP	0.302416310093129	0.1445679873982	0.854928595481703	4.09678199279889	0.70398539533948	R_Bin_1
up	Givinostat:P13591	Givinostat	P13591	-0.627878585888293	-0.00677475750929482	6.20090798907095	248.197247011282	248.197247011282	116.992218856561	FALSE	0.994024551546392	0.289102112198842	4.50268212617069	5.54388478003042	2.06042371647111	0	0	1	2.0373864176404	4.4998951437428	5.5969456931699	0	0	1	5	7	7	Neural cell adhesion molecule 1	0	NCAM1	0	0.153696110590328	0.0387463449759999	5.64580439684389	1.21490858042052	R_Bin_1
up, low confidence	Givinostat:Q99519	Givinostat	Q99519	-4.04106085293031	0.922396599971813	7.81589553362816	1509.74003110147	1509.74003110147	4950.54468615859	FALSE	0.987889814395903	0.482890580447279	10.6588037024558	11.7000063563155	2.05497771632727	1	1.44811579482733	0.65473335164646	0.587373462877439	2.01938046785366	7.81259424282696	2	2	2	3	3	5	Sialidase-1	21576479.8	NEU1	0.270828089604833	0.17263332957602	0.922396599971813	7.81258327154254	1.02026872412699	R_Bin_1
up	Givinostat:P10301	Givinostat	P10301	-4.72962369043766	1.06976091307378	3.60182396161761	123.987108632187	123.987108632187	156.768793341557	FALSE	0.942410714623596	0.487800414852534	10.7801986996539	11.8214013535136	2.03535916572541	1	1.01522814541885	1.19370900336603	1.74225693342604	4.07705946424068	3.12566602386186	1	1	1	1	3	3	Ras-related protein R-Ras	14275621.6666667	RRAS	0.19242386106217	0.0968459671052157	1.06976091307379	3.60182395918617	0.581782057309566	R_Bin_1
non-regulated	Givinostat:O94854	Givinostat	O94854	0.0089173894255909	-0.996159894071948	1.00000029701655	650.002200915105	650.002200915105		TRUE	0.998716522650557	0.0229177961129065	-25.9157125561067	-24.874509902247	0.0153696259824051	1	0.0512402799815657	0	0	0	0	1	1	0	0	0	0	Uncharacterized protein KIAA0754	51343291	KIAA0754	0.432292977598792	0.0153722254045876	0.0409704832488593	-0.0102430363964285	-0.147249166855563	R_Bin_1
