.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Idealisib:P32189;Q14409	Idealisib	P32189;Q14409	-4.70254534324023	1.13729553092144	14.0187872555011	3455.13371831341	3455.13371831341	225975.167562732	FALSE	0.999456880801075	0.192418967337583	-0.382575940698287	0.658626713161439	2.32899068212947	1	1.31796037499833	1.01163765842701	1.21957848350069	1.1750989388177	13.9323693748889	2	2	2	2	2	1	Glycerol kinase	18548728.2	GK;GK3P	0.229610721123165	0.103970037368	1.13729553092144	13.9323596378561	1.84117723974218	R_Bin_1
up	Idealisib:Q15063	Idealisib	Q15063	-1.22934900612385	0.828190436964775	3.41824480695027	22.2265435652137	22.2265435652137	16.0570846151482	FALSE	0.962030877621337	0.390137596825889	8.09931653609142	9.14051918995115	2.20238589740705	1	0.673168604810505	1.59413018723834	2.97572357638021	3.75788196208903	3.12269432956767	3	2	5	4	11	8	Periostin	53849770.1666667	POSTN	0.43356732610083	0.189721421289023	0.831560350650584	3.41682754274871	0.607120145966165	R_Bin_1
non-regulated	Idealisib:Q9P2L0	Idealisib	Q9P2L0	0.000678990709597268	-0.926046105020389	0.965362268253162	651.217492714852	651.217492714852		TRUE	0.977217984567063	0.095614014063485	-8.77484453596321	-7.73364188210349	0.0206292822234364	1	0	0	0.144505486604333	0	0	1	0	0	1	0	0	WD repeat-containing protein 35	18155765	WDR35	0.226547543075941	0.0213685546611563	0.0224774579136628	0.0187811015885253	-0.138728414668448	R_Bin_1
non-regulated	Idealisib:Q8N8J7	Idealisib	Q8N8J7	0.000410920233206621	-0.944384458770334	0.987412890212208	672.415508844753	672.415508844753		TRUE	0.992790340934489	0.0540811365096867	-15.6128519729292	-14.5716493190695	0.0221208879464785	1	0	0	0.0833082450924394	0	0	1	0	0	1	0	0	Uncharacterized protein FAM241A	33669168	FAM241A	0.342693044033184	0.0225778442458288	0.0232632774625277	0.0209784972991447	-0.140476907283073	R_Bin_1
non-regulated	Idealisib:Q96NL6	Idealisib	Q96NL6	0.00947144027211287	-0.974618387646126	1.00000374176565	659.877678909308	659.877678909308	221074.660083482	TRUE	0.989967167566397	0.0636306212857457	-13.6615394803761	-12.6203368265164	0.026893565969418	1	0	0.107558336255634	0	0	0	1	0	1	0	0	0	Sodium channel and clathrin linker 1	29148953.5	SCLT1	0.315634971282706	0.0322761835997106	0.0537893880821966	-1.63169571079091e-05	-0.145930238178732	R_Bin_1
non-regulated	Idealisib:Q86WH2	Idealisib	Q86WH2	0.000401200775857917	-0.929904010307397	0.984756308832089	672.658392961097	672.658392961097		TRUE	0.988570733079113	0.0679338580455289	-12.8762626629702	-11.8350600091105	0.0280132867869589	1	0	0	0.104643145136293	0	0	1	0	0	1	0	0	Ras association domain-containing protein 3	9059381	RASSF3	0.112316528398213	0.0284554769566082	0.0291187610742307	0.0269078114560088	-0.139867338710392	R_Bin_1
non-regulated	Idealisib:P52741	Idealisib	P52741	0.000507264775282351	-0.613441943203076	0.673907445561522	675.010119978621	675.010119978621		TRUE	0.86689967481013	0.235023206229669	2.01753377498837	3.0587364288481	0.0307324551527933	1	0	0.0102979117030519	0	0	0	1	0	2	0	0	0	Zinc finger protein 134	83809052	ZNF134	0.51780472239949	0.0303565430383508	0.0316722346035377	0.0297926742820613	-0.143151368905802	R_Bin_1
non-regulated	Idealisib:Q8WVE0	Idealisib	Q8WVE0	0.000610591491687345	-0.934400736349124	1.00166734387184	660.292256823544	660.292256823544		TRUE	0.970787344441511	0.108144919063335	-7.29701128516327	-6.25580863130355	0.0345313808758912	1	0	0	0.170965041755999	0	0	1	0	0	1	0	0	EEF1A lysine methyltransferase 1	40436323	EEF1AKMT1	0.381110402042119	0.0352118788048593	0.036232621662974	0.0328301363912339	-0.1379724273784	R_Bin_1
non-regulated	Idealisib:Q96BF3	Idealisib	Q96BF3	0.0203508610592782	-0.993177682377093	1.00000634651291	716.903218683671	716.903218683671		TRUE	0.993216294819397	0.052278425447273	-16.0196720878239	-14.9784694339642	0.0350175134017371	1	0.116830451247238	0	0	0	0	1	1	0	0	0	0	Transmembrane and immunoglobulin domain-containing protein 2	24865844	TMIGD2	0.28806636885769	0.0350492890136419	0.0931950577671965	-0.0233041987717442	-0.152871181535478	R_Bin_1
non-regulated	Idealisib:Q96K19	Idealisib	Q96K19	0.000640696427427566	-0.932895121667416	1.00171972741619	660.292791582149	660.292791582149		TRUE	0.969407819508158	0.110656588592074	-7.02149802524862	-5.9802953713889	0.0353539520565076	1	0	0	0.174934675017792	0	0	1	0	0	1	0	0	E3 ubiquitin-protein ligase RNF170	10226278	RNF170	0.129674537332482	0.036067465610285	0.037137731282323	0.0335701685619902	-0.137859009285206	R_Bin_1
non-regulated	Idealisib:A6NHQ4	Idealisib	A6NHQ4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Elongin BC and Polycomb repressive complex 2-associated protein	0	EPOP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:O14977	Idealisib	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:O75509	Idealisib	O75509	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tumor necrosis factor receptor superfamily member 21	0	TNFRSF21	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:O75596	Idealisib	O75596	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	C-type lectin domain family 3 member A	0	CLEC3A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P00439	Idealisib	P00439	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Phenylalanine-4-hydroxylase	0	PAH	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P06731	Idealisib	P06731	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carcinoembryonic antigen-related cell adhesion molecule 5	0	CEACAM5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P09958	Idealisib	P09958	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Furin	0	FURIN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P11362	Idealisib	P11362	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fibroblast growth factor receptor 1	0	FGFR1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P13591	Idealisib	P13591	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neural cell adhesion molecule 1	0	NCAM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P25116	Idealisib	P25116	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Proteinase-activated receptor 1	0	F2R	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P29966	Idealisib	P29966	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Myristoylated alanine-rich C-kinase substrate	0	MARCKS	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:P62068	Idealisib	P62068	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ubiquitin carboxyl-terminal hydrolase 46	0	USP46	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q13591	Idealisib	Q13591	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Semaphorin-5A	0	SEMA5A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q4VC44	Idealisib	Q4VC44	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	FLYWCH-type zinc finger-containing protein 1	0	FLYWCH1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q53GL0	Idealisib	Q53GL0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Pleckstrin homology domain-containing family O member 1	0	PLEKHO1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q5T2T1	Idealisib	Q5T2T1	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	MAGUK p55 subfamily member 7	0	MPP7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q6ZW76	Idealisib	Q6ZW76	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ankyrin repeat and SAM domain-containing protein 3	0	ANKS3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q7Z699	Idealisib	Q7Z699	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Sprouty-related, EVH1 domain-containing protein 1	0	SPRED1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q8N9E0	Idealisib	Q8N9E0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein FAM133A	0	FAM133A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q8NFZ8	Idealisib	Q8NFZ8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cell adhesion molecule 4	0	CADM4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q8WTW4	Idealisib	Q8WTW4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	GATOR complex protein NPRL2	0	NPRL2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q92686	Idealisib	Q92686	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neurogranin	0	NRGN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q96DZ5	Idealisib	Q96DZ5	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	CAP-Gly domain-containing linker protein 3	0	CLIP3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Idealisib:Q96GY3	Idealisib	Q96GY3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein lin-37 homolog	0	LIN37	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
