.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Everolimus:Q9P013	Everolimus	Q9P013	0.00691136115819988	6.0858923314101	0.999999791413469	567.605699183889	567.605699183889		FALSE	0.96774300414646	0.298000614861143	4.86646926235049	5.90767191621021	3.51757559331055	1	3.41989280784071	3.53269378559799	3.45397096201591	3.88893566723919	3.34295948933159	2	1	1	1	1	1	Spliceosome-associated protein CWC15 homolog	40542442.3333333	CWC15	0.409721354492065	0.149457186499196	3.46700843845107	3.56815612753594	0.372662948607752	R_Bin_1
up	Everolimus:Q53EL6	Everolimus	Q53EL6	-0.496618733784635	0.998120676393598	3.16364237020585	0.0190921555032546	0.0190921555032546	0.0956842159702421	FALSE	0.918838037895066	0.402753848163378	8.48122958557626	9.52243223943599	3.02619937083426	1	2.83638303758859	3.26975144641126	2.7990524464449	3.5255364158696	2.98339211039852	6	9	8	10	11	10	Programmed cell death protein 4	404725575.166667	PDCD4	0.803698613020118	0.266423492103035	2.50258304979263	3.1605184421942	0.328963476767693	R_Bin_1
up	Everolimus:P40200	Everolimus	P40200	-3.91557635785957	0.99986581716286	3.11997425456524	1.19371871376685	1.19371871376685	1.37624297328059	FALSE	0.847696410966818	0.629509208191814	13.8406084387731	14.8818110926328	2.66322094754128	1	1.70621154686434	3.36731180075019	2.65520557583856	3.72432534753715	2.73282749578417	1	1	1	1	1	1	T-cell surface protein tactile	3436983.5	CD96	0.0442334124703236	0.317499643379004	0.999994535282369	3.11997425456524	0.400182075886504	R_Bin_1
up	Everolimus:Q00577	Everolimus	Q00577	-0.208298711491931	1.03866628547189	5.38029512809598	514.10983453518	514.10983453518	2377.46088557521	FALSE	0.921448646123259	0.467034260275707	10.258154074235	11.2993567280948	2.65617957251682	1	2.31982703672311	2.12724626298072	2.47232636980063	3.69867432344553	3.8136436269075	3	3	3	3	2	2	Transcriptional activator protein Pur-alpha	113161734.166667	PURA	0.5996501312008	0.345280778418533	1.66522139125328	3.85990636268439	0.529995431472133	R_Bin_1
non-regulated	Everolimus:P29033	Everolimus	P29033	-3.70695818237178	0.249996794711887	16.0380263040449	1876.44093691494	1876.44093691494	9661.23321307268	FALSE	0.996284954702455	0.612433860017093	13.510614100114	14.5518167539738	2.54638326145836	1	0	0	0	1.64602690655956	16.0061500523715	1	0	0	0	1	1	Gap junction beta-2 protein	11510357	GJB2	0.189179057853305	0.249996824239327	0.249996794711889	16.006130576136	2.2848237423296	R_Bin_1
up	Everolimus:Q96FJ2	Everolimus	Q96FJ2	0.000443234588321664	3.98433876519231	0.984640999575268	647.727146289236	647.727146289236		FALSE	0.931973092348611	0.26119511215288	3.28453487499902	4.32573752885875	2.48348619352628	1	2.42744930121824	2.56660318840074	2.42856209845949	2.77719690870696	2.29156168711979	4	4	3	4	4	5	Dynein light chain 2, cytoplasmic	123091571.5	DYNLL2	0.614144695739098	0.138668793241521	2.48157279175285	2.48539959747725	0.210543147660681	R_Bin_1
up	Everolimus:Q96AQ6	Everolimus	Q96AQ6	-0.274630133131693	1.00069730050576	2.77179196803974	0.167019175523939	0.167019175523939	0.134747701332696	FALSE	0.995541435218851	0.0666165795870492	-13.1112354634332	-12.0700328095735	2.36932350360163	1	2.1246211776663	2.27019087404389	2.55765215271403	2.64885727431064	2.65966803577097	6	9	8	8	7	7	Pre-B-cell leukemia transcription factor-interacting protein 1	114005467.666667	PBXIP1	0.601149568911658	0.0382343277331487	1.82397477606808	2.68945497211872	0.290243135641657	R_Bin_1
up	Everolimus:B3EWF7	Everolimus	B3EWF7	-0.941894114462013	0.313875006293033	12.0257812321433	1663.94201364059	1663.94201364059	1194.57769442846	FALSE	0.990536150721728	0.615690341583911	13.5742524036921	14.6154550575519	2.32176686156764	1	0	0	1.21176190229757	4.77579147638386	10.2019631886117	1	0	0	2	1	1	Laforin, isoform 9	32394911	EPM2A	0.3661127077346	0.224282672917502	0.315112994371099	10.2000993546079	1.75854149355736	R_Bin_1
up	Everolimus:Q96J42	Everolimus	Q96J42	-0.130922954197691	1.00208990298301	3.77625584592716	145.07332350334	145.07332350334	1179.31630780126	FALSE	0.8302328526845	0.445899528952476	9.70244652762978	10.7436491814895	2.25742869839425	1	2.24337949994623	1.76171922668874	2.51249895097155	2.27255715040867	2.99621908293978	3	1	2	1	1	1	Thioredoxin domain-containing protein 15	39107270.8333333	TXNDC15	0.402848931650631	0.29089089149666	1.77403651655389	2.76399546544527	0.309125945439115	R_Bin_1
up	Everolimus:P29965	Everolimus	P29965	-0.320512633309066	1.01933938278093	2.87734195855982	6.16336743980021	6.16336743980021	20.819971146692	FALSE	0.86496106727002	0.395038195747912	8.24911216466776	9.29031481852748	2.13814746834132	1	1.83310812875167	1.83407806302884	2.20059924680875	3.00020884386543	2.48589523414693	1	2	2	2	1	2	CD40 ligand	7799476.2	CD40LG	0.121954267149819	0.20932621747449	1.41076237699444	2.71837776109046	0.322779985710167	R_Bin_1
