.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Dasatinib:Q9ULI2	Dasatinib	Q9ULI2	-1.97788688718425	0.785420451492892	4.77206024084655	43.8355059523604	43.8355059523604	18.8104599211805	FALSE	0.990149857857652	0.321796275605703	5.78834659513166	6.82954924899138	2.66568384844684	1	0.577361888796056	0.983625294993044	4.12595922148415	4.51954217837765	5.01086057555437	1	1	1	1	1	1	Beta-citrylglutamate synthase B	23849672.6666667	RIMKLB	0.321948769462582	0.212434347605982	0.785444185516019	4.77197386422737	1.00066221922879	R_Bin_1
up	Dasatinib:Q9UM47	Dasatinib	Q9UM47	0.000146287303185933	3.42031496238745	1.02379855609039	5061.23737296737	5061.23737296737		FALSE	0.803613324596243	0.387065468577993	8.00444884289512	9.04565149675484	2.22161191818324	1	2.63320997483396	1.98570515975557	2.31755762701048	2.15493136322878	1.97689541717778	2	3	4	3	6	5	Neurogenic locus notch homolog protein 3	12942667.8	NOTCH3	0.207307885484681	0.240513439714313	2.22110739327104	2.22211644320056	0.108042677666522	R_Bin_1
up	Dasatinib:Q9H6Q3	Dasatinib	Q9H6Q3	-0.27566950277499	0.990726584685522	3.76824690745982	341.828409498689	341.828409498689	656.14304566412	FALSE	0.993553630968858	0.0936661877653036	-9.02183012127846	-7.98062746741873	2.00783775866353	1	1.38683118589537	1.85415450023894	2.11183597242919	2.553228584474	3.00373932588126	2	2	3	1	2	4	Src-like-adapter 2	9278217.33333333	SLA2	0.150552486187845	0.050917008297956	1.2572209691741	2.98279464472556	0.393587722780927	R_Bin_1
non-regulated	Dasatinib:Q96AA3	Dasatinib	Q96AA3	-6.16434930687683	0.206048660310677	62.8515106704368	7365.86646713729	7365.86646713729	40608.3421593759	FALSE	0.999680078309972	0.628008885465067	13.811974447176	14.8531771010357	1.99951123485433	1	0.0301312330916971	0	0	0	54.5911468145914	1	1	0	0	0	1	Protein RFT1 homolog	2664153	RFT1	0.038422903063787	0.206048660407425	0.206048660310677	54.5911118422504	7.65329543924806	R_Bin_1
non-regulated	Dasatinib:Q9BY11	Dasatinib	Q9BY11	0.000489665935628743	-1.00010529465034	1.00032371979639	2749.51967664078	2749.51967664078		TRUE	0.999999079127197	0.000618771191923005	-69.2589139285564	-68.2177112746967	0.00120269952326658	1	0.00203733402191451	0.00174322530088701	0.00157172980444312	0	0	1	1	1	1	0	0	Protein kinase C and casein kinase substrate in neurons protein 1	1995289249.33333	PACSIN1	0.949648417880462	0.000307743411253787	0.00261236963269096	-0.000206973481610473	-0.14303667135892	R_Bin_1
non-regulated	Dasatinib:Q6GPH6	Dasatinib	Q6GPH6	-0.000179474880091413	0.632770243589804	-0.614481183731859	173140798.926528	173140798.926528		TRUE	0.83585418683473	0.26001666202362	3.23027122882308	4.2714738826828	0.0100128299462375	1	0	0	0	0.01628825772178	0.0133106458319068	1	0	0	0	1	1	Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1	572831598	ITPRIPL1	0.856479156202913	0.010012830014234	0.0103349756165518	0.00969068396705064	-0.139559485647861	R_Bin_1
non-regulated	Dasatinib:Q86UQ0	Dasatinib	Q86UQ0	0.0182864859573931	-0.993976513894184	1.00000621115478	720.63204337993	720.63204337993		TRUE	0.994532992173404	0.0469825325061113	-17.3013667292934	-16.2601640754336	0.0314788953956916	1	0.105006925541811	0	0	0	0	1	1	0	0	0	0	Zinc finger protein 589	67109700	ZNF589	0.514188849824209	0.0315020091991692	0.083809739341984	-0.0209568413079767	-0.151857736475012	R_Bin_1
non-regulated	Dasatinib:O43900	Dasatinib	O43900	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Prickle planar cell polarity protein 3	0	PRICKLE3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dasatinib:O94851	Dasatinib	O94851	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	[F-actin]-monooxygenase MICAL2	0	MICAL2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Dasatinib:O95670	Dasatinib	O95670	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	V-type proton ATPase subunit G 2	0	ATP6V1G2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
