.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	5-Fluorouracil:Q9H7L9	5-Fluorouracil	Q9H7L9	0.000432890278088039	4.15234155023793	1.00107912100598	25811.8513169193	25811.8513169193		FALSE	0.919417189426703	0.30065087863971	4.97271930418199	6.01392195804172	2.57442377894665	1	2.88590296223122	2.41340633066054	2.58095950777623	2.64200005659136	2.34664911269949	1	1	1	3	2	2	Sin3 histone deacetylase corepressor complex component SDS3	17402073.5	SUDS3	0.239938080495356	0.195181324135201	2.57246061555273	2.57638694707252	0.176259714962673	R_Bin_1
non-regulated	5-Fluorouracil:P13473	5-Fluorouracil	P13473	0.000537479354652807	-1.01701967936514	1.0114426550421	689.338007409039	689.338007409039		TRUE	0.998716714760575	0.0229990285418086	-25.8732536025044	-24.8320509486447	-0.00194851006365422	1	0.0289672387597991	0	0	0	0	1	2	0	0	0	0	Lysosome-associated membrane glycoprotein 2	75208374	LAMP2	0.526573787409701	0.00320371346607085	-0.000379508321713518	-0.00351751448541426	-0.145340049036554	R_Bin_1
non-regulated	5-Fluorouracil:Q9BQK8	5-Fluorouracil	Q9BQK8	0.000627735655224218	-0.998085441559682	0.999370983582406	2995.4194353297	2995.4194353297		TRUE	0.999984783465244	0.00251294262320404	-52.4412242194927	-51.4000215656329	0.00206935239348131	1	0.00304206935518616	0.00574670844987577	0.00128489719074452	0	0	1	1	1	1	0	0	Phosphatidate phosphatase LPIN3	5784495685	LPIN3	0.986197110423117	0.000705117861380454	0.00387381427144939	0.000264884307510038	-0.143245371980705	R_Bin_1
up, low confidence	5-Fluorouracil:Q567V2	5-Fluorouracil	Q567V2	-5.56721718777642	1.57033132373569	18.6788564027909	7835.97978372396	7835.97978372396	629762.554850459	FALSE	0.916963827940147	2.64365886851295	31.0603527247416	32.1015553786013	1.99510031325068	1	0.903660003873973	4.81669370253964	1.12004139090686	0	15.1779594129403	1	2	1	2	0	1	Mpv17-like protein 2	12355467.4	MPV17L2	0.175051599587203	0.618501321798703	1.57033132373569	15.1779752080087	1.84234756404134	R_Bin_1
non-regulated	5-Fluorouracil:Q9UHL0	5-Fluorouracil	Q9UHL0	0.000514216854027201	-0.972600460367993	1.00030980215476	129.159729323975	129.159729323975		TRUE	0.999175606878023	0.0182949959152751	-28.6191464327844	-27.5779437789246	0.0142115659736781	1	0.0152326135747047	0	0.0280845997867494	0.0231178280875154	0	1	1	0	1	1	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832301341589267	0.0134583048443378	0.0156715523928993	0.0127515785122885	-0.141378850190709	R_Bin_1
non-regulated	5-Fluorouracil:Q9UQN3	5-Fluorouracil	Q9UQN3	0.000679015764089076	-0.973542055505471	1.00196487372788	652.877572727434	652.877572727434		TRUE	0.994556131075989	0.0470466240519528	-17.285008001908	-16.2438053480483	0.015226683868296	1	0	0	0.0743046474285074	0	0	1	1	1	1	1	1	Charged multivesicular body protein 2b	22897314	CHMP2B	0.295407636738906	0.0159988554054826	0.0171571070630212	0.0132962555041067	-0.140734152930614	R_Bin_1
non-regulated	5-Fluorouracil:Q00722	5-Fluorouracil	Q00722	0.00698106098605137	-0.981222548080065	0.99999943867343	660.956792456654	660.956792456654	186234.49398251	TRUE	0.994539802445457	0.0470857106455155	-17.2750424751585	-16.2338398212988	0.0198975660524088	1	0	0.0795905670765995	0	0	0	1	0	2	0	0	0	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	345551281	PLCB2	0.791279669762642	0.0238782964755974	0.0397942754436392	-4.79767787886498e-06	-0.145131159059331	R_Bin_1
non-regulated	5-Fluorouracil:Q9BYB0	5-Fluorouracil	Q9BYB0	0.00226841404476303	-0.964531054558579	1.00004462697145	602.084253293555	602.084253293555	125086.710084722	TRUE	0.993110045612	0.0527048159304513	-15.9221953121788	-14.8809926583191	0.0210394973279147	1	0.0127478564610744	0	0.0860929063937616	0	0	1	1	0	1	0	0	SH3 and multiple ankyrin repeat domains protein 3	243183559	SHANK3	0.736326109391125	0.0197568643259127	0.0274526187111682	0.014626189406753	-0.141490018942556	R_Bin_1
non-regulated	5-Fluorouracil:O43909	5-Fluorouracil	O43909	0.000405507356699843	-0.935408737108907	0.985701753308337	672.549699336287	672.549699336287		TRUE	0.990353098002958	0.0624666799989475	-13.8830778003998	-12.8418751465401	0.0257419158129726	1	0	0	0.0961796393020314	0	0	1	0	0	1	0	0	Exostosin-like 3	10157093.5	EXTL3	0.140995872033024	0.0261903582057766	0.0268630206172145	0.0246208099275097	-0.140109153162799	R_Bin_1
non-regulated	5-Fluorouracil:Q9UBU7	5-Fluorouracil	Q9UBU7	0.00939004328720547	-0.974789534332993	0.999999458897715	657.364574514834	657.364574514834	172567.013610749	TRUE	0.990135523274867	0.0630999150515316	-13.7620442556606	-12.7208416018009	0.0266673945114803	1	0	0.106661202472654	0	0	0	1	0	1	0	0	0	Protein DBF4 homolog A	12392191	DBF4	0.175438596491228	0.0320042129739528	0.0533346776399658	-1.35741854550009e-05	-0.145904605784933	R_Bin_1
