.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Brigatinib:P49759	Brigatinib	P49759	-1.04851910121533	0.979409617349072	9.18553783411277	6.46225292849242	6.46225292849242	0.646220770056085	FALSE	0.999117663089522	0.174284930470888	-1.57037943883363	-0.529176784973902	6.20584268029865	1	1.96395358334292	6.03207587114119	8.70363392310881	8.98985083129464	9.36343744910177	4	6	7	8	10	10	Dual specificity protein kinase CLK1	21206088.3333333	CLK1	0.269493491429308	0.062155172022354	1.08184752086209	9.18182617169899	1.87332677260948	R_Bin_1
up	Brigatinib:Q9HAZ1	Brigatinib	Q9HAZ1	-0.854021576931697	1.0124496801097	2.78787604073349	13.8124267278148	13.8124267278148	1.58401967937534	FALSE	0.999130753936731	0.0368200783627245	-20.2261576863836	-19.1849550325239	2.02586110664385	1	1.20263213001508	1.76685210691212	2.51502768051611	2.77538804355149	2.75011985855039	2	3	3	5	4	6	Dual specificity protein kinase CLK4	10477456	CLK4	0.141126433818791	0.0255395575370208	1.03845472833621	2.78148655726068	0.406201217341862	R_Bin_1
non-regulated	Brigatinib:Q8N2A8	Brigatinib	Q8N2A8	0.00378025816609858	-0.998334663528131	0.999999949463895	643.558073876756	643.558073876756	10.0000000225588	TRUE	0.999771179627445	0.00972407728360949	-36.2034172855149	-35.1622146316551	0.00652282784942279	1	0.0217432824437221	0	0	0	0	1	1	0	0	0	0	Mitochondrial cardiolipin hydrolase	158330156	PLD6	0.654981312024745	0.00652302552788264	0.0173929948961656	-0.00434823711081656	-0.14472085278089	R_Bin_1
non-regulated	Brigatinib:Q53GT1	Brigatinib	Q53GT1	0.000522937126078001	-0.966241562786952	1.00897697466828	460.038277515824	460.038277515824		TRUE	0.996441392523899	0.03790501925253	-19.8776748861165	-18.8364722322568	0.0220590953096115	1	0.0272889026694234	0	0.0592195905555882	0	0	1	1	0	1	1	0	Kelch-like protein 22	524317267	KLHL22	0.838123469519268	0.0217617989156117	0.023545576742056	0.020572611789195	-0.143504203355791	R_Bin_1
non-regulated	Brigatinib:Q5VZK9	Brigatinib	Q5VZK9	0.000664774756910027	-0.973213102746348	1.02047454220788	925.263383999482	925.263383999482		TRUE	0.995278242987896	0.04351413425462	-18.2216476066614	-17.1804449528017	0.0247493825444865	1	0	0.0522152002388638	0	0.0527279696441286	0	1	0	1	0	1	0	F-actin-uncapping protein LRRC16A	171877879	CARMIL1	0.670962752932079	0.026489066062476	0.0266567116890794	0.022842047940426	-0.139829465465899	R_Bin_1
non-regulated	Brigatinib:P85299	Brigatinib	P85299	0.010165219768936	-0.972809403891553	0.99999927877945	661.880382043285	661.880382043285	163233.068176317	TRUE	0.988447611575492	0.0682309263342108	-12.8239022066847	-11.782699552825	0.0288364918087792	1	0	0.115334970157066	0	0	0	1	0	1	0	0	0	Proline-rich protein 5	34072424	PRR5	0.360355715942776	0.0346080127790656	0.0576727569753656	-1.71549269321059e-05	-0.146152427718773	R_Bin_1
up	Brigatinib:Q16877;P16118	Brigatinib	Q16877;P16118	-9.14122921116088	0.32540488651388	2.66966888531839	3.107620122857	3.107620122857	40.1917384804584	FALSE	0.870355826161852	0.680379645424572	14.7731339984718	15.8143366523315	1.96984541254294	1	0	2.87778010948756	2.97898100467483	2.62531564534145	2.19654725291889	1	0	1	2	1	2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	5547600	PFKFB4;PFKFB1	0.0694677149117154	0.317395448839472	0.325404886513933	2.66966888531839	0.398853831308745	R_Bin_1
non-regulated	Brigatinib:Q9P0L9	Brigatinib	Q9P0L9	0.000376485556901057	-0.938238942306707	0.999991874946979	651.773560591945	651.773560591945		TRUE	0.975200242143168	0.0996918462796994	-8.27367064232485	-7.23246798846512	0.0314284632121383	1	0	0	0.157617806746646	0	0	1	0	0	1	0	0	Polycystic kidney disease 2-like 1 protein	24881808	PKD2L1	0.299652017012502	0.0318485213596675	0.0324786076367258	0.0303783179235058	-0.138353776950096	R_Bin_1
non-regulated	Brigatinib:A0A2R8Y619	Brigatinib	A0A2R8Y619	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Histone H2B type 2-E1	0	H2BE1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Brigatinib:F8VTS6;A6NLU0	Brigatinib	F8VTS6;A6NLU0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ret finger protein-like 4A-like protein 1	0	RFPL4AL1;RFPL4A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Brigatinib:O14681	Brigatinib	O14681	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Etoposide-induced protein 2.4 homolog	0	EI24	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Brigatinib:O43157	Brigatinib	O43157	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Plexin-B1	0	PLXNB1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
