.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Lirametostat:Q9P227	Lirametostat	Q9P227	-7.0414246787734e-05	1.08483681929555	-1.06226473346104	2.00150827176249e+23	2.00150827176249e+23		TRUE	0.98664920012136	0.0737097351221626	-11.8970587550161	-10.8558561011564	0.0131834123411551	1	0	0.00174235352902518	0	0.0679986360744952	0	1	0	1	0	1	0	Rho GTPase-activating protein 23	37165774	ARHGAP23	0.362634546386468	0.0132269271990839	0.0134009865254074	0.0129658380530167	-0.137078469865873	R_Bin_1
non-regulated	Lirametostat:P20023	Lirametostat	P20023	0.000664345424740372	-0.974101342663012	1.00193358901707	652.892085973696	652.892085973696		TRUE	0.994779038367317	0.0460824527869212	-17.5334904089515	-16.4922877550918	0.0149097354770908	1	0	0	0.0727816304557962	0	0	1	0	0	1	0	0	Complement receptor type 2	38181080	CR2	0.368657098923629	0.0156654259632327	0.016798956401004	0.0130205097102614	-0.140777667701263	R_Bin_1
non-regulated	Lirametostat:Q8IZQ1	Lirametostat	Q8IZQ1	0.0091563500598876	-0.996041933185584	1.00000023162911	648.94750862818	648.94750862818		TRUE	0.998646363489753	0.0235309797111936	-25.5988632725104	-24.5576606186507	0.0157805366874321	1	0.0526109529092095	0	0	0	0	1	1	0	0	0	0	WD repeat and FYVE domain-containing protein 3	20220628	WDFY3	0.245771399282419	0.0157833489713102	0.0420649771712008	-0.0105166754473964	-0.147366653106504	R_Bin_1
non-regulated	Lirametostat:Q9UNA4	Lirametostat	Q9UNA4	0.011592956834581	-0.99496298248951	1.00000061112661	647.6329376932	647.6329376932		TRUE	0.997823070006539	0.0297811718632881	-22.772160809243	-21.7309581553833	0.019968637899882	1	0.0665807314360235	0	0	0	0	1	1	0	0	0	0	DNA polymerase iota	34067197	POLI	0.343413634033829	0.0199743369151647	0.0532163606898236	-0.0133049625090506	-0.148564062694516	R_Bin_1
non-regulated	Lirametostat:Q8TB24	Lirametostat	Q8TB24	0.000409568590286695	-0.941850050351887	0.986909153266707	672.44801571742	672.44801571742		TRUE	0.99215648244248	0.0563849538852508	-15.1122491612499	-14.0710465073902	0.0231332867236038	1	0	0	0.0868305894186566	0	0	1	0	0	1	0	0	Ras and Rab interactor 3	9271892	RIN3	0.111353152229626	0.0235880236609861	0.02427012784876	0.0219964444800325	-0.140376268873753	R_Bin_1
non-regulated	Lirametostat:Q9HA38	Lirametostat	Q9HA38	-0.00051861854662959	0.999381952222725	-0.953733413574965	2946957.75671233	2946957.75671233		TRUE	0.99079074560232	0.0603309439735148	-14.3005356652229	-13.2593330113632	0.0257218245110447	1	0	0	0	0.075448957116445	0.0761096701701834	1	0	0	0	2	1	Zinc finger matrin-type protein 3	132432662.75	ZMAT3	0.600205023065095	0.0385990976585127	0.0271795180153901	0.0242641224001953	-0.125517279365707	R_Bin_1
non-regulated	Lirametostat:Q9BVX2	Lirametostat	Q9BVX2	0.000402684564098128	-0.931679885795415	0.985052333304525	672.621123871139	672.621123871139		TRUE	0.989171755476801	0.0661418920903198	-13.1970495612298	-12.1558469073701	0.0272761597415616	1	0	0	0.101863203095554	0	0	1	0	0	1	0	0	Transmembrane protein 106C	9089114	TMEM106C	0.108534085084572	0.0277204655667608	0.0283869231538171	0.0261653952728841	-0.139946765625841	R_Bin_1
non-regulated	Lirametostat:Q9UIL8	Lirametostat	Q9UIL8	0.0189910981649413	-0.993651686819889	1.00000482216005	717.33970838732	717.33970838732		TRUE	0.994099960755686	0.0487888848548736	-16.8486471246175	-15.8074444707577	0.0326865182889516	1	0.10904025319325	0	0	0	0	1	1	0	0	0	0	PHD finger protein 11	14197598	PHF11	0.179138903126602	0.0327123614180569	0.0870134294807181	-0.0217576627437035	-0.152203450273707	R_Bin_1
non-regulated	Lirametostat:O14977	Lirametostat	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Lirametostat:O43291	Lirametostat	O43291	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Kunitz-type protease inhibitor 2	0	SPINT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
