.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	SNS-032:Q9H1B5	SNS-032	Q9H1B5	-17.0996277296479	0.514008326514493	16.9495178394652	353.847560960275	353.847560960275	163683.764959507	FALSE	0.987266257349998	1.52404685939898	24.4508164657343	25.492019119594	5.28488671074473	1	0	1.05604861421452	0	18.2887397253609	15.6102953618181	1	0	1	0	1	2	Xylosyltransferase 2	2884531	XYLT2	0.0412698412698413	0.528024310497265	0.514008326514493	16.9495178394652	3.62461849631311	R_Bin_1
up	SNS-032:Q9Y4D7	SNS-032	Q9Y4D7	-10.7732327948547	0.322100929316849	9.5249699964153	28.4271987935714	28.4271987935714	824.829248681994	FALSE	0.896407587813153	2.70602684215493	31.3401634029269	32.3813660567867	5.00867430062434	1	0	0	12.5733761697562	7.86202138192331	8.13940539519198	1	0	0	1	1	1	Plexin-D1	3177100	PLXND1	0.043047619047619	1.03173183595323	0.322100929316849	9.5249699964153	2.05304192261389	R_Bin_1
up	SNS-032:Q15493	SNS-032	Q15493	-7.11665505268641	0.729774855390608	7.01394775875133	146.294431212005	146.294431212005	1466.37918789335	FALSE	0.962299377598313	0.999884531510577	19.3930003107106	20.4342029645703	3.03594719342522	1	1.21206681337549	0	1.12274428761985	7.77591777661086	6.25189112001126	1	1	0	1	2	1	Regucalcin	4375629.33333333	RGN	0.0515555555555556	0.6060334227089	0.729774855390608	7.01394775875078	1.34496436506806	R_Bin_1
up	SNS-032:P02042;P68871;P02100;P69891;P69892	SNS-032	P02042;P68871;P02100;P69891;P69892	-6.32542771800795	0.866325964712103	5.79002350878228	175.446276592897	175.446276592897	791.940279662136	FALSE	0.936000509197304	1.04414370869958	19.9127515965681	20.9539542504278	2.59553311456511	1	0.822102652371694	0.777572780173963	1.00242092998951	6.82745182238141	4.75255370056332	2	1	1	1	1	1	Hemoglobin subunit delta	15657624.6666667	HBD;HBB;HBE1;HBG1;HBG2	0.205587301587302	0.111213643142031	0.866325964712103	5.79002350874375	1.05724754750461	R_Bin_1
up	SNS-032:P02774	SNS-032	P02774	-7.96670041496858	0.922209144541072	5.6121968707489	211.945194536699	211.945194536699	1868.97920710148	FALSE	0.969974446054485	0.673326945861787	14.6480948488612	15.6892975027209	2.49236229137187	1	1.12263652120998	0.646432918480187	0.931100719328662	6.23843405823836	4.98589284826688	1	1	1	1	2	1	Vitamin D-binding protein	15286789.5	GC	0.201015873015873	0.238101801428652	0.922209144541072	5.61219687074868	1.01604356152194	R_Bin_1
up	SNS-032:P00734	SNS-032	P00734	-5.24227306221162	1.19223921832368	4.60165338556006	141.79467053001	141.79467053001	411.356527976497	FALSE	0.838319338056455	1.18702729746713	21.4518113612294	22.4930140150891	2.45267945092405	1	1.34961895665737	1.22728789113153	1.66275559821445	5.77513573789694	3.42786964244514	4	3	5	2	9	7	Prothrombin	58451800.8333333	F2	0.450666666666667	0.17480947831973	1.19223921832368	4.60165338486315	0.738610464657923	R_Bin_1
up	SNS-032:P69905	SNS-032	P69905	-5.70699630349772	1.03346206248704	4.66924047037353	153.061786901647	153.061786901647	270.212142253626	FALSE	0.993372069725638	0.238029355819884	2.17005078295744	3.21125343681716	2.35344607789348	1	1.06647099527044	1.03399784825188	1.32775907580074	4.90485929803698	4.43354588779213	1	1	1	1	3	2	Hemoglobin subunit alpha	498962415.666667	HBA1	0.817015873015873	0.0332354976346027	1.03346206248704	4.66924047021444	0.827904444994547	R_Bin_1
up	SNS-032:P00747;P08519	SNS-032	P00747;P08519	-7.28234072330891	0.849563505022486	4.80313145597261	246.136737235544	246.136737235544	1638.19150122853	FALSE	0.939744263981447	0.817118791398347	16.9707364703888	18.0119391242486	2.12182306354212	1	1.03061246014221	0.543630994632686	0.829225262988715	5.57298264113083	4.03320023520183	2	1	1	2	5	4	Plasminogen	16121721.8333333	PLG;LPA	0.212444444444444	0.243490732900959	0.849563505022486	4.80313145596501	0.830820171066601	R_Bin_1
non-regulated	SNS-032:Q92835	SNS-032	Q92835	0.000410820921682069	-1.0008653010812	1.00495538017967	693.268994624324	693.268994624324		TRUE	0.999945187334003	0.00477640417873738	-44.7344213406166	-43.6932186867568	0.00268109804904272	1	0.00270829426982461	0	0	0	0	1	1	1	0	0	0	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1	670432807.333333	INPP5D	0.855238095238095	0.00220674683680289	0.00386697538567882	0.00149521952689091	-0.143089282365985	R_Bin_1
non-regulated	SNS-032:Q9HAU8	SNS-032	Q9HAU8	0.00278339693727911	-0.992397897971798	0.999999920352866	644.500973291159	644.500973291159	732164.842294756	TRUE	0.999133904222754	0.0188847336812145	-28.2384310880166	-27.1972284341568	0.00798036246572425	1	0	0.0319211013917981	0	0	0	1	0	1	0	0	0	Aminopeptidase RNPEPL1	259059684	RNPEPL1	0.721269841269841	0.0095765141828798	0.0159606813369351	-3.13959609754555e-07	-0.14376917432548	R_Bin_1
