.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	RGB-286638:Q9UJA3	RGB-286638	Q9UJA3	-5.80494311533923	0.200232460049241	231.546925829874	7267.98706175587	7267.98706175587	21767.0237228568	FALSE	0.999975967373556	0.632823468472931	13.9036206945649	14.9448233484247	7.13552122491689	1	0	0	0	0	200.17806739294	1	0	0	0	0	1	DNA helicase MCM8	8364575	MCM8	0.137879542060727	0.200232461859875	0.200232460049241	200.178058277292	28.4540096275629	R_Bin_1
up	RGB-286638:Q9NVV5	RGB-286638	Q9NVV5	-5.60013906794453	0.501330089897809	8.47284858461823	8.40825156023016	8.40825156023016	27.6400399550967	FALSE	0.944258996501502	1.50864733598306	24.328947357027	25.3701500108867	5.40409977114349	1	0	6.28299658924027	9.68821090139616	8.82341251466863	6.90697567412184	1	1	1	1	1	1	Androgen-induced gene 1 protein	1974363	AIG1	0.037332005973121	0.500026425705751	0.501330090030525	8.47284858461823	1.69743800647917	R_Bin_1
up	RGB-286638:Q15102	RGB-286638	Q15102	-0.104717812782478	0.99577301450636	8.10142239797915	27.106307329679	27.106307329679	509.172300997177	FALSE	0.901740819127042	0.864618336973339	17.6487808323524	18.6899834862121	4.57642723150878	1	3.83078049704292	4.42616994232411	5.37194084486741	4.23687494177727	6.05128231396481	5	5	4	8	7	6	Platelet-activating factor acetylhydrolase IB subunit gamma	431782224.166667	PAFAH1B3	0.812593330014933	0.508940241072928	3.53533348248965	5.61428857537187	0.783441880187726	R_Bin_1
up	RGB-286638:P02765	RGB-286638	P02765	-1.84428404065668	1.38636416354471	6.67623553057612	20.3731804197809	20.3731804197809	19.7385801437318	FALSE	0.949011718721263	0.97932954452492	19.1437410563467	20.1849437102064	4.23325930065227	1	1.80995814669841	2.48567917916713	6.46994652014044	5.75004591615911	7.54315748241134	2	2	1	2	2	2	Alpha-2-HS-glycoprotein	49805596.6666667	AHSG	0.451966152314584	0.394974829462146	1.38665581276206	6.67617790961091	1.38629480175463	R_Bin_1
up	RGB-286638:Q99720	RGB-286638	Q99720	-1.08268427058989	0.953118278458763	5.19302503519743	1.54573744876101	1.54573744876101	1.38259123466634	FALSE	0.908921677893298	0.892095922772539	18.0242066272684	19.0654092811281	4.16737778409598	1	2.53364842901516	4.51335402399933	6.07103266555814	4.35795214792656	5.28617397744731	1	2	1	1	1	1	Sigma non-opioid intracellular receptor 1	8077532	SIGMAR1	0.133648581383773	0.172425650693111	1.16111308457943	5.19270781487093	0.813184562443701	R_Bin_1
up	RGB-286638:Q9HBL7	RGB-286638	Q9HBL7	-0.898032578637727	2.48213192980304	29.2642456361668	11636.5059953765	11636.5059953765	36757.4671793983	FALSE	0.965416749325556	1.48127179872445	24.1091985193653	25.150401173225	4.10821846975223	1	2.445883955828	3.17564119563317	4.11781670099289	4.73874376340596	15.0116691821499	1	1	1	2	1	1	Plasminogen receptor (KT)	5023152	PLGRKT	0.0767794922847188	0.525929574930778	2.48288799432408	14.9632798548812	2.22511716682409	R_Bin_1
up	RGB-286638:P05204	RGB-286638	P05204	-0.180523611783002	1.0095214167345	8.7075185470821	472.119593798501	472.119593798501	2996.22470271013	FALSE	0.851247812330186	1.14658955962545	21.0358892439096	22.0770918977694	4.00866189747842	1	2.74644699329645	4.61287129005711	3.15435433651061	5.04012557612088	6.27195274813567	2	2	2	2	2	2	Non-histone chromosomal protein HMG-17	65168505.1666667	HMGN2	0.503484320557491	0.710384995317342	2.3828764227216	5.89316339864784	0.908065215303004	R_Bin_1
up	RGB-286638:P09497	RGB-286638	P09497	0.0208847978773112	6.34380064310849	1.00002088147803	520.005355315632	520.005355315632	80196.5887302151	FALSE	0.811763754407999	0.819160811075997	17.0006876459897	18.0418902998494	3.59390534779272	1	3.71299365922769	3.27660894737942	4.06097770977339	2.81528940963769	4.26400279189504	2	3	3	4	3	3	Clathrin light chain B	10468609	CLTB	0.174713787954206	0.47234543962884	3.43381175578863	3.75437372885275	0.411750570659976	R_Bin_1
up	RGB-286638:P02768	RGB-286638	P02768	-5.53033953934622	1.04206137165513	5.48972229096004	14.7904734841017	14.7904734841017	25.6944891898318	FALSE	0.990941905760384	0.356516368069546	7.01788448926919	8.05908714312892	3.55939469432445	1	1.08415543259854	1.49999475529615	5.83947036274067	5.13167784342145	5.49793361433325	3	3	5	5	5	3	Albumin	728964938.166667	ALB	0.872573419611747	0.0420769634602773	1.04206137165957	5.48972229096004	1.11347745461656	R_Bin_1
up	RGB-286638:P26373	RGB-286638	P26373	-0.0947296924451387	0.99763857450828	5.55461697702539	34.8257911368588	34.8257911368588	452.449426493095	FALSE	0.896366417332511	0.556509733686267	12.3615386023627	13.4027412562224	3.26596629177818	1	2.98837519256422	3.02182801499799	3.67607559795307	3.0148880355045	4.23276220551397	8	10	7	7	8	8	60S ribosomal protein L13	378655405.166667	RPL13	0.796042807366849	0.3231193819161	2.66017543662714	3.8727302723866	0.482788489695593	R_Bin_1
up	RGB-286638:Q9BTE7	RGB-286638	Q9BTE7	-0.149555250187069	1.00393028943989	5.86595053445662	162.981651986181	162.981651986181	1086.08138315159	FALSE	0.929813143679168	0.485120438539121	10.7140889087331	11.7552915625928	3.15517501974688	1	2.80381677021306	2.50766191750015	3.65384585865093	3.45194323052451	4.34279361063266	4	5	6	6	5	4	DCN1-like protein 5	25031029	DCUN1D5	0.326032852165256	0.309215417964478	2.21258221691566	4.16051984603573	0.565843753578526	R_Bin_1
up	RGB-286638:P02647	RGB-286638	P02647	-1.05635981210168	1.08868887771835	5.74647152563724	91.1515459413462	91.1515459413462	48.4486650482805	FALSE	0.982305935126659	0.453232539337538	9.898186572533	10.9393892263927	2.99174982355725	1	1.44217626228761	1.18938016635314	3.70723366951333	5.06362886362502	5.9626621009492	1	1	1	1	1	1	Apolipoprotein A-I	125314714.166667	APOA1	0.619462419113987	0.279582923564935	1.09216647318132	5.71411747177502	1.09130062319767	R_Bin_1
