.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	AR-42:P12277;P06732	AR-42	P12277;P06732	-1.0877743549027	0.297293085392305	27.1096698342871	977.25350348748	977.25350348748	141.400113917921	FALSE	0.998431100832766	0.64499805007604	14.1322901886414	15.1734928425011	5.87876309768478	1	0	0	2.47206319535197	13.8545283338903	25.1352026545568	1	0	0	1	6	7	Creatine kinase B-type	6333853	CKB;CKM	0.0959960208903258	0.207277078020923	0.298517949547956	25.1308987585203	4.70604747056591	R_Bin_1
up	AR-42:Q9BT67	AR-42	Q9BT67	-6.69027730642867	0.24994788961272	24.2399994011403	742.672408098	742.672408098	2179.79835554725	FALSE	0.998901547240452	0.612379765619003	13.5095541302314	14.5507567840911	5.66918929478136	1	0	0	0	21.3561291797967	24.239987869395	1	0	0	0	1	1	NEDD4 family-interacting protein 1	2767204	NDFIP1	0.041531957224571	0.249947889616375	0.24994788961272	24.2399987322546	5.15052362532472	R_Bin_1
up	AR-42:P53814	AR-42	P53814	-1.65969730948434	1.20557551451506	11.3597983312301	512.747392561492	512.747392561492	44.8219639390756	FALSE	0.999294724187746	0.19168769532838	-0.428267804784552	0.612934849075174	3.82986956096926	1	1.24854228632122	1.39154460524612	1.82821508907976	8.84153580867069	11.2863560171313	3	3	2	3	8	8	Smoothelin	15460603.3333333	SMTN	0.248445660283512	0.0258632735896829	1.20558258305302	11.2869615926039	2.13278374675824	R_Bin_1
up	AR-42:P13591	AR-42	P13591	-1.88636781798516	0.311261153446714	9.7382894443591	170.347567917816	170.347567917816	58.137309747563	FALSE	0.994012114167622	0.559346931453724	12.4225615771627	13.4637642310225	3.6463853183673	0	0	1	2.80682837511802	9.50814731488289	9.64942921694585	0	0	1	3	6	6	Neural cell adhesion molecule 1	0	NCAM1	0	0.202080507473363	0.311268719795208	9.73394610561235	2.24509761155703	R_Bin_1
up	AR-42:P02545	AR-42	P02545	-1.70213137368355	1.29370877068845	8.90253908126507	533.094902021334	533.094902021334	90.1074288192597	FALSE	0.997405985812696	0.275451719634933	3.92227106761831	4.96347372147803	3.23421531115569	1	1.34819769563399	1.55224109057379	1.6988416404876	6.96214007066582	8.85001254248882	6	9	4	7	15	13	Prelamin-A/C	40019452.6666667	LMNA	0.421536931111664	0.0329036326698091	1.29371222059069	8.85110791121775	1.6068140110701	R_Bin_1
up	AR-42:Q14764	AR-42	Q14764	-4.75292005094761	1.23523081047393	6.22219343140038	140.358308368632	140.358308368632	138.018267555061	FALSE	0.990896183580484	0.377175416154913	7.69384715367267	8.7350498075324	3.08329073775809	1	1.41764006454927	1.28913308011303	2.06454283162225	6.53239621999192	5.9115290059321	4	5	4	5	11	11	Major vault protein	25371265.5	MVP	0.338224322307884	0.208820032119344	1.23523081047394	6.22219342360554	1.16220923564279	R_Bin_1
up	AR-42:P17600;Q92777	AR-42	P17600;Q92777	-0.793523646593132	0.648961608041511	12.8103891946973	1640.65705928417	1640.65705928417	1541.5870939744	FALSE	0.986798220066492	0.723349042231431	15.5080251648167	16.5492278186764	2.84271646576724	1	0.963278360079307	0	2.16287637070583	5.48147956275913	10.4825502907703	1	1	0	4	7	6	Synapsin-1	8737629.5	SYN1;SYN2	0.145237503108679	0.301366989332518	0.654457927052169	10.4701418866745	1.80372089807419	R_Bin_1
up	AR-42:Q63ZY3	AR-42	Q63ZY3	-0.904243055148488	1.2036226168712	9.26088006942471	1147.06145863417	1147.06145863417	285.513856197488	FALSE	0.998225446537725	0.192589915450917	-0.371919680094839	0.669282973764886	2.82145161977287	1	1.32850972787277	1.44620918215734	1.95356283958848	4.9935532646304	8.26183318156473	3	4	3	4	7	8	KN motif and ankyrin repeat domain-containing protein 2	11955004.5	KANK2	0.195971151454862	0.0802240225690699	1.20534148086134	8.26435637573001	1.36604714787222	R_Bin_1
up	AR-42:P78540	AR-42	P78540	-1.25309193094187	0.915563489840117	6.8880631522945	324.028275888414	324.028275888414	38.2647229671805	FALSE	0.998932538084275	0.13767444426404	-4.3999757524565	-3.35877309859678	2.70048123976544	1	0.97711257371841	0.828153069041746	2.05586498321181	5.70430891808597	6.81612636247825	2	2	1	2	3	3	Arginase-2, mitochondrial	5317722.5	ARG2	0.0775926386471027	0.041991660681788	0.915801752338113	6.80791161433584	1.2711409359904	R_Bin_1
up	AR-42:P07305	AR-42	P07305	-1.11225942765845	0.731045083089338	8.14928322625329	518.980123733464	518.980123733464	250.202740443767	FALSE	0.979762280279738	0.702090162218869	15.1500646486557	16.1912673025154	2.6587724942567	1	0	1.41867594138077	1.64949425889713	5.76797405664721	7.87258179017547	1	0	1	1	1	1	Histone H1.0	7046448.25	H1-0	0.110793334991296	0.18703594478615	0.731592171256689	7.88300281433001	1.48278998395244	R_Bin_1
up	AR-42:P52943	AR-42	P52943	-1.38039320316028	1.1729339502918	5.82378379427139	446.459612430581	446.459612430581	69.0512760855856	FALSE	0.997763085957202	0.153959492497002	-3.05840295023904	-2.01720029637932	2.43304715329062	1	1.28948495541969	1.26131406631397	1.68863466885397	4.67599181037087	5.75976939407204	1	1	1	1	1	1	Cysteine-rich protein 2	13977372.8333333	CRIP2	0.227679681671226	0.0357683243222131	1.17297654874493	5.76100704490246	0.982448232507249	R_Bin_1
up	AR-42:P48681	AR-42	P48681	-7.01024596975138	0.745645799116878	5.09362980156985	118.090045859006	118.090045859006	1165.33009992152	FALSE	0.927361151345853	0.95117959628007	18.7937574005055	19.8349600543652	2.4221424521377	1	0	1.23692615128282	1.77891865591981	5.78190070526925	4.40535183084494	1	0	1	1	1	4	Nestin	4619075.5	NES	0.0655309624471525	0.589776242897858	0.745645799116878	5.09362980156972	0.997555822133412	R_Bin_1
up	AR-42:Q9H0Q0	AR-42	Q9H0Q0	-1.80916126708982	1.03595659676564	4.75101810013973	139.218445373226	139.218445373226	35.2847262336563	FALSE	0.996181130938648	0.175315955579419	-1.49959965728549	-0.458397003425766	2.415385952185	1	1.21750177074192	0.915252403010624	2.36446629731252	4.6016057812681	4.79289295006004	1	1	1	3	3	5	CYFIP-related Rac1 interactor A	10415741	CYRIA	0.172345187764238	0.0454474937069556	1.03596422652194	4.74939096409267	0.873314019319447	R_Bin_1
up	AR-42:Q86YC2	AR-42	Q86YC2	-1.39680036763161	1.21656188853276	10.3764519376066	2558.44907665662	2558.44907665662	3066.12591163712	FALSE	0.998060738819782	0.221758120043243	1.32036952712754	2.36157218098727	2.38079121360828	1	1.44325381067219	1.20897462095296	1.31630187543637	3.15926669090195	9.1889638141638	2	2	2	1	3	3	Partner and localizer of BRCA2	10971941.6666667	PALB2	0.181049490176573	0.0067208125958953	1.21656826861645	9.18891227737911	1.32000528474262	R_Bin_1
up	AR-42:Q99519	AR-42	Q99519	-4.26799863035014	1.14872787050169	7.85128671000375	1242.14332647401	1242.14332647401	1313.50526538484	FALSE	0.997679109579977	0.20517632647002	0.387759527538591	1.42896218139832	2.3634471397181	1	1.33486117569514	1.24563702781484	1.01456676878723	3.05126308756472	7.85038475432783	3	2	3	3	4	4	Sialidase-1	17240576.5	NEU1	0.266973389704054	0.115606785843538	1.14872787050169	7.8503744731295	1.11914454994915	R_Bin_1
up	AR-42:P10301	AR-42	P10301	-1.04942508763305	1.22327234812064	5.53647134774859	537.613821022748	537.613821022748	187.913718455908	FALSE	0.990498445952725	0.273995112106378	3.85864587121567	4.89984852507539	2.33480133255144	1	1.53246361496578	1.19791994233058	1.8655161031796	4.05567374871368	5.34571541773776	1	1	1	1	1	2	Ras-related protein R-Ras	11078504.8333333	RRAS	0.183536433722955	0.0510535148950529	1.22379703162394	5.34470515823126	0.856165818593758	R_Bin_1
up	AR-42:Q13239	AR-42	Q13239	-6.18032483600867	0.748273569746377	7.80874549037605	792.919938324121	792.919938324121	2073.29508908557	FALSE	0.986677477903858	0.610593052491571	13.4744910896373	14.515693743497	2.3030607442984	1	1.00667199084839	0.984004789931793	0	6.44982034700243	7.80874710951142	2	3	2	0	1	1	Src-like-adapter	12501014.8333333	SLA	0.205297189753793	0.243728825213064	0.748273569746377	7.80874437937773	1.41111930931678	R_Bin_1
