.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	HMN-214:Q9HAJ7	HMN-214	Q9HAJ7	-0.362192116755762	0.968748867791995	3.76936468970633	12.5744676655831	12.5744676655831	31.7429470420801	FALSE	0.950953898689152	0.35015971090397	6.8019950720548	7.84319772591453	2.54312839521505	1	1.55817103675426	2.6829000593222	2.63356217246643	3.27063787036977	3.60805489836643	1	1	1	1	1	1	Histone deacetylase complex subunit SAP30L	1888650.25	SAP30L	0.0259157737353601	0.224147969352874	1.38304431757556	3.54044765980975	0.517952488737797	R_Bin_1
up	HMN-214:P62312	HMN-214	P62312	-1.26306033248934	0.995810420187534	2.77109169863472	1.73976934522845	1.73976934522845	1.79386303927299	FALSE	0.906499359848006	0.389214514171165	8.07089036804696	9.11209302190669	2.32729943511048	1	1.57458794128019	2.64773798867645	2.3670339166576	2.73820056275864	3.15084712248729	2	1	1	1	1	1	U6 snRNA-associated Sm-like protein LSm6	130284799.5	LSM6	0.622476949912783	0.0474971994752781	1.04267372871441	2.77106001947982	0.398981982995798	R_Bin_1
up, low confidence	HMN-214:Q9H497	HMN-214	Q9H497	-4.22945725167382	1.05757449471238	17.4748406180578	4512.40211187185	4512.40211187185	52634.8954572593	FALSE	0.999863373436175	0.119699469054921	-6.07886721212575	-5.03766455826603	2.20511685069456	1	1.08200375769578	1.18417996115099	0.964220021309879	1.08548513537439	16.926712298193	2	1	1	1	1	1	Torsin-3A	17044803	TOR3A	0.252055818589584	0.0410018788478871	1.05757449471238	16.9267078724297	2.26925844811885	R_Bin_1
up, low confidence	HMN-214:Q2PPJ7	HMN-214	Q2PPJ7	-7.8701436295253	1.18049816497507	19.2997019499074	5569.08728098756	5569.08728098756	324446.817967842	FALSE	0.992626959189286	0.998044190029644	19.3708933118182	20.4120959656779	2.10533200723232	1	0.9060670356586	2.42597225398563	0.683767140316476	0.88667750862791	19.1206074455688	2	2	1	2	2	1	Ral GTPase-activating protein subunit alpha-2	7608160.66666667	RALGAPA2	0.109020682780962	0.284138130005911	1.18049816497507	19.120596590974	2.53721895808808	R_Bin_1
non-regulated	HMN-214:Q9NZC3	HMN-214	Q9NZC3	-5.98141252255461	0.783557266410643	7.26889564735436	1013.65373227259	1013.65373227259	600.225791584666	FALSE	0.919724485619069	1.25883122332202	22.15659029184	23.1977929456998	2.07337637784237	1	0	2.15997681364856	0	3.89492848628625	7.26918591029712	1	0	1	0	1	1	Glycerophosphodiester phosphodiesterase 1	4295719	GDE1	0.0512085721405432	0.5	0.783557266410643	7.26888830647822	1.16773537704845	R_Bin_1
up	HMN-214:Q96PY5	HMN-214	Q96PY5	-6.2221316285931	0.333897500660839	4.91119994242557	129.626066882749	129.626066882749	803.159506628198	FALSE	0.971444476409743	0.619402273138257	13.646381914033	14.6875845678928	2.06176524592087	1	0	0	1.09358852519427	5.13551561906182	4.68686391645763	1	0	0	1	1	1	Formin-like protein 2	5204352	FMNL2	0.0639172688761525	0.279116763310419	0.333897500660839	4.9111999424173	0.998127284704796	R_Bin_1
non-regulated	HMN-214:Q9NS37	HMN-214	Q9NS37	-4.81642944577648	0.250222314680963	10.1732805025953	1277.61191047843	1277.61191047843	4586.33283138557	FALSE	0.990579828108177	0.612382028716741	13.5095984770962	14.5508011309559	2.02431967842137	1	0	0	0	2.58262433961374	10.1726953612177	1	0	0	0	1	1	CREB/ATF bZIP transcription factor	2322557	CREBZF	0.0289060553202093	0.250222315036022	0.250222314680963	10.172787717494	1.53175285214085	R_Bin_1
up	HMN-214:Q7Z422	HMN-214	Q7Z422	-0.287938764257157	0.989208944305153	3.17245938906849	54.3946874654969	54.3946874654969	186.552996976514	FALSE	0.975718940824535	0.164601533536486	-2.25634607584428	-1.21514342198455	2.01099331738643	1	1.46333369565657	1.83293552894956	2.30518087844614	2.34083301031539	2.84497921449916	3	3	3	2	3	3	SUZ domain-containing protein 1	63684737.3333333	SZRD1	0.495763767754797	0.0996308292330945	1.29528652107786	2.77461297820935	0.352275410456252	R_Bin_1
up	HMN-214:P24863	HMN-214	P24863	-5.87391893798706	0.821211714966352	3.92169406199552	128.312509739532	128.312509739532	1009.65787325238	FALSE	0.905127204832761	0.788111446852018	16.5369967832762	17.578199437136	1.99434285133832	1	0	1.48338652054411	1.40347098534406	4.1423668045035	3.70099789395832	2	0	1	1	1	1	Cyclin-C	36715820.3333333	CCNC	0.391851482681286	0.220693418007788	0.821211714966352	3.92169406197156	0.738633552802916	R_Bin_1
non-regulated	HMN-214:P52741	HMN-214	P52741	0.00883633640337075	-0.976169127140945	0.999999574161299	650.815059673614	650.815059673614	182472.501303904	TRUE	0.991261553550394	0.0594260987567183	-14.4818753006227	-13.440672646763	0.0251144511515466	1	0	0.100450835265428	0	0	0	1	0	2	0	0	0	Zinc finger protein 134	54768472	ZNF134	0.466110142038375	0.0301401238238178	0.0502288334437158	-1.13070922536096e-05	-0.145727166721869	R_Bin_1
