.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Tofacitinib:Q08AD1	Tofacitinib	Q08AD1	-7.23994587023396	2.10705125090561	26.899341606509	7327.03313363856	7327.03313363856	737352.513987492	FALSE	0.857426338720568	5.90451337035216	40.7029904504786	41.7441931043383	2.80865903250496	1	0	0	9.53550611986416	0	24.5391282603465	1	0	0	1	0	1	Calmodulin-regulated spectrin-associated protein 2	15838241	CAMSAP2	0.22130831512659	2.10705125090561	2.10705125090561	24.5391017936552	3.63517564061705	R_Bin_1
up	Tofacitinib:Q08999	Tofacitinib	Q08999	-2.99206471123299	1.11567312777102	7.1566768084992	1372.39388679144	1372.39388679144	2358.22338635497	FALSE	0.992865177026522	0.324079299977303	5.87318153114082	6.91438418500054	2.15862573653526	1	1.49413886043776	0.887074087704544	1.08371414713201	2.80408877199989	7.14082009630251	1	1	1	2	1	1	Retinoblastoma-like protein 2	8934909	RBL2	0.126590412543375	0.0750086615877716	1.11567312777354	7.14085519197216	0.995159722160754	R_Bin_1
up	Tofacitinib:P11279	Tofacitinib	P11279	-0.515293760487796	0.872865438644236	3.18057715769051	22.4798167266288	22.4798167266288	69.054920913371	FALSE	0.859762727511587	0.572784207562222	12.7074312008382	13.7486338546979	2.08838711450303	1	0.846136425133738	2.33235207265001	2.05055650133481	3.015552415653	3.10621043291851	1	2	1	2	1	2	Lysosome-associated membrane glycoprotein 1	95107728	LAMP1	0.571648888317697	0.260114929668632	1.00635282026443	3.08503105567456	0.478785844709575	R_Bin_1
non-regulated	Tofacitinib:Q9UHL0	Tofacitinib	Q9UHL0	0.00245690616241607	-0.993272032494852	0.999999995876171	640.644040871443	640.644040871443	555472.51313955	TRUE	0.999325433580621	0.0166770327778056	-29.7302874541507	-28.689084800291	0.00704738992609586	1	0	0.0281893821803653	0	0	0	1	0	1	0	0	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.832797840894487	0.0084569341993489	0.0140948092241039	-2.74907361208498e-07	-0.143662553776582	R_Bin_1
non-regulated	Tofacitinib:Q05481;Q9P255;O75437;A6NK75	Tofacitinib	Q05481;Q9P255;O75437;A6NK75	-0.000255358972110339	0.999839066800105	-0.968366895738838	67230337.2016613	67230337.2016613		TRUE	0.995713540206559	0.0414850614058356	-18.7946765794917	-17.753473925632	0.017566769665459	1	0	0	0	0.0608339274012789	0.0411530182707697	1	0	0	0	2	1	Zinc finger protein 91	791989046	ZNF91;ZNF492;ZNF254;ZNF98	0.885875851432978	0.0211551459121085	0.0182900645503801	0.0168434734622297	-0.131763803612638	R_Bin_1
non-regulated	Tofacitinib:Q9Y4F5	Tofacitinib	Q9Y4F5	0.0132537818151047	-0.994352888446023	1.00000375700709	653.097106515336	653.097106515336		TRUE	0.997148701198876	0.0340405301981629	-21.1680547833209	-20.1268521294612	0.0228216527974208	1	0.0760989596487329	0	0	0	0	1	1	0	0	0	0	Centrosomal protein of 170 kDa protein B	7767431	CEP170B	0.108212312042154	0.0228301875044411	0.0608083659892152	-0.0152038094740963	-0.149379910827034	R_Bin_1
non-regulated	Tofacitinib:Q17R89	Tofacitinib	Q17R89	0.000409213316485083	-0.941221792997159	0.986786747764892	672.456727837473	672.456727837473		TRUE	0.991992993175121	0.0569637106959459	-14.9897044076745	-13.9485017538148	0.0233854567387318	1	0	0	0.0877171445646827	0	0	1	0	0	1	0	0	Rho GTPase-activating protein 44	7640202	ARHGAP44	0.105898984706336	0.023839622394274	0.0245208696629246	0.022250042699462	-0.140350938726723	R_Bin_1
non-regulated	Tofacitinib:Q9H4B0	Tofacitinib	Q9H4B0	0.00916470367584562	-0.975317088579758	0.999999593279346	652.324606234586	652.324606234586	176869.170753488	TRUE	0.990602208170755	0.0616044172270328	-14.0498744208026	-13.0086717669429	0.02603527038698	1	0	0.104133142785145	0	0	0	1	0	1	0	0	0	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	62328164.3333333	OSGEPL1	0.491967613417299	0.0312454290660061	0.0520704633691991	-1.26180007049559e-05	-0.145832375508147	R_Bin_1
non-regulated	Tofacitinib:Q96C11	Tofacitinib	Q96C11	0.00949921431557955	-0.974544882425651	1.00000373018215	659.868350918065	659.868350918065	217103.614304575	TRUE	0.9899084589158	0.0638146304113148	-13.6268875649567	-12.585684911097	0.0269713324598911	1	0	0.107869394398189	0	0	0	1	0	1	0	0	0	FGGY carbohydrate kinase domain-containing protein	60735190	FGGY	0.48682688600437	0.0323695307381768	0.0539449062822032	-1.64255684508285e-05	-0.145939125554234	R_Bin_1
non-regulated	Tofacitinib:Q68CZ1	Tofacitinib	Q68CZ1	0.0163722212898527	-0.994910802049983	1.00000278833173	734.012893443552	734.012893443552		TRUE	0.995625167261935	0.0420760684692621	-18.6249277253783	-17.5837250715186	0.0281983189053771	1	0.0940493485707923	0	0	0	0	1	1	0	0	0	0	Protein fantom	85312298	RPGRIP1L	0.550828942295335	0.0282150202406054	0.0750978101548573	-0.0187769791660226	-0.150918515591782	R_Bin_1
non-regulated	Tofacitinib:O43677	Tofacitinib	O43677	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	0	NDUFC1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
