.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Domatinostat:P61289	Domatinostat	P61289	-4.31619446692738	0.929803535476249	4.66866855923071	13.3474828854685	13.3474828854685	12.8507403911229	FALSE	0.947929702029155	0.711409998035063	15.3083096261175	16.3495122799772	3.07929627194206	1	0.859368775647963	1.7641719426526	5.44544292261838	4.06112422754465	4.4988215731364	6	4	5	3	3	2	Proteasome activator complex subunit 3	197097594.166667	PSME3	0.696924603174603	0.120166830362126	0.929803537982951	4.66866855922925	0.87944700575251	R_Bin_1
up	Domatinostat:O15021	Domatinostat	O15021	-1.27583041604673	1.23732849628364	6.32615546803521	197.399756542467	197.399756542467	430.976661226694	FALSE	0.852319997498839	1.51918584398634	24.4124807614045	25.4536834152642	2.97471070778609	1	2.84367818147919	0	2.9955195754646	5.47869699868504	6.49239108123954	2	3	0	1	1	3	Microtubule-associated serine/threonine-protein kinase 4	4650182.33333333	MAST4	0.0679563492063492	0.265249499325639	1.23764639378426	6.292358704362	1.09607232666514	R_Bin_1
up	Domatinostat:Q9Y248	Domatinostat	Q9Y248	-8.50945407822506	0.858764603884421	4.50889818537637	29.3721389338474	29.3721389338474	212.792127483405	FALSE	0.96513180460583	0.600878030059933	13.2820262921696	14.3232289460293	2.70723460175248	1	0.834565764048252	0.740923344082673	4.993210028606	4.67632545184539	3.85705110557676	3	3	3	2	2	2	DNA replication complex GINS protein PSF2	15843328.5	GINS2	0.248759920634921	0.154331331292467	0.858764603884421	4.50889818537637	0.858937750737101	R_Bin_1
non-regulated	Domatinostat:Q96C11	Domatinostat	Q96C11	-6.34366991299114	0.199396641685887	72.7388254082125	6847.91030753883	6847.91030753883	45547.6920401854	FALSE	0.999783030696873	0.632513544523796	13.8977422804732	14.9389449343329	2.67734363986344	1	0	0	0	0	66.7164699323727	1	0	0	0	0	1	FGGY carbohydrate kinase domain-containing protein	4305458.66666667	FGGY	0.0625	0.199396641768181	0.199396641685887	66.7164523835525	9.3880671331961	R_Bin_1
up, low confidence	Domatinostat:Q96JM2	Domatinostat	Q96JM2	-5.09898884410153	0.656756542093955	9.39561820155963	1108.8418813737	1108.8418813737	981.94616541526	FALSE	0.997153411299468	0.299774606821715	4.93769324504208	5.97889589890181	2.32664889488607	1	0.624101216236061	0.580856691941431	0.422092710545656	3.90121452679402	9.39547751655206	2	1	3	2	1	1	Zinc finger protein 462	12297264.5	ZNF462	0.20374503968254	0.0542775881687629	0.656756542093955	9.39550037319187	1.4757132438011	R_Bin_1
up	Domatinostat:P63098	Domatinostat	P63098	-4.07419551318183	1.2750419962547	4.97949336760312	898.270817927999	898.270817927999	965.90922003702	FALSE	0.967245226991932	0.466921246358496	10.2552499380026	11.2964525918623	2.05067195440306	1	1.04847234706735	1.82853552378794	1.22362206595712	3.52575621328372	4.97929208068663	2	2	2	3	2	1	Calcineurin subunit B type 1	106402916.666667	PPP3R1	0.590277777777778	0.139236485776244	1.2750419962547	4.97929168105479	0.763525672692898	R_Bin_1
non-regulated	Domatinostat:Q562R1	Domatinostat	Q562R1	0.000528575822312931	-0.991780446859226	0.99847189108757	3668.48582536319	3668.48582536319		TRUE	0.999908986306961	0.00615432880846794	-41.6928088690443	-40.6516062151846	0.00459593131428267	1	0	0.00199166082200788	0	0.00109172088460005	0	1	0	1	0	1	0	Beta-actin-like protein 2	7607137528.5	ACTBL2	0.989211309523809	0.00368756361142897	0.00610987447049338	0.00308198430062945	-0.142820471376235	R_Bin_1
non-regulated	Domatinostat:Q9BVC6	Domatinostat	Q9BVC6	0.00569454867533737	-0.984544227268158	0.999999912493959	648.03603159162	648.03603159162	280203.428163185	TRUE	0.99636806016264	0.0384752053899107	-19.6985091194382	-18.6573064655785	0.0162593799096921	1	0	0.0650356104944159	0	0	0	1	0	1	0	0	0	Transmembrane protein 109	26802050	TMEM109	0.338789682539683	0.0195120070572027	0.0325187603899352	-3.05522897126043e-06	-0.144715303156983	R_Bin_1
non-regulated	Domatinostat:O94876	Domatinostat	O94876	0.00643500191252266	-0.982598209719275	0.999999872469042	652.594568140886	652.594568140886	214838.479410716	TRUE	0.995361380853098	0.0434329051967418	-18.2440692781588	-17.2028666242991	0.0183543055480739	1	0	0.073415938471376	0	0	0	1	0	1	0	0	0	Transmembrane and coiled-coil domains protein 1	38532584.25	TMCC1	0.403149801587302	0.0220262349166968	0.0367085291187094	-4.33142557509925e-06	-0.144954741099182	R_Bin_1
non-regulated	Domatinostat:Q9UKA2	Domatinostat	Q9UKA2	0.000412552618331947	-0.947810182832177	0.988118729539154	672.378272755874	672.378272755874		TRUE	0.993584458809073	0.051044683832079	-16.3062605028459	-15.2650578489861	0.0207646471840778	1	0	0	0.0786822897132991	0	0	1	0	0	1	0	0	F-box/LRR-repeat protein 4	10364339	FBXL4	0.174975198412698	0.0212243999278064	0.021914027793677	0.01961526542723	-0.140609077436763	R_Bin_1
