.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Selisistat:Q8WUM9	Selisistat	Q8WUM9	-2.35484399776908	0.331634151756701	74.7055642854701	482.677340334471	482.677340334471	27.4691049918507	FALSE	0.999892857360552	0.579708305923714	12.8516233393483	13.892825993208	19.9176495255727	1	0	0	2.11706760109292	63.3647941094993	74.6467105449752	1	0	0	1	1	1	Sodium-dependent phosphate transporter 1	9221677.5	SLC20A1	0.11220447284345	0.167400877745855	0.331634309148958	74.6465043318829	16.0127143615562	R_Bin_1
non-regulated	Selisistat:Q9Y236	Selisistat	Q9Y236	-22.5798423646661	0.250000253677323	54.4460275347298	423.775422796344	423.775422796344	450348.103930394	FALSE	0.982239299746608	5.95035902820742	40.7958047159353	41.837007369795	15.1332007138567	1	0	0	0	60.3647864351271	48.5272577500021	1	0	0	0	1	1	Oxidative stress-induced growth inhibitor 2	2798953	OSGIN2	0.0392332268370607	0.500000000000187	0.250000253677323	54.4460275347298	11.9637328015826	R_Bin_1
up	Selisistat:Q9H7D0	Selisistat	Q9H7D0	-6.2856579531925	0.249994560823112	26.9914954948354	886.48276838618	886.48276838618	2404.69152197949	FALSE	0.998944498497699	0.612378483883465	13.5095290137213	14.5507316675811	5.87971799646105	0	0	1	0	18.4551015698415	26.9913101828622	0	0	1	0	2	1	Dedicator of cytokinesis protein 5	0	DOCK5	0	0.249994560823112	0.249994560823112	26.991488999507	5.40919587496673	R_Bin_1
up	Selisistat:Q86XS8	Selisistat	Q86XS8	-6.27129522390438	0.779338807932966	16.1721359272635	759.206282620095	759.206282620095	1634.38537613964	FALSE	0.99678035665488	0.663651078782989	14.4744009960128	15.5156036498725	4.22706747163908	1	1.24304888568065	0.877857024765176	0	13.8494583664305	16.1721653327475	1	1	2	0	1	1	E3 ubiquitin-protein ligase RNF130	29429978.5	RNF130	0.313865814696486	0.159589704437206	0.779338807932966	16.1721344626494	3.22291994517777	R_Bin_1
up	Selisistat:P41223	Selisistat	P41223	-7.0374819306948	1.48850545140066	12.3377042981743	3606.98437031198	3606.98437031198	29949.5119767988	FALSE	0.989298398485338	0.727805311300164	15.5817256595815	16.6229283134412	2.45042549502142	1	2.33423039034777	1.48108095614473	1.46334353994396	1.1660408060472	12.329755155902	3	2	3	3	5	3	Protein BUD31 homolog	81616770.6666667	BUD31	0.509137380191693	0.174464041542468	1.48850545140066	12.3294157877607	1.51789913172593	R_Bin_1
non-regulated	Selisistat:Q6ZP82	Selisistat	Q6ZP82	0.000499688738449214	-1.01444466462755	1.01508935293358	692.902635025324	692.902635025324		TRUE	0.999687858866625	0.0113910890518739	-34.3047006836739	-33.2634980298142	0.00110500537513325	1	0	0	0.00588978714386023	0	0	1	0	1	1	0	0	Coiled-coil domain-containing protein 141	110896185.666667	CCDC141	0.566006389776358	0.00168878833314645	0.00256446042640257	-0.000354451834250868	-0.142688863224461	R_Bin_1
non-regulated	Selisistat:Q9ULJ1	Selisistat	Q9ULJ1	0.00182150881943071	-0.995006603269544	0.999999994334114	640.33381509107	640.33381509107	571723.2161131	TRUE	0.999629516155245	0.0123751441819742	-33.310397821732	-32.2691951678722	0.0052294748139197	1	0	0.0209178326267678	0	0	0	1	0	1	0	0	0	Protein BCAP	54898355	ODF2L	0.430415335463259	0.00627539886627171	0.0104589718883378	-1.22389885448548e-07	-0.143454795217908	R_Bin_1
non-regulated	Selisistat:Q08AE8	Selisistat	Q08AE8	0.00179278940047848	-0.99663492276899	0.999999997345077	2982.12164252836	2982.12164252836	10.0000000009402	TRUE	0.999843530673805	0.00803709381415082	-38.4898667118617	-37.448664058002	0.00575109133927656	1	0.0103024842140297	0	0.0133017820362699	0	0	1	1	0	1	0	0	Protein spire homolog 1	134788067	SPIRE1	0.601405750798722	0.00472085152935109	0.0109022685317525	0.000599769739447753	-0.143360162017309	R_Bin_1
non-regulated	Selisistat:Q9Y548	Selisistat	Q9Y548	-0.000108242042557513	0.999947799524068	-0.984002909255161	48660707518176600000	48660707518176600000		TRUE	0.999940937524761	0.00491106824438939	-44.4007795369019	-43.3595768830421	0.0102207081890952	1	0.0101133138254005	0.0048229039836828	0.00972514097476417	0.0117839147370263	0.0137969536305923	1	1	1	1	1	1	Protein YIPF1	1043224297.5	YIPF1	0.893546325878594	0.00281696127318346	0.0105297520448094	0.00991166404248356	-0.140602891203459	R_Bin_1
non-regulated	Selisistat:Q6PGQ7	Selisistat	Q6PGQ7	1.38071604126557e-06	-0.97509540130171	1.0001090782415	653.882284691324	653.882284691324		TRUE	0.996143662200961	0.0396588311644582	-19.3349135200545	-18.2937108661948	0.0125089036733406	1	0	0	0.0627059445723207	0	0	1	0	0	1	0	0	Protein aurora borealis	48875307	BORA	0.40779552715655	0.0125104735738467	0.0125128284246074	0.0125049789220716	-0.141065544440791	R_Bin_1
