.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Cerdulatinib:P61018	Cerdulatinib	P61018	-4.31506855139266	0.534933146609249	13.798973114498	2038.23340184401	2038.23340184401		FALSE	0.996502592750384	0.502691226957011	11.1410360892049	12.1822387430646	2.36858720911661	1	0.553942244736522	0	0.5859034492787	1.12184851600512	13.7851325058069	1	1	0	1	1	1	Ras-related protein Rab-4B	3513258.25	RAB4B	0.0440122824974411	0.0349748367828647	0.534933146609249	13.7851181559366	1.89186527977483	R_Bin_1
non-regulated	Cerdulatinib:P12277;P06732	Cerdulatinib	P12277;P06732	0.000395874794044552	-0.9926419127459	1.00059082677003	798.161128683024	798.161128683024		TRUE	0.999616314056453	0.0125962269722234	-33.0979094656132	-32.0567068117535	0.00461132201198454	1	0	0	0.0198125088276978	0	0	1	0	0	1	0	0	Creatine kinase B-type	414098416	CKB;CKM	0.767911975435005	0.00506554743217269	0.00574688438163473	0.00347575854012505	-0.142291071176351	R_Bin_1
non-regulated	Cerdulatinib:O60936	Cerdulatinib	O60936	0.000681156557090474	-0.983207462314425	0.99974223677032	62.4494815888155	62.4494815888155	1107.05190806094	TRUE	0.999346300781626	0.0163703167561742	-29.9530404432859	-28.9118377894261	0.00849716797539688	1	0	0.0213081232763338	0	0.020729468049155	0	1	0	1	0	1	0	Nucleolar protein 3	334040407	NOL3	0.73439099283521	0.0110428236944434	0.0104409771792443	0.0065533575941874	-0.141689134832253	R_Bin_1
non-regulated	Cerdulatinib:Q9BYT3	Cerdulatinib	Q9BYT3	0.00676311678305784	-0.997023956317558	1.00000006351082	643.844559588458	643.844559588458		TRUE	0.999264118873434	0.0173871353978279	-29.2299102813844	-28.1887076275247	0.0116618482037087	1	0.0388764391589044	0	0	0	0	1	1	0	0	0	0	Serine/threonine-protein kinase 33	696446530	STK33	0.84096724667349	0.0116629793596336	0.0310916573933291	-0.00777309856071817	-0.146189409070763	R_Bin_1
non-regulated	Cerdulatinib:Q14686	Cerdulatinib	Q14686	0.012738996207939	-0.994578761825565	1.00000358992341	653.38270748949	653.38270748949		TRUE	0.997367502865245	0.0327207670453377	-21.6425578852097	-20.60135523135	0.0219378223632965	1	0.073149889583325	0	0	0	0	1	1	1	0	0	1	Nuclear receptor coactivator 6	23683458	NCOA6	0.24628966223132	0.0219454033549257	0.0584571149867452	-0.0146158906321414	-0.149127133392856	R_Bin_1
non-regulated	Cerdulatinib:Q9NXB0	Cerdulatinib	Q9NXB0	0.000248727688159652	-0.957710750188038	1.00186781367515	250.677901744295	250.677901744295		TRUE	0.996845714228671	0.0356516910053572	-20.6131183840093	-19.5719157301495	0.0223307974278758	1	0.0422838364311518	0	0	0.0482138039348802	0	1	2	0	0	1	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.567553735926305	0.022330797465816	0.0230322242402256	0.0216293704431737	-0.142348859928252	R_Bin_1
non-regulated	Cerdulatinib:Q86YN1	Cerdulatinib	Q86YN1	0.000405773898560669	-0.935788211933767	0.985769916754171	672.542948124288	672.542948124288		TRUE	0.990467440735829	0.0620991496848914	-13.953889781148	-12.9126871272883	0.0255867883577307	1	0	0	0.0956126358925624	0	0	1	0	0	1	0	0	Dolichyldiphosphatase 1	104206523	DOLPP1	0.525588536335722	0.0260356300739533	0.0267088914679224	0.0244646841639355	-0.140125353260213	R_Bin_1
non-regulated	Cerdulatinib:P58107	Cerdulatinib	P58107	0.000404134752154506	-0.93353289010131	0.985370396595539	672.584475603243	672.584475603243		TRUE	0.989772120615792	0.0643009575244745	-13.5357830634144	-12.4945804095547	0.0265114738270169	1	0	0	0.0990132019596368	0	0	1	0	0	1	0	0	Epiplakin	150142328	EPPK1	0.594549641760491	0.026957884804211	0.0276275001054795	0.0253954464794864	-0.140028194229725	R_Bin_1
non-regulated	Cerdulatinib:O94916	Cerdulatinib	O94916	0.0178816477265171	-0.994056822834769	1.00000373045381	718.53168075227	718.53168075227		TRUE	0.994774780518053	0.0459424241670047	-17.5700097674446	-16.5288071135849	0.0307839093778667	1	0.102684422206794	0	0	0	0	1	1	0	0	0	0	Nuclear factor of activated T-cells 5	12555945	NFAT5	0.141248720573183	0.0308055047037669	0.0819644659347256	-0.0204946530654571	-0.151658664760582	R_Bin_1
non-regulated	Cerdulatinib:O14508	Cerdulatinib	O14508	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Suppressor of cytokine signaling 2	0	SOCS2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:O15055	Cerdulatinib	O15055	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Period circadian protein homolog 2	0	PER2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:O60725	Cerdulatinib	O60725	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein-S-isoprenylcysteine O-methyltransferase	0	ICMT	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:O94972	Cerdulatinib	O94972	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	E3 ubiquitin-protein ligase TRIM37	0	TRIM37	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:O95620	Cerdulatinib	O95620	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	0	DUS4L	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P01375	Cerdulatinib	P01375	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	1	1	Tumor necrosis factor	0	TNF	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P14923	Cerdulatinib	P14923	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Junction plakoglobin	0	JUP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P15151	Cerdulatinib	P15151	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Poliovirus receptor	0	PVR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P22413	Cerdulatinib	P22413	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	4	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	0	ENPP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P23142	Cerdulatinib	P23142	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fibulin-1	0	FBLN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P51523	Cerdulatinib	P51523	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 84	0	ZNF84	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P52797	Cerdulatinib	P52797	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Ephrin-A3	0	EFNA3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:P55055;Q13133	Cerdulatinib	P55055;Q13133	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Oxysterols receptor LXR-beta	0	NR1H2;NR1H3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q04725	Cerdulatinib	Q04725	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transducin-like enhancer protein 2	0	TLE2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q07820	Cerdulatinib	Q07820	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Induced myeloid leukemia cell differentiation protein Mcl-1	0	MCL1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q08AE8	Cerdulatinib	Q08AE8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Protein spire homolog 1	0	SPIRE1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q14188	Cerdulatinib	Q14188	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Transcription factor Dp-2	0	TFDP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q16610	Cerdulatinib	Q16610	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Extracellular matrix protein 1	0	ECM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q29980	Cerdulatinib	Q29980	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	MHC class I polypeptide-related sequence B	0	MICB	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q2VYF4	Cerdulatinib	Q2VYF4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	LETM1 domain-containing protein LETM2, mitochondrial	0	LETM2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q6DT37	Cerdulatinib	Q6DT37	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Serine/threonine-protein kinase MRCK gamma	0	CDC42BPG	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q6DWJ6	Cerdulatinib	Q6DWJ6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Probable G-protein coupled receptor 139	0	GPR139	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q6IAN0	Cerdulatinib	Q6IAN0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Dehydrogenase/reductase SDR family member 7B	0	DHRS7B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q6PK81	Cerdulatinib	Q6PK81	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 773	0	ZNF773	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q6UWW8	Cerdulatinib	Q6UWW8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carboxylesterase 3	0	CES3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q6ZNL6	Cerdulatinib	Q6ZNL6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	FYVE, RhoGEF and PH domain-containing protein 5	0	FGD5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q7L3S4	Cerdulatinib	Q7L3S4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 771	0	ZNF771	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q7L5A8	Cerdulatinib	Q7L5A8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fatty acid 2-hydroxylase	0	FA2H	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q86UU0	Cerdulatinib	Q86UU0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	B-cell CLL/lymphoma 9-like protein	0	BCL9L	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Cerdulatinib:Q86Y13	Cerdulatinib	Q86Y13	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	E3 ubiquitin-protein ligase DZIP3	0	DZIP3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
