.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Niraparib:Q9UKE5	Niraparib	Q9UKE5	-3.89739384296838	0.250070942577554	27.1008821181368	2801.18652200193	2801.18652200193	74847.9271766675	FALSE	0.998726972297226	0.612384986738263	13.5096564411952	14.5508590950549	3.22418911491301	1	0	0	0	0.726305279910545	26.9137981289605	1	0	0	0	2	1	TRAF2 and NCK-interacting protein kinase	4425324.33333333	TNIK	0.0502544529262087	0.250070946465558	0.250070942577554	26.9138158986542	3.76422589955812	R_Bin_1
non-regulated	Niraparib:Q9H040	Niraparib	Q9H040	-5.31650817623393	0.201304289759035	71.5642389623098	6861.22073100624	6861.22073100624	32020.9740823862	FALSE	0.999756928963908	0.632867325913343	13.9044523183509	14.9456549722107	2.68967772016971	1	0	0	0	0	63.0780361478869	1	0	0	0	0	1	SprT-like domain-containing protein Spartan	117789	SPRTN	0.0395674300254453	0.201304295913663	0.201304289759035	63.0779808504152	8.86829087826956	R_Bin_1
non-regulated	Niraparib:O15230	Niraparib	O15230	0.00110788741016686	-0.997130908322564	0.999999998810825	2548.19556521967	2548.19556521967	1779787.84781381	TRUE	0.999919491898584	0.00577341495526406	-42.4595123098293	-41.4183096559695	0.00386244894347757	1	0.00962162394842439	0	0	0.00650650990272783	0	1	1	0	0	1	0	Laminin subunit alpha-5	232495347.5	LAMA5	0.67824427480916	0.00417398443629004	0.00704658474788744	0.000678280229563177	-0.143124152632488	R_Bin_1
non-regulated	Niraparib:P12277;P06732	Niraparib	P12277;P06732	0.00395603473726661	-0.998256019342595	0.999999949694462	643.357308806419	643.357308806419		TRUE	0.99974933221705	0.010175872899481	-35.6584431396483	-34.6172404857885	0.00682585606095699	1	0.0227534675552796	0	0	0	0	1	1	0	0	0	0	Creatine kinase B-type	414098416	CKB;CKM	0.769211195928753	0.00682608258233886	0.0182009001869089	-0.00455021698745206	-0.144807440076167	R_Bin_1
non-regulated	Niraparib:Q96Q42	Niraparib	Q96Q42	-0.000118355502976933	0.620981291244196	-0.608840428356148	5.76200957427188e+20	5.76200957427188e+20		TRUE	0.825703139653754	0.268035492050104	3.5947555219839	4.63595817584363	0.00768424932379596	1	0.00463494139628177	0.00441062252333898	0.00486817852081833	0.00631555300129545	0.00673044861258023	4	2	3	2	3	2	Alsin	27879058740.5	ALS2	0.997709923664122	0.00297458353371969	0.00789371991247656	0.00747477848546485	-0.141738524746417	R_Bin_1
non-regulated	Niraparib:Q9NXB0	Niraparib	Q9NXB0	0.00356539643979894	-0.99039007705793	1.00000002082116	666.158539635839	666.158539635839	456868.127879707	TRUE	0.998577683564712	0.0241648072633302	-25.2799093823415	-24.2387067284817	0.0102116636475401	1	0	0.0408461389596206	0	0	0	1	0	2	0	0	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.570229007633588	0.0122541875230208	0.0204233515618851	-7.83222430467134e-07	-0.144024175398846	R_Bin_1
non-regulated	Niraparib:O60674	Niraparib	O60674	-0.000377189119149514	0.999885012432257	-0.978154384128288	437293872.506127	437293872.506127		TRUE	0.997201388094705	0.0336447754880827	-21.3083839313653	-20.2671812775055	0.0139321708184736	1	0	0	0	0.0503627099555329	0.0298471708475739	1	0	0	0	1	1	Tyrosine-protein kinase JAK2	131157990	JAK2	0.572900763358779	0.0157825516051009	0.0150058745888021	0.0128584622296581	-0.134276457597015	R_Bin_1
non-regulated	Niraparib:P53804	Niraparib	P53804	0.00736133395618943	-0.980179972463644	0.999999812707778	657.902284971673	657.902284971673	219543.247475161	TRUE	0.993930535554445	0.0496174510158313	-16.6465660530212	-15.6053633991615	0.0209685765137529	1	0	0.0838701916684572	0	0	0	1	0	1	0	0	0	E3 ubiquitin-protein ligase TTC3	47847114	TTC3	0.38206106870229	0.0251639192029644	0.0419371645896385	-6.62722781941127e-06	-0.14525343404767	R_Bin_1
non-regulated	Niraparib:O00192	Niraparib	O00192	0.0073620248243572	-0.980178131387376	0.99999981264925	657.902113394155	657.902113394155	220668.309108445	TRUE	0.993929397386111	0.0496220569343274	-16.6454521615251	-15.6042495076653	0.0209705232576975	1	0	0.0838779774820229	0	0	0	1	0	1	0	0	0	Armadillo repeat protein deleted in velo-cardio-facial syndrome	106115260	ARVCF	0.53206106870229	0.0251662557475062	0.0419410580576024	-6.62906335446856e-06	-0.145253656499486	R_Bin_1
non-regulated	Niraparib:P04792	Niraparib	P04792	0.000410221000664462	-0.943043391620902	0.987144363239422	672.4321832926	672.4321832926		TRUE	0.992460001714062	0.055294044413484	-15.3466948539584	-14.3054922000987	0.0226556259898923	1	0	0	0.0851613389011663	0	0	1	0	0	1	0	0	Heat shock protein beta-1	42876120	HSPB1	0.362977099236641	0.0231114246279861	0.0237951213600951	0.021516129495099	-0.140423961745681	R_Bin_1
non-regulated	Niraparib:Q9UL12	Niraparib	Q9UL12	0.00803763326391373	-0.978410337000146	0.999999559561626	660.483140981071	660.483140981071	168484.241386579	TRUE	0.992764361756447	0.0541271757051031	-15.6026407356032	-14.5614380817435	0.0228735705846592	1	0	0.0914934380665449	0	0	0	1	0	2	0	0	1	Sarcosine dehydrogenase, mitochondrial	13931526	SARDH	0.159287531806616	0.0274502128607049	0.045746204550271	-7.67760148145946e-06	-0.145471241087616	R_Bin_1
non-regulated	Niraparib:Q9BYT3	Niraparib	Q9BYT3	0.00597336543743925	-0.956569549341242	0.999999815237988	530.677110655828	530.677110655828	157224.128711483	TRUE	0.993896126544891	0.0492545445381946	-16.7346576762192	-15.6934550223594	0.0299544819549706	1	0	0.0672439054243732	0.0657115547281664	0	0	1	0	1	1	0	0	Serine/threonine-protein kinase 33	696446530	STK33	0.841857506361323	0.0365225334680967	0.0467693913409393	0.0131363266053767	-0.142900924305606	R_Bin_1
