.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Onametostat:Q9UPP5	Onametostat	Q9UPP5	-6.25169819839087	5.64740050716164	152.215303579197	8351.46305995699	8351.46305995699	108625.105270795	FALSE	0.945931186345792	17.0809237321937	53.4499332475374	54.4911359013971	8.52322775067529	1	27.239883426022	0	0	0	116.329056363498	1	1	0	0	0	1	AP2-interacting clathrin-endocytosis protein	287391	KIAA1107	0.0367780367780368	5.64740050723255	5.64740050716164	116.32713638828	14.1407323296978	R_Bin_1
non-regulated	Onametostat:P15907	Onametostat	P15907	-6.62717233306524	1.37327486409763	31.8734757232754	6817.21571234697	6817.21571234697	103657.450734776	FALSE	0.974725533680137	2.93822862771387	32.3280687188634	33.3692713727231	2.42126827647941	1	4.99336224694336	0	0	0.873126533703652	29.6410587807999	1	1	0	0	1	1	Beta-galactoside alpha-2,6-sialyltransferase 1	1280174.5	ST6GAL1	0.0375550375550376	0.936757181401791	1.37327486409763	29.6420037566018	3.73841676469372	R_Bin_1
non-regulated	Onametostat:Q9BST9	Onametostat	Q9BST9	0.000264144908833819	-1.00400580194389	1.00632663801607	669.015246877467	669.015246877467	7879.28671783059	TRUE	0.998941113696476	0.0208863709843601	-27.0295152522498	-25.98831259839	0.00156557609580429	1	0	0.0304324204797317	0	0	0	1	0	1	0	0	0	Rhotekin	85634827	RTKN	0.53949753949754	0.0017184156638641	0.00232977355305408	0.000801378326370505	-0.143726640585135	R_Bin_1
non-regulated	Onametostat:Q6ZS86	Onametostat	Q6ZS86	0.00068923703786298	-0.969178695300178	0.989152699890903	651.095743711267	651.095743711267		TRUE	0.977677509211759	0.094656963140997	-8.89556402870576	-7.85436137484604	0.011007677897059	1	0	0	0.14232003110765	0	0	1	0	0	1	0	0	Putative glycerol kinase 5	19747015	GK5	0.255374255374255	0.0117846584684988	0.0129501234734755	0.0090652269660435	-0.138790856254067	R_Bin_1
non-regulated	Onametostat:Q9NX07	Onametostat	Q9NX07	0.00673664559890059	-0.997035664132576	1.00000006232661	643.849915479385	643.849915479385		TRUE	0.999269897408965	0.0173191645419078	-29.2769133508724	-28.2357106970127	0.0116162730714281	1	0.0387244794909971	0	0	0	0	1	1	0	0	0	0	tRNA selenocysteine 1-associated protein 1	90325754.3333333	TRNAU1AP	0.547915047915048	0.0116173910094064	0.0309702012031262	-0.00774273260598635	-0.146176383956371	R_Bin_1
non-regulated	Onametostat:Q8NCM8	Onametostat	Q8NCM8	0.00326336387164946	-0.967161961533467	0.999999989849789	371.428233554939	371.428233554939	313236.397067893	TRUE	0.996129186347397	0.0394960723780465	-19.3842625332452	-18.3430598793855	0.0203724910355575	1	0	0.0647869454394998	0	0.0278373877637651	0	1	1	2	0	1	0	Cytoplasmic dynein 2 heavy chain 1	285032974.5	DYNC2H1	0.752266252266252	0.0222201788823406	0.0296103346650605	0.0111341824749664	-0.142322136632806	R_Bin_1
non-regulated	Onametostat:P01023	Onametostat	P01023	0.00040709980842886	-0.937757522027599	0.986129692718876	672.509444095902	672.509444095902		TRUE	0.991044096259939	0.0602106487782391	-14.3244866150913	-13.2832839612316	0.0247846835046541	1	0	0	0.0927032073947252	0	0	1	0	0	1	0	0	Alpha-2-macroglobulin	9432125	A2M	0.124061124061124	0.0252355376693385	0.025911817722961	0.0236575481907771	-0.140208479788722	R_Bin_1
non-regulated	Onametostat:Q6ZNA4	Onametostat	Q6ZNA4	0.0111309939005071	-0.971018372042258	0.999999043599656	709.165988062594	709.165988062594	161144.469471594	TRUE	0.98615462015178	0.0746298369035309	-11.7481927063179	-10.7069900524581	0.0315418308702759	1	0	0.126152329387156	0	0	0	1	0	1	0	0	0	E3 ubiquitin-protein ligase Arkadia	231900538	RNF111	0.717301217301217	0.0378558136208209	0.0630832408850004	-2.28920120448617e-05	-0.146461495125347	R_Bin_1
non-regulated	Onametostat:Q9H040	Onametostat	Q9H040	0.0217468864109659	-0.992684348547952	1.00000821379636	716.341802485087	716.341802485087		TRUE	0.99224463228803	0.0558606153944964	-15.2243624089707	-14.183159755111	0.0374091612844607	1	0.124825615238102	0	0	0	0	1	1	0	0	0	0	SprT-like domain-containing protein Spartan	29513001	SPRTN	0.33009583009583	0.0374478998238573	0.0995324951052003	-0.0248899018460247	-0.153556481306123	R_Bin_1
non-regulated	Onametostat:A2RUC4	Onametostat	A2RUC4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	tRNA wybutosine-synthesizing protein 5	0	TYW5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:A6NCN2	Onametostat	A6NCN2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative keratin-87 protein	0	KRT87P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:A6NHQ4	Onametostat	A6NHQ4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Elongin BC and Polycomb repressive complex 2-associated protein	0	EPOP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:O15265	Onametostat	O15265	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ataxin-7	0	ATXN7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:O95562	Onametostat	O95562	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Vesicle transport protein SFT2B	0	SFT2D2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:P01009	Onametostat	P01009	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-1-antitrypsin	0	SERPINA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:P13591	Onametostat	P13591	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neural cell adhesion molecule 1	0	NCAM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:P22083	Onametostat	P22083	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-(1,3)-fucosyltransferase 4	0	FUT4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:P35670	Onametostat	P35670	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Copper-transporting ATPase 2	0	ATP7B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:P36959	Onametostat	P36959	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	GMP reductase 1	0	GMPR	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:P51814	Onametostat	P51814	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 41	0	ZNF41	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q04756	Onametostat	Q04756	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Hepatocyte growth factor activator	0	HGFAC	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q06828	Onametostat	Q06828	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fibromodulin	0	FMOD	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q12778	Onametostat	Q12778	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Forkhead box protein O1	0	FOXO1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q14164	Onametostat	Q14164	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	0	IKBKE	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q14624	Onametostat	Q14624	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	1	1	Inter-alpha-trypsin inhibitor heavy chain H4	0	ITIH4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q16527	Onametostat	Q16527	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cysteine and glycine-rich protein 2	0	CSRP2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q16610	Onametostat	Q16610	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Extracellular matrix protein 1	0	ECM1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q2VYF4	Onametostat	Q2VYF4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	LETM1 domain-containing protein LETM2, mitochondrial	0	LETM2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q3ZCQ3	Onametostat	Q3ZCQ3	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Membrane protein FAM174B	0	FAM174B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Onametostat:Q5T2S8	Onametostat	Q5T2S8	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Armadillo repeat-containing protein 4	0	ARMC4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
