.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	CHM-1:Q9Y236	CHM-1	Q9Y236	-1.46168892027956	0.323624715310356	20.5976615365902	571.490145773077	571.490145773077	71.9498976396538	FALSE	0.99817952647813	0.594811935397184	13.1602660322504	14.2014686861101	5.38292422821382	1	0	0	1.82707993797443	14.3838209894101	20.2957353966321	1	0	0	1	1	1	Oxidative stress-induced growth inhibitor 2	1894800	OSGIN2	0.0366525695245418	0.178822754764626	0.32369008264439	20.2932208186225	4.04163485398186	R_Bin_1
up	CHM-1:Q9H7X7	CHM-1	Q9H7X7	-10.781252276104	0.333793074591717	4.07843014843061	30.3388280526666	30.3388280526666	707.455381425147	FALSE	0.912810669909552	1.00238341769984	19.4229529949673	20.464155648827	2.21959050748057	1	0	0	4.89384703944119	4.08632684460489	3.25509614677717	1	0	0	1	1	1	Intraflagellar transport protein 22 homolog	6845760	IFT22	0.0902217095988722	0.500011907656806	0.333793074591717	4.07843014843061	0.812237380204049	R_Bin_1
up	CHM-1:Q9Y2Z9	CHM-1	Q9Y2Z9	-0.69223147224238	0.959038904457337	5.57579609266462	558.803972056797	558.803972056797	501.467911021476	FALSE	0.98225484511349	0.357069131088545	7.03647555526633	8.07767820912606	2.18819903571705	1	1.21589605707122	0.833411843307052	2.25388002751974	3.62963348581944	5.05492205466505	3	5	4	3	4	2	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	50222494.1666667	COQ6	0.447007561194412	0.148122348264299	0.970767914069932	5.02389778604173	0.826751164108074	R_Bin_1
up	CHM-1:O14880	CHM-1	O14880	-0.453068036794285	1.00004912230101	2.23964512057101	0.0103891864952016	0.0103891864952016	0.022197004414233	FALSE	0.851272298271103	0.32428661255417	5.88085544168763	6.92205809554736	2.16728470675225	1	2.11222602261178	2.1731811114222	2.08368465007039	2.60382772161675	2.00562052722884	2	1	2	1	2	1	Microsomal glutathione S-transferase 3	64049913	MGST3	0.496988337818788	0.184222745178525	1.9125479179706	2.23723776483691	0.183240322051637	R_Bin_1
up	CHM-1:O14965	CHM-1	O14965	-1.28862166950909	1.04606684115407	5.6390364348198	663.535316173759	663.535316173759	138.051640386572	FALSE	0.994561132711664	0.224176634393723	1.45053411499666	2.49173676885639	2.13776840190484	1	0.865694537203406	1.32069143768967	1.38511365890098	3.94066846081938	5.50196275355991	3	4	2	3	6	7	Aurora kinase A	65947503.8	AURKA	0.502627194668717	0.0378899149437543	1.04612143599243	5.50384567959201	0.908547364567394	R_Bin_1
non-regulated	CHM-1:Q9UHL0	CHM-1	Q9UHL0	0.000538910765350388	-0.987081244263882	0.997610694162324	1.31582587205409	1.31582587205409	9.25860962446921	TRUE	0.999722914429419	0.0106896134376179	-35.0674065760509	-34.0262039221912	0.00441457314185921	1	0	0.0122463927968403	0	0.0141018035136434	0	1	0	1	0	2	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.833525567089581	0.00643104389651019	0.00595380976678539	0.00287533924360428	-0.14199831377874	R_Bin_1
non-regulated	CHM-1:Q969R2	CHM-1	Q969R2	0.00471721412616893	-0.998073004474671	1.00000001507641	664.511850706746	664.511850706746		TRUE	0.999643091854987	0.0121329059455767	-33.5476222021355	-32.5064195482757	0.00813839218364926	1	0.027129184313642	0	0	0	0	1	1	0	0	0	0	Oxysterol-binding protein 2	66747137	OSBP2	0.50480584390619	0.00813878030238391	0.021700129909919	-0.00542510845108246	-0.145182501512598	R_Bin_1
non-regulated	CHM-1:Q9HAP2	CHM-1	Q9HAP2	1.32615038540407e-06	-0.975116202212853	1.00010908244091	653.884892647723	653.884892647723		TRUE	0.996150129579962	0.0396258516080825	-19.3448966513604	-18.3036939975007	0.0124984237244979	1	0	0	0.062653799115292	0	0	1	0	0	1	0	0	MLX-interacting protein	27507879	MLXIP	0.328078943995899	0.012499931598697	0.0125021934099924	0.0124946540390077	-0.141067034310992	R_Bin_1
non-regulated	CHM-1:Q96C11	CHM-1	Q96C11	0.000622495344414574	-0.975792252278405	1.00189626797309	652.903929657335	652.903929657335		TRUE	0.995389598670831	0.0433291361757073	-18.2727737398443	-17.2315710859846	0.0139838129363685	1	0	0	0.0684305673581419	0	0	1	0	0	1	0	0	FGGY carbohydrate kinase domain-containing protein	60735190	FGGY	0.487120338331411	0.014692491712727	0.0157555055204868	0.0122121163647563	-0.140901983789767	R_Bin_1
non-regulated	CHM-1:Q6ZN54	CHM-1	Q6ZN54	0.000680882880636581	-0.973471355869127	1.00196917636093	652.875549040525	652.875549040525		TRUE	0.994527378354752	0.047169524173849	-17.2537012179431	-16.2124985640834	0.015266941475484	1	0	0	0.0744987715926027	0	0	1	0	0	1	1	0	Differentially expressed in FDCP 8 homolog	186713971.5	DEF8	0.697167755991285	0.016041210256042	0.0172026077321072	0.013331270006821	-0.140728606525926	R_Bin_1
non-regulated	CHM-1:Q9H4B0	CHM-1	Q9H4B0	0.00694655161475954	-0.981314518830597	0.999999436879234	660.97016422981	660.97016422981	185952.490716754	TRUE	0.994593624468475	0.0468553284180533	-17.3339005056743	-16.2926978518146	0.0198002029735258	1	0	0.0792011325502566	0	0	0	1	0	1	0	0	0	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	62328164.3333333	OSGEPL1	0.492374727668845	0.0237614409597051	0.0395995522429833	-4.71751744735016e-06	-0.145120032358579	R_Bin_1
non-regulated	CHM-1:Q8IZU2	CHM-1	Q8IZU2	0.000162753124911764	-0.956456503618656	1.0018723437897	730.043818500453	730.043818500453	140099.657247258	TRUE	0.986639199045071	0.0733730949594129	-11.9519895583567	-10.910786904497	0.0229580569113399	1	0	0	0.115989386311258	0	0	1	0	0	2	0	0	WD repeat-containing protein 17	94700868.25	WDR17	0.572215814430347	0.0231415292660464	0.0234167377190461	0.0224993760304671	-0.139543160391107	R_Bin_1
non-regulated	CHM-1:O00444	CHM-1	O00444	0.000615427850023067	-0.851755441207576	0.897078656323262	512.617239776026	512.617239776026	15539.359787714	TRUE	0.87240052508089	0.227724026520432	1.63893649462397	2.68013914848369	0.0234111427631846	1	0	0	0	0.324072406935122	0	1	0	0	0	2	0	Serine/threonine-protein kinase PLK4	6600661	PLK4	0.0863770344739203	0.0240306997071557	0.0249600316044903	0.0218622507867998	-0.11507950797699	R_Bin_1
non-regulated	CHM-1:Q8NFX7	CHM-1	Q8NFX7	0.00824832195556472	-0.977872736219572	0.999999662894546	662.051558473215	662.051558473215	198323.799826993	TRUE	0.992382044690898	0.0555242687646918	-15.2968349326178	-14.2556322787581	0.0234651982145942	1	0	0.0938551028038125	0	0	0	1	0	1	0	0	0	Syntaxin-binding protein 6	8061247	STXBP6	0.11123926694861	0.0281605172624559	0.0469303584982705	-9.27603070233207e-06	-0.145538717222966	R_Bin_1
non-regulated	CHM-1:Q9BY89	CHM-1	Q9BY89	0.00785703267324146	-0.977318207481449	1.00000000668427	760.63593452552	760.63593452552	359288.397132889	TRUE	0.997521998949318	0.0315698116424776	-22.0722613007168	-21.0310586468571	0.023690231732483	1	0.0447093101900286	0	0.051390419848388	0	0	1	1	0	1	0	0	Uncharacterized protein KIAA1671	228422190.666667	KIAA1671	0.728181468665898	0.0192205902145419	0.0460366169728723	0.00133543074851272	-0.145221071734906	R_Bin_1
non-regulated	CHM-1:Q9C000	CHM-1	Q9C000	0.00800163479118112	-0.975556062964247	1.00000008597681	734.492386812103	734.492386812103	90183.1845022575	TRUE	0.999277747998702	0.0170138080175436	-29.4903743268352	-28.4491716729755	0.0246491387604748	1	0.0302735999788755	0.0304198486745201	0.0398104879706181	0	0	1	2	1	1	0	0	NACHT, LRR and PYD domains-containing protein 1	590539387	NLRP1	0.858515955401769	0.00951216371085865	0.0473862049713907	0.00190328929894124	-0.145183718875444	R_Bin_1
non-regulated	CHM-1:Q8N398	CHM-1	Q8N398	0.000624566687507743	-0.933698290646474	1.0016882986624	660.293747922829	660.293747922829		TRUE	0.970153158466005	0.109306617563976	-7.16879407549796	-6.12759142163823	0.0349133135490575	1	0	0	0.172801118483991	0	0	1	0	0	1	0	0	von Willebrand factor A domain-containing protein 5B2	20818996	VWA5B2	0.282070998333974	0.035609141654416	0.0366528794951649	0.0331737436470186	-0.137919968043315	R_Bin_1
non-regulated	CHM-1:Q8N972;Q8TBZ8	CHM-1	Q8N972;Q8TBZ8	0.0130153105886295	-0.966450341224704	0.999998410139009	722.546687850392	722.546687850392	138327.402755839	TRUE	0.981122043002484	0.0870240778054466	-9.90445929420942	-8.8632566403497	0.0367821585942123	1	0	0.147105356697196	0	0	0	1	0	1	0	0	0	Zinc finger protein 709	6664020	ZNF709;ZNF564	0.0874022811739075	0.0441475893244405	0.0735636478485228	-3.67205882911836e-05	-0.147060153048491	R_Bin_1
non-regulated	CHM-1:O43741	CHM-1	O43741	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	5'-AMP-activated protein kinase subunit beta-2	0	PRKAB2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:O43903	CHM-1	O43903	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Growth arrest-specific protein 2	0	GAS2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:O75829	CHM-1	O75829	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Leukocyte cell-derived chemotaxin 1	0	CNMD	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:O76064	CHM-1	O76064	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	E3 ubiquitin-protein ligase RNF8	0	RNF8	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:P07948	CHM-1	P07948	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tyrosine-protein kinase Lyn	0	LYN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:P08572	CHM-1	P08572	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Collagen alpha-2(IV) chain	0	COL4A2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:P08779	CHM-1	P08779	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type I cytoskeletal 16	0	KRT16	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	CHM-1:P10071	CHM-1	P10071	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transcriptional activator GLI3	0	GLI3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
