.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Decernotinib:Q9UIF7	Decernotinib	Q9UIF7	-4.07439827364144	1.31727341646994	3.50858265473492	105.156271584564	105.156271584564	61.2881593124611	FALSE	0.823593111941741	0.7861504937626	16.5071015687171	17.5483042225768	2.184273317064	1	1.19316948134924	1.75883572957655	2.3007207809616	4.18852505408374	2.82848959449898	3	3	3	2	1	1	Adenine DNA glycosylase	45228253.5	MUTYH	0.428215043033554	0.379342653960761	1.31727341647101	3.508582635642	0.533439992630956	R_Bin_1
non-regulated	Decernotinib:P50440	Decernotinib	P50440	0.00900473140271798	-0.996116997473598	1.00000021625649	649.624533650648	649.624533650648		TRUE	0.99869105688537	0.0231422817935633	-25.798741434045	-24.7575387801853	0.01551978732775	1	0.0517420841324041	0	0	0	0	1	1	0	0	0	0	Glycine amidinotransferase, mitochondrial	9687939	GATM	0.143694648871149	0.0155224632808121	0.0413705190364161	-0.0103430969985262	-0.14729217863992	R_Bin_1
non-regulated	Decernotinib:Q12894	Decernotinib	Q12894	-6.59620471837994e-05	0.999729671479343	-0.952071731280122	39662868863513100	39662868863513100		TRUE	0.997361499431354	0.032369945959352	-21.7719125535613	-20.7307098997016	0.0249479330930951	1	0.0427069378522876	0	0	0.0422316285137755	0.0401485192573801	1	2	0	0	1	2	Interferon-related developmental regulator 2	257651761.5	IFRD2	0.734189846576026	0.0212793575566209	0.0251332115045497	0.0247626546278744	-0.137162380906533	R_Bin_1
non-regulated	Decernotinib:Q4KMQ1	Decernotinib	Q4KMQ1	0.000404637134967233	-0.9342048218104	0.985488014208397	672.571750216443	672.571750216443		TRUE	0.989983272085866	0.0636405549192978	-13.6596662580736	-12.6184636042139	0.0262352941022026	1	0	0	0.09799230812829	0	0	1	0	0	1	0	1	Taperin	51543415	TPRN	0.453536235499563	0.0266824439237748	0.027353167486787	0.0251174196441231	-0.140057362624906	R_Bin_1
non-regulated	Decernotinib:Q9UHL0	Decernotinib	Q9UHL0	0.00251769270678149	-0.951719954759057	1.00000005863502	588.775981004896	588.775981004896	902699.587100716	TRUE	0.986945736546307	0.072287482389004	-12.1308655768786	-11.0896629230189	0.0277321899966071	1	0.01414102189528	0	0.117448481967527	0	0	1	1	1	1	0	0	ATP-dependent RNA helicase DDX25	120101913.75	DDX25	0.607958089060746	0.0263179328868822	0.0348034162877449	0.0206607122591905	-0.140713559534809	R_Bin_1
non-regulated	Decernotinib:Q02413	Decernotinib	Q02413	0.0100600973945157	-0.973080561720365	0.999999231211452	661.511375460891	661.511375460891	165712.684049726	TRUE	0.988684132063234	0.067535837295589	-12.9467767765611	-11.9055741227014	0.0285426906604648	1	0	0.114159943088525	0	0	0	1	0	1	0	0	0	Desmoglein-1	41694904	DSG1	0.414369464887115	0.0342553213427597	0.0570851594062672	-1.66255386570002e-05	-0.146118855516815	R_Bin_1
non-regulated	Decernotinib:P11137	Decernotinib	P11137	0.000627606451837485	-0.61204985169718	0.670947247171338	674.309799592658	674.309799592658		TRUE	0.864785384886532	0.237183707963692	2.12734242428952	3.16854507814925	0.0300646502357401	1	0.00373167603858851	0	0	0	0	1	1	0	0	0	0	Microtubule-associated protein 2	14315583	MAP2	0.216415117874517	0.029601130759387	0.0312234473501044	0.0289058504420584	-0.143177000803308	R_Bin_1
non-regulated	Decernotinib:O75915	Decernotinib	O75915	0.000515353854969817	-0.644509789261016	0.710660785263319	668.214828697069	668.214828697069		TRUE	0.888512415903913	0.212685774241501	0.819112722856444	1.86031537671617	0.0336081495103242	1	0.0826043852396834	0	0	0	0	2	1	0	0	0	0	PRA1 family protein 3	56853147	ARL6IP5	0.4733690906823	0.0336081498542491	0.0346132147976151	0.0326030826607604	-0.14993751873483	R_Bin_1
non-regulated	Decernotinib:Q9ULJ1	Decernotinib	Q9ULJ1	0.000365491278394927	-0.88345636274358	0.952895942468341	665.503790480021	665.503790480021		TRUE	0.9910501492061	0.0605377146739005	-14.2594786889502	-13.2182760350905	0.0352309980146442	1	0	0	0.0491356786827519	0	0	1	0	0	1	0	0	Protein BCAP	7930036.66666667	ODF2L	0.112261444430585	0.0350378197161467	0.0361968893365625	0.0342651059385812	-0.14145326632335	R_Bin_1
non-regulated	Decernotinib:O15031	Decernotinib	O15031	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	1	0	0	0	0	1	Plexin-B2	0	PLXNB2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P01903;P01906	Decernotinib	P01903;P01906	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HLA class II histocompatibility antigen, DR alpha chain	0	HLA-DRA;HLA-DQA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P04733	Decernotinib	P04733	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Metallothionein-1F	0	MT1F	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P11926	Decernotinib	P11926	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ornithine decarboxylase	0	ODC1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P17022	Decernotinib	P17022	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 18	0	ZNF18	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P35670	Decernotinib	P35670	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Copper-transporting ATPase 2	0	ATP7B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P54284	Decernotinib	P54284	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Voltage-dependent L-type calcium channel subunit beta-3	0	CACNB3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q13591	Decernotinib	Q13591	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Semaphorin-5A	0	SEMA5A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q14449	Decernotinib	Q14449	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Growth factor receptor-bound protein 14	0	GRB14	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q6ZW76	Decernotinib	Q6ZW76	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ankyrin repeat and SAM domain-containing protein 3	0	ANKS3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q86V87	Decernotinib	Q86V87	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein FAM160B2	0	FAM160B2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q8NAA4	Decernotinib	Q8NAA4	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein Atg16l2	0	ATG16L2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q8WVE7	Decernotinib	Q8WVE7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Transmembrane protein 170A	0	TMEM170A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q9HD89	Decernotinib	Q9HD89	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Resistin	0	RETN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q9NVJ2	Decernotinib	Q9NVJ2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	ADP-ribosylation factor-like protein 8B	0	ARL8B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q9UK05	Decernotinib	Q9UK05	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Growth/differentiation factor 2	0	GDF2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:Q9UKV0	Decernotinib	Q9UKV0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Histone deacetylase 9	0	HDAC9	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Decernotinib:P20023	Decernotinib	P20023	0.0275230707624169	-0.990476310464248	1.00001985766049	710.70799847905	710.70799847905		TRUE	0.987533492276787	0.0706811000137817	-12.4005388076778	-11.3593361538181	0.0472846134938048	1	0.157881159670048	0	0	0	0	1	1	1	0	0	0	Complement receptor type 2	24306634.5	CR2	0.316951478109018	0.0473627059127773	0.125641195916807	-0.0314259296023065	-0.156389813686004	R_Bin_1
non-regulated	Decernotinib:Q9NQR1	Decernotinib	Q9NQR1	-5.71774574820928e-05	0.709637531698505	-0.614633632763349	152314400852714	152314400852714		TRUE	0.881211877974219	0.210972315853077	0.722045709364673	1.7632483632244	0.0480547525769673	1	0.0758369223301134	0	0.0869593314729679	0.0577500647108643	0.0522078075683797	1	1	0	2	2	2	N-lysine methyltransferase KMT5A	55801704.5	KMT5A	0.469128102781589	0.0333215808137284	0.0481637201107499	0.0479457850232263	-0.13446463438694	R_Bin_1
non-regulated	Decernotinib:Q5T8I3	Decernotinib	Q5T8I3	0.0191980183649354	-0.951061571330673	0.999992194032564	723.980206738437	723.980206738437	94710.9065142628	TRUE	0.959608346607921	0.127123558736435	-5.3567631320226	-4.31556047816288	0.0537446165836075	1	0	0.214902856480384	0	0	0	2	0	2	0	0	0	Protein FAM102B	6734080.83333333	FAM102B	0.0918049145565673	0.0645219200123339	0.107485958390584	-0.000115621267926969	-0.148997224470868	R_Bin_1
non-regulated	Decernotinib:Q08722	Decernotinib	Q08722	0.000495051973656826	-0.868355297101395	0.974458009372494	675.985449802884	675.985449802884		TRUE	0.955719799973746	0.133089419257025	-4.80642260455979	-3.76521995070006	0.0537497793051306	1	0	0	0.206218707887495	0	0	1	1	0	1	0	0	Leukocyte surface antigen CD47	9882704.25	CD47	0.147062492204066	0.0542749344902631	0.0550626652099739	0.052436891510022	-0.136965179774643	R_Bin_1
non-regulated	Decernotinib:Q8NCN2	Decernotinib	Q8NCN2	0.0319601097587754	-0.988677197219377	1.00004283575027	705.970830126007	705.970830126007		TRUE	0.983168719558298	0.082063889701227	-10.6087002961414	-9.56749764228172	0.0548533026478465	1	0.183240544806234	0	0	0	0	1	1	0	0	0	0	Zinc finger and BTB domain-containing protein 34	5580496	ZBTB34	0.0692278907321941	0.0549749865092396	0.145567972493136	-0.0364124933858313	-0.158563475269106	R_Bin_1
non-regulated	Decernotinib:Q6B0I6	Decernotinib	Q6B0I6	0.000451083115485827	-0.866597386326299	0.976124809487012	676.327215890926	676.327215890926		TRUE	0.950018041257708	0.141426080597507	-4.07735115142105	-3.03614849756132	0.0554001768091789	1	0	0	0.220265276817092	0	0	1	0	0	1	0	0	Lysine-specific demethylase 4D	70253427	KDM4D	0.51315953598603	0.0558786658442824	0.056596397839939	0.0542039543482397	-0.136563849233797	R_Bin_1
non-regulated	Decernotinib:Q8WZ64	Decernotinib	Q8WZ64	0.000637694771276442	-0.882542113786805	1.00155782176198	665.791481295828	665.791481295828		TRUE	0.910826403873631	0.189847808265001	-0.54400443060179	0.497198223257936	0.0604231102813465	1	0	0	0.300160707973783	0	0	1	0	0	1	0	0	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2	5906028.33333333	ARAP2	0.0754646376450044	0.0611147376969216	0.0621521743383704	0.0586940421140549	-0.13428112262932	R_Bin_1
non-regulated	Decernotinib:Q16850	Decernotinib	Q16850	0.000103384641653325	-0.877578232121567	1.00051544162894	663.041944099422	663.041944099422		TRUE	0.906151899415222	0.19492845161869	-0.227086417700706	0.81411623615902	0.0616163146522293	1	0	0	0.308208085020635	0	0	1	0	0	1	0	0	Lanosterol 14-alpha demethylase	7117971	CYP51A1	0.098914806037171	0.0617280856084367	0.0618957420237317	0.0613368872632875	-0.134051197570839	R_Bin_1
non-regulated	Decernotinib:Q96BR9	Decernotinib	Q96BR9	0.022737329886518	-0.942061283542829	0.99998435604738	712.621003227011	712.621003227011	79671.5805070493	TRUE	0.944166060132174	0.149662845254802	-3.39805654404419	-2.35685389018446	0.063286227755682	1	0	0.25301716221009	0	0	0	1	0	1	0	0	0	Zinc finger and BTB domain-containing protein 8A	10843382.3333333	ZBTB8A	0.163527504053886	0.0759898740505267	0.126565750160136	-0.000188629274792573	-0.150086204634574	R_Bin_1
non-regulated	Decernotinib:P55899	Decernotinib	P55899	0.000682974594153176	-0.840533292395366	0.973873392077763	678.53186252858	678.53186252858		TRUE	0.916320188459023	0.183688761284794	-0.939763607685633	0.101439046174093	0.0676199068842146	1	0	0	0.287939610755906	0	0	1	0	1	1	0	0	IgG receptor FcRn large subunit p51	23308537	FCGRT	0.308594237245853	0.0683332435521994	0.0694032432291278	0.0658365656463671	-0.134630296835546	R_Bin_1
non-regulated	Decernotinib:Q9UBS9	Decernotinib	Q9UBS9	0.0415166046579101	-0.984440734328541	1.00010301060616	694.203534394017	694.203534394017		TRUE	0.97163193476474	0.106602628158737	-7.46937934529808	-6.42817669143835	0.0710690254468145	1	0.237805940271315	0	0	0	0	1	1	0	0	0	0	SUN domain-containing ossification factor	115131212.333333	SUCO	0.59960084819758	0.0713324927131019	0.18800630946994	-0.0470591617610836	-0.163240509166113	R_Bin_1
non-regulated	Decernotinib:P17676	Decernotinib	P17676	0.0276884375605305	-0.815714358499337	1.00003480584984	7.09531144461406	7.09531144461406	310.190757620931	TRUE	0.971103999926167	0.105364851619511	-7.60952808244566	-6.56832542858593	0.0734191787188289	1	0.194433472162921	0	0	0.100653970918851	0	1	1	0	1	1	0	CCAAT/enhancer-binding protein beta	71271493	CEBPB	0.516028439565922	0.0741213439124599	0.145666672943209	0.00132981797501652	-0.15089538582092	R_Bin_1
non-regulated	Decernotinib:Q9BPU6	Decernotinib	Q9BPU6	0.000389235835347395	-0.853437038228318	0.999732390502188	739.349776496383	739.349776496383		TRUE	0.867959333362871	0.233200290915153	1.92409508841373	2.96529774227346	0.0737160567401129	1	0	0	0.368718522390791	0	0	1	0	0	1	0	0	Dihydropyrimidinase-related protein 5	69135611.6666667	DPYSL5	0.509916427591368	0.0741312817718452	0.0747541182932413	0.0726779942360126	-0.132322327931692	R_Bin_1
non-regulated	Decernotinib:Q9Y421	Decernotinib	Q9Y421	0.000321429781836118	-0.827387293227655	0.974350064202431	677.738449272895	677.738449272895		TRUE	0.892416321123286	0.209234798205795	0.622807358086993	1.66401001194672	0.0739251284319668	1	0	0	0.328980188793097	0	0	1	0	0	1	0	0	Protein FAM32A	6734481	FAM32A	0.0919296494948235	0.0742585035789803	0.0747585657484232	0.0730916906092119	-0.133457708891626	R_Bin_1
non-regulated	Decernotinib:Q8N841	Decernotinib	Q8N841	4.70349047461389e-06	-0.843533217877699	1.00018857195904	737.906487505042	737.906487505042		TRUE	0.852079112275804	0.247867631482074	2.65606098059054	3.69726363445026	0.0783345060526386	1	0	0	0.391913059334876	0	0	1	0	0	1	0	0	Tubulin polyglutamylase TTLL6	14983993	TTLL6	0.225396033428963	0.0783394980156006	0.0783469859600442	0.0783220261452277	-0.131659626876146	R_Bin_1
non-regulated	Decernotinib:O60503	Decernotinib	O60503	0.031217116710564	-0.921766379965487	0.99994791219974	713.876837459997	713.876837459997	58585.1974914529	TRUE	0.899619701508006	0.202484108989065	0.229259576873234	1.27046223073296	0.0856738758842407	1	0	0.342364330238971	0	0	0	1	0	1	0	0	0	Adenylate cyclase type 9	239611131.666667	ADCY9	0.723961581639017	0.102925726273559	0.17132443165004	-0.000474948790846863	-0.152638980863971	R_Bin_1
non-regulated	Decernotinib:Q9BQK8	Decernotinib	Q9BQK8	0.000156270572374505	-0.831831501748368	1.00298788593705	731.954968536251	731.954968536251	233506.319668354	TRUE	0.818065728655031	0.277675748869628	4.0187714085389	5.05997406239862	0.0858034057632952	1	0	0	0.439000041626996	0	0	1	0	0	1	0	0	Phosphatidate phosphatase LPIN3	23326613	LPIN3	0.308968442060621	0.0859684598197808	0.0862160408389018	0.0853907706269542	-0.130314284524943	R_Bin_1
non-regulated	Decernotinib:P0C0L4;P0C0L5	Decernotinib	P0C0L4;P0C0L5	0.0317684351694802	-0.920461619847226	0.999945037786836	713.694156968539	713.694156968539	57180.6180122141	TRUE	0.896417537083298	0.205862513307916	0.427825082942109	1.46902773680183	0.0871055366187296	1	0	0.348080337766646	0	0	0	1	0	1	0	0	0	Complement C4-A	17764934	C4A;C4B	0.257577647499065	0.104649585199914	0.174184969530303	-0.000498455073051685	-0.152802295364761	R_Bin_1
