.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Pracinostat:Q14765	Pracinostat	Q14765	-3.84351289274844	0.351702037501987	47.9806226037039	3315.54692319111	3315.54692319111	76893.9656211126	FALSE	0.999633621801178	0.579115628571366	12.8393486034948	13.8805512573546	4.93791804940229	1	0	0.406683184187554	0	0.822674099923297	47.3062150380454	1	0	1	0	1	1	Signal transducer and activator of transcription 4	5950174.5	STAT4	0.0833866223302213	0.203341587207342	0.351702037501987	47.3062111272515	6.67406898016598	R_Bin_1
up	Pracinostat:Q00722	Pracinostat	Q00722	-6.59729961037727	0.334380601831287	11.641720465123	153.854918589704	153.854918589704	1170.96443382104	FALSE	0.887612935741057	3.24298431186487	33.5123138898957	34.5535165437554	4.43448085710446	1	0	0	0.957590081664486	14.8327915380953	8.4504861113099	1	0	0	1	1	1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	31422451	PLCB2	0.3492774012022	0.500000083291555	0.334380601831287	11.6417204651106	2.36309700721428	R_Bin_1
non-regulated	Pracinostat:Q8TB37	Pracinostat	Q8TB37	-13.410634825284	0.541601512235158	14.0287682362466	1005.81139046627	1005.81139046627		FALSE	0.992521070338963	0.770231684258417	16.2616189636474	17.3028216175071	3.23305705793711	1	0	1.16587717459141	0	7.02344824224265	14.0287554100422	1	0	1	0	1	1	Iron-sulfur protein NUBPL	8185456	NUBPL	0.115743701240568	0.5	0.541601512235158	14.028768236246	2.42994984578136	R_Bin_1
up	Pracinostat:O75054	Pracinostat	O75054	-0.71951155371452	0.372001327175975	4.97527565454465	21.2301912191606	21.2301912191606	37.3184037017603	FALSE	0.915100383628539	0.929408846623646	18.5159074877442	19.5571101416039	2.82787719330951	1	0	2.69634885923296	3.4924666931818	4.5152826322051	5.21634557794494	1	0	1	1	2	2	Immunoglobulin superfamily member 3	3683161	IGSF3	0.0558894999360532	0.439346978774774	0.467434289347137	4.92099713567291	1.01210553200825	R_Bin_1
non-regulated	Pracinostat:Q86YC2	Pracinostat	Q86YC2	-4.31426719612313	0.250070345825066	17.5128897330864	2187.83302675879	2187.83302675879	49951.364363824	FALSE	0.99694348521998	0.612378280921295	13.5095250365299	14.5507276903897	2.53047490104434	1	0	0	0	0.819822213761358	17.4884185740835	1	0	0	0	2	1	Partner and localizer of BRCA2	21081670.5	PALB2	0.274971223941681	0.250070346517943	0.250070345825066	17.4883912180101	2.42575884319147	R_Bin_1
up	Pracinostat:P02545	Pracinostat	P02545	-1.10632108037363	0.947538755119103	7.17345614762851	568.188923531214	568.188923531214	63.8114835395874	FALSE	0.998886160339795	0.135611060138796	-4.581186095692	-3.53998344183227	2.51872980912282	1	1.03569766483677	0.856420043591511	1.77388884414712	4.99492914586354	6.92652414788803	4	6	5	8	10	14	Prelamin-A/C	31775443.8333333	LMNA	0.351451592275227	0.0418509466086609	0.94797577216642	6.92316111436071	1.21222239951646	R_Bin_1
non-regulated	Pracinostat:Q9BPU6	Pracinostat	Q9BPU6	-11.0085882416123	0.250920808740262	7.45493997815022	336.189236643511	336.189236643511	9301.7077334048	FALSE	0.9648222531785	1.123353825549	20.7902103868868	21.8314130407465	2.37412027334514	1	0	0	0	8.39704281833466	6.51355943321998	1	0	0	0	3	3	Dihydropyrimidinase-related protein 5	4025820	DPYSL5	0.0585752653792045	0.500005749100312	0.250920808740262	7.45493997815022	1.50739787488868	R_Bin_1
up	Pracinostat:Q14764	Pracinostat	Q14764	-5.30499015241776	0.996899957598001	4.52596376874633	148.666465132186	148.666465132186	40.6041195358902	FALSE	0.999990343989516	0.00874091585211553	-37.4824976622091	-36.4412950083493	2.28707021040915	1	0.990468832223818	1.00022787521737	1.38066537815436	4.53255999488553	4.51922911726125	3	2	4	5	10	9	Major vault protein	15473597.8333333	MVP	0.216779639340069	0.00487845478129317	0.996899957598001	4.52596376803632	0.817224473635096	R_Bin_1
non-regulated	Pracinostat:P41440	Pracinostat	P41440	-6.86164774388335	1.16929868423197	50.1066285799246	8052.79093623105	8052.79093623105		FALSE	0.991047400418739	2.44837654790114	30.139488069487	31.1806907233468	2.21998952362598	1	4.16652156463622	0	0.676855826274811	0	41.0763550569744	1	1	1	1	0	1	Reduced folate transporter	4062023.66666667	SLC19A1	0.0592147333418596	0.830870771096609	1.16929868423197	41.0765876337247	5.38740189763537	R_Bin_1
up	Pracinostat:Q96HR9	Pracinostat	Q96HR9	-0.699650952293605	1.31917712765823	9.29900662634429	7803.21035282116	7803.21035282116	12029.6695814532	FALSE	0.979384868323621	0.392425471890846	8.16948232872199	9.21068498258172	2.09544692417481	1	1.32379145938091	1.54690820946926	2.03675924054102	2.62003601968554	5.70433458582212	1	1	1	1	2	1	Receptor expression-enhancing protein 6	6968721.5	REEP6	0.0968154495459777	0.191821973432236	1.32218975864157	5.65444700143011	0.797150218317036	R_Bin_1
up	Pracinostat:Q8N8R5	Pracinostat	Q8N8R5	-0.31492650445201	0.997475108919791	2.45121625849281	0.661499149697249	0.661499149697249	0.862444011422753	FALSE	0.977537462657181	0.123744282007198	-5.68007100265198	-4.63886834879225	2.05541032676634	1	1.7225203535381	2.14326261891747	2.1037958277362	2.29508034425253	2.42861339421737	2	2	2	2	2	2	UPF0565 protein C2orf69	57630551.8333333	C2orf69	0.47039263332907	0.0741370113987938	1.51426236775625	2.38426120259628	0.252036575772825	R_Bin_1
non-regulated	Pracinostat:O94876	Pracinostat	O94876	-6.76217301326781	0.568363493324381	59.4478642645455	7671.74068005914	7671.74068005914	44771.7481612723	FALSE	0.999480317120659	0.74289085714566	15.8279123340442	16.8691149879039	2.04512486226997	1	0.814287316018379	0	1.02753824353278	0	51.0401379397201	1	1	0	1	0	1	Transmembrane and coiled-coil domains protein 1	7620785.33333333	TMCC1	0.106791149763397	0.445405628436725	0.568363493324381	51.040092450689	7.10815331411652	R_Bin_1
up	Pracinostat:P53814	Pracinostat	P53814	-2.00667609048591	0.33332456951509	5.73273373929565	273.594440378675	273.594440378675	173.571484048364	FALSE	0.980839432234587	0.579493448305176	12.8471749481298	13.8883776019895	2.0214366623697	1	0	0	0.974627104316695	5.35255909093976	5.73489423592679	1	0	0	1	6	8	Smoothelin	12956194	SMTN	0.184550454022253	0.171070232883212	0.333325253718461	5.72879089607013	1.16305073019343	R_Bin_1
non-regulated	Pracinostat:Q7Z6B7	Pracinostat	Q7Z6B7	-13.5612142995557	0.25007991897744	6.01783061211223	291.636472334588	291.636472334588	23706.6834149032	FALSE	0.953933135320617	1.0349090455547	19.8061485425636	20.8473511964233	2.02118438567687	1	0	0	0	6.85211769907815	5.18354257378909	1	0	0	0	1	1	SLIT-ROBO Rho GTPase-activating protein 1	18934517	SRGAP1	0.255531397876966	0.500001432704124	0.25007991897744	6.01783061211223	1.18497331331943	R_Bin_1
up	Pracinostat:P52943	Pracinostat	P52943	-5.61724184507413	0.444774714961495	7.71080637009219	824.587128021312	824.587128021312	1562.14735754446	FALSE	0.985519225525401	0.638062671697452	14.0025607850553	15.043763438915	2.02011824591591	1	0	0.776855381255896	0	5.87366403489438	7.71061274205485	1	0	1	1	1	1	Cysteine-rich protein 2	7310801.66666667	CRIP2	0.102059086839749	0.388427690565387	0.444774714961495	7.71080043352298	1.43992001239147	R_Bin_1
non-regulated	Pracinostat:Q96GS6	Pracinostat	Q96GS6	0.000471551872594337	-1.00055629408281	1.00381083446727	692.936751847692	692.936751847692		TRUE	0.999959984359573	0.00408196539498571	-46.6197342925637	-45.578531638704	0.00235671365141166	1	0	0.00161721247167078	0	0	0	1	0	1	0	0	0	Alpha/beta hydrolase domain-containing protein 17A	8441130691	ABHD17A	0.989768512597519	0.00181263461204373	0.00371691020122222	0.000996515310367041	-0.142903348927762	R_Bin_1
