.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	GSK2879552:Q6ZNE5	GSK2879552	Q6ZNE5	-6.05442110459239	0.362621606147912	393.802374695715	6543.53252906408	6543.53252906408	9597.5908037814	FALSE	0.999990913288475	0.711014409612692	15.3016350201908	16.3428376740505	15.3067133735927	1	0.817645107522996	0	0	0	365.772063158297	1	1	0	0	0	1	Beclin 1-associated autophagy-related key regulator	2680231	ATG14	0.0346129641283826	0.364884023029468	0.362621606147912	365.771959202234	52.0402108705404	R_Bin_1
up	GSK2879552:Q9NS93	GSK2879552	Q9NS93	-7.81542211692436	0.990185318410968	11.0160215360665	172.411015652377	172.411015652377	1766.01647181086	FALSE	0.975537846741418	1.29184346403511	22.4672288944194	23.5084315482791	4.52646272412096	1	0.985298986672192	0.985080207657297	1.12999526263771	12.307843328012	9.7242238558437	2	1	2	2	2	2	Transmembrane 7 superfamily member 3	25739926.6666667	TM7SF3	0.335053492762744	0.00745989725730961	0.990185318410968	11.0160215360663	2.22096192452052	R_Bin_1
up, low confidence	GSK2879552:P05204	GSK2879552	P05204	-3.79719579647431	0.799510180371503	17.7577435352675	2829.97035231574	2829.97035231574	31090.14907607	FALSE	0.998722982192347	0.386799555221877	7.99620202904297	9.0374046829027	2.66338217499425	1	1.09289981372388	0.712091525088638	0.392976342608026	1.1199604135778	17.6183922957649	2	2	2	2	2	1	Non-histone chromosomal protein HMG-17	135346162.666667	HMGN2	0.638137193203272	0.143954241609569	0.799510180371503	17.6183939596194	2.3672579455973	R_Bin_1
up	GSK2879552:Q9ULI2	GSK2879552	Q9ULI2	-5.03058893790518	0.888879359407833	3.19623247757462	5.09060632836286	5.09060632836286	33.1266806530355	FALSE	0.810680785163214	0.903183157620107	18.1724270473005	19.2136297011603	2.40853529000753	1	0.778357010747869	3.12233761929753	4.19388224250283	2.4593052093078	2.9346884404646	1	2	1	1	1	1	Beta-citrylglutamate synthase B	23849672.6666667	RIMKLB	0.320704845814978	0.186354186446647	0.888879365392752	3.19623247757462	0.451080897748802	R_Bin_1
up, low confidence	GSK2879552:Q9H792	GSK2879552	Q9H792	-8.47933777927006	1.25890525533227	31.6214451627323	7124.93634322394	7124.93634322394	222805.187068366	FALSE	0.995096905545166	1.30222318895724	22.5632614028158	23.6044640566755	2.17266576860996	1	2.08841003018307	2.24130056644665	0.964774528286381	0	29.9990188639749	2	2	1	2	0	1	Inactive tyrosine-protein kinase PEAK1	6469097.16666667	PEAK1	0.0926368785399622	0.561817750948348	1.25890525533227	29.9990055059483	3.92723823403329	R_Bin_1
non-regulated	GSK2879552:Q9BY11	GSK2879552	Q9BY11	9.9001455169374e-05	-0.99750295423008	1.00003490230083	10.2144719466903	10.2144719466903		TRUE	0.999997161665861	0.00108684109407303	-62.4993724170302	-61.4581697631705	0.001210103510857	1	0.00112365270629011	0.00113758580128692	0	0.000736152933446946	0	1	1	1	0	1	0	Protein kinase C and casein kinase substrate in neurons protein 1	1995289249.33333	PACSIN1	0.94940213971051	0.000614348410462777	0.00149470180608402	0.000925505221676004	-0.142922859574852	R_Bin_1
non-regulated	GSK2879552:O43301	GSK2879552	O43301	0.00422247653112129	-0.998188132681016	1.00000001020342	650.940504439108	650.940504439108		TRUE	0.999714291399461	0.0108608953577886	-34.8766522562871	-33.8354496024274	0.0072852788977021	1	0.0242851186469425	0	0	0	0	1	1	0	0	0	0	Heat shock 70 kDa protein 12A	398097152	HSPA12A	0.81057268722467	0.00728555539772768	0.0194258125733244	-0.00485651070923776	-0.144938724455452	R_Bin_1
non-regulated	GSK2879552:Q99878;Q96KK5;P0C0S8;P20671;Q9BTM1;Q16777;Q6FI13	GSK2879552	Q99878;Q96KK5;P0C0S8;P20671;Q9BTM1;Q16777;Q6FI13	0.000362436075271081	-0.950724975884761	1.00001289234601	2244.76053673207	2244.76053673207		TRUE	0.992906658408644	0.053167450359074	-15.8173208502674	-14.7761181964076	0.0253973694703058	1	0.0440568699944234	0	0	0.083466298130637	0	1	1	0	0	1	0	Histone H2A type 1-J	46061742	H2AC14;H2AC12;H2AC11;H2AC7;H2AJ;H2AC20;H2AC18	0.442920075519195	0.0253973697109111	0.0264148483185692	0.0243798895290994	-0.139479191874039	R_Bin_1
non-regulated	GSK2879552:Q9BUF5	GSK2879552	Q9BUF5	0.00982317394312084	-0.97064792251644	1.00000406095416	430.043438637437	430.043438637437	30209.2814099422	TRUE	0.997119270847756	0.0339673792587851	-21.1938697691976	-20.1526671153378	0.0273051859808437	1	0.0557397977069778	0	0.0529872786015128	0	0	1	1	0	1	0	0	Tubulin beta-6 chain	2223942284.25	TUBB6	0.954688483322844	0.0214869957457113	0.0551449518511081	-0.000548028514259169	-0.146120917557698	R_Bin_1
non-regulated	GSK2879552:P08069	GSK2879552	P08069	0.0134158870479588	-0.992860972959092	1.00000195061364	1216.54505076794	1216.54505076794		TRUE	0.999103038234684	0.0189769841371704	-28.1799547311118	-27.1387520772521	0.0279494060238259	1	0.0525138099478473	0.048799514663021	0	0	0	1	1	1	0	0	0	Insulin-like growth factor 1 receptor	260198742	IGF1R	0.74625550660793	0.0118289341883569	0.0663593194308267	-0.0105089017134301	-0.148752598414473	R_Bin_1
non-regulated	GSK2879552:Q9ULI4	GSK2879552	Q9ULI4	0.000616216309719543	-0.934116886387549	1.0016748229691	660.293252659426	660.293252659426		TRUE	0.970533424042668	0.108611517588836	-7.24534785093153	-6.20414519707181	0.0346851896115801	1	0	0	0.17170251717449	0	0	1	0	0	1	0	0	Kinesin-like protein KIF26A	52070914.5	KIF26A	0.466205160478288	0.0353718582996846	0.0364018571845473	0.0329685182384424	-0.137951356652157	R_Bin_1
non-regulated	GSK2879552:O00757;P09467	GSK2879552	O00757;P09467	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	1	1	Fructose-1,6-bisphosphatase isozyme 2	0	FBP2;FBP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GSK2879552:O43822	GSK2879552	O43822	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Cilia- and flagella-associated protein 410	0	CFAP410	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GSK2879552:O43903	GSK2879552	O43903	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Growth arrest-specific protein 2	0	GAS2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GSK2879552:O95183	GSK2879552	O95183	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Vesicle-associated membrane protein 5	0	VAMP5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GSK2879552:P08123	GSK2879552	P08123	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Collagen alpha-2(I) chain	0	COL1A2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	GSK2879552:P11362	GSK2879552	P11362	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fibroblast growth factor receptor 1	0	FGFR1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
