.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Gemcytabine:Q9H1B5	Gemcytabine	Q9H1B5	-5.93661069594985	0.332083645034216	5.8779993592219	82.4708788319297	82.4708788319297	444.010695012451	FALSE	0.938367548019227	1.14874048290817	21.0583793315828	22.0995819854426	2.64338020150639	1	0	0	4.53827106288557	6.87112237106443	4.88490959425992	1	0	0	1	1	1	Xylosyltransferase 2	2884531	XYLT2	0.0372319938374631	0.500010074456244	0.332083645034216	5.87799935921954	1.27360531849653	R_Bin_1
up	Gemcytabine:O14965	Gemcytabine	O14965	-6.905664216876	0.81512068287011	3.28473229877631	32.8388791047076	32.8388791047076	86.2638519540439	FALSE	0.993482198769512	0.173184115922353	-1.64641394558762	-0.605211291727891	2.04183354992857	1	0.692916129584141	0.753297555893555	3.3273970648894	3.30803400001341	3.21761444363101	6	8	5	8	10	8	Aurora kinase A	90325354.3333333	AURKA	0.52856592630633	0.0648058240887722	0.81512068287011	3.28473229877631	0.614500723955391	R_Bin_1
non-regulated	Gemcytabine:P53675	Gemcytabine	P53675	-0.000209161896377148	0.998796437405766	-0.978388018697887	8331473028742840	8331473028742840		TRUE	0.997876455906607	0.0293960800250151	-22.9283413395269	-21.8871386856671	0.01363718447339	1	0	0.01675742613722	0	0	0.0471428050463712	1	0	1	0	0	2	Clathrin heavy chain 2	116436596	CLTCL1	0.575426884067274	0.0137562129297564	0.0142323250611474	0.0130420422270624	-0.136601240025868	R_Bin_1
non-regulated	Gemcytabine:O00327	Gemcytabine	O00327	0.000411377490626939	-0.945299647985392	0.987598672412402	672.404807918847	672.404807918847		TRUE	0.993009386466762	0.0532612730915007	-15.796163534004	-14.7549608801443	0.0217572024977916	1	0	0	0.0820573472069041	0	0	1	0	0	1	0	0	Aryl hydrocarbon receptor nuclear translocator-like protein 1	2890095	ARNTL	0.0373603800231095	0.0222149280002557	0.0229015150168068	0.0206128888430697	-0.14051264722266	R_Bin_1
non-regulated	Gemcytabine:Q9HA38	Gemcytabine	Q9HA38	0.00244236018252714	-0.947692075090606	0.999997701670444	2173.06726245784	2173.06726245784	1881077.13368111	TRUE	0.991549115455857	0.0578180615951737	-14.811062800668	-13.7698601468082	0.0311831913778413	1	0.0813802415259765	0	0	0	0.0676959467192467	1	3	0	0	0	2	Zinc finger matrin-type protein 3	132432662.75	ZMAT3	0.599178328411863	0.0379554156555574	0.0380285459594122	0.0243375054350177	-0.140161742599477	R_Bin_1
non-regulated	Gemcytabine:Q5T5U3	Gemcytabine	Q5T5U3	0.00063451441731559	-0.933202333442278	1.00170701800645	660.293358738791	660.293358738791		TRUE	0.969695097102185	0.110138192490961	-7.07784686296522	-6.03664420910549	0.0351850478454781	1	0	0	0.174115385819323	0	0	1	0	0	1	0	0	Rho GTPase-activating protein 21	16593137	ARHGAP21	0.2082423931185	0.0358917843622991	0.0369518846117651	0.0334182069322356	-0.137882417548019	R_Bin_1
non-regulated	Gemcytabine:P01009	Gemcytabine	P01009	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Alpha-1-antitrypsin	0	SERPINA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P02533	Gemcytabine	P02533	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	5	Keratin, type I cytoskeletal 14	0	KRT14	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P05412	Gemcytabine	P05412	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Transcription factor AP-1	0	JUN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P08572	Gemcytabine	P08572	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Collagen alpha-2(IV) chain	0	COL4A2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P08779	Gemcytabine	P08779	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	7	Keratin, type I cytoskeletal 16	0	KRT16	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P13646	Gemcytabine	P13646	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type I cytoskeletal 13	0	KRT13	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P13647	Gemcytabine	P13647	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	5	Keratin, type II cytoskeletal 5	0	KRT5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P14923	Gemcytabine	P14923	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Junction plakoglobin	0	JUP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P16152	Gemcytabine	P16152	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carbonyl reductase [NADPH] 1	0	CBR1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P23378	Gemcytabine	P23378	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glycine dehydrogenase (decarboxylating), mitochondrial	0	GLDC	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Gemcytabine:P48668	Gemcytabine	P48668	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cytoskeletal 6C	0	KRT6C	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
