.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Carfilzomib:Q9NVV5	Carfilzomib	Q9NVV5	-5.72397447195061	0.291377214240754	46.8669251375523	94.2347692041723	94.2347692041723	111.304899861113	FALSE	0.982620501219444	4.84955799777015	38.3410368083798	39.3822394622396	19.1627054386977	1	0	0	27.4992296276093	51.6816572143195	42.0521397680926	1	0	0	1	1	1	Androgen-induced gene 1 protein	973197	AIG1	0.0470907297830375	0.500061768485168	0.291377214240754	46.8669251374341	11.0801400031723	R_Bin_1
up	Carfilzomib:Q9Y236	Carfilzomib	Q9Y236	-2.30517754137223	0.878865187338182	33.1530021699701	27.517774094588	27.517774094588	14.670390112297	FALSE	0.989674485530297	2.73058417124692	31.4485728339599	32.4897754878196	17.405640091223	1	0.778803203075262	3.72467582899167	31.6134141172026	30.403202307834	35.8671282135198	1	1	1	2	2	2	Oxidative stress-induced growth inhibitor 2	2798953	OSGIN2	0.0525147928994083	0.118305563839135	0.87894194324624	33.1529617395571	8.31707361914532	R_Bin_1
up	Carfilzomib:Q05209	Carfilzomib	Q05209	-2.27679955632789	0.332599633974016	66.8022063035583	604.571991861663	604.571991861663	38.1727170234127	FALSE	0.999855238829309	0.579061012803247	12.8382168431148	13.8794194969745	16.5395875675604	1	0	0	1.42342184081198	50.7653410119124	66.6907453620327	1	0	0	1	1	1	Tyrosine-protein phosphatase non-receptor type 12	3813958	PTPN12	0.0591715976331361	0.16818675908171	0.332599797288208	66.6906497683759	13.7763763339061	R_Bin_1
up	Carfilzomib:P17066	Carfilzomib	P17066	-2.76611574820956	0.848457332569182	22.0814812444484	31.4664828923894	31.4664828923894	26.8080629889205	FALSE	0.985199114616659	2.19566895659425	28.8322271796317	29.8734298334914	11.4741052898127	1	0.693281897885564	1.70820195865028	21.2399189778975	24.2743920272504	19.8954014377297	3	4	4	7	7	7	Heat shock 70 kDa protein 6	57193106.3333333	HSPA6	0.455991124260355	0.154121102458664	0.848459948790884	22.0814786989648	5.27863013131401	R_Bin_1
up	Carfilzomib:Q9UBU7	Carfilzomib	Q9UBU7	-5.60060042222502	0.504956436970393	9.57239374261527	8.6525205102714	8.6525205102714	16.7192771269872	FALSE	0.979867952077254	1.01028000684931	19.5171163358083	20.558318989668	6.05920575307226	1	0	6.7817378203743	10.2770420875748	9.85113955381431	8.58903835745754	1	0	1	1	2	3	Protein DBF4 homolog A	4026254	DBF4	0.0608974358974359	0.50002557935417	0.504956437098721	9.57239374261527	2.02839756331232	R_Bin_1
up	Carfilzomib:P04004	Carfilzomib	P04004	-42.6842403374509	0.339670470420364	11.4090375915347	45.751760473544	45.751760473544	10	FALSE	0.985447345524157	1.16561854840936	21.2334086800842	22.2746113339439	5.51930245400347	1	0	0	12.164668359525	11.8039177061569	10.2585429614959	1	0	0	3	3	3	Vitronectin	5986533.5	VTN	0.0807445759368836	0.527604822100918	0.339670470420364	11.4090375915347	2.68197532244215	R_Bin_1
up	Carfilzomib:P69905	Carfilzomib	P69905	-5.15988930121535	1.04206299300274	7.33308063625688	12.517360575559	12.517360575559	27.9797198208721	FALSE	0.865216617777209	2.00888251788379	27.7653292871722	28.8065319410319	4.69388141489704	1	1.08005732054448	2.5449448805657	9.43662535383648	7.12529958077657	5.43588552006598	1	1	1	1	1	2	Hemoglobin subunit alpha	349720663.4	HBA1	0.773668639053255	0.124922023809006	1.04206299309732	7.33308063625687	1.34876671012277	R_Bin_1
up	Carfilzomib:Q15493	Carfilzomib	Q15493	-5.6195585234301	0.939700785068358	6.95443454144229	14.5488013138272	14.5488013138272	39.7913351070705	FALSE	0.938938327833195	1.28398511669546	22.3940093786906	23.4352120325504	4.3525874680798	1	0.879131657368276	1.59113772139056	8.35294619609242	6.67673755993838	5.83343161620407	1	1	1	1	1	1	Regucalcin	6715087.5	RGN	0.0922090729783037	0.169133932694344	0.939700785072576	6.95443454144229	1.38062240752664	R_Bin_1
up	Carfilzomib:Q99941	Carfilzomib	Q99941	-9.79334515672576	0.498736393703294	5.69505934465378	3.01214643116903	3.01214643116903	48.8476813823546	FALSE	0.870653093784395	1.63491658088181	25.2934873987502	26.33469005261	4.15790359961544	1	0	6.9934486251661	4.59464875029046	6.57816413202597	4.61381154913015	1	0	1	1	1	1	Cyclic AMP-dependent transcription factor ATF-6 beta	2179553	ATF6B	0.0496794871794872	0.98217629144791	0.498736393703311	5.69505934465378	1.01156429333866	R_Bin_1
up	Carfilzomib:Q15006	Carfilzomib	Q15006	-2.92356973358996	0.849942477414986	7.10425199200961	24.2617268977078	24.2617268977078	98.0764323705199	FALSE	0.833683353948071	2.3531052831525	29.663216248173	30.7044189020327	4.12101548461056	1	0.699481259785459	1.28638300662081	7.00159817295919	9.45440303096455	4.75795801750333	3	1	1	2	2	3	ER membrane protein complex subunit 2	99832422.8333333	EMC2	0.563486193293886	0.15053841698055	0.849943143752702	7.10425185049033	1.45056487335407	R_Bin_1
