.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Rapamycin:Q03001	Rapamycin	Q03001	-6.18745225574453	1.07331914579518	57.1536024535288	5614.28595902434	5614.28595902434		FALSE	0.999860301612995	0.416189720318679	8.87501724188096	9.91621989574068	3.91195312917517	1	0.662223964290601	1.47051455107708	1.18932508429088	1.04578359294673	55.6205786445618	3	1	2	1	3	1	Dystonin	99502179.2	DST	0.56833139759969	0.0946625417246127	1.07331914579518	55.6205927006696	7.82778236119975	R_Bin_1
up	Rapamycin:Q53EL6	Rapamycin	Q53EL6	0.0290970199134656	5.65440721069393	0.999952373356404	686.562238944566	686.562238944566		FALSE	0.985166736445919	0.180443571331505	-1.15366007887456	-0.112457425014838	3.22328392647618	1	2.97766806871551	3.33983322823617	3.23035864218215	3.45014643846677	3.31251430411375	5	8	8	9	8	8	Programmed cell death protein 4	208528346.333333	PDCD4	0.703316556975094	0.119630556802345	3.02970756467883	3.41782659308024	0.367729486964814	R_Bin_1
non-regulated	Rapamycin:Q5U623	Rapamycin	Q5U623	-4.454100835417	0.828073827966916	14.9557276951107	1627.08341296681	1627.08341296681	12850.9418353087	FALSE	0.978120947330522	1.34253176230672	22.9290724869267	23.9702751407864	3.05731078450649	1	0	2.31256624320982	0	2.27794742333023	14.951684497519	1	0	1	0	1	1	Activating transcription factor 7-interacting protein 2	4790863.5	ATF7IP2	0.0619434765776229	0.500000000000035	0.828073827966916	14.9513878280611	2.12227710041074	R_Bin_1
non-regulated	Rapamycin:Q13885;Q9BVA1	Rapamycin	Q13885;Q9BVA1	-2.18503922952282e-05	0.970394919010585	-0.951420863924408	3.27923684741314e+47	3.27923684741314e+47		TRUE	0.998810445608117	0.0220336984244455	-26.387800999236	-25.3465983453763	0.0105993564329004	1	0.011169036227007	0.00983063771304546	0.00299742942044268	0.01132689064247	0.016490702161444	2	1	1	2	2	1	Tubulin beta-2A chain	5241117074.33333	TUBB2A;TUBB2B	0.982062201574397	0.00336629135537838	0.0106597883117348	0.0105389245482024	-0.140683032406828	R_Bin_1
non-regulated	Rapamycin:O43567	Rapamycin	O43567	0.00824243223187761	-0.996458110483544	1.00000020501543	650.579253735233	650.579253735233		TRUE	0.998904507687143	0.0211856253156222	-26.8588025286289	-25.8175998747692	0.0142084980588723	1	0.0473681764841807	0	0	0	0	1	1	1	0	0	0	E3 ubiquitin-protein ligase RNF13	49195273	RNF13	0.431797651309846	0.0142105518494036	0.037877333807545	-0.00946966516236436	-0.146917272270073	R_Bin_1
non-regulated	Rapamycin:Q9UPV9	Rapamycin	Q9UPV9	0.00064132591566359	-0.975001683230581	1.00189837063709	652.906929360135	652.906929360135		TRUE	0.995118354005603	0.0445737942318351	-17.9329239784785	-16.8917213246188	0.0144079546717905	1	0	0	0.0703980593818637	0	0	1	0	0	1	0	0	Trafficking kinesin-binding protein 1	38030226.5	TRAK1	0.381597625500065	0.0151377799689199	0.0162325131522663	0.0125833918326366	-0.140845769731947	R_Bin_1
non-regulated	Rapamycin:Q53GT1	Rapamycin	Q53GT1	0.00385255715245645	-0.968469987940535	1.00000273317835	16.5649978029514	16.5649978029514	1787.12800721349	TRUE	0.998427481726461	0.0253036741963839	-24.7272820110839	-23.6860793572242	0.0145405529412936	1	0	0.0436544627497872	0.018144990789222	0	0	1	0	1	1	0	0	Kelch-like protein 22	524317267	KLHL22	0.838043618531424	0.0145405569414753	0.0254539441063959	0.00362736268660779	-0.143585984913159	R_Bin_1
non-regulated	Rapamycin:P08123	Rapamycin	P08123	-7.86754375063461e-05	0.999975335994175	-0.967266462693908	24740652275729500	24740652275729500		TRUE	0.997001186569673	0.0347683227160273	-20.9141968697354	-19.8729942158757	0.0176813620742857	1	0	0	0.0423135308135044	0.0470832202138415	0	1	0	0	1	1	0	Collagen alpha-2(I) chain	154092847.5	COL1A2	0.650277455155504	0.021245860084628	0.0179040987480984	0.0174586253097682	-0.137612480244142	R_Bin_1
non-regulated	Rapamycin:Q13126	Rapamycin	Q13126	0.000273957275655675	-0.960471755815099	1.00267312689129	733.932568183958	733.932568183958	97899.9865479686	TRUE	0.988316367209579	0.0686600377090611	-12.7486692882724	-11.7074666344126	0.0215234827741034	1	0	0	0.108511181487061	0	0	1	0	0	1	0	0	S-methyl-5'-thioadenosine phosphorylase	31560144	MTAP	0.344302490643954	0.0218330755597321	0.0222974643597521	0.0207495008380274	-0.139756823386084	R_Bin_1
non-regulated	Rapamycin:Q96C00	Rapamycin	Q96C00	0.00764481403927692	-0.979454626240914	0.999999551574755	660.629438502056	660.629438502056	174961.043888684	TRUE	0.99345327516837	0.0515119064881401	-16.1969216364825	-15.1557189826228	0.0217682448299973	1	0	0.0870725743685064	0	0	0	1	0	1	0	0	0	Zinc finger and BTB domain-containing protein 9	38824600	ZBTB9	0.38611433733385	0.0261235349877321	0.04353558856236	-6.51574343391026e-06	-0.145344930696243	R_Bin_1
