.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Seliciclib:Q92802	Seliciclib	Q92802	-9.47787045162342	0.702941806611443	29.5126216905694	3929.89385490099	3929.89385490099		FALSE	0.997276488770948	0.971688911913285	19.049751109943	20.0909537638027	3.04254396242465	1	0	0.943447903405081	0	1.57135065333464	29.508500726999	1	0	1	0	1	1	NEDD4-binding protein 2-like 2	9429461	N4BP2L2	0.100943155748152	0.5	0.702941806611443	29.5085000486436	4.18037450547411	R_Bin_1
non-regulated	Seliciclib:Q9H0I2	Seliciclib	Q9H0I2	0.00021927425535386	-1.00557551908443	1.0088667660088	647.125601467792	647.125601467792	10952.2091229238	TRUE	0.996550573864841	0.0375578497709842	-19.9880884769083	-18.9468858230486	0.00197897081213188	1	0	0	0	0	0.053559917566939	1	0	0	0	0	1	Enkurin domain-containing protein 1	79577664	ENKD1	0.477695641091002	0.00223324257725899	0.00261465003138173	0.00134329141587575	-0.135205726061866	R_Bin_1
non-regulated	Seliciclib:Q96Q42	Seliciclib	Q96Q42	0.000152662402609801	-0.985502853399702	1.00288123950645	1186.09417222289	1186.09417222289		TRUE	0.999911783342341	0.00603058689188126	-41.9365453191201	-40.8953426652603	0.00896425191417084	1	0.00539218339625916	0.00554240971363834	0.00476864343158644	0.00560554034832457	0.00521797150961485	4	6	2	4	2	2	Alsin	27879058740.5	ALS2	0.99770583736936	0.00367169363543458	0.00940109753134066	0.00852740622621151	-0.142115538225079	R_Bin_1
non-regulated	Seliciclib:O60674	Seliciclib	O60674	0.00324927035792553	-0.99124008418618	1.0000000104304	666.552527701526	666.552527701526	551313.564606244	TRUE	0.998819060633865	0.0220320357093524	-26.3887065818398	-25.3475039279801	0.00931036833042451	1	0	0.0372410583243284	0	0	0	1	0	1	0	0	0	Tyrosine-protein kinase JAK2	131157990	JAK2	0.571501401988274	0.0111725899579145	0.0186207710225069	-6.09178143262668e-07	-0.143921173094981	R_Bin_1
non-regulated	Seliciclib:A0A024RBG1;Q9NZJ9	Seliciclib	A0A024RBG1;Q9NZJ9	-0.000147657259953516	0.999935819824052	-0.966400318543183	3861178746809680	3861178746809680		TRUE	0.996395664203114	0.0380736221241011	-19.8244168192907	-18.783214165431	0.0191221345795751	1	0	0	0.041607931408254	0.0548687184007293	0	1	0	0	1	1	0	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1061606442	NUDT4B;NUDT4	0.883125159316849	0.0209711000049052	0.0195399702000678	0.0187042983922072	-0.13696531181113	R_Bin_1
non-regulated	Seliciclib:Q13885;Q9BVA1	Seliciclib	Q13885;Q9BVA1	0.000430570899298758	-0.961466714400832	1.00177796541638	2068.06647873153	2068.06647873153		TRUE	0.99982602843858	0.00834215155876706	-38.0428233699954	-37.0016207161357	0.0210390839846963	1	0.0204577503041315	0.0173833744716969	0.0234097934863177	0.0127744880637174	0.0272721111439971	2	1	1	2	1	2	Tubulin beta-2A chain	3024281303.16667	TUBB2A;TUBB2B	0.955391282182003	0.00567427261360572	0.0222555890243029	0.0198225771363385	-0.139447508913904	R_Bin_1
non-regulated	Seliciclib:A0A1B0GTU1	Seliciclib	A0A1B0GTU1	0.000412143079870079	-0.946907375300436	0.987929964383322	672.387339703167	672.387339703167		TRUE	0.993381944452935	0.0518363355213541	-16.1215809995979	-15.0803783457382	0.0211207213293062	1	0	0	0.0798865336331188	0	0	1	0	0	1	0	0	Zinc finger CCCH domain-containing protein 11B	79945106	ZC3H11B	0.478715268926842	0.0215797587055003	0.022268313524486	0.0199731279909308	-0.140574670467625	R_Bin_1
non-regulated	Seliciclib:O14977	Seliciclib	O14977	0.00937820829333887	-0.974750494229204	0.999999555836902	652.320989355037	652.320989355037	172861.018326175	TRUE	0.990160991237037	0.0630192359504755	-13.7773971871867	-12.736194533327	0.0266333293624365	1	0	0.106524813042671	0	0	0	1	0	1	0	0	0	Antizyme inhibitor 1	146037743	AZIN1	0.590619423910273	0.0319633192922035	0.0532665681941991	-1.35085292981563e-05	-0.145900708944076	R_Bin_1
non-regulated	Seliciclib:Q96G23	Seliciclib	Q96G23	0.00995919231253713	-0.973346066463175	0.999999283635808	661.495585389374	661.495585389374	166449.984867288	TRUE	0.988908800532504	0.0668687721997391	-13.0658924364644	-12.0246897826046	0.0282606739832386	1	0	0.113032292316172	0	0	0	1	1	2	0	0	1	Ceramide synthase 2	251550298	CERS2	0.691562579658425	0.0339167762973271	0.0565211140948525	-1.61140901729917e-05	-0.146086636923319	R_Bin_1
non-regulated	Seliciclib:O15230	Seliciclib	O15230	0.000399663972914171	-0.92817746280703	0.984476929215719	672.69664655779	672.69664655779		TRUE	0.987961406305151	0.0697026264669008	-12.5678213410964	-11.5266186872367	0.0287340197953751	1	0	0	0.107392497168742	0	0	1	0	0	1	0	0	Laminin subunit alpha-5	232495347.5	LAMA5	0.677542696915626	0.0291740546590951	0.0298341058320001	0.027633932728082	-0.139788785795179	R_Bin_1
