.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Carboplatine:Q96LJ7	Carboplatine	Q96LJ7	-5.92699208213989	0.500547544063826	3.51454167713627	7.36379510047968	7.36379510047968	41.1007941021214	FALSE	0.887769009045017	0.849476345824453	17.4367638156403	18.4779664695	2.3889786790188	1	0	3.09184850760003	3.41420907562705	2.88353466176767	4.24595212053606	1	0	2	1	2	1	Dehydrogenase/reductase SDR family member 1	13824348	DHRS1	0.173913043478261	0.500010934624089	0.500547544089699	3.51454167713627	0.720077861600295	R_Bin_1
up, low confidence	Carboplatine:Q5T2R2	Carboplatine	Q5T2R2	-3.60062977448032	0.828466683850631	11.4104496974746	2442.51677419904	2442.51677419904	23127.8069864377	FALSE	0.989733061930639	0.686525276645205	14.8810391941863	15.922241848046	2.12642754618163	1	1.07963716402951	1.23292882818671	0	1.23747032901016	11.3447224564713	3	1	2	0	3	1	Decaprenyl-diphosphate synthase subunit 1	25173569.8	PDSS1	0.283759590792839	0.211351898160772	0.828466683850633	11.3447306662323	1.45611951283176	R_Bin_1
non-regulated	Carboplatine:Q96S53	Carboplatine	Q96S53	0.00440939372284394	-0.998201444677858	1.00000001254123	664.919070151035	664.919070151035		TRUE	0.999688310522291	0.0113418126363265	-34.3567237752091	-33.3155211213494	0.00760782272156947	1	0.0253603956209303	0	0	0	0	1	1	0	0	0	0	Dual specificity testis-specific protein kinase 2	16181342.3333333	TESK2	0.202557544757033	0.00760813980099784	0.0202856926903154	-0.00507148749342934	-0.145030891053223	R_Bin_1
non-regulated	Carboplatine:Q92539	Carboplatine	Q92539	0.00301076164602467	-0.991778739354411	0.999999922552738	644.309815427823	644.309815427823	779000.922799107	TRUE	0.998986396248755	0.0204207472559678	-27.3000604585818	-26.2588578047221	0.00862946705975269	1	0	0.0345174581834422	0	0	0	1	0	1	0	0	0	Phosphatidate phosphatase LPIN2	2248724235	LPIN2	0.94846547314578	0.0103554637272784	0.0172588941102912	-4.12327915477739e-07	-0.143843355948098	R_Bin_1
non-regulated	Carboplatine:Q86YV9	Carboplatine	Q86YV9	0.00146489869131882	-0.970124591741402	1.00000000725489	23.4975715673699	23.4975715673699	5680.19274065559	TRUE	0.999670863662771	0.011550088984944	-34.1383596400506	-33.0971569861909	0.0147234351092861	1	0.0149865482816444	0.0161216871328841	0.0236147666090524	0	0.0147406971897903	1	2	1	1	0	2	Hermansky-Pudlak syndrome 6 protein	669172703	HPS6	0.854347826086957	0.00694628472291248	0.0188767481158927	0.0105701271805522	-0.141821802269138	R_Bin_1
non-regulated	Carboplatine:P28562	Carboplatine	P28562	0.0106017500532688	-0.99552031244264	1.00000069284431	655.358512413631	655.358512413631		TRUE	0.998181453278826	0.0272411273755634	-23.8419429288818	-22.800740275022	0.0182664183213929	1	0.0609037904784978	0	0	0	0	1	1	0	0	0	0	Dual specificity protein phosphatase 1	19418714	DUSP1	0.237340153452685	0.0182707959304791	0.0486851356943049	-0.0121721778005931	-0.1480774677553	R_Bin_1
non-regulated	Carboplatine:Q9UKA2	Carboplatine	Q9UKA2	0.01149837743019	-0.995013196746146	1.00000059611151	648.143395900056	648.143395900056		TRUE	0.997858683365116	0.0295387534954623	-22.8702403867383	-21.8290377328785	0.0198062453855104	1	0.0660389544062911	0	0	0	0	1	1	0	0	0	0	F-box/LRR-repeat protein 4	18754078.5	FBXL4	0.229411764705882	0.0198118077239806	0.0527841138925596	-0.0131968802889342	-0.148517624663396	R_Bin_1
non-regulated	Carboplatine:Q8WUX1	Carboplatine	Q8WUX1	0.000413175006475334	-0.949246319304256	0.988423017479275	672.364947423296	672.364947423296		TRUE	0.993896934746286	0.0497979000300255	-16.6030035543612	-15.5618009005015	0.0202001893385537	1	0	0	0.0767882961445403	0	0	1	0	0	1	0	0	Sodium-coupled neutral amino acid transporter 5	39552873	SLC38A5	0.368286445012788	0.0206610496244795	0.0213523387968585	0.0190480387267712	-0.140663191538727	R_Bin_1
non-regulated	Carboplatine:O14917;Q9NPG4	Carboplatine	O14917;Q9NPG4	0.000412922473185296	-0.948653784931604	0.988296877063036	672.370282083747	672.370282083747		TRUE	0.993769434049687	0.0503104495978915	-16.4801237230239	-15.4389210691641	0.020432787155114	1	0	0	0.0775665299339548	0	0	1	0	0	1	0	0	Protocadherin-17	15467697	PCDH17;PCDH12	0.194245524296675	0.0208931949355833	0.0215838053525435	0.0192817678067443	-0.140640956287601	R_Bin_1
non-regulated	Carboplatine:Q13268	Carboplatine	Q13268	0.0045499304186806	-0.953357475922451	1.00000100326416	310.610584772269	310.610584772269	569113.960904499	TRUE	0.993986190403248	0.0489193982799537	-16.8165892072706	-15.7753865534109	0.028397744749695	1	0.0601223094511008	0	0	0.069078721919452	0	1	2	0	0	1	0	Dehydrogenase/reductase SDR family member 2, mitochondrial	98796964	DHRS2	0.54693094629156	0.0283980002075132	0.0411864375553662	0.0156078916012568	-0.142089450359856	R_Bin_1
