.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Ulixertinib:Q9BST9	Ulixertinib	Q9BST9	-19.3182915860669	0.250001322914821	35.4841278878479	342.072942896102	342.072942896102		FALSE	0.943475913587761	7.04156547562729	42.8163521823488	43.8575548362085	10.5812677641899	1	0	0	0	42.4990117992085	28.4692371609669	1	0	0	0	1	1	Rhotekin	2841332	RTKN	0.0389016018306636	0.500000000846588	0.250001322914821	35.4841278878479	7.56694917721315	R_Bin_1
up, low confidence	Ulixertinib:Q9P0K1	Ulixertinib	Q9P0K1	-3.24895507574792	-0.000154012518625173	21.8634930448481	2547.27313839401	2547.27313839401	121.716944331914	FALSE	0.999999999315936	0.000361827303625512	-75.6977362487323	-74.6565335948726	2.60539003170614	0	0	0	0	1	21.609388865121	0	0	0	0	2	1	Disintegrin and metalloproteinase domain-containing protein 22	0	ADAM22	0	0.000153845906698395	-0.00015401251851935	21.6093889784702	3.17276983787443	R_Bin_1
non-regulated	Ulixertinib:O00327	Ulixertinib	O00327	0.00060679085024109	-0.976571458566526	1.00194138610599	652.877305480876	652.877305480876		TRUE	0.995622674210865	0.0422296500889305	-18.5812063383528	-17.5400036844931	0.0135936274200037	1	0	0	0.0666905282226962	0	0	1	0	0	1	0	0	Aryl hydrocarbon receptor nuclear translocator-like protein 1	2890095	ARNTL	0.0394101195016527	0.0142847153967061	0.0153213433248257	0.0118659078204458	-0.140951699193637	R_Bin_1
non-regulated	Ulixertinib:Q9H7X7	Ulixertinib	Q9H7X7	0.000626217843418431	-0.975628591483346	1.00189345864945	652.906291187074	652.906291187074		TRUE	0.995336003960887	0.0435779485291693	-18.2040622784167	-17.162859624557	0.0140697330333825	1	0	0	0.0688240073608907	0	0	1	0	0	1	0	0	Intraflagellar transport protein 22 homolog	105366343	IFT22	0.561530638189677	0.0147825896680202	0.0158518701849362	0.0122875918227137	-0.140890742646832	R_Bin_1
non-regulated	Ulixertinib:P53804	Ulixertinib	P53804	0.000167861307619569	-0.956633426098084	1.00190732437501	730.207744379656	730.207744379656	137281.659228438	TRUE	0.986713820606362	0.0731699609067433	-11.9852577358066	-10.9440550819469	0.0228949831464004	1	0	0	0.115667278982671	0	0	1	0	0	1	0	0	E3 ubiquitin-protein ligase TTC3	6404353.5	TTC3	0.0728451563691838	0.0230842344545993	0.0233681113301492	0.0224218548823556	-0.139552363457638	R_Bin_1
non-regulated	Ulixertinib:Q9P227	Ulixertinib	Q9P227	0.00904515003128856	-0.975633634214181	0.999999612788593	652.260255328655	652.260255328655	179394.61827951	TRUE	0.990844945153379	0.0608117324319543	-14.2052844793529	-13.1640818254931	0.0257001978662259	1	0	0.10279315814865	0	0	0	1	0	1	0	0	0	Rho GTPase-activating protein 23	37165774	ARHGAP23	0.367276887871854	0.0308432232772018	0.0514003247629361	-1.21358693475626e-05	-0.145794090232819	R_Bin_1
non-regulated	Ulixertinib:P52741	Ulixertinib	P52741	0.000615491282352422	-0.613974735086911	0.674405110898311	675.103696513769	675.103696513769		TRUE	0.867273767595967	0.23466116328912	1.99903404866581	3.04023670252553	0.0308220178115971	1	0	0.0110045668945768	0	0	0	1	0	1	0	0	0	Zinc finger protein 134	83809052	ZNF134	0.520086448004068	0.0303655388444968	0.0319632137358931	0.0296808193485915	-0.143171559054131	R_Bin_1
non-regulated	Ulixertinib:Q96K19	Ulixertinib	Q96K19	0.0193010508284266	-0.993560846876096	1.00000564353679	717.891338781829	717.891338781829		TRUE	0.993903907443086	0.049584670254507	-16.6544967130751	-15.6132940592154	0.0332187361631276	1	0.110816929972311	0	0	0	0	1	1	1	0	0	0	E3 ubiquitin-protein ligase RNF170	10226278	RNF170	0.130053394355454	0.0332458686036778	0.0884244305246907	-0.0221100744149048	-0.15235573685477	R_Bin_1
non-regulated	Ulixertinib:O14977	Ulixertinib	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ulixertinib:P07948	Ulixertinib	P07948	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tyrosine-protein kinase Lyn	0	LYN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
