.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	MK-5108:P05787	MK-5108	P05787	-6.56752780867838	0.361047580284553	90.5724471146893	7620.01799367627	7620.01799367627	25034.0951231229	FALSE	0.999799789797948	0.705639057011996	15.2105689376279	16.2517715914877	2.68314882844446	1	0	0.804242314086397	0	0	77.6114117712174	1	0	1	0	0	1	Keratin, type II cytoskeletal 8	3317780	KRT8	0.0450787910100749	0.36112035161353	0.361047580284553	77.6113206008525	10.9215090440572	R_Bin_1
up	MK-5108:P53350	MK-5108	P53350	-0.344200874319	1.09129395040794	6.32650261470278	4050.7093509933	4050.7093509933	9941.76023450197	FALSE	0.925585696755791	0.515381051753897	11.4402010654371	12.4814037192968	2.19464486225127	1	1.31212009491128	2.00917896792194	2.35667919907718	2.52308297444354	4.38401605055401	11	13	15	16	16	20	Serine/threonine-protein kinase PLK1	282999114.333333	PLK1	0.751872901059158	0.247479356167509	1.22369545760205	4.11275279582105	0.597156260643487	R_Bin_1
up, low confidence	MK-5108:O95067	MK-5108	O95067	0.000419295053029101	2.97483504820735	1.13429377675586	645.848753601526	645.848753601526		FALSE	0.841289510525862	0.293614268952282	4.68852541119965	5.72972806505937	2.05398239585351	1	2.07398138188862	2.25009053788854	1.87799252569289	1.83772156518138	2.24823325371149	1	2	1	3	3	3	G2/mitotic-specific cyclin-B2	32626798.5	CCNB2	0.350167915267373	0.194735256821394	2.05287178887161	2.0550930039654	0.147436823035431	R_Bin_1
non-regulated	MK-5108:Q5VZK9	MK-5108	Q5VZK9	0.000687485729308186	-1.00871532932117	0.99715680123881	645.875417012956	645.875417012956		TRUE	0.994951817787905	0.0454001328650866	-17.7124969561566	-16.6712943022969	-0.00473924206779191	1	0	0.0588630044833523	0	0	0	1	0	1	0	0	0	F-actin-uncapping protein LRRC16A	171877879	CARMIL1	0.6695944200465	0.00632688236372481	-0.00275469679760865	-0.00672379276637769	-0.144538942985239	R_Bin_1
non-regulated	MK-5108:Q9H5J8	MK-5108	Q9H5J8	0.00297799674900652	-0.991867934874888	0.999999922204899	644.334697306386	644.334697306386	716157.198664175	TRUE	0.999008369431346	0.0201994587885262	-27.4308075983858	-26.3896049445261	0.00853595254995242	1	0	0.0341434093308006	0	0	0	1	0	1	0	0	0	TATA box-binding protein-associated factor RNA polymerase I subunit D	104323612	TAF1D	0.574916042366314	0.0102432426200821	0.017071864547332	-3.97202921442741e-07	-0.143832668838023	R_Bin_1
non-regulated	MK-5108:Q96AV8	MK-5108	Q96AV8	0.000599989627496941	-0.977869589636434	1.0000218903513	642.510888843133	642.510888843133		TRUE	0.996366364299563	0.0385069020784794	-19.6886273352983	-18.6474246814386	0.0119695986259843	1	0	0	0.0608220507279941	0	0	1	0	0	1	0	0	Transcription factor E2F7	6723334	E2F7	0.083957633686386	0.0126527259397202	0.0136774130230093	0.01026178067707	-0.1411193699792	R_Bin_1
non-regulated	MK-5108:P08123	MK-5108	P08123	0.000587195266309045	-0.969918370278127	1.0005579991197	95.152800728601	95.152800728601		TRUE	0.998035052450301	0.0282286208893328	-23.4146406742852	-22.3734380204255	0.0156384687349614	1	0	0.0403514892078682	0	0.0317477472630441	0	1	0	1	0	1	0	Collagen alpha-2(I) chain	154092847.5	COL1A2	0.649832084732627	0.016872954261484	0.0173036014968886	0.0139733347596841	-0.141288807069107	R_Bin_1
up	MK-5108:O14965	MK-5108	O14965	-0.853164012972902	1.43153262340153	5.39517116508269	2839.0874119671	2839.0874119671	4385.07197047565	FALSE	0.916080801454835	0.56285999458644	12.4976937017776	13.5388963556373	1.98370562615795	1	1.3023983594043	1.82983312455692	2.08535619755238	2.27526468551921	4.47115666332528	3	5	7	8	8	9	Aurora kinase A	80158252.6	AURKA	0.530095582536812	0.33823305319948	1.43216174303673	4.38602396150626	0.586568724799045	R_Bin_1
non-regulated	MK-5108:Q53GT1	MK-5108	Q53GT1	-0.000100238397346067	1.00086936737864	-0.967759866215709	7.73067108107882e+24	7.73067108107882e+24		TRUE	0.994761038193905	0.0460091974617474	-17.5525814793173	-16.5113788254576	0.0192114951005909	1	0	0	0.074873941764431	0.0142320084676207	0	1	0	0	1	1	0	Kelch-like protein 22	524317267	KLHL22	0.837768018599845	0.0193250878698605	0.0194954767969077	0.0189275131094815	-0.139498000938077	R_Bin_1
non-regulated	MK-5108:O00458	MK-5108	O00458	0.0112984903604886	-0.973071340445176	0.999999914411525	147.98061699357	147.98061699357		TRUE	0.997585521792889	0.0312913377570269	-22.1785816119908	-21.137378958131	0.0220615920003334	1	0.0688560410022818	0	0	0.00937982884009946	0	1	1	0	0	1	0	Interferon-related developmental regulator 1	44479925.5	IFRD1	0.411263239473004	0.0215989915573809	0.0541236086953841	-0.0100125379046287	-0.147955103899616	R_Bin_1
non-regulated	MK-5108:Q96BR9	MK-5108	Q96BR9	0.00040901770433035	-0.940882009142976	0.986720958433044	672.46154805346	672.46154805346		TRUE	0.99190349512978	0.0572780021999089	-14.9236776042068	-13.8824749503471	0.023522040395642	1	0	0	0.0881988657205958	0	0	1	0	0	1	0	0	Zinc finger and BTB domain-containing protein 8A	7566622	ZBTB8A	0.0975200206664944	0.0239758934590459	0.0246566718414832	0.0223874078365538	-0.140337175265126	R_Bin_1
