.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Tazemetostat:P01023	Tazemetostat	P01023	-12.4968776022716	0.250302635569093	20.6110359800348	314.323098010044	314.323098010044	6853.91196381605	FALSE	0.998165095074384	0.712786960835109	15.331513662113	16.3727163159727	6.37001887532334	1	0	0	0	20.9758033347402	20.2462607938494	1	0	0	0	1	1	Alpha-2-macroglobulin	5473411.5	A2M	0.0712360415864459	0.307545106892227	0.250302635569093	20.6110359800348	4.54739182781336	R_Bin_1
non-regulated	Tazemetostat:Q9UHL0	Tazemetostat	Q9UHL0	0.000265433472550478	-1.00810651577855	1.00238931918789	3073.83253407238	3073.83253407238	18907.0916411494	TRUE	0.999636180136008	0.0122701486771593	-33.4126448258703	-32.3714421720106	-0.00224799247714418	1	0	0.013030209937067	0.00445573051607398	0	0	1	0	1	1	0	0	ATP-dependent RNA helicase DDX25	460794056	DDX25	0.83288409703504	0.0049366505032299	-0.00148000490264377	-0.00301598052673335	-0.143102127983457	R_Bin_1
non-regulated	Tazemetostat:Q9BQK8	Tazemetostat	Q9BQK8	0.00046818780408021	-1.0012413853571	0.997553596563244	2147.05308358584	2147.05308358584		TRUE	0.999964953483398	0.00381796042227925	-47.4220810252459	-46.3808783713861	-0.000857088268901705	1	0.00219366870766734	0	0.00106312847131362	0.00118837508469857	0	1	1	0	2	1	0	Phosphatidate phosphatase LPIN3	5784495685	LPIN3	0.986266204595046	0.00222327084359652	0.000489649318750729	-0.00220382824532805	-0.142912935782788	R_Bin_1
non-regulated	Tazemetostat:Q6STE5	Tazemetostat	Q6STE5	0.00037619264607132	-1.01606330541822	1.01593998594041	692.800178792446	692.800178792446		TRUE	0.999688957858676	0.0113798830506468	-34.3165115123882	-33.2753088585285	0.000528258727482665	1	0	0	0.00192191357141411	0	0	1	0	0	1	0	0	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3	15273803	SMARCD3	0.219227313566936	0.000968296850145434	0.00162835303285314	-0.000571836499858813	-0.142802231040817	R_Bin_1
non-regulated	Tazemetostat:Q9BYB0	Tazemetostat	Q9BYB0	0.00272061064948087	-0.992569012955104	0.999999919913816	644.574258175449	644.574258175449	639612.421817584	TRUE	0.999172591905844	0.0184603900835583	-28.5111490135365	-27.4699463596768	0.00780103922033945	1	0	0.0312038248213075	0	0	0	1	0	1	0	0	0	SH3 and multiple ankyrin repeat domains protein 3	243183559	SHANK3	0.737517648568861	0.00936132028207132	0.0156020338554342	-2.89356461569135e-07	-0.14374868070918	R_Bin_1
non-regulated	Tazemetostat:Q9C000	Tazemetostat	Q9C000	0.000684019659795295	-0.978740695045465	0.997225885953697	263.042169494423	263.042169494423		TRUE	0.999504619841943	0.0142261089008808	-31.637730159096	-30.5965275052363	0.0099584141652832	1	0.0120259455741575	0.0162585395062863	0	0	0.0218861414974849	1	2	1	0	0	1	NACHT, LRR and PYD domains-containing protein 1	590539387	NLRP1	0.858169682967527	0.00918037172917957	0.0119035175225602	0.00801330710936221	-0.141225876249752	R_Bin_1
non-regulated	Tazemetostat:Q8IZU2	Tazemetostat	Q8IZU2	0.000484554495573802	-0.978746252911739	1.00001640787559	642.371716488987	642.371716488987		TRUE	0.996748788389002	0.0364412383300278	-20.3502646808808	-19.3090620270211	0.0113568967864455	1	0	0	0.0575753709199786	0	0	1	0	0	1	0	0	WD repeat-containing protein 17	94700868.25	WDR17	0.571428571428571	0.0119088367856974	0.0127367447361669	0.00997704696510715	-0.141212132259429	R_Bin_1
non-regulated	Tazemetostat:O15231	Tazemetostat	O15231	0.000637925663803998	-0.975139008213802	1.00189550273255	652.907776381796	652.907776381796		TRUE	0.995167545623082	0.0443507209620245	-17.993129757437	-16.9519271035773	0.0143328358022797	1	0	0	0.070045534424178	0	0	1	0	0	1	0	0	Zinc finger protein 185	573081855.333333	ZNF185	0.855217558721602	0.0150588410121692	0.0161478441396875	0.0125178231748548	-0.140855841873595	R_Bin_1
non-regulated	Tazemetostat:P13591	Tazemetostat	P13591	0.0116175486846666	-0.9949500225532	1.00000061527395	647.507062629179	647.507062629179		TRUE	0.997813761396019	0.0298442031330497	-22.7467898822195	-21.7055872283598	0.0200108616320762	1	0.0667215982347628	0	0	0	0	1	1	0	0	0	0	Neural cell adhesion molecule 1	79078840	NCAM1	0.537543319214478	0.0200165965635586	0.0533287469996278	-0.013333064396879	-0.148576136991551	R_Bin_1
non-regulated	Tazemetostat:Q9UQN3	Tazemetostat	Q9UQN3	0.000413102304158743	-0.949074304833108	0.988386312753635	672.366472485729	672.366472485729		TRUE	0.993860125268838	0.0499464260030349	-16.5672659226719	-15.5260632688122	0.0202676711120453	1	0	0	0.0770137570281841	0	0	1	1	1	1	1	1	Charged multivesicular body protein 2b	22897314	CHMP2B	0.300089847259659	0.0207284006714147	0.021419493754757	0.0191158473165883	-0.140656749799195	R_Bin_1
non-regulated	Tazemetostat:Q2L4Q9	Tazemetostat	Q2L4Q9	0.000412058559473063	-0.946724924626525	0.987892054120861	672.389236863043	672.389236863043		TRUE	0.993340438431253	0.051997064146654	-16.0844302359654	-15.0432275821056	0.0211927977249547	1	0	0	0.0801311870065974	0	0	1	0	0	1	0	0	Serine protease 53	570921967	PRSS53	0.854832499037351	0.0216516886943448	0.0223400239040316	0.0200455704035148	-0.14056768037124	R_Bin_1
non-regulated	Tazemetostat:Q9NRR6	Tazemetostat	Q9NRR6	-0.00031195466818847	1.00011364882371	-0.964127695000927	68303977635.6956	68303977635.6956		TRUE	0.995350561574171	0.0431480853589331	-18.3230207976733	-17.2818181438136	0.0212855000666088	1	0	0	0.0595645863441803	0	0.0500240088198789	1	0	0	1	0	1	Phosphatidylinositol polyphosphate 5-phosphatase type IV	136337790	INPP5E	0.640739314593762	0.0257174565951125	0.0221673124102512	0.0204036841845391	-0.134009010558755	R_Bin_1
non-regulated	Tazemetostat:P69905	Tazemetostat	P69905	0.000668671222841525	-0.967558500846938	1.01167408709567	508.860813222613	508.860813222613		TRUE	0.997540484507035	0.0314510822143379	-22.1174766169756	-21.0762739631159	0.0229770300592842	1	0.019250513655573	0.0215832347024808	0.0525028814390333	0	0	1	1	1	1	0	0	Hemoglobin subunit alpha	1206892381.2	HBA1	0.921447824412784	0.0214533467394503	0.0248816299003373	0.0210724256792822	-0.143623768406576	R_Bin_1
non-regulated	Tazemetostat:Q9Y2G0	Tazemetostat	Q9Y2G0	0.0133935927072951	-0.994291455672571	1.00000380608063	653.019904319027	653.019904319027		TRUE	0.997087752464317	0.0343989391299075	-21.0423686393147	-20.001165985455	0.0230616531204494	1	0.0768998128350646	0	0	0	0	1	1	0	0	0	0	Protein EFR3 homolog B	332919106	EFR3B	0.785778462328328	0.0230704599409873	0.0614467630385009	-0.0153634408910364	-0.149448555385863	R_Bin_1
non-regulated	Tazemetostat:Q05481;Q9P255;O75437;A6NK75	Tazemetostat	Q05481;Q9P255;O75437;A6NK75	0.000421738817076796	-0.95167703140947	1.00469379900642	1208.89533680411	1208.89533680411		TRUE	0.995568340316077	0.0420036409564805	-18.6456016876051	-17.6043990337454	0.0272599432252314	1	0.016401996697924	0	0.037450210019346	0.0693035899632573	0	1	1	0	1	1	0	Zinc finger protein 91	791989046	ZNF91;ZNF492;ZNF254;ZNF98	0.885893980233603	0.0267849907888933	0.028447323201512	0.0260725617727225	-0.137252714576704	R_Bin_1
non-regulated	Tazemetostat:Q9UGC7	Tazemetostat	Q9UGC7	0.000404575467157946	-0.942282803319638	0.999995928405907	662.117896947794	662.117896947794		TRUE	0.978221108582606	0.0934682118949493	-9.04722055013475	-8.00601789627503	0.029454076563341	1	0	0	0.147775302484793	0	0	1	0	0	1	0	0	Peptide chain release factor 1-like, mitochondrial	6011158	MTRF1L	0.0797073546399692	0.0299064183204406	0.0305849297777002	0.0283232222689162	-0.138634991357577	R_Bin_1
non-regulated	Tazemetostat:Q4KMQ1	Tazemetostat	Q4KMQ1	0.000461174816589456	-0.712467314620128	0.785444149525959	532.807514702747	532.807514702747		TRUE	0.80367731463006	0.284338104638861	4.30329113710671	5.34449379096644	0.0369761700251339	1	0	0	0	0.368375376723257	0	1	0	0	0	1	0	Taperin	6309846.5	TPRN	0.0845847773071493	0.0373738258014572	0.0379703081860191	0.0359820307186478	-0.111282110566578	R_Bin_1
