.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	PHA-793887:Q9BWV3	PHA-793887	Q9BWV3	-6.14688312780149	0.199846414429162	149.533549415066	6856.98662894905	6856.98662894905	23855.2158811868	FALSE	0.999948043122598	0.632627090697117	13.8998962767098	14.9410989305695	5.30452267992042	1	0	0	0	0	136.162959371506	1	0	0	0	0	1	Cytidine and dCMP deaminase domain-containing protein 1	698201	CDADC1	0.0374215045495322	0.199846414815201	0.199846414429162	136.162928849198	19.3089941959294	R_Bin_1
up	PHA-793887:Q9UKK3	PHA-793887	Q9UKK3	-3.81746849930455	0.971784951044935	28.9816778214954	2431.69796449442	2431.69796449442	5598.21087088245	FALSE	0.999998314801142	0.0232245298587324	-25.756168836014	-24.7149661821542	4.41688345890018	1	0.964503758019572	0.963626315500624	0.959157752628645	1.88327466554484	28.8554696821981	5	7	5	3	2	1	Protein mono-ADP-ribosyltransferase PARP4	34683405.3333333	PARP4	0.374983980520313	0.0077199252045872	0.971784951044935	28.8554719498618	4.05797693059127	R_Bin_1
up	PHA-793887:Q9UL36	PHA-793887	Q9UL36	-4.43850278908643	0.939378248058225	34.1228024148808	3115.06966766892	3115.06966766892		FALSE	0.99849830126709	0.824959568008638	17.0853351847142	18.1265378385739	4.30735541383447	1	0	1.58881711605323	1.17012235865156	1.15210412351619	33.9364930788714	1	0	1	2	1	1	Zinc finger protein 236	7349416.33333333	ZNF236	0.101114955786236	0.145679030677898	0.939378248058225	33.9364945259537	4.79200237164297	R_Bin_1
up	PHA-793887:O60930	PHA-793887	O60930	-6.43201051229689	0.325676990761745	5.38069826825111	73.1915402464986	73.1915402464986	427.793653841145	FALSE	0.978463206261233	0.62497447237432	13.753852321216	14.7950549750758	2.48478980178765	1	0	0	4.7820551191891	5.61981904478182	5.14162563099752	1	0	0	2	1	1	Ribonuclease H1	3210588	RNASEH1	0.0472895040369089	0.282399009220987	0.325676990761745	5.38069826825102	1.20998972595778	R_Bin_1
up	PHA-793887:P61006	PHA-793887	P61006	-0.232397526248016	1.0151635260782	3.4799747282652	100.272744702279	100.272744702279	878.231870492846	FALSE	0.846982359259873	0.445765092893141	9.69882805340815	10.7400307072679	2.10379624853274	1	1.89156256212079	1.44886070584872	2.56738087490342	2.48771481877313	2.85580282699494	4	3	4	2	3	3	Ras-related protein Rab-8A	109928341.833333	RAB8A	0.596949891067538	0.2837424781327	1.42715113008284	2.85026550464411	0.348171173542469	R_Bin_1
non-regulated	PHA-793887:Q06278	PHA-793887	Q06278	0.0004364881871833	-0.993128602475607	1.00063770962443	798.881275930081	798.881275930081		TRUE	0.999648110441248	0.0120649000648768	-33.61507234341	-32.5738696895503	0.00445713961443531	1	0	0	0.0189519442721882	0	0	1	0	0	1	0	0	Aldehyde oxidase	7920620.5	AOX1	0.110085864411124	0.00495809874247621	0.0057095358510062	0.00320474189961317	-0.14231565873508	R_Bin_1
non-regulated	PHA-793887:Q9NS00	PHA-793887	Q9NS00	0.0035006357212559	-0.990564158181829	1.00000001848729	666.23820039651	666.23820039651	448158.116359522	TRUE	0.998628960058715	0.0237280569529531	-25.4987791075761	-24.4575764537164	0.0100270976649745	1	0	0.0401078876721284	0	0	0	1	0	1	0	0	0	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	20878894.5	C1GALT1	0.282327310008971	0.0120326979461514	0.0200542173383984	-7.40448629632518e-07	-0.144003082504918	R_Bin_1
non-regulated	PHA-793887:Q14494	PHA-793887	Q14494	0.000635930646330564	-0.975220407334463	1.00189422519175	652.908042593815	652.908042593815		TRUE	0.995196328176678	0.0442196645046749	-18.0286422738992	-16.9874396200395	0.0142885508395904	1	0	0	0.0698384090764457	0	0	1	0	0	1	0	0	Endoplasmic reticulum membrane sensor NFE2L1	47166783	NFE2L1	0.433166730744585	0.0150123149094914	0.0160979563706718	0.0124791410584504	-0.140861759740673	R_Bin_1
non-regulated	PHA-793887:Q8N3X6	PHA-793887	Q8N3X6	0.0111417209425158	-0.995185886269361	1.00000053740066	649.170306392391	649.170306392391		TRUE	0.997990313507966	0.0286245271290735	-23.2475100284427	-22.206307374583	0.0191935921003414	1	0.0639957296436799	0	0	0	0	1	1	0	0	0	0	Ligand-dependent nuclear receptor corepressor-like protein	69611696	LCORL	0.514545687556068	0.0191986560957742	0.0511533496482473	-0.012789160301677	-0.148342491112315	R_Bin_1
non-regulated	PHA-793887:Q12893	PHA-793887	Q12893	0.00994357921142817	-0.973386531105322	0.999999294256577	661.448229257199	661.448229257199	166925.957677434	TRUE	0.988943398213763	0.0667654453778613	-13.0844493918925	-12.0432467380327	0.0282170058882855	1	0	0.112857621980778	0	0	0	1	0	1	0	0	0	Transmembrane protein 115	25638961.4	TMEM115	0.318339100346021	0.0338643583947477	0.0564337911222028	-1.60505413431267e-05	-0.146081646342308	R_Bin_1
