.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Fostamatinib (Free Base):Q9P0K1	Fostamatinib (Free Base)	Q9P0K1	-9.74175653757358	0.193227843169245	661.94202691226	225.892447228036	225.892447228036	6792.41569568529	FALSE	0.950235600225799	123.638506934556	77.2027305079663	78.243933161826	218.076539317211	0	1	0	0	785.578272483875	538.305274058729	0	1	0	0	1	1	Disintegrin and metalloproteinase domain-containing protein 22	0	ADAM22	0	0.618000528915392	0.193227843169245	661.94202691226	144.150319649865	R_Bin_1
non-regulated	Fostamatinib (Free Base):Q86YV5	Fostamatinib (Free Base)	Q86YV5	-4.54983548074215	0.250007714511604	24.8640891885208	1860.9990479235	1860.9990479235	7556.73033107598	FALSE	0.998486095550225	0.612381207773443	13.5095823901999	14.5507850440597	3.84687767201402	1	0	0	0	1.6260121596738	24.8519091775405	1	0	0	0	2	1	Inactive tyrosine-protein kinase PRAG1	5626292	PRAG1	0.0711432850723914	0.250007715091292	0.250007714511604	24.8523822819091	3.54678806762068	R_Bin_1
non-regulated	Fostamatinib (Free Base):Q96RK4	Fostamatinib (Free Base)	Q96RK4	-11.2240698207302	0.247297127813636	9.46343679696225	268.846666138581	268.846666138581	9962.41917152954	FALSE	0.896717696154498	2.55303542516843	30.6417821813245	31.6829848351843	3.14242060632638	1	0	0	0	11.9418446104816	6.98485689760063	1	0	1	0	1	1	Bardet-Biedl syndrome 4 protein	3052784	BBS4	0.0338242636045931	0.50006961811356	0.247297127813636	9.46343679696225	1.87856623769851	R_Bin_1
up	Fostamatinib (Free Base):Q16822;P35558	Fostamatinib (Free Base)	Q16822;P35558	-0.298084539744836	1.0674143764316	5.09475966900418	2744.61399428329	2744.61399428329	9450.29673983142	FALSE	0.853628657572445	0.587139364629375	13.0044691859718	14.0456718398315	2.07420628813443	1	1.30094014104281	2.2793185693951	1.91822849022732	2.33666241486511	3.75550506630827	2	3	1	1	2	2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	31113528	PCK2;PCK1	0.360584123814279	0.270626982812295	1.25014453200229	3.46439563268597	0.472102916395442	R_Bin_1
up	Fostamatinib (Free Base):A6NHL2	Fostamatinib (Free Base)	A6NHL2	-5.72504517521938	0.90435925841935	4.12221321541907	159.17175054526	159.17175054526	628.439231679908	FALSE	0.86593280387437	1.01818083962143	19.6105965455811	20.6517991994409	2.06167610663071	1	0.682564545401992	1.03080070122606	1.11411502593764	5.12192074750055	3.12247908702274	2	2	1	1	2	2	Tubulin alpha chain-like 3	316814139.833333	TUBAL3	0.767473789316026	0.174117866174253	0.90435925841935	4.1222132152557	0.686107953317741	R_Bin_1
non-regulated	Fostamatinib (Free Base):Q96GS6	Fostamatinib (Free Base)	Q96GS6	0.000460597140387109	-0.998993112348069	1.00002451706378	816.402335711488	816.402335711488		TRUE	0.999977339357871	0.00306962487705904	-50.0400129641948	-48.9988103103351	0.00126404150595464	1	0	0.00518733820775977	0	0	0	1	0	1	0	0	0	Alpha/beta hydrolase domain-containing protein 17A	1225938828	ABHD17A	0.91462805791313	0.00152905224616567	0.00258909308009703	-6.10118214322553e-05	-0.143005352520222	R_Bin_1
non-regulated	Fostamatinib (Free Base):P14923	Fostamatinib (Free Base)	P14923	0.000689028592391854	-0.980309546980958	1.00697722224149	651.710173979029	651.710173979029		TRUE	0.973533272245496	0.102991938778568	-7.88286868462496	-6.84166603076523	0.0143696143220414	1	0	0	0.156728874768064	0	0	1	0	0	2	0	0	Junction plakoglobin	8123398.5	JUP	0.1154518222666	0.0151578446682245	0.0163401842529007	0.012399038960651	-0.138379175006627	R_Bin_1
non-regulated	Fostamatinib (Free Base):Q8NC67	Fostamatinib (Free Base)	Q8NC67	0.000464513672254806	-0.613231985620962	0.67371128357257	674.973218087065	674.973218087065		TRUE	0.866751905386606	0.235166135723578	2.02482936349581	3.06603201735553	0.030697086594349	1	0	0.0100189546205886	0	0	0	1	0	1	0	0	0	Neuropilin and tolloid-like protein 2	78733934.3333333	NETO2	0.532576135796306	0.030352964013104	0.0315573924062132	0.0298367796924725	-0.143143398703445	R_Bin_1
non-regulated	Fostamatinib (Free Base):O95125	Fostamatinib (Free Base)	O95125	0.0111017666099051	-0.971092707461014	0.99999905165511	709.138794960115	709.138794960115	160758.055969893	TRUE	0.98622671001322	0.0744371513925623	-11.7792153686235	-10.7380127147637	0.0314603653239126	1	0	0.125826593269231	0	0	0	1	0	1	0	0	0	Zinc finger protein 202	38339840	ZNF202	0.399026460309536	0.0377580101886421	0.0629203088796572	-2.2708674797034e-05	-0.146452188379121	R_Bin_1
non-regulated	Fostamatinib (Free Base):Q9UC06	Fostamatinib (Free Base)	Q9UC06	0.000682859806255749	-0.930815433762401	1.00181993129851	660.287023695391	660.287023695391		TRUE	0.967403945777256	0.114208409420046	-6.64237814922471	-5.60117549536499	0.0365048366548211	1	0	0	0.180547906415575	0	0	1	0	0	1	0	0	Zinc finger protein 70	5613306.5	ZNF70	0.0706440339490764	0.0372645274104215	0.0384040579093927	0.0346056102374211	-0.137698631245269	R_Bin_1
non-regulated	Fostamatinib (Free Base):O14977	Fostamatinib (Free Base)	O14977	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Antizyme inhibitor 1	0	AZIN1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Fostamatinib (Free Base):O95858	Fostamatinib (Free Base)	O95858	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tetraspanin-15	0	TSPAN15	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Fostamatinib (Free Base):P11049	Fostamatinib (Free Base)	P11049	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Leukocyte antigen CD37	0	CD37	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Fostamatinib (Free Base):P29033	Fostamatinib (Free Base)	P29033	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Gap junction beta-2 protein	0	GJB2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Fostamatinib (Free Base):P48594	Fostamatinib (Free Base)	P48594	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Serpin B4	0	SERPINB4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
