.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Citarinostat:Q9NVV5	Citarinostat	Q9NVV5	-6.01270892823643	3.2896906157637	37.2581954225736	912.520120598591	912.520120598591	3192.59898793473	FALSE	0.912701418690817	7.2672659768632	43.1949478318646	44.2361504857243	10.3554764544348	1	12.163197328539	0	0	24.8337898768258	37.2581919589862	1	2	1	1	1	1	Androgen-induced gene 1 protein	973197	AIG1	0.035010111223458	2.78969061579148	3.2896906157637	37.2581763979235	6.26579249827975	R_Bin_1
up, low confidence	Citarinostat:A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	Citarinostat	A8MRT5;F8W0I5;E5RHQ5;A6NJU9;Q92617;C9JG80	-5.97593280553411	1.64514021504015	43.5052369842273	8471.70619219157	8471.70619219157		FALSE	0.982364717944034	2.64036435933676	31.0453890830117	32.0865917368714	2.44311813394608	1	4.05070056853084	0	3.17051096430047	0	32.1733961001788	1	1	0	1	0	1	Nuclear pore complex-interacting protein family member B5	6494259	NPIPB5;NPIPB12;NPIPB11;NPIPB13;NPIPB3;NPIPB4	0.0738119312436805	1.58525548208723	1.64514021504015	32.174150062438	4.19672542170291	R_Bin_1
non-regulated	Citarinostat:O15484	Citarinostat	O15484	-9.22441946998314	0.782880403449755	33.588457049026	5602.96703384581	5602.96703384581		FALSE	0.996465580390576	1.25516084936354	22.1215507869231	23.1627534407828	2.43794509468925	1	0	0.761327861045329	2.15307827984898	0	33.4324240047073	1	0	1	1	0	1	Calpain-5	9885892	CAPN5	0.125631951466127	0.5	0.782880403449755	33.4324371435335	4.672967726924	R_Bin_1
non-regulated	Citarinostat:P16104;Q96QV6;Q8IUE6	Citarinostat	P16104;Q96QV6;Q8IUE6	-5.2605543811161	0.489476040293395	64.0355898606582	7790.64360797092	7790.64360797092		FALSE	0.999092788486762	0.974096456416613	19.0794466244159	20.1206492782756	2.12206605303523	1	1.44710927495139	0	0	0	50.56850301769	1	1	0	0	0	1	Histone H2AX	2516229	H2AX;H2AC1;H2AC21	0.038422649140546	0.490124499251256	0.489476040293395	50.5685551449561	6.95717677895988	R_Bin_1
non-regulated	Citarinostat:Q9Y236	Citarinostat	Q9Y236	-3.75726861397594	0.249947066978699	12.6229738060496	1950.44011026013	1950.44011026013		FALSE	0.993983563806008	0.61240866147581	13.5101203509338	14.5513230047935	2.00808658228894	1	0	0	0	1.18071789533884	12.5965847841132	1	0	0	0	1	1	Oxidative stress-induced growth inhibitor 2	2798953	OSGIN2	0.0395601617795753	0.249947082355942	0.2499470669787	12.5964045168981	1.75785936018807	R_Bin_1
non-regulated	Citarinostat:Q86YV9	Citarinostat	Q86YV9	0.00497966268193423	-0.985213614025032	0.999999968044513	111.854712396471	111.854712396471	17793.3842062735	TRUE	0.999856020951829	0.00768806384393023	-39.0226496232594	-37.9814469693997	0.0105151594451039	1	0.0185526561543052	0.0197985352080908	0	0	0	1	1	1	0	0	0	Hermansky-Pudlak syndrome 6 protein	669172703	HPS6	0.856041456016178	0.00507435124326476	0.0247402744785057	-0.00371081043386012	-0.145013042962029	R_Bin_1
non-regulated	Citarinostat:Q96DZ5	Citarinostat	Q96DZ5	1.26921070413262e-06	-0.975137534700872	1.00010908756114	653.887667760994	653.887667760994		TRUE	0.996156756436032	0.0395920296822951	-19.355143406954	-18.3139407530943	0.0124876748953437	1	0	0	0.0626003217454193	0	0	1	0	0	1	0	0	CAP-Gly domain-containing linker protein 3	31717101	CLIP3	0.334428715874621	0.0124891180429418	0.0124912827643412	0.0124840670263434	-0.141068562235845	R_Bin_1
non-regulated	Citarinostat:Q96M94	Citarinostat	Q96M94	0.000618965504074907	-0.975952738729531	1.00190105901106	652.900571202425	652.900571202425		TRUE	0.995440675450396	0.0430906458507967	-18.3390060560345	-17.2978034021747	0.0139007573285957	1	0	0	0.0680533604597444	0	0	1	0	0	1	0	0	Kelch-like protein 15	10477377	KLHL15	0.134352881698686	0.0146054764583305	0.0156625508694978	0.0121389598673269	-0.140912761129722	R_Bin_1
non-regulated	Citarinostat:Q6ZNA4	Citarinostat	Q6ZNA4	0.00998957958920698	-0.995823405249305	1.00000032080538	658.298580895927	658.298580895927		TRUE	0.998386711784692	0.0256707145023846	-24.5544673915647	-23.5132647377049	0.0172145546590893	1	0.0573937320985266	0	0	0	0	1	1	0	0	0	0	E3 ubiquitin-protein ligase Arkadia	75844178	RNF111	0.500631951466127	0.0172182231668441	0.0458840149051741	-0.0114715649089887	-0.147776605608445	R_Bin_1
non-regulated	Citarinostat:Q08AE8	Citarinostat	Q08AE8	0.000308417928098871	-0.956740562652829	1.00096727590839	205.58061247442	205.58061247442		TRUE	0.997928845479029	0.0288247157446116	-23.163878878942	-22.1226762250823	0.0223959253446145	1	0	0.0417211147780774	0.0392583879278045	0.0179797805725598	0	1	0	1	2	1	0	Protein spire homolog 1	134788067	SPIRE1	0.605535894843276	0.0203392013499968	0.0232648517132843	0.0215269986791143	-0.14138638243236	R_Bin_1
