.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Rucaparib:Q9NZ71	Rucaparib	Q9NZ71	-8.30779063608088	1.0068248319691	40.8587755306049	6748.82876055826	6748.82876055826	87476.9527203492	FALSE	0.992924036660903	2.09186018607058	28.251030548272	29.2922332021317	2.38709592147908	1	0	3.54730304952769	0.486941374919788	0	39.3955574214411	1	0	1	1	0	1	Regulator of telomere elongation helicase 1	6387330.5	RTEL1	0.0638515674984005	0.763354144509219	1.0068248319691	39.3950377942186	5.39764072664565	R_Bin_1
up, low confidence	Rucaparib:Q96QF0	Rucaparib	Q96QF0	-5.02501800316364	0.804653663335691	19.9485103010993	4787.85406368576	4787.85406368576	148479.663154841	FALSE	0.999663691928142	0.221174322955708	1.28873685168081	2.32993950554054	2.03901664555252	1	0.679576487693529	0.913817998050009	0.625447802897673	0.811735066020347	19.4870505755251	2	2	1	3	1	1	Rab-3A-interacting protein	16801043	RAB3IP	0.184005118362124	0.117120755177914	0.804653663335691	19.4870494584716	2.64409595478439	R_Bin_1
non-regulated	Rucaparib:O15230	Rucaparib	O15230	0.000674999119648688	-1.00480148415934	0.999065353209883	638.038763801345	638.038763801345		TRUE	0.999854047453133	0.00778592722633205	-38.8708625062664	-37.8296598524067	-0.00185208191744299	1	0	0.00809367884258166	0	0	0	1	0	2	0	0	0	Laminin subunit alpha-5	232495347.5	LAMA5	0.676135636596289	0.00340932806903171	9.44709671313326e-05	-0.00379863991406659	-0.143088390824074	R_Bin_1
non-regulated	Rucaparib:A0A024RBG1;Q9NZJ9	Rucaparib	A0A024RBG1;Q9NZJ9	0.000410632235640018	-1.00090670595141	1.00403403435871	692.860433071263	692.860433071263		TRUE	0.999959720889949	0.00409600855868184	-46.5785216081145	-45.5373189542547	0.00219903032890241	1	0.000847356187488222	0	0	0	0	1	1	0	0	0	0	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1061606442	NUDT4B;NUDT4	0.882661548304543	0.00201231506059396	0.00338384300742489	0.00101421646725286	-0.142929773387499	R_Bin_1
non-regulated	Rucaparib:Q96Q42	Rucaparib	Q96Q42	0.000208122294197288	-0.985840688465556	1.00416430305532	1165.04495390014	1165.04495390014		TRUE	0.99985858728113	0.00763785805600734	-39.1012708786887	-38.0600682248289	0.00953524243121072	1	0.0051037198045033	0.00459975470354279	0.00539678407572623	0.0050626140963958	0.00472508883292642	4	2	4	4	2	2	Alsin	27879058740.5	ALS2	0.997696737044146	0.00450163201287247	0.0101312726762647	0.00893921200752279	-0.142162881245357	R_Bin_1
non-regulated	Rucaparib:Q9P0K1	Rucaparib	Q9P0K1	0.000597429196494559	-0.977194378041677	1.00201889568165	652.839954590564	652.839954590564		TRUE	0.995782105013709	0.0414603983192141	-18.8018127638992	-17.7606101100395	0.0133072033245528	1	0	0	0.0654707884056363	0	0	1	0	0	1	0	0	Disintegrin and metalloproteinase domain-containing protein 22	71878082.3333333	ADAM22	0.454126679462572	0.0139878699950124	0.0150088661464309	0.0116055369751428	-0.140986548902696	R_Bin_1
non-regulated	Rucaparib:P53804	Rucaparib	P53804	0.000661055397063862	-0.974227903336952	1.00192731136644	652.894925096234	652.894925096234		TRUE	0.994828294409828	0.0458666009649977	-17.5898308826268	-16.5486282287671	0.0148384572817474	1	0	0	0.0724406438378411	0	0	1	0	0	1	0	0	E3 ubiquitin-protein ligase TTC3	47847114	TTC3	0.377607165706974	0.0155904511504988	0.0167184367400909	0.0129584730517807	-0.140787410176062	R_Bin_1
non-regulated	Rucaparib:Q15582	Rucaparib	Q15582	0.0149517511068395	-0.994551491803688	1.0000018878082	695.291875194374	695.291875194374		TRUE	0.996360511865254	0.0384128753631693	-19.7179649434727	-18.676762289613	0.0257478215911085	1	0.0858672895779752	0	0	0	0	1	1	0	0	0	0	Transforming growth factor-beta-induced protein ig-h3	92919263	TGFBI	0.505310300703775	0.025760324840102	0.0685875258828321	-0.0171486418228937	-0.150217196249541	R_Bin_1
non-regulated	Rucaparib:P17600;Q92777	Rucaparib	P17600;Q92777	0.0172665559588382	-0.994358508698927	1.00000322289931	722.51784069808	722.51784069808		TRUE	0.99513069852002	0.0443660900660079	-17.9889720505152	-16.9477693966555	0.0297298716434632	1	0.0991641133752149	0	0	0	0	1	1	0	0	0	0	Synapsin-1	71547713	SYN1;SYN2	0.453230966090851	0.0297493544937629	0.0791659171326909	-0.0197945982088177	-0.15135692400359	R_Bin_1
non-regulated	Rucaparib:Q9NXB0	Rucaparib	Q9NXB0	0.00207325444193866	-0.944475872209117	1.00000000436782	322.191748662975	322.191748662975	347730.085541324	TRUE	0.996003958717549	0.0397044520031581	-19.3211174646786	-18.2799148108189	0.0301015210515898	1	0	0.0647624916293961	0.0383860102154939	0.0415578554080414	0	1	0	1	3	2	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.566858605246321	0.0289002759412228	0.0359030043225739	0.0242999267319196	-0.140048654719708	R_Bin_1
