.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Onatasertib:P0DMW3	Onatasertib	P0DMW3	-19.775906450001	0.390365996675995	61.846651527385	249.165226119101	249.165226119101	46803.5484838175	FALSE	0.999701082670796	0.867683117902506	17.6912415823775	18.7324442362372	20.1017546009459	1	0.561461638754539	0	0	62.4791263375884	61.2141767460833	1	1	0	0	1	1	Small integral membrane protein 10-like protein 1	5120200	SMIM10L1	0.0543617293425429	0.500000443238987	0.390365996675995	61.846651527385	13.9092536521977	R_Bin_1
non-regulated	Onatasertib:P29966	Onatasertib	P29966	-7.25102906911097	1.10798340800108	91.8864248894032	6864.0060060342	6864.0060060342	128713.817531044	FALSE	0.998173917152076	2.35264474219982	29.6608674232587	30.7020700771185	4.15174524594365	1	0	3.98782604024464	0	0.551764609552082	86.320720116552	1	0	1	0	1	1	Myristoylated alanine-rich C-kinase substrate	11781721	MARCKS	0.13251470964441	0.832140088756567	1.10798340800108	86.3206699245859	12.1220305248906	R_Bin_1
non-regulated	Onatasertib:Q9BST9	Onatasertib	Q9BST9	-6.50641719742609	0.373344030800788	80.9925144270195	7680.99334746511	7680.99334746511	22230.6825496071	FALSE	0.999729221236713	0.726004277365291	15.5519935427441	16.5931961966038	2.40511902633375	1	0	0.866502203982664	0	0	68.7138865456747	1	0	1	0	0	1	Rhotekin	1604295	RTKN	0.038628805321054	0.373413936532324	0.373344030800788	68.7137352347865	9.64865515783974	R_Bin_1
non-regulated	Onatasertib:Q96Q42	Onatasertib	Q96Q42	0.00063717617097033	-0.999274953545547	0.998126788708184	2716.86730332438	2716.86730332438		TRUE	0.999921937468642	0.00568228225886646	-42.6504418371693	-41.6092391833096	0.000842858376669821	1	0.00434052556597484	0.00443242683669153	0.00537608126736508	0.00420951600679355	0	4	3	4	4	1	0	Alsin	27879058740.5	ALS2	0.997697620874904	0.00384442304132732	0.00267440737614511	-0.000988696975711356	-0.142841410692768	R_Bin_1
non-regulated	Onatasertib:Q6ZYL4	Onatasertib	Q6ZYL4	0.0023545028981204	-0.993550930792727	0.99999998624815	640.488282759627	640.488282759627	657047.246326556	TRUE	0.999380565564931	0.0159842653188105	-30.2394194856805	-29.1982168318208	0.00675462705924635	1	0	0.0270183852468138	0	0	0	1	0	1	0	0	0	General transcription factor IIH subunit 5	56249852	GTF2H5	0.409311844461499	0.00810561139887861	0.0135092828861121	-2.44877142563382e-07	-0.143629096721338	R_Bin_1
non-regulated	Onatasertib:P12277;P06732	Onatasertib	P12277;P06732	0.000429084111971621	-0.982274746330571	0.999985706873305	91.0670207927356	91.0670207927356		TRUE	0.99928060116382	0.017166612005844	-29.3830813167469	-28.3418786628872	0.00908039239295729	1	0	0.0212694569751713	0	0.022858003892452	0	1	0	1	0	1	0	Creatine kinase B-type	414098416	CKB;CKM	0.768099258122282	0.0108795381853658	0.0103044406289298	0.00785634369968546	-0.141505584151366	R_Bin_1
non-regulated	Onatasertib:Q96BR1	Onatasertib	Q96BR1	0.00373267309620711	-0.990037858447255	0.999994826824569	684.187414487685	684.187414487685	10.0000000015577	TRUE	0.99844132515926	0.0252889295764373	-24.734276529301	-23.6930738754412	0.010687386361043	1	0	0.0427462766076912	0	0	0	1	0	1	0	0	0	Serine/threonine-protein kinase Sgk3	98995152.6	SGK3	0.516628293681248	0.0128253521233372	0.0213761389312478	-2.2445399459059e-06	-0.144078465045934	R_Bin_1
non-regulated	Onatasertib:Q9NXB0	Onatasertib	Q9NXB0	0.00741460731011151	-0.990472674088478	1.00002908598208	585.39958599586	585.39958599586	12303.308534871	TRUE	0.999709028724114	0.0108926682688436	-34.8415982108599	-33.8003955570001	0.0155442261772911	1	0.0284401218266505	0.0281214029804186	0	0	0	1	1	1	0	0	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.56792018419033	0.00701063861667925	0.0367748551925295	-0.00569293702686613	-0.146098336241725	R_Bin_1
non-regulated	Onatasertib:Q99704	Onatasertib	Q99704	0.000531748199590607	-0.931842020409274	0.991232717882007	616.562744383231	616.562744383231		TRUE	0.978369908525398	0.091927277484078	-9.24670370712357	-8.20550105326385	0.0304546944047559	1	0.0650847204259478	0	0	0.143546942663724	0	1	2	0	0	1	0	Docking protein 1	63388729	DOK1	0.430416986441545	0.0322480352990438	0.0319263186602624	0.0289830677781265	-0.136131809522476	R_Bin_1
non-regulated	Onatasertib:O43157	Onatasertib	O43157	0.000622062137675739	-0.933823570082982	1.00168400595811	660.293697933461	660.293697933461		TRUE	0.970267627344564	0.10909783467285	-7.19173678963245	-6.15053413577272	0.0348449021657284	1	0	0	0.172471141385343	0	0	1	0	0	1	0	0	Plexin-B1	11525293.3333333	PLXNB1	0.129572780762343	0.0355379832860477	0.0365776007007058	0.0331121997219684	-0.137929395960419	R_Bin_1
