.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Tacedinaline:Q6IPM2	Tacedinaline	Q6IPM2	-5.89141148540236	0.200604207359982	71.4164329019966	7367.63349545407	7367.63349545407		FALSE	0.999742945604963	0.632544084228901	13.8983216635037	14.9395243173634	2.25663106891112	1	0	0	0	0	61.3122244709059	1	0	0	0	0	1	IQ domain-containing protein E	2939981	IQCE	0.0455693006816461	0.200604207715081	0.200604207359982	61.3122995801289	8.61603206727227	R_Bin_1
up	Tacedinaline:P49336	Tacedinaline	P49336	-1.0772831325111	0.921229945766401	4.63627558805444	292.876164856402	292.876164856402	35.1616583855653	FALSE	0.999035377552602	0.0794859103918281	-10.9917199970639	-9.95051734320414	2.06718125769595	1	0.907401792710939	0.943992933812935	1.83104061188864	3.84147536096611	4.56276330751303	4	4	4	3	2	3	Cyclin-dependent kinase 8	60823135.8333333	CDK8	0.429437010855844	0.0217679190827695	0.92191430465716	4.55525918002312	0.785802426297325	R_Bin_1
non-regulated	Tacedinaline:Q9BST9	Tacedinaline	Q9BST9	-5.62419106829855	0.201974373322485	63.6011442778654	7381.32118884581	7381.32118884581	23983.5429099699	FALSE	0.999666706173779	0.632596169402616	13.8993097311636	14.9405123850233	2.04213733340394	1	0	0	0	0	53.8718036892873	1	0	0	0	0	1	Rhotekin	1604295	RTKN	0.0439283009341076	0.201974374309472	0.201974373322485	53.8716555709937	7.55311481275533	R_Bin_1
non-regulated	Tacedinaline:O60936	Tacedinaline	O60936	0.000224777333489575	-0.98895527869013	0.999854229400281	792.530168695051	792.530168695051		TRUE	0.999310913574738	0.0168601548016492	-29.5992397257095	-28.5580370718498	0.00580949312761076	1	0	0	0.0266274018436381	0	0	1	0	0	1	0	0	Nucleolar protein 3	334040407	NOL3	0.737944963393083	0.00606682960985605	0.00645283411787856	0.00516615193646564	-0.142096359947325	R_Bin_1
non-regulated	Tacedinaline:Q9NXB0	Tacedinaline	Q9NXB0	0.00406257099298558	-0.989158904526243	0.999999988280737	683.117004150539	683.117004150539	398750.62869194	TRUE	0.998152447399686	0.0275164831122645	-23.7212548030411	-22.6800521491814	0.0116280554663275	1	0	0.046511583110024	0	0	0	1	0	1	0	0	0	Meckel syndrome type 1 protein	129151821.666667	MKS1	0.572961373390558	0.0139539503321479	0.0232561434553029	-1.16382387627123e-06	-0.144186045231715	R_Bin_1
up, low confidence	Tacedinaline:Q96SZ6	Tacedinaline	Q96SZ6	-4.6984200135287	0.855365275323654	1010.84345708178	18058.2573407389	18058.2573407389	93688.0604846122	FALSE	0.998938036808204	1.24538565869628	22.02772898823	23.0689316420897	1.9883458626979	1	2.07909937589785	0	1.19898152044254	0	60.0286974530224	1	1	0	1	0	1	Mitochondrial tRNA methylthiotransferase CDK5RAP1	10172308	CDK5RAP1	0.116763443574855	0.599490747618482	0.855365275323654	60.0285686641077	8.28871916165317	R_Bin_1
non-regulated	Tacedinaline:O14678	Tacedinaline	O14678	0.000615167192665689	-0.976132887893018	1.00190906968813	652.895501168015	652.895501168015		TRUE	0.99549616649354	0.0428300050552479	-18.4118104193042	-17.3706077654445	0.0138090872397192	1	0	0	0.067640998089877	0	0	1	1	0	1	0	0	Lysosomal cobalamin transporter ABCD4	9761073	ABCD4	0.110325675334511	0.0145095484629947	0.0155602360924465	0.0120579345380086	-0.140924542911718	R_Bin_1
non-regulated	Tacedinaline:Q6AI39	Tacedinaline	Q6AI39	0.0123534662540482	-0.99474759791427	1.00000348195724	653.598131452428	653.598131452428		TRUE	0.997525588303836	0.0317322759796553	-22.010665343935	-20.9694626900753	0.0212757589706047	1	0.0709409596427052	0	0	0	0	1	1	0	0	0	0	BRD4-interacting chromatin-remodeling complex-associated protein-like	197984802	BICRAL	0.649583438525625	0.0212826740850808	0.0566955550426581	-0.0141754350331249	-0.148937796540803	R_Bin_1
non-regulated	Tacedinaline:Q96BR1	Tacedinaline	Q96BR1	0.0011663995499761	-0.944105640428545	0.999999583684008	2220.88002848498	2220.88002848498	927149.789042255	TRUE	0.998049660750158	0.0276873429542498	-23.646972826702	-22.6057701728423	0.0303572960481078	1	0.051405290132561	0.0251532653162225	0	0.0290139227084608	0.0429591915221807	1	1	1	0	1	2	Serine/threonine-protein kinase Sgk3	98995152.6	SGK3	0.521837919717243	0.0174776141143199	0.033620589317196	0.0270939665656864	-0.139358040285075	R_Bin_1
non-regulated	Tacedinaline:Q3SXY8	Tacedinaline	Q3SXY8	0.0131972874042433	-0.965780741483995	0.999998183530061	710.749165039719	710.749165039719	135197.235450068	TRUE	0.980600879659753	0.0882076213389662	-9.74235690697614	-8.70115425311642	0.037282662696466	1	0	0.149106204524733	0	0	0	2	0	1	0	0	0	ADP-ribosylation factor-like protein 13B	44025467.25	ARL13B	0.372128250441808	0.0447485125639268	0.0745645286800516	-3.79636805284411e-05	-0.147117320129278	R_Bin_1
