.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Nocodazole:Q99075	Nocodazole	Q99075	-5.79797935435354	0.199599033956504	246.455607910144	7204.53612150692	7204.53612150692	23908.8096649484	FALSE	0.999979057982229	0.632872528832643	13.9045509721641	14.9457536260239	7.74632759371257	0	0	1	0	0	214.443700984341	0	0	1	0	0	1	Proheparin-binding EGF-like growth factor	0	HBEGF	0	0.199599036045778	0.199599033956504	214.443701547363	30.606242997763	R_Bin_1
up	Nocodazole:O95822	Nocodazole	O95822	-5.09008892457342	0.820158081016262	4.07586565379236	78.544803019719	78.544803019719	86.0528531200554	FALSE	0.990845647135327	0.253877862848332	2.9435622221169	3.98476487597663	2.19078593459306	1	0.882870580458193	0.577690077740343	3.33909800577632	4.20584175041189	3.94585964049316	3	3	3	5	3	4	Malonyl-CoA decarboxylase, mitochondrial	63729358.3333333	MLYCD	0.461548304542546	0.129994924509042	0.820158081016268	4.07586565372947	0.784560561153225	R_Bin_1
up	Nocodazole:Q96HE9	Nocodazole	Q96HE9	-4.73513427447209	1.00460722446105	3.72972614163082	80.0110231258277	80.0110231258277	54.8922079552324	FALSE	0.998230853921612	0.0923990444394237	-9.18527769084413	-8.14407503698441	2.14748437719828	1	1.05227640577165	0.961691281131215	3.02642706094651	3.81010103049982	3.64932408597975	2	2	1	3	2	3	Proline-rich protein 11	9940818.75	PRR11	0.123864363403711	0.0453646380104803	1.0046072244611	3.72972614130981	0.673852288111387	R_Bin_1
up	Nocodazole:O14965	Nocodazole	O14965	-4.78193714031069	0.916110388253309	3.75772518031973	79.0197625939369	79.0197625939369	105.394457532145	FALSE	0.990732797763776	0.222002654536311	1.33359473486075	2.37479738872047	2.11092064234526	1	0.939588593170588	0.808875701435314	3.06187424751556	3.55839606067512	3.95703722032898	6	5	4	8	9	8	Aurora kinase A	90325354.3333333	AURKA	0.530134357005758	0.0956345257362599	0.916110388253349	3.75772518006815	0.711274487149678	R_Bin_1
up	Nocodazole:O95235	Nocodazole	O95235	-4.49240586016356	0.906346165891557	3.54467167441065	77.5291670892093	77.5291670892093	156.013258098219	FALSE	0.984654419180807	0.266232120875636	3.51374542233876	4.55494807619849	2.0200428621294	1	0.878395233317507	0.841233331351116	2.90703650774051	3.29170838338184	3.79756614387363	16	15	15	26	29	30	Kinesin-like protein KIF20A	361830315.833333	KIF20A	0.76980166346769	0.0795165073372841	0.906346165891833	3.54467167353979	0.665530667027158	R_Bin_1
up	Nocodazole:P53350	Nocodazole	P53350	-4.43130765839202	0.892540337940721	3.48147816543827	69.068211193805	69.068211193805	204.299038207763	FALSE	0.974603160417624	0.344548230587225	6.60813165310956	7.64933430696929	2.01137034197959	1	0.833220630711388	0.844855879928391	3.06092651493371	3.1497587878297	3.81316168763368	14	11	11	20	19	19	Serine/threonine-protein kinase PLK1	377202048	PLK1	0.775943698016635	0.0833896937995079	0.892540337941399	3.48147816474914	0.663756958415104	R_Bin_1
non-regulated	Nocodazole:Q6ZYL4	Nocodazole	Q6ZYL4	0.00830697965560835	-0.977717530813343	0.999999642078616	662.063931383995	662.063931383995	196511.140526755	TRUE	0.992273542913956	0.0559142676602515	-15.2128423389708	-14.1716396851111	0.023630038755369	1	0	0.0945143631680569	0	0	0	1	0	1	0	0	0	General transcription factor IIH subunit 5	24172646	GTF2H5	0.280230326295585	0.0283583735033211	0.0472600328165904	-9.46861390749287e-06	-0.145557553233373	R_Bin_1
non-regulated	Nocodazole:O15085	Nocodazole	O15085	0.00024859968214865	-0.949364532079396	1.00299629388477	298.008894660429	298.008894660429		TRUE	0.994545232073433	0.046732582268676	-17.3653779609633	-16.3241753071036	0.027088074195937	1	0	0.0397603512341691	0.0720874499424812	0	0	1	0	1	1	0	0	Rho guanine nucleotide exchange factor 11	208338174	ARHGEF11	0.682789507357646	0.0270880741922411	0.0277865577651065	0.0263895904409985	-0.141933511465477	R_Bin_1
non-regulated	Nocodazole:Q96BF3	Nocodazole	Q96BF3	0.000423157908010244	-0.943731233398965	0.999990670625827	651.184643852507	651.184643852507		TRUE	0.979234637097919	0.0912850885214318	-9.33082793170672	-8.28962527784699	0.0287517174688224	1	0	0	0.144322046605873	0	0	1	0	0	1	0	0	Transmembrane and immunoglobulin domain-containing protein 2	24865844	TMIGD2	0.286244401791427	0.0292251871374911	0.0299353902962378	0.0275680434114287	-0.138733655811261	R_Bin_1
non-regulated	Nocodazole:O60674	Nocodazole	O60674	0.0107580023885929	-0.971736334149272	0.999999219455654	693.281271428449	693.281271428449	160051.241643588	TRUE	0.987063981890365	0.0721610549717514	-12.1518713886667	-11.1106687348069	0.0304979778580752	1	0	0.121978827799208	0	0	0	1	0	1	0	1	0	Tyrosine-protein kinase JAK2	38032205	JAK2	0.36852207293666	0.0366026597858528	0.0609957959526148	-2.07432732930446e-05	-0.146342252222835	R_Bin_1
non-regulated	Nocodazole:Q8WVE0	Nocodazole	Q8WVE0	0.0114458104056246	-0.970338440670565	0.999999001868354	717.152376155888	717.152376155888	155826.073815272	TRUE	0.98536485570839	0.07670868952858	-11.41849740269	-10.3772947488302	0.0324206437319851	1	0	0.129666670766873	0	0	0	1	0	1	0	0	0	EEF1A lysine methyltransferase 1	40436323	EEF1AKMT1	0.379014715291107	0.0389109184394574	0.0648409477990074	-2.50883744873365e-05	-0.146561904879054	R_Bin_1
non-regulated	Nocodazole:Q9UHJ3	Nocodazole	Q9UHJ3	0.0197706206571605	-0.993390015430078	1.00000606165745	717.45487238015	717.45487238015		TRUE	0.993600963552215	0.0507893814490981	-16.3664296614846	-15.3252270076249	0.0340235172382175	1	0.113506447361999	0	0	0	0	1	1	0	0	0	0	Scm-like with four MBT domains protein 1	39916770	SFMBT1	0.375943698016635	0.0340526666539992	0.0905590239735598	-0.0226442509598986	-0.152586266916743	R_Bin_1
non-regulated	Nocodazole:Q969H6	Nocodazole	Q969H6	0.0208975179440856	-0.992975799088849	1.00000705564634	716.368118840903	716.368118840903		TRUE	0.992843650998348	0.0536809260806322	-15.7019844025266	-14.6607817486668	0.0359540822228947	1	0.11996096682939	0	0	0	0	1	2	0	0	0	1	Ribonuclease P/MRP protein subunit POP5	34286330.6666667	POP5	0.346001279590531	0.0359884707838261	0.0956773985400257	-0.0239252468838427	-0.153139511442519	R_Bin_1
non-regulated	Nocodazole:O95158	Nocodazole	O95158	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neurexophilin-4	0	NXPH4	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nocodazole:O96018	Nocodazole	O96018	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Amyloid-beta A4 precursor protein-binding family A member 3	0	APBA3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nocodazole:P05412	Nocodazole	P05412	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Transcription factor AP-1	0	JUN	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nocodazole:P16152	Nocodazole	P16152	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carbonyl reductase [NADPH] 1	0	CBR1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Nocodazole:P30307	Nocodazole	P30307	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	3	M-phase inducer phosphatase 3	0	CDC25C	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
