.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Paclitaxel:P0DJ93	Paclitaxel	P0DJ93	-5.65599342568372	0.428274138331358	5.99680767131489	8.66495178855741	8.66495178855741	22.9601570407688	FALSE	0.963468374302212	0.831195530813184	17.1757034205837	18.2169060744434	3.83857930582801	1	0	4.28298518168869	5.34699371174283	5.97639912091045	6.66672672782106	1	0	1	1	1	1	Small integral membrane protein 13	2406700	SMIM13	0.0299145299145299	0.500013826381793	0.428274138392417	5.99680767131489	1.35219541519688	R_Bin_1
up	Paclitaxel:O14965	Paclitaxel	O14965	-12.9823245281493	1.10575055592107	4.20740002704806	1.63980905868195	1.63980905868195		FALSE	0.923900371241434	0.72622916853035	15.5557101545738	16.5969128084335	3.4536680208539	1	1.21671092332795	4.55891431456912	4.36813569984261	4.56427738819645	3.3381155761593	6	6	11	11	11	11	Aurora kinase A	101157673.5	AURKA	0.574157868275515	0.256124980257061	1.10575055592107	4.20740002704806	0.615499961733585	R_Bin_1
up	Paclitaxel:P53350	Paclitaxel	P53350	-6.76827183534499	0.973104239684345	3.48373413458029	2.67177030420234	2.67177030420234	12.2777797852101	FALSE	0.961539990502566	0.409675230524086	8.68569936638653	9.72690202024625	2.7671934755273	1	0.949745609452361	3.73695329947956	3.61052957043078	3.59504352305094	2.99232589845432	18	18	24	22	22	26	Serine/threonine-protein kinase PLK1	469652274.833333	PLK1	0.823026646556058	0.119052412188812	0.973104240237464	3.48373413458029	0.507745700114816	R_Bin_1
up	Paclitaxel:Q8TF50	Paclitaxel	Q8TF50	0.0273672088800329	4.44921484590224	1.00000600180938	571.2918076073	571.2918076073		FALSE	0.940911467976732	0.274025914264878	3.85999481910127	4.90119747296099	2.656491291818	1	2.59007972355679	2.52929263968213	2.64488891822742	3.05541815465246	2.59819070878457	1	1	1	1	1	1	Zinc finger protein 526	21527858.75	ZNF526	0.28720462543992	0.146942965221453	2.52141743412699	2.79212606894309	0.271501860450147	R_Bin_1
up	Paclitaxel:Q9BW19	Paclitaxel	Q9BW19	-7.00997203195094	0.992445715418697	3.07456906496238	1.71260128125218	1.71260128125218	4.82338924937384	FALSE	0.965740765322187	0.316626224438068	5.5939863704388	6.63518902429852	2.56073871587461	1	1.03157758357811	3.23985759794653	3.2339094339915	3.13033581628375	2.69435174895368	12	14	18	17	21	16	Kinesin-like protein KIFC1	375590733.333333	KIFC1	0.792106586224233	0.107553560175677	0.992445720102629	3.07456906496238	0.421773865112294	R_Bin_1
up	Paclitaxel:O75330	Paclitaxel	O75330	-7.42540084103267	0.99816287506738	2.99170814836749	1.47003094166572	1.47003094166572	3.46444451065788	FALSE	0.977127912834119	0.242436947550591	2.39022266242278	3.43142531628251	2.52617826403823	1	1.10409355166109	3.13256850343296	2.98912814941393	3.13257660201756	2.71268927176836	10	9	12	15	14	13	Hyaluronan mediated motility receptor	238365786.833333	HMMR	0.720588235294118	0.0717208311350766	0.998162879350489	2.99170814836749	0.414441575882634	R_Bin_1
up	Paclitaxel:O95235	Paclitaxel	O95235	-6.7600780726854	0.939777654111543	3.19742024050371	3.17144996114663	3.17144996114663	14.8286970618317	FALSE	0.96877171440091	0.330830081149922	6.1205813876133	7.16178404147303	2.51946932925384	1	0.880691524654664	3.25157664802084	3.37558659897539	3.3542638404256	2.80717874617314	18	14	26	27	26	26	Kinesin-like protein KIF20A	454404976	KIF20A	0.817998994469583	0.108532972825005	0.93977765427188	3.19742024050371	0.47373201797523	R_Bin_1
up	Paclitaxel:P14635	Paclitaxel	P14635	-2.80047300371987	0.99969764421875	3.13320745092231	3.80911085556209	3.80911085556209	8.02177691708735	FALSE	0.937140997037868	0.439417770435236	9.52672988441495	10.5679325382747	2.45858602121089	1	1.0486260680509	2.99943193765077	3.08482181543576	3.59463179277363	2.71975413409036	4	4	4	4	4	4	G2/mitotic-specific cyclin-B1	295371146.5	CCNB1	0.753393665158371	0.0242385049190619	0.999777448198414	3.13320745035505	0.466347934925857	R_Bin_1
up	Paclitaxel:Q96HE9	Paclitaxel	Q96HE9	-4.74356768791967	0.946114198356865	3.12395758988055	5.49234469725753	5.49234469725753	20.3598752498031	FALSE	0.948992045020345	0.406896890388825	8.60404041814349	9.64524307200322	2.36610737613564	1	0.892469416132165	3.00434854035945	3.3499670281661	3.36315728915991	2.65814859402532	1	1	3	3	2	3	Proline-rich protein 11	13946561.5	PRR11	0.205505279034691	0.140165365188469	0.94611421052903	3.12395758988055	0.458526430771899	R_Bin_1
up	Paclitaxel:P00747;P08519	Paclitaxel	P00747;P08519	-4.67425971075492	0.944341578688809	3.26135347873755	9.20574457439837	9.20574457439837	1.92980156579574	FALSE	0.999020105049156	0.0562082434554595	-15.1499162130555	-14.1087135591957	2.35115423905942	1	0.888749125614856	2.32416795926505	3.27011450633239	3.25870427296697	3.25519240143575	2	1	3	4	3	4	Plasminogen	16628032.8333333	PLG;LPA	0.24069884364002	0.00747771089003479	0.944341580217806	3.26135347873754	0.552336399894355	R_Bin_1
up	Paclitaxel:Q96EY8	Paclitaxel	Q96EY8	0.0495315063820406	3.90838587477903	0.999926915771874	799.597460872721	799.597460872721		FALSE	0.970930023740267	0.157386927152751	-2.79419000404592	-1.7529873501862	2.33884242567086	1	2.17059305485318	2.3688352130701	2.28139915418359	2.62067006075546	2.45756999159834	3	2	4	2	3	5	Corrinoid adenosyltransferase	33246393.6666667	MMAB	0.367395676219206	0.0927002661096812	2.13574002717182	2.54502033795125	0.244304140480344	R_Bin_1
up	Paclitaxel:P62312	Paclitaxel	P62312	0.00213819515775868	3.66497034747914	0.999997870907497	552.572512068516	552.572512068516	1179424.88087047	FALSE	0.949702971993287	0.197585527237597	-0.0646188563178356	0.97658379754189	2.3284089308241	1	2.42649064018292	2.33689514652774	2.16623189206743	2.21858896369637	2.5020384631296	2	1	1	1	1	1	U6 snRNA-associated Sm-like protein LSm6	130284799.5	LSM6	0.619281045751634	0.139278605646947	2.32020879997337	2.33660926742152	0.191880686620801	R_Bin_1
non-regulated	Paclitaxel:P41182	Paclitaxel	P41182	-7.61270768468531	1.6650276222021	31.0196031477294	7999.29998788769	7999.29998788769	393263.887641767	FALSE	0.969123473908004	2.85948924770864	32.0021023025839	33.0433049564437	2.29278615874954	1	2.56911816749826	4.75518442281257	0	0	26.4830122146855	1	2	1	0	0	1	B-cell lymphoma 6 protein	8050245.5	BCL6	0.112745098039216	1.28455908374918	1.6650276222021	26.4830123647435	3.28435777566058	R_Bin_1
non-regulated	Paclitaxel:Q96JQ2	Paclitaxel	Q96JQ2	-6.05590493467074	0.201088863934243	68.7328345268908	7221.53412235771	7221.53412235771	28701.3321641037	FALSE	0.999734716344839	0.6325267244212	13.897992325903	14.9391949797627	2.27253324878952	1	0	0	0	0	60.3549892450164	1	0	0	0	0	1	Calmin	1358961	CLMN	0.0251382604323781	0.201088864124429	0.201088863934243	60.3549053928846	8.47928417785948	R_Bin_1
