.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Crizotinib:Q96GS6	Crizotinib	Q96GS6	0.00465059142368836	-0.983137996052492	1.0000089840899	286.794077382441	286.794077382441	76710.8210596662	TRUE	0.997622186699971	0.0311767261025944	-22.2226150367985	-21.1814123829387	0.0135189567919991	1	0	0.0530476915665433	0.00127967132649189	0	0	1	0	1	1	0	0	Alpha/beta hydrolase domain-containing protein 17A	8441130691	ABHD17A	0.98969470565503	0.0155336275235466	0.0267898935803588	0.00024680596759985	-0.144336229149716	R_Bin_1
non-regulated	Crizotinib:O15231	Crizotinib	O15231	0.00960279352980388	-0.990763634068721	1.0000033850595	826.962733692958	826.962733692958	55801.9589961264	TRUE	0.999489173963191	0.0143889055639031	-31.5011877829899	-30.4599851291302	0.0202134740434279	1	0.0364409749478866	0.0371410642198519	0	0	0	1	1	2	0	0	0	Zinc finger protein 185	726294451.5	ZNF185	0.872858431018936	0.00935769234197083	0.0477032531854814	-0.00729217533754678	-0.147041828258957	R_Bin_1
non-regulated	Crizotinib:Q8IWC1	Crizotinib	Q8IWC1	0.0108985189342373	-0.971614988729867	0.999999080589688	709.269683113725	709.269683113725	160918.87931394	TRUE	0.986722953619427	0.0730968016970117	-11.9972619748335	-10.9560593209737	0.0308935579994985	1	0	0.123560729409515	0	0	0	1	0	1	0	1	0	MAP7 domain-containing protein 3	36293306	MAP7D3	0.372665206749968	0.0370775697295541	0.061786851253962	-2.16264792773924e-05	-0.1463874494117	R_Bin_1
non-regulated	Crizotinib:Q86U28	Crizotinib	Q86U28	0.0199202434013374	-0.993335736880741	1.00000582830748	717.315545143654	717.315545143654		TRUE	0.993502786416018	0.0511736109451574	-16.2759894798214	-15.2347868259617	0.034279567193789	1	0.114364196261027	0	0	0	0	1	1	0	0	0	0	Iron-sulfur cluster assembly 2 homolog, mitochondrial	12883890.5	ISCA2	0.176735798016231	0.0343093795338839	0.0912386225356199	-0.0228147552268156	-0.152659788250945	R_Bin_1
non-regulated	Crizotinib:A2RU49	Crizotinib	A2RU49	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Hydroxylysine kinase	0	HYKK	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:O43361	Crizotinib	O43361	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 749	0	ZNF749	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:O94808	Crizotinib	O94808	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	0	GFPT2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:O94886	Crizotinib	O94886	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	CSC1-like protein 1	0	TMEM63A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:O95455	Crizotinib	O95455	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	dTDP-D-glucose 4,6-dehydratase	0	TGDS	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:P13646	Crizotinib	P13646	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type I cytoskeletal 13	0	KRT13	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:P51513	Crizotinib	P51513	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	RNA-binding protein Nova-1	0	NOVA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:P52741	Crizotinib	P52741	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Zinc finger protein 134	0	ZNF134	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:P58005	Crizotinib	P58005	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	1	1	Sestrin-3	0	SESN3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:P61020	Crizotinib	P61020	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Ras-related protein Rab-5B	0	RAB5B	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:Q11201	Crizotinib	Q11201	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	0	ST3GAL1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:Q12815	Crizotinib	Q12815	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tastin	0	TROAP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:Q14164	Crizotinib	Q14164	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Inhibitor of nuclear factor kappa-B kinase subunit epsilon	0	IKBKE	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:Q14678	Crizotinib	Q14678	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	KN motif and ankyrin repeat domain-containing protein 1	0	KANK1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Crizotinib:Q15714	Crizotinib	Q15714	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	TSC22 domain family protein 1	0	TSC22D1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
