.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	Ricolinostat:Q8NDV3	Ricolinostat	Q8NDV3	-10.5777526100525	0.000298199166279	37.4306464545821	140.499759195376	140.499759195376	7807.95242056448	FALSE	0.83644229255457	13.4268074043426	50.5614251455399	51.6026277993996	13.8678973394498	0	0	0	1	50.8570767841498	24.0034620749924	0	0	1	1	1	1	Structural maintenance of chromosomes protein 1B	0	SMC1B	0	0.000685788558053644	0.000298199166279	37.4306464545821	7.81681544935461	R_Bin_1
non-regulated	Ricolinostat:Q6P280	Ricolinostat	Q6P280	0.00231095555357556	-0.992414493047322	1.00000000667524	146.041246416588	146.041246416588	74221.4759802661	TRUE	0.99985702862785	0.00768648946648382	-39.025107259464	-37.9839046056043	0.00555391804642416	1	0.00536116764213058	0.0157823206291144	0	0	0	1	1	2	0	0	0	Zinc finger protein 529	240851634	ZNF529	0.7109375	0.00419857780320937	0.0121799851033291	-0.00107225287692347	-0.143767594958729	R_Bin_1
non-regulated	Ricolinostat:Q5T2S8	Ricolinostat	Q5T2S8	0.000663029077737472	-0.974151920117666	1.00193103941968	652.893243552622	652.893243552622		TRUE	0.994798777873933	0.0459960739629668	-17.5560048046115	-16.5148021507518	0.0148812278771637	1	0	0	0.0726451769037722	0	0	1	0	0	1	0	0	Armadillo repeat-containing protein 4	155390368	ARMC4	0.63445060483871	0.0156354393563248	0.0167667513148876	0.012995699625133	-0.140781566374178	R_Bin_1
non-regulated	Ricolinostat:Q9HBK9	Ricolinostat	Q9HBK9	0.00040465620121882	-0.934230646103648	0.985492558630367	672.57126712333	672.57126712333		TRUE	0.989991318892203	0.0636152489241687	-13.664438880404	-12.6232362265443	0.0262246913942024	1	0	0	0.0979532043524715	0	0	1	0	0	1	0	0	Arsenite methyltransferase	89022946	AS3MT	0.533896169354839	0.0266718693592381	0.0273426351372611	0.0251067465774808	-0.140058479875644	R_Bin_1
non-regulated	Ricolinostat:Q9BYB0	Ricolinostat	Q9BYB0	0.000874391721957104	-0.950519787973594	1.00000005958418	1178.82706696937	1178.82706696937	10.0000001501459	TRUE	0.995988079675967	0.039911465742019	-19.2587136003502	-18.2175109464905	0.0262829421768077	1	0	0.0603440296177508	0.0180894862547137	0.0505278109351473	0	1	0	1	1	1	0	SH3 and multiple ankyrin repeat domains protein 3	392602578	SHANK3	0.786920362903226	0.02673656363633	0.0287373626284543	0.0238285086987571	-0.139733460301646	R_Bin_1
non-regulated	Ricolinostat:Q99611	Ricolinostat	Q99611	0.00549062465885844	-0.958000209007229	1.00000064549592	408.82993755594	408.82993755594	9.9999999999635	TRUE	0.99470094244977	0.0459571170013069	-17.5661726642145	-16.5249700103548	0.0278783923679594	1	0.0619408003489894	0	0	0.06198378344848	0	1	1	0	0	2	0	Selenide, water dikinase 2	186108356	SEPHS2	0.666708669354839	0.0278788964400689	0.0433466220256027	0.0124078731720081	-0.142853458591472	R_Bin_1
non-regulated	Ricolinostat:P28562	Ricolinostat	P28562	0.000396014680743143	-0.942371236571678	0.999996316550089	662.10717556727	662.10717556727		TRUE	0.978308845073406	0.0932812508837049	-9.07124774519159	-8.03004509133187	0.0293974343044679	1	0	0	0.147480129900193	0	0	1	0	0	1	0	0	Dual specificity protein phosphatase 1	19418714	DUSP1	0.247479838709677	0.029840224797098	0.0305044094308388	0.0282904581651129	-0.138643424859995	R_Bin_1
non-regulated	Ricolinostat:A0A0B4J2F0	Ricolinostat	A0A0B4J2F0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein PIGBOS1	0	PIGBOS1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:A6NCN2	Ricolinostat	A6NCN2	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Putative keratin-87 protein	0	KRT87P	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O00592	Ricolinostat	O00592	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Podocalyxin	0	PODXL	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O14521	Ricolinostat	O14521	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	0	SDHD	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O14732	Ricolinostat	O14732	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Inositol monophosphatase 2	0	IMPA2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O60262	Ricolinostat	O60262	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	0	GNG7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O60296	Ricolinostat	O60296	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Trafficking kinesin-binding protein 2	0	TRAK2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O75052	Ricolinostat	O75052	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	0	NOS1AP	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O75716	Ricolinostat	O75716	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Serine/threonine-protein kinase 16	0	STK16	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O94851	Ricolinostat	O94851	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	[F-actin]-monooxygenase MICAL2	0	MICAL2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Ricolinostat:O95049	Ricolinostat	O95049	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Tight junction protein ZO-3	0	TJP3	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
