.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Oxaliplatin:P12757	Oxaliplatin	P12757	-5.74161312609129	0.250648058839107	10.7948474291959	1022.85793933885	1022.85793933885	536.525542782826	FALSE	0.992215241800065	0.612376561004866	13.5094913334631	14.5506939873228	2.33942598516178	1	0	0	0	5.18121751922515	10.7948969092809	1	0	0	0	1	1	Ski-like protein	483960	SKIL	0.039630627164294	0.250648058854327	0.250648058839107	10.7948256643619	1.84337534583086	R_Bin_1
non-regulated	Oxaliplatin:P12829	Oxaliplatin	P12829	0.000223499130757235	-0.989141209984094	0.999891392366607	792.869816974164	792.869816974164		TRUE	0.99933234156074	0.0165971530818033	-29.7879031804982	-28.7467005266385	0.00573314948721766	1	0	0	0.0262108124962937	0	0	1	0	0	1	0	0	Myosin light chain 4	226870191	MYL4	0.717711940489932	0.00598905132097172	0.00637290385986766	0.00509339491704841	-0.142108262500106	R_Bin_1
non-regulated	Oxaliplatin:P12277;P06732	Oxaliplatin	P12277;P06732	0.000171132488063463	-0.983013945811033	1.00140231533093	657.485759774326	657.485759774326		TRUE	0.997785195724105	0.0301246115601864	-22.6345673656778	-21.593364711818	0.00945181619600863	1	0	0	0	0	0.0471138430941452	1	0	0	0	0	2	Creatine kinase B-type	79020131	CKB;CKM	0.531101705784276	0.00964730456287816	0.00994053702220654	0.00896309528648931	-0.136126593843694	R_Bin_1
non-regulated	Oxaliplatin:A6NKD9	Oxaliplatin	A6NKD9	0.00740883108408413	-0.980082552066321	0.999999540444623	660.719299789858	660.719299789858	179466.725828024	TRUE	0.993850752880335	0.0499392617718479	-16.5689873059112	-15.5277846520515	0.0211035928518191	1	0	0.0844141801075917	0	0	0	1	0	1	0	0	0	Coiled-coil domain-containing protein 85C	71164752	CCDC85C	0.511607028344235	0.025325793608632	0.0422063039415905	-5.87190142509186e-06	-0.145268976574503	R_Bin_1
non-regulated	Oxaliplatin:Q9NXD2	Oxaliplatin	Q9NXD2	0.0127257499078433	-0.994584567342542	1.0000035859465	653.390086237395	653.390086237395		TRUE	0.99737301654271	0.032686805275287	-21.6550194783486	-20.6138168244889	0.0219150768833156	1	0.0730739984022543	0	0	0	0	1	1	0	0	0	0	Myotubularin-related protein 10	118820276	MTMR10	0.603180710529691	0.021922634318301	0.0583965996578217	-0.0146007593411074	-0.149120628434479	R_Bin_1
non-regulated	Oxaliplatin:Q53GT1	Oxaliplatin	Q53GT1	0.00777656098713011	-0.976429159864561	0.999999855529246	650.17447386346	650.17447386346		TRUE	0.996404171402745	0.0380598482373166	-19.8287588423834	-18.7875561885237	0.0234000099521664	1	0.0695689827461366	0	0	0	0.0253176518788271	1	1	0	0	0	1	Kelch-like protein 22	524317267	KLHL22	0.838912402205977	0.0259292940027949	0.0455083356361875	0.00128393030861318	-0.145203391109836	R_Bin_1
non-regulated	Oxaliplatin:P08123	Oxaliplatin	P08123	0.00039237466862301	-0.876457657467564	0.930209363564712	690.08502644499	690.08502644499		TRUE	0.990538414748184	0.0624344452409243	-13.8892717734985	-12.8480691196388	0.0274222188714832	1	0.0303789715295377	0	0	0	0	1	1	0	0	0	0	Collagen alpha-2(I) chain	154092847.5	COL1A2	0.652686930870848	0.0270141490605908	0.0284423928544831	0.0264020439595428	-0.145461054702532	R_Bin_1
non-regulated	Oxaliplatin:Q53S58	Oxaliplatin	Q53S58	0.00036784018229294	-0.942661991031635	0.999997552117499	662.071829912551	662.071829912551		TRUE	0.978596229092241	0.0926662072001052	-9.15063093434208	-8.10942828048236	0.029211134676061	1	0	0	0.146509047246015	0	0	1	0	0	1	0	0	Transmembrane protein 177	37078499	TMEM177	0.379889701167116	0.029622484643137	0.0302395087079295	0.028182759832289	-0.138671170078685	R_Bin_1
non-regulated	Oxaliplatin:Q96GS6	Oxaliplatin	Q96GS6	0.0214151571321672	-0.993305732042958	1.00000785319396	733.687564702949	733.687564702949		TRUE	0.992477351839201	0.0550242082069351	-15.4053984838513	-14.3641958299916	0.0368502807971825	1	0.122958269127499	0	0	0	0	1	1	0	0	0	0	Alpha/beta hydrolase domain-containing protein 17A	8441130691	ABHD17A	0.98973964345261	0.0368875716125917	0.0980504995191423	-0.0245191069070448	-0.153396423068071	R_Bin_1
non-regulated	Oxaliplatin:A2RU30	Oxaliplatin	A2RU30	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Protein TESPA1	0	TESPA1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
