.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	TG-100-115:P0C0L4;P0C0L5	TG-100-115	P0C0L4;P0C0L5	0.000643366888173552	-0.974919996547509	1.0019004664701	652.906206373838	652.906206373838		TRUE	0.995088732524801	0.0447075720134022	-17.8969627326391	-16.8557600787793	0.0144528607028023	1	0	0	0.070609455665199	0	0	1	0	0	1	0	0	Complement C4-A	17764934	C4A;C4B	0.257649556637942	0.015184979135525	0.0162831519768429	0.0126225650285178	-0.140839729838137	R_Bin_1
up	TG-100-115:P00374	TG-100-115	P00374	-1.13388460739603	1.04070427791221	4.00473067587984	268.084448939397	268.084448939397	17.8331675836383	FALSE	0.999682397611283	0.0369870251642051	-20.1718711763141	-19.1306685224544	1.97622708840133	1	1.07058062508898	1.13052076710887	1.76498358617295	3.4649952670373	3.95403623798671	5	5	6	5	5	5	Dihydrofolate reductase	291663799.833333	DHFR	0.752841263894093	0.0131090639670174	1.04108848143892	3.95657912659823	0.645368226709788	R_Bin_1
up, low confidence	TG-100-115:Q9Y2R2	TG-100-115	Q9Y2R2	-6.50034415659265	0.938816700966727	154.372199672356	10677.1413258018	10677.1413258018	11730.009569134	FALSE	0.99989190989588	0.406858407802633	8.60290545524822	9.64410810910795	1.97532132136412	1	1.09932132605748	0.455047259475585	1.19867160548435	0.941073974683696	61.5611320892444	2	1	1	1	1	1	Tyrosine-protein phosphatase non-receptor type 22	12967279.25	PTPN22	0.197577120019983	0.110843962062013	0.938816700966727	61.5611331691194	8.65927264966027	R_Bin_1
non-regulated	TG-100-115:Q4KMQ1	TG-100-115	Q4KMQ1	0.00050635932337691	-0.936882532807886	0.99998569206707	651.954508863528	651.954508863528		TRUE	0.973757121712097	0.102532219323565	-7.93655232660202	-6.8953496727423	0.0322935411246765	1	0	0	0.162102156993217	0	0	1	0	0	2	0	0	Taperin	51543415	TPRN	0.453353315848632	0.0328581067132189	0.0337049528002361	0.0308821273482357	-0.138225652657337	R_Bin_1
non-regulated	TG-100-115:B3EWF7	TG-100-115	B3EWF7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Laforin, isoform 9	0	EPM2A	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TG-100-115:O15516	TG-100-115	O15516	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Circadian locomoter output cycles protein kaput	0	CLOCK	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TG-100-115:P01031	TG-100-115	P01031	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Complement C5	0	C5	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TG-100-115:P09629	TG-100-115	P09629	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Homeobox protein Hox-B7	0	HOXB7	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TG-100-115:P16260	TG-100-115	P16260	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Graves disease carrier protein	0	SLC25A16	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	TG-100-115:P31327	TG-100-115	P31327	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	0	CPS1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
