.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Prednison:O43301	Prednison	O43301	-5.98278438718194	0.199427553025967	143.477067239121	7077.89705041832	7077.89705041832	15413.3439712442	FALSE	0.999940626518313	0.632642535469638	13.9001892376194	14.9413918914791	4.76004245646616	1	0	0	0	0	127.390555777968	1	0	0	0	0	1	Heat shock 70 kDa protein 12A	4235620	HSPA12A	0.0526836507543903	0.199427553639123	0.199427553025967	127.390411556515	18.0557936825669	R_Bin_1
non-regulated	Prednison:Q9Y5W3;O75840;O43474;Q13887;Q13351;Q99612	Prednison	Q9Y5W3;O75840;O43474;Q13887;Q13351;Q99612	-10.793501773214	0.249755033707988	7.42955391938425	253.795163349515	253.795163349515	9063.9841956847	FALSE	0.812927557933133	2.81236888951928	31.8027118051971	32.8439144590568	2.54111248766569	1	0	0	0	10.1751224391619	4.68537434927862	1	0	0	0	1	1	Krueppel-like factor 2	688221	KLF2;KLF7;KLF4;KLF5;KLF1;KLF6	0.0260944842938412	0.500154622223914	0.249755033707988	7.42955391938425	1.39863540182511	R_Bin_1
non-regulated	Prednison:O95789	Prednison	O95789	0.00997146542506373	-0.985187123689461	0.999999358830184	691.117557798185	691.117557798185		TRUE	0.997528144262042	0.0316126287713479	-22.0559971101685	-21.0147944563088	0.0226649771011224	1	0.0662748418448658	0	0	0.0185689035747507	0	1	2	0	0	1	0	Zinc finger MYM-type protein 6	141466035	ZMYM6	0.638263665594855	0.0217479573400659	0.0511296663387101	-0.00581645669987874	-0.146946223280296	R_Bin_1
non-regulated	Prednison:Q9NS00	Prednison	Q9NS00	0.00040013257597627	-0.928692579379451	0.984559403053468	672.685024771723	672.685024771723		TRUE	0.988145834984604	0.0691721320514301	-12.6595005492945	-11.6182978954348	0.0285185629612002	1	0	0	0.106567349941734	0	0	1	0	0	1	0	0	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	19370938	C1GALT1	0.28023744744002	0.0289592514081313	0.0296202829515518	0.0274168419362337	-0.139812361430236	R_Bin_1
non-regulated	Prednison:Q12894	Prednison	Q12894	-1.87527147552448e-05	1.00023410797335	-0.935094286389289	5.26659513862609e+78	5.26659513862609e+78		TRUE	0.998024846400576	0.0277334952726559	-23.6269865555947	-22.585783901735	0.0341832010543144	1	0.0376290758136461	0.0404430406631323	0	0.0491827374039132	0.0438170628231131	1	1	3	0	1	1	Interferon-related developmental regulator 2	257651761.5	IFRD2	0.736581746228049	0.0123584824151492	0.0342354302440671	0.0341309718582923	-0.136762764050765	R_Bin_1
non-regulated	Prednison:A8MPS7	Prednison	A8MPS7	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Carbohydrate deacetylase	0	YDJC	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Prednison:O00458	Prednison	O00458	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Interferon-related developmental regulator 1	0	IFRD1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Prednison:O15240	Prednison	O15240	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Neurosecretory protein VGF	0	VGF	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Prednison:O43790;P78385;Q14533	Prednison	O43790;P78385;Q14533	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Keratin, type II cuticular Hb6	0	KRT86;KRT83;KRT81	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Prednison:O60381	Prednison	O60381	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HMG box-containing protein 1	0	HBP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
