.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up, low confidence	Tasquinimod:Q8IWT3	Tasquinimod	Q8IWT3	-3.89714288095059	0.880542690341565	52.6175841513056	4183.52087168242	4183.52087168242	18785.0491824781	FALSE	0.99998611802603	0.120303237076768	-6.01849096334887	-4.97728830948914	4.83881777954947	1	0.83504579487093	0.913804655382679	0.773332406894139	1.07551289780912	50.9403975683362	1	1	1	1	2	1	Cullin-9	10552179	CUL9	0.132739987285442	0.0393794286848135	0.880542690341565	50.9403860869342	7.15094048291449	R_Bin_1
up	Tasquinimod:Q8N2M8	Tasquinimod	Q8N2M8	-0.40847315569301	1.00337730560017	2.75563284697185	0.620105112840263	0.620105112840263	2.02907774803515	FALSE	0.818284220634128	0.48649830277643	10.7481236205566	11.7893262744163	2.34022112716293	1	1.99151077940847	2.32614598963793	2.31146596083196	3.22671756168431	2.39873595498736	2	3	1	3	2	2	CLK4-associating serine/arginine rich protein	20228901.6666667	CLASRP	0.249586776859504	0.286479186685706	1.56731560624867	2.72276963461271	0.30527485979881	R_Bin_1
up	Tasquinimod:P16403	Tasquinimod	P16403	-10.3692553514333	0.347596130981137	3.91368522160864	29.4936186823908	29.4936186823908	669.768853771682	FALSE	0.841413002062679	1.34610935649813	22.9610076941467	24.0022103480064	2.1522268453199	1	0	0	5.31436071658842	3.29682152566754	3.12993392013352	2	1	0	2	3	2	Histone H1.2	45223521.6666667	H1-2	0.394914176732359	0.634633782479981	0.347596130981137	3.91368522160864	0.738699854121675	R_Bin_1
non-regulated	Tasquinimod:Q9H6L5	Tasquinimod	Q9H6L5	-4.37906474178209	0.603461750493936	9.85074575206882	1695.67912881575	1695.67912881575	16310.1698254778	FALSE	0.97831330489261	0.875955219830846	17.8051023133846	18.8463049672444	2.02947384380144	1	1.40905108261585	0	0	1.43660702122578	9.8468366225297	1	1	0	0	1	2	Reticulophagy regulator 1	17336891.2	RETREG1	0.217800381436745	0.500000000798995	0.603461750493936	9.84684564034524	1.26619574081367	R_Bin_1
non-regulated	Tasquinimod:Q6IQ26	Tasquinimod	Q6IQ26	0.00317042737049253	-0.998583890860027	1.00000000293472	639.610009421218	639.610009421218	10.0000000143701	TRUE	0.999839220867761	0.0081562785145763	-38.3132213285156	-37.2720186746559	0.00547122003874918	1	0.018237748784693	0	0	0	0	1	1	0	0	0	0	DENN domain-containing protein 5A	64057103	DENND5A	0.462301335028608	0.00547133643184561	0.0145892577861394	-0.00364734640666009	-0.144420378467259	R_Bin_1
non-regulated	Tasquinimod:Q9Y548	Tasquinimod	Q9Y548	0.000119122882182415	-0.973368069814732	1.00003555291099	279.787433472256	279.787433472256		TRUE	0.999956366269454	0.00420713546418378	-46.2572932895873	-45.2160906357276	0.0134618677576053	1	0.0129702572550007	0.014037035632128	0.0115419149522513	0.017977277861296	0.0101294900640043	1	1	1	1	1	1	Protein YIPF1	1043224297.5	YIPF1	0.894087730451367	0.0024231830030468	0.0138001714848199	0.013123564010317	-0.141052188815456	R_Bin_1
non-regulated	Tasquinimod:Q14766	Tasquinimod	Q14766	0.00507818184342052	-0.986187545248152	0.99999995751721	645.839749988013	645.839749988013	313205.711866601	TRUE	0.997112333143879	0.0343411083145725	-21.0625597789355	-20.0213571250758	0.0145122253836833	1	0	0.0580475239040271	0	0	0	1	0	1	0	0	0	Latent-transforming growth factor beta-binding protein 1	18261699.5	LTBP1	0.227209154481882	0.0174152122956133	0.0290244969021253	-2.21188529914151e-06	-0.144515643540115	R_Bin_1
non-regulated	Tasquinimod:Q99611	Tasquinimod	Q99611	0.00767229872074828	-0.979381520447215	0.999999552565979	660.619069128725	660.619069128725	174080.986347333	TRUE	0.993406181154185	0.0516949955994427	-16.1543455762389	-15.1131429223791	0.0218456251178617	1	0	0.0873820682676334	0	0	0	1	0	1	0	0	0	Selenide, water dikinase 2	186108356	SEPHS2	0.663699936427209	0.0262164104941178	0.0436903467823163	-6.59332461394602e-06	-0.145353773379075	R_Bin_1
non-regulated	Tasquinimod:Q9NUV7	Tasquinimod	Q9NUV7	0.0191968963043187	-0.993598596216388	1.00000555958661	717.986647790508	717.986647790508		TRUE	0.993970098568451	0.0493174609725031	-16.7193389797938	-15.678136325934	0.0330402078454267	1	0.110220357777127	0	0	0	0	1	1	0	0	0	0	Serine palmitoyltransferase 3	17581708	SPTLC3	0.219707565162111	0.0330669057894822	0.0879508238283979	-0.0219915541801939	-0.152304602095182	R_Bin_1
non-regulated	Tasquinimod:Q13885;Q9BVA1	Tasquinimod	Q13885;Q9BVA1	0.00468745178072481	-0.943555543549293	0.99999998832565	306.156367288664	306.156367288664	112913.342562513	TRUE	0.999481025088723	0.0142588062108215	-31.6101809885907	-30.568978334731	0.0333924652707514	1	0.0327330431082497	0.0477819915907285	0.0363353458077986	0.0131942577080276	0.0238079133974788	2	1	1	1	1	1	Tubulin beta-2A chain	1581228926	TUBB2A;TUBB2B	0.928162746344564	0.0101463284101249	0.0465014800356005	0.0202821960983146	-0.141457812428463	R_Bin_1
