.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
up	ACY775:P50238	ACY775	P50238	-15.8478460800598	0.97322472287858	9.59530817138556	116.44557498006	116.44557498006	2132.54666131234	FALSE	0.98098599371723	0.961842001515524	18.9275250358587	19.9687276897184	4.30822972267428	1	1.92035237540311	0	1.68194545857134	9.64700790371317	9.5436057383641	1	3	0	1	1	1	Cysteine-rich protein 1	4766742.33333333	CRIP1	0.0636409102275569	0.0517010826745423	0.97322472287858	9.59530817138556	1.93085544958063	R_Bin_1
up, low confidence	ACY775:P35527	ACY775	P35527	-4.38756156993077	1.1258273130544	46.6346668417477	6136.57192924215	6136.57192924215	43250.0403614117	FALSE	0.999084566925842	0.795745112509921	16.652669754619	17.6938724084787	3.15971628274793	1	2.09767585315945	0.81780292527402	0.674256880549955	1.05625045469208	41.8548282368703	2	5	2	1	1	19	Keratin, type I cytoskeletal 9	61083388.4	KRT9	0.496999249812453	0.216925850430721	1.1258273130544	41.8548081193645	5.74303768412072	R_Bin_1
up	ACY775:P15918	ACY775	P15918	-3.68058458937121	0.3336782909925	6.99068790686924	100.066335663228	100.066335663228	11.0073202710636	FALSE	0.986235802072447	0.611257114054215	13.4875348158723	14.5287374697321	2.99623189516471	1	0	0	3.65822203478519	6.79003606856873	7.19061868302605	1	0	0	1	1	1	V(D)J recombination-activating protein 1	1340204	RAG1	0.0275068767191798	0.266804823383263	0.333678291052821	6.99068761635329	1.57089781873205	R_Bin_1
up, low confidence	ACY775:P04264;Q7Z794	ACY775	P04264;Q7Z794	-6.0355186928507	1.06069012098965	46.7119027024773	7900.67240587189	7900.67240587189	86076.8392871788	FALSE	0.997605389556025	1.16318801099605	21.2083602625313	22.249562916391	2.14045699582218	1	2.38519693882828	1.12921108385918	0.22847891238808	0.560124606780954	37.8410938528766	4	8	4	1	3	14	Keratin, type II cytoskeletal 1	68136864.8	KRT1;KRT77	0.518754688672168	0.284630445767028	1.06069012098965	37.8410484435792	5.08084343133628	R_Bin_1
up	ACY775:P51956	ACY775	P51956	0.000164285571181826	3.26179389013457	0.994330993999852	1239240.9668814	1239240.9668814		FALSE	0.922858793999372	0.209968374879803	0.664805747597894	1.70600840145762	2.12707750985725	1	2.16190564603484	2.30424811162611	2.13732590685157	1.89209696449186	2.13051168079249	1	2	1	2	1	3	Serine/threonine-protein kinase Nek3	2469006	NEK3	0.0341335333833458	0.106213803656762	2.12654142339743	2.12761359661065	0.13360600441597	R_Bin_1
non-regulated	ACY775:Q9BY11	ACY775	Q9BY11	0.00040445795937434	-1.01657827641211	1.01644453264011	692.834631471702	692.834631471702		TRUE	0.999663813622814	0.0118285657196237	-33.8524681788547	-32.811265524995	0.000567698619255864	1	0	0	0.00292495961640635	0	0	1	0	0	1	0	0	Protein kinase C and casein kinase substrate in neurons protein 1	1995289249.33333	PACSIN1	0.94973743435859	0.00104103644987141	0.0017510419507889	-0.000615645858659253	-0.142773572582388	R_Bin_1
non-regulated	ACY775:Q9BUF5	ACY775	Q9BUF5	0.000480733823202423	-1.01522544051186	1.01563884439745	692.893588677437	692.893588677437		TRUE	0.999673773298961	0.0116465199149382	-34.0385883475386	-32.9973856936789	0.000960164530793549	1	0	0	0.00533811542867109	0	0	1	0	0	1	0	0	Tubulin beta-6 chain	2223942284.25	TUBB6	0.954988747186797	0.00152217073581873	0.00236517795496849	-0.000444850816361253	-0.142704625273467	R_Bin_1
non-regulated	ACY775:Q9NVD7;Q9HBI1	ACY775	Q9NVD7;Q9HBI1	0.000640282724141862	-0.975043640614775	1.00189740411269	652.907238778338	652.907238778338		TRUE	0.995133465809831	0.0445053871999926	-17.9513544249708	-16.910151771111	0.0143849518177265	1	0	0	0.0702899583376897	0	0	1	0	0	1	0	0	Alpha-parvin	9269609.5	PARVA;PARVB	0.150787696924231	0.0151136050785715	0.0162065802305964	0.01256331906732	-0.140848858333209	R_Bin_1
up	ACY775:P14923	ACY775	P14923	-1.24737239573907	0.688661612243691	4.98893280348781	316.656861969356	316.656861969356	360.406408666085	FALSE	0.909456455963401	0.906031173311258	18.2102072217545	19.2514098756142	1.98239858529694	1	1.67883439570753	0	1.62219521829809	4.11151131703915	4.95643928806478	1	1	0	1	1	2	Junction plakoglobin	3947142	JUP	0.0506376594148537	0.209756055199597	0.688846513219635	4.93173796533287	0.820069212074767	R_Bin_1
non-regulated	ACY775:O43301	ACY775	O43301	0.000515052840135892	-0.613480222293365	0.673943206610368	675.016846270106	675.016846270106		TRUE	0.866926594490531	0.234997163379169	2.01620398493446	3.05740663879419	0.0307388989340986	1	0	0.010348741068133	0	0	0	1	0	1	0	0	0	Heat shock 70 kDa protein 12A	398097152	HSPA12A	0.811577894473618	0.030357193481582	0.0316931616909041	0.0297846346908008	-0.143152821173375	R_Bin_1
non-regulated	ACY775:A0A096LP49	ACY775	A0A096LP49	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Coiled-coil domain-containing protein 187	0	CCDC187	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	ACY775:A2VDF0	ACY775	A2VDF0	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Fucose mutarotase	0	FUOM	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
