.pred_class	identifier	drug	gene	slope	bottom	top	inflection	IC50	stdIC50	down	r2	rse	bic	aic	AUC	Normalized_Intensity_0	Normalized_Intensity_1	Normalized_Intensity_10	Normalized_Intensity_100	Normalized_Intensity_1000	Normalized_Intensity_10000	Unique_Peptides_0	Unique_Peptides_1	Unique_Peptides_10	Unique_Peptides_100	Unique_Peptides_1000	Unique_Peptides_10000	Description	Mean_Intensity	Gene names	DMSO_percentile	MAD	beginningOfCurve	endOfCurve	linearSlope	R2_Bins
non-regulated	Trametinib:Q8NE00	Trametinib	Q8NE00	0.00017865454294054	-0.983013288518573	1.00141227116577	657.421485419485	657.421485419485		TRUE	0.997777735095248	0.0301750360190287	-22.6144978073489	-21.5732951534891	0.00946843943148911	1	0	0	0	0	0.0471715498187144	1	0	0	0	0	1	Transmembrane protein 104	37637278	TMEM104	0.39613707165109	0.00967252136081775	0.00997864415130778	0.00895823461687106	-0.136118350025898	R_Bin_1
non-regulated	Trametinib:Q8NG27	Trametinib	Q8NG27	0.000407785942665095	-0.938834760524945	0.986330735656593	672.49220254575	672.49220254575		TRUE	0.991347931252371	0.0591908176064404	-14.5294802728761	-13.4882776190164	0.0243479879760191	1	0	0	0.0911349046667321	0	0	1	0	0	1	0	0	E3 ubiquitin-protein ligase Praja-1	8892970.33333333	PJA1	0.131713395638629	0.0247999020832906	0.0254777720439593	0.0232182028062382	-0.140253288438093	R_Bin_1
non-regulated	Trametinib:P56749	Trametinib	P56749	0.0107355292298618	-0.971794107518912	0.999999225827624	693.263687500237	693.263687500237	160505.485461109	TRUE	0.987117623973242	0.0720127440087297	-12.1765600935024	-11.1353574396427	0.0304352776315741	1	0	0.121728109241624	0	0	0	1	0	1	0	0	0	Claudin-12	99753525	CLDN12	0.574953271028037	0.0365273880997982	0.0608703977719576	-2.06153580518675e-05	-0.146335088835475	R_Bin_1
non-regulated	Trametinib:O60381	Trametinib	O60381	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	HMG box-containing protein 1	0	HBP1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Trametinib:P03886	Trametinib	P03886	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	NADH-ubiquinone oxidoreductase chain 1	0	MT-ND1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Trametinib:P05120	Trametinib	P05120	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Plasminogen activator inhibitor 2	0	SERPINB2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Trametinib:P09668	Trametinib	P09668	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	Pro-cathepsin H	0	CTSH	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Trametinib:P11926	Trametinib	P11926	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	2	Ornithine decarboxylase	0	ODC1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Trametinib:P59780	Trametinib	P59780	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	AP-3 complex subunit sigma-2	0	AP3S2	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
non-regulated	Trametinib:Q5JTC6	Trametinib	Q5JTC6	-4.45612495352259	-3.39927010441717e-05	1.28297016156416	7532.89099372672	7532.89099372672		FALSE	0.999999975819438	0.000100375466874674	-91.0847268002581	-90.0435241463984	0.0378615421920521	0	0	0	0	0	1	0	0	0	0	0	1	APC membrane recruitment protein 1	0	AMER1	0	3.39927009470956e-05	-3.39927010441717e-05	0.999999997517413	0.142857142857143	R_Bin_1
